index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,latency_us,phone_model
0,44620015,1626153258965062,1907,1626153303583170,0,DOWN,44280219,44284177,0,0,0,1626153259348431,2160,1626153303626490,1626153303630448,43320,LGE LGL322DL
1,45070001,1626153258965062,1907,1626153304033156,0,DOWN,44724315,44727332,1,0,0,1626153259348431,2160,1626153304070586,1626153304073603,37430,LGE LGL322DL
2,45518999,1626153258965062,1907,1626153304482154,0,DOWN,45178203,45181524,2,0,0,1626153259348431,2160,1626153304524474,1626153304527795,42320,LGE LGL322DL
3,45968001,1626153258965062,1907,1626153304931156,0,DOWN,45622246,45624779,3,0,0,1626153259348431,2160,1626153304968517,1626153304971050,37361,LGE LGL322DL
4,46416999,1626153258965062,1907,1626153305380154,0,DOWN,46078188,46081619,4,0,0,1626153259348431,2160,1626153305424459,1626153305427890,44305,LGE LGL322DL
5,46866000,1626153258965062,1907,1626153305829155,0,DOWN,46522355,46526419,5,0,0,1626153259348431,2160,1626153305868626,1626153305872690,39471,LGE LGL322DL
6,47314999,1626153258965062,1907,1626153306278154,0,DOWN,46975018,46978496,6,0,0,1626153259348431,2160,1626153306321289,1626153306324767,43135,LGE LGL322DL
7,47763999,1626153258965062,1907,1626153306727154,0,DOWN,47421039,47423807,7,0,0,1626153259348431,2160,1626153306767310,1626153306770078,40156,LGE LGL322DL
8,48213001,1626153258965062,1907,1626153307176156,0,DOWN,47865796,47868730,8,0,0,1626153259348431,2160,1626153307212067,1626153307215001,35911,LGE LGL322DL
9,48661999,1626153258965062,1907,1626153307625154,0,DOWN,48322096,48325867,9,0,0,1626153259348431,2160,1626153307668367,1626153307672138,43213,LGE LGL322DL
10,49111001,1626153258965062,1907,1626153308074156,0,DOWN,48765689,48768665,10,0,0,1626153259348431,2160,1626153308111960,1626153308114936,37804,LGE LGL322DL
11,49559999,1626153258965062,1907,1626153308523154,0,DOWN,49220479,49223491,11,0,0,1626153259348431,2160,1626153308566750,1626153308569762,43596,LGE LGL322DL
12,50009001,1626153258965062,1907,1626153308972156,0,DOWN,49663816,49666727,12,0,0,1626153259348431,2160,1626153309010087,1626153309012998,37931,LGE LGL322DL
13,50457999,1626153258965062,1907,1626153309421154,0,DOWN,50118121,50121700,13,0,0,1626153259348431,2160,1626153309464392,1626153309467971,43238,LGE LGL322DL
14,50906999,1626153258965062,1907,1626153309870154,0,DOWN,50563631,50566171,14,0,0,1626153259348431,2160,1626153309909902,1626153309912442,39748,LGE LGL322DL
15,51355999,1626153258965062,1907,1626153310319154,0,DOWN,51009180,51012144,15,0,0,1626153259348431,2160,1626153310355451,1626153310358415,36297,LGE LGL322DL
16,51804999,1626153258965062,1907,1626153310768154,0,DOWN,51464031,51467753,16,0,0,1626153259348431,2160,1626153310810302,1626153310814024,42148,LGE LGL322DL
