index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
0,45330010,1626153050045922,1380,1626153095374552,0,DOWN,45149275,45152671,0,0,0,1626153050273326,774,1626153095421827,1626153095425223,47275,50671,LGE LGL322DL
1,45830997,1626153050045922,1380,1626153095875539,0,DOWN,45645267,45648518,1,0,0,1626153050273326,774,1626153095917819,1626153095921070,42280,45531,LGE LGL322DL
2,46330997,1626153050045922,1380,1626153096375539,0,DOWN,46140980,46144922,2,0,0,1626153050273326,774,1626153096413532,1626153096417474,37993,41935,LGE LGL322DL
3,46830999,1626153050045922,1380,1626153096875541,0,DOWN,46648232,46652135,3,0,0,1626153050273326,774,1626153096920784,1626153096924687,45243,49146,LGE LGL322DL
4,47331000,1626153050045922,1380,1626153097375542,0,DOWN,47144549,47147776,4,0,0,1626153050273326,774,1626153097417101,1626153097420328,41559,44786,LGE LGL322DL
5,47830997,1626153050045922,1380,1626153097875539,0,DOWN,47649767,47653086,5,0,0,1626153050273326,774,1626153097922319,1626153097925638,46780,50099,LGE LGL322DL
6,48330997,1626153050045922,1380,1626153098375539,0,DOWN,48145736,48148802,6,0,0,1626153050273326,774,1626153098418288,1626153098421354,42749,45815,LGE LGL322DL
7,48830999,1626153050045922,1380,1626153098875541,0,DOWN,48642408,48646049,7,0,0,1626153050273326,774,1626153098914960,1626153098918601,39419,43060,LGE LGL322DL
8,49330999,1626153050045922,1380,1626153099375541,0,DOWN,49148653,49151847,8,0,0,1626153050273326,774,1626153099421205,1626153099424399,45664,48858,LGE LGL322DL
9,49830997,1626153050045922,1380,1626153099875539,0,DOWN,49644178,49646909,9,0,0,1626153050273326,774,1626153099916730,1626153099919461,41191,43922,LGE LGL322DL
