index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
0.0,43958012.0,1625975417632234.0,1461.0,1625975461588785.0,0,DOWN,42492300,42497529,0,0.058195878,0.058195878,1625975419118520,3117,1625975461607703,1625975461612932,18918.0,24147.0,Motorola moto g stylus (XT2115DL)
1.0,44459000.0,1625975417632234.0,1461.0,1625975462089773.0,0,DOWN,42993886,42997982,1,0.051729664,0.051729664,1625975419118520,3117,1625975462109289,1625975462113385,19516.0,23612.0,Motorola moto g stylus (XT2115DL)
2.0,44959000.0,1625975417632234.0,1461.0,1625975462589773.0,0,DOWN,43494180,43499517,2,0.051729664,0.051729664,1625975419118520,3117,1625975462609583,1625975462614920,19810.0,25147.0,Motorola moto g stylus (XT2115DL)
3.0,45459000.0,1625975417632234.0,1461.0,1625975463089773.0,0,DOWN,43994541,43999549,3,0.051729664,0.051729664,1625975419118520,3117,1625975463109944,1625975463114952,20171.0,25179.0,Motorola moto g stylus (XT2115DL)
4.0,45959003.0,1625975417632234.0,1461.0,1625975463589776.0,0,DOWN,44493744,44498957,4,0.058195878,0.058195878,1625975419118520,3117,1625975463609147,1625975463614360,19371.0,24584.0,Motorola moto g stylus (XT2115DL)
5.0,46459002.0,1625975417632234.0,1461.0,1625975464089775.0,0,DOWN,44994604,44999894,5,0.058195878,0.058195878,1625975419118520,3117,1625975464110007,1625975464115297,20232.0,25522.0,Motorola moto g stylus (XT2115DL)
6.0,46959000.0,1625975417632234.0,1461.0,1625975464589773.0,0,DOWN,45495066,45500043,6,0.051729664,0.051729664,1625975419118520,3117,1625975464610469,1625975464615446,20696.0,25673.0,Motorola moto g stylus (XT2115DL)
7.0,47459000.0,1625975417632234.0,1461.0,1625975465089773.0,0,DOWN,45993961,45997201,7,0.058195878,0.058195878,1625975419118520,3117,1625975465109364,1625975465112604,19591.0,22831.0,Motorola moto g stylus (XT2115DL)
8.0,47959002.0,1625975417632234.0,1461.0,1625975465589775.0,0,DOWN,46494025,46497652,8,0.058195878,0.058195878,1625975419118520,3117,1625975465609428,1625975465613055,19653.0,23280.0,Motorola moto g stylus (XT2115DL)
9.0,48459002.0,1625975417632234.0,1461.0,1625975466089775.0,0,DOWN,46994175,46998220,9,0.058195878,0.058195878,1625975419118520,3117,1625975466109578,1625975466113623,19803.0,23848.0,Motorola moto g stylus (XT2115DL)
10.0,48959000.0,1625975417632234.0,1461.0,1625975466589773.0,0,DOWN,47494548,47499215,10,0.058195878,0.058195878,1625975419118520,3117,1625975466609951,1625975466614618,20178.0,24845.0,Motorola moto g stylus (XT2115DL)
