index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
0,43837054,1625971513275805,1337,1625971557111522,0,DOWN,43511707,43514768,0,0.010866201,0.00814965,1625971513624293,6127,1625971557129873,1625971557132934,18351,21412,Samsung SM-A305G
1,44338041,1625971513275805,1337,1625971557612509,0,DOWN,44016950,44020119,1,0.010866201,0.00814965,1625971513624293,6127,1625971557635116,1625971557638285,22607,25776,Samsung SM-A305G
2,44838039,1625971513275805,1337,1625971558112507,0,DOWN,44506316,44509205,2,0.010866201,0.00814965,1625971513624293,6127,1625971558124482,1625971558127371,11975,14864,Samsung SM-A305G
3,45338039,1625971513275805,1337,1625971558612507,0,DOWN,45011487,45014470,3,0.010866201,0.00814965,1625971513624293,6127,1625971558629653,1625971558632636,17146,20129,Samsung SM-A305G
4,45838041,1625971513275805,1337,1625971559112509,0,DOWN,45508711,45511938,4,0.010866201,0.00814965,1625971513624293,6127,1625971559126877,1625971559130104,14368,17595,Samsung SM-A305G
5,46338041,1625971513275805,1337,1625971559612509,0,DOWN,46007445,46010750,5,0.010866201,0.00814965,1625971513624293,6127,1625971559625611,1625971559628916,13102,16407,Samsung SM-A305G
6,46838039,1625971513275805,1337,1625971560112507,0,DOWN,46511957,46514907,6,0.010866201,0.00814965,1625971513624293,6127,1625971560130123,1625971560133073,17616,20566,Samsung SM-A305G
7,47338039,1625971513275805,1337,1625971560612507,0,DOWN,47008814,47011847,7,0.010866201,0.00814965,1625971513624293,6127,1625971560626980,1625971560630013,14473,17506,Samsung SM-A305G
8,47838041,1625971513275805,1337,1625971561112509,0,DOWN,47505988,47509328,8,0.010866201,0.00814965,1625971513624293,6127,1625971561124154,1625971561127494,11645,14985,Samsung SM-A305G
9,48338041,1625971513275805,1337,1625971561612509,0,DOWN,48011853,48014689,9,0.010866201,0.00814965,1625971513624293,6127,1625971561630019,1625971561632855,17510,20346,Samsung SM-A305G
10,48838039,1625971513275805,1337,1625971562112507,0,DOWN,48508813,48511861,10,0.010866201,0.00814965,1625971513624293,6127,1625971562126979,1625971562130027,14472,17520,Samsung SM-A305G
11,49338039,1625971513275805,1337,1625971562612507,0,DOWN,49006643,49009679,11,0.010866201,0.00814965,1625971513624293,6127,1625971562624809,1625971562627845,12302,15338,Samsung SM-A305G
12,49838041,1625971513275805,1337,1625971563112509,0,DOWN,49516422,49519314,12,0.010866201,0.00814965,1625971513624293,6127,1625971563134588,1625971563137480,22079,24971,Samsung SM-A305G
13,50338041,1625971513275805,1337,1625971563612509,0,DOWN,50010754,50013733,13,0.010866201,0.00814965,1625971513624293,6127,1625971563628920,1625971563631899,16411,19390,Samsung SM-A305G
14,50838039,1625971513275805,1337,1625971564112507,0,DOWN,50505719,50508688,14,0.010866201,0.00814965,1625971513624293,6127,1625971564123885,1625971564126854,11378,14347,Samsung SM-A305G
15,51338039,1625971513275805,1337,1625971564612507,0,DOWN,51011251,51014222,15,0.010866201,0.00814965,1625971513624293,6127,1625971564629417,1625971564632388,16910,19881,Samsung SM-A305G
16,51838040,1625971513275805,1337,1625971565112508,0,DOWN,51508343,51510772,16,0.010866201,0.00814965,1625971513624293,6127,1625971565126509,1625971565128938,14001,16430,Samsung SM-A305G
17,52338042,1625971513275805,1337,1625971565612510,0,DOWN,52006045,52008637,17,0.010866201,0.00814965,1625971513624293,6127,1625971565624211,1625971565626803,11701,14293,Samsung SM-A305G
18,52838039,1625971513275805,1337,1625971566112507,0,DOWN,52519337,52522225,18,0.010866201,0.00814965,1625971513624293,6127,1625971566137503,1625971566140391,24996,27884,Samsung SM-A305G
19,53338039,1625971513275805,1337,1625971566612507,0,DOWN,53008260,53011267,19,0.010866201,0.00814965,1625971513624293,6127,1625971566626426,1625971566629433,13919,16926,Samsung SM-A305G
20,53838040,1625971513275805,1337,1625971567112508,0,DOWN,53513811,53516797,20,0.010866201,0.00814965,1625971513624293,6127,1625971567131977,1625971567134963,19469,22455,Samsung SM-A305G
21,54338041,1625971513275805,1337,1625971567612509,0,DOWN,54011170,54013966,21,0.010866201,0.00814965,1625971513624293,6127,1625971567629336,1625971567632132,16827,19623,Samsung SM-A305G
22,54838039,1625971513275805,1337,1625971568112507,0,DOWN,54508107,54511170,22,0.010866201,0.00814965,1625971513624293,6127,1625971568126273,1625971568129336,13766,16829,Samsung SM-A305G
