index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
0,43646012,1626046648778134,1288,1626046692422858,0,DOWN,43646127,43649714,0,0.024512032,0.024512032,1626046648791278,2353,1626046692435052,1626046692438639,12194,15781,Samsung SM-A525M
1,44146999,1626046648778134,1288,1626046692923845,0,DOWN,44139537,44142009,1,0.024512032,0.024512032,1626046648791278,2353,1626046692928462,1626046692930934,4617,7089,Samsung SM-A525M
2,44646997,1626046648778134,1288,1626046693423843,0,DOWN,44642341,44646227,2,0.024512032,0.024512032,1626046648791278,2353,1626046693431266,1626046693435152,7423,11309,Samsung SM-A525M
3,45146997,1626046648778134,1288,1626046693923843,0,DOWN,45141902,45144007,3,0.024512032,0.024512032,1626046648791278,2353,1626046693930827,1626046693932932,6984,9089,Samsung SM-A525M
4,45646999,1626046648778134,1288,1626046694423845,0,DOWN,45643466,45646753,4,0.024512032,0.024512032,1626046648791278,2353,1626046694432391,1626046694435678,8546,11833,Samsung SM-A525M
5,46146999,1626046648778134,1288,1626046694923845,0,DOWN,46143090,46147537,5,0.024512032,0.024512032,1626046648791278,2353,1626046694932015,1626046694936462,8170,12617,Samsung SM-A525M
6,46646997,1626046648778134,1288,1626046695423843,0,DOWN,46647460,46650972,6,0.024512032,0.024512032,1626046648791278,2353,1626046695436385,1626046695439897,12542,16054,Samsung SM-A525M
7,47146997,1626046648778134,1288,1626046695923843,0,DOWN,47144565,47148768,7,0.024512032,0.024512032,1626046648791278,2353,1626046695933490,1626046695937693,9647,13850,Samsung SM-A525M
8,47646998,1626046648778134,1288,1626046696423844,0,DOWN,47640554,47643394,8,0.024512032,0.024512032,1626046648791278,2353,1626046696429479,1626046696432319,5635,8475,Samsung SM-A525M
9,48146999,1626046648778134,1288,1626046696923845,0,DOWN,48141591,48144793,9,0.024512032,0.024512032,1626046648791278,2353,1626046696930516,1626046696933718,6671,9873,Samsung SM-A525M
10,48646997,1626046648778134,1288,1626046697423843,0,DOWN,48644514,48648436,10,0.024512032,0.024512032,1626046648791278,2353,1626046697433439,1626046697437361,9596,13518,Samsung SM-A525M
11,49146997,1626046648778134,1288,1626046697923843,0,DOWN,49143536,49148524,11,0.024512032,0.024512032,1626046648791278,2353,1626046697932461,1626046697937449,8618,13606,Samsung SM-A525M
12,49646998,1626046648778134,1288,1626046698423844,0,DOWN,49645424,49647551,12,0.024512032,0.024512032,1626046648791278,2353,1626046698434349,1626046698436476,10505,12632,Samsung SM-A525M
13,50146999,1626046648778134,1288,1626046698923845,0,DOWN,50144684,50148277,13,0.024512032,0.024512032,1626046648791278,2353,1626046698933609,1626046698937202,9764,13357,Samsung SM-A525M
14,50647002,1626046648778134,1288,1626046699423848,0,DOWN,50647509,50651230,14,0.024512032,0.024512032,1626046648791278,2353,1626046699436434,1626046699440155,12586,16307,Samsung SM-A525M
15,51146997,1626046648778134,1288,1626046699923843,0,DOWN,51141933,51145252,15,0.024512032,0.024512032,1626046648791278,2353,1626046699930858,1626046699934177,7015,10334,Samsung SM-A525M
16,51646998,1626046648778134,1288,1626046700423844,0,DOWN,51643833,51647347,16,0.021788474,0.021788474,1626046648791278,2353,1626046700432758,1626046700436272,8914,12428,Samsung SM-A525M
17,52146999,1626046648778134,1288,1626046700923845,0,DOWN,52144007,52147331,17,0.021788474,0.021788474,1626046648791278,2353,1626046700932932,1626046700936256,9087,12411,Samsung SM-A525M
18,52646997,1626046648778134,1288,1626046701423843,0,DOWN,52644469,52648187,18,0.021788474,0.021788474,1626046648791278,2353,1626046701433394,1626046701437112,9551,13269,Samsung SM-A525M
19,53146997,1626046648778134,1288,1626046701923843,0,DOWN,53144065,53146929,19,0.021788474,0.021788474,1626046648791278,2353,1626046701932990,1626046701935854,9147,12011,Samsung SM-A525M
20,53646997,1626046648778134,1288,1626046702423843,0,DOWN,53645569,53648957,20,0.021788474,0.021788474,1626046648791278,2353,1626046702434494,1626046702437882,10651,14039,Samsung SM-A525M
21,54146999,1626046648778134,1288,1626046702923845,0,DOWN,54145781,54149394,21,0.021788474,0.021788474,1626046648791278,2353,1626046702934706,1626046702938319,10861,14474,Samsung SM-A525M
22,54646997,1626046648778134,1288,1626046703423843,0,DOWN,54639892,54643379,22,0.021788474,0.021788474,1626046648791278,2353,1626046703428817,1626046703432304,4974,8461,Samsung SM-A525M
23,55146997,1626046648778134,1288,1626046703923843,0,DOWN,55142284,55145667,23,0.021788474,0.021788474,1626046648791278,2353,1626046703931209,1626046703934592,7366,10749,Samsung SM-A525M
24,55646997,1626046648778134,1288,1626046704423843,0,DOWN,55641925,55645067,24,0.021788474,0.021788474,1626046648791278,2353,1626046704430850,1626046704433992,7007,10149,Samsung SM-A525M
25,56146999,1626046648778134,1288,1626046704923845,0,DOWN,56142529,56145485,25,0.021788474,0.021788474,1626046648791278,2353,1626046704931454,1626046704934410,7609,10565,Samsung SM-A525M
26,56646997,1626046648778134,1288,1626046705423843,0,DOWN,56642965,56646770,26,0.021788474,0.021788474,1626046648791278,2353,1626046705431890,1626046705435695,8047,11852,Samsung SM-A525M
27,57146997,1626046648778134,1288,1626046705923843,0,DOWN,57145561,57149215,27,0.021788474,0.021788474,1626046648791278,2353,1626046705934486,1626046705938140,10643,14297,Samsung SM-A525M
28,57646997,1626046648778134,1288,1626046706423843,0,DOWN,57644369,57647373,28,0.021788474,0.021788474,1626046648791278,2353,1626046706433294,1626046706436298,9451,12455,Samsung SM-A525M
29,58146999,1626046648778134,1288,1626046706923845,0,DOWN,58140685,58144507,29,0.021788474,0.021788474,1626046648791278,2353,1626046706929610,1626046706933432,5765,9587,Samsung SM-A525M
30,58647000,1626046648778134,1288,1626046707423846,0,DOWN,58639802,58643399,30,0.021788474,0.021788474,1626046648791278,2353,1626046707428727,1626046707432324,4881,8478,Samsung SM-A525M
31,59146997,1626046648778134,1288,1626046707923843,0,DOWN,59143288,59146853,31,0.021788474,0.021788474,1626046648791278,2353,1626046707932213,1626046707935778,8370,11935,Samsung SM-A525M
32,59646997,1626046648778134,1288,1626046708423843,0,DOWN,59641294,59644055,32,0.021788474,0.021788474,1626046648791278,2353,1626046708430219,1626046708432980,6376,9137,Samsung SM-A525M
33,60147000,1626046648778134,1288,1626046708923846,0,DOWN,60145516,60148926,33,0.021788474,0.021788474,1626046648791278,2353,1626046708934441,1626046708937851,10595,14005,Samsung SM-A525M
34,60646999,1626046648778134,1288,1626046709423845,0,DOWN,60643066,60646762,34,0.021788474,0.021788474,1626046648791278,2353,1626046709431991,1626046709435687,8146,11842,Samsung SM-A525M
35,61146997,1626046648778134,1288,1626046709923843,0,DOWN,61147231,61150966,35,0.019064914,0.019064914,1626046648791278,2353,1626046709936156,1626046709939891,12313,16048,Samsung SM-A525M
36,61646997,1626046648778134,1288,1626046710423843,0,DOWN,61639262,61642752,36,0.019064914,0.010894237,1626046648791278,2353,1626046710428187,1626046710431677,4344,7834,Samsung SM-A525M
37,62146999,1626046648778134,1288,1626046710923845,0,DOWN,62143209,62146782,37,0.019064914,0.019064914,1626046648791278,2353,1626046710932134,1626046710935707,8289,11862,Samsung SM-A525M
38,62647000,1626046648778134,1288,1626046711423846,0,DOWN,62641020,62644260,38,0.019064914,0.019064914,1626046648791278,2353,1626046711429945,1626046711433185,6099,9339,Samsung SM-A525M
39,63146997,1626046648778134,1288,1626046711923843,0,DOWN,63144485,63147905,39,0.019064914,0.019064914,1626046648791278,2353,1626046711933410,1626046711936830,9567,12987,Samsung SM-A525M
40,63646997,1626046648778134,1288,1626046712423843,0,DOWN,63641777,63644061,40,0.021788474,0.021788474,1626046648791278,2353,1626046712430702,1626046712432986,6859,9143,Samsung SM-A525M
41,64146999,1626046648778134,1288,1626046712923845,0,DOWN,64146420,64150001,41,0.019064914,0.019064914,1626046648791278,2353,1626046712935345,1626046712938926,11500,15081,Samsung SM-A525M
42,64646999,1626046648778134,1288,1626046713423845,0,DOWN,64643881,64647366,42,0.021788474,0.021788474,1626046648791278,2353,1626046713432806,1626046713436291,8961,12446,Samsung SM-A525M
43,65146997,1626046648778134,1288,1626046713923843,0,DOWN,65142752,65146370,43,0.010894237,0.010894237,1626046648791278,2353,1626046713931677,1626046713935295,7834,11452,Samsung SM-A525M
44,65646997,1626046648778134,1288,1626046714423843,0,DOWN,65639900,65643183,44,0.019064914,0.010894237,1626046648791278,2353,1626046714428825,1626046714432108,4982,8265,Samsung SM-A525M
45,66146999,1626046648778134,1288,1626046714923845,0,DOWN,66143507,66147135,45,0.019064914,0.010894237,1626046648791278,2353,1626046714932432,1626046714936060,8587,12215,Samsung SM-A525M
46,66646999,1626046648778134,1288,1626046715423845,0,DOWN,66641296,66644037,46,0.021788474,0.021788474,1626046648791278,2353,1626046715430221,1626046715432962,6376,9117,Samsung SM-A525M
47,67146997,1626046648778134,1288,1626046715923843,0,DOWN,67145780,67148646,47,0.019064914,0.010894237,1626046648791278,2353,1626046715934705,1626046715937571,10862,13728,Samsung SM-A525M
48,67646997,1626046648778134,1288,1626046716423843,0,DOWN,67642979,67645715,48,0.019064914,0.019064914,1626046648791278,2353,1626046716431904,1626046716434640,8061,10797,Samsung SM-A525M
49,68146998,1626046648778134,1288,1626046716923844,0,DOWN,68145961,68148790,49,0.019064914,0.019064914,1626046648791278,2353,1626046716934886,1626046716937715,11042,13871,Samsung SM-A525M
