index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
0,44855535,1625974578681252,1213,1625974623535574,0,DOWN,44729233,44738134,0,0.019736303,0.019736303,1625974578842425,3424,1625974623568234,1625974623577135,32660,41561,Samsung SM-G960U
1,45356522,1625974578681252,1213,1625974624036561,0,DOWN,45216681,45222041,1,0.019736303,0.019736303,1625974578842425,3424,1625974624055682,1625974624061042,19121,24481,Samsung SM-G960U
2,45856522,1625974578681252,1213,1625974624536561,0,DOWN,45720022,45725622,2,0.019736303,0.019736303,1625974578842425,3424,1625974624559023,1625974624564623,22462,28062,Samsung SM-G960U
3,46356520,1625974578681252,1213,1625974625036559,0,DOWN,46215529,46220958,3,0.019736303,0.019736303,1625974578842425,3424,1625974625054530,1625974625059959,17971,23400,Samsung SM-G960U
4,46856520,1625974578681252,1213,1625974625536559,0,DOWN,46714942,46720186,4,0.019736303,0.019736303,1625974578842425,3424,1625974625553943,1625974625559187,17384,22628,Samsung SM-G960U
5,47356522,1625974578681252,1213,1625974626036561,0,DOWN,47213758,47218926,5,0.019736303,0.019736303,1625974578842425,3424,1625974626052759,1625974626057927,16198,21366,Samsung SM-G960U
6,47856523,1625974578681252,1213,1625974626536562,0,DOWN,47713543,47718883,6,0.019736303,0.019736303,1625974578842425,3424,1625974626552544,1625974626557884,15982,21322,Samsung SM-G960U
7,48356520,1625974578681252,1213,1625974627036559,0,DOWN,48212217,48216911,7,0.019736303,0.019736303,1625974578842425,3424,1625974627051218,1625974627055912,14659,19353,Samsung SM-G960U
8,48856520,1625974578681252,1213,1625974627536559,0,DOWN,48711030,48716428,8,0.019736303,0.019736303,1625974578842425,3424,1625974627550031,1625974627555429,13472,18870,Samsung SM-G960U
9,49356522,1625974578681252,1213,1625974628036561,0,DOWN,49219401,49224159,9,0.019736303,0.019736303,1625974578842425,3424,1625974628058402,1625974628063160,21841,26599,Samsung SM-G960U
10,49856523,1625974578681252,1213,1625974628536562,0,DOWN,49723569,49728651,10,0.022555774,0.022555774,1625974578842425,3424,1625974628562570,1625974628567652,26008,31090,Samsung SM-G960U
11,50356520,1625974578681252,1213,1625974629036559,0,DOWN,50218532,50223277,11,0.022555774,0.022555774,1625974578842425,3424,1625974629057533,1625974629062278,20974,25719,Samsung SM-G960U
12,50856520,1625974578681252,1213,1625974629536559,0,DOWN,50722502,50727216,12,0.019736303,0.019736303,1625974578842425,3424,1625974629561503,1625974629566217,24944,29658,Samsung SM-G960U
13,51356522,1625974578681252,1213,1625974630036561,0,DOWN,51217122,51222503,13,0.019736303,0.019736303,1625974578842425,3424,1625974630056123,1625974630061504,19562,24943,Samsung SM-G960U
14,51856522,1625974578681252,1213,1625974630536561,0,DOWN,51717764,51723104,14,0.019736303,0.019736303,1625974578842425,3424,1625974630556765,1625974630562105,20204,25544,Samsung SM-G960U
15,52356520,1625974578681252,1213,1625974631036559,0,DOWN,52215371,52219944,15,0.022555774,0.022555774,1625974578842425,3424,1625974631054372,1625974631058945,17813,22386,Samsung SM-G960U
16,52856520,1625974578681252,1213,1625974631536559,0,DOWN,52719619,52722638,16,0.019736303,0.019736303,1625974578842425,3424,1625974631558620,1625974631561639,22061,25080,Samsung SM-G960U
17,53356521,1625974578681252,1213,1625974632036560,0,DOWN,53213530,53216984,17,0.019736303,0.019736303,1625974578842425,3424,1625974632052531,1625974632055985,15971,19425,Samsung SM-G960U
18,53856523,1625974578681252,1213,1625974632536562,0,DOWN,53717622,53723042,18,0.019736303,0.019736303,1625974578842425,3424,1625974632556623,1625974632562043,20061,25481,Samsung SM-G960U
19,54356520,1625974578681252,1213,1625974633036559,0,DOWN,54212958,54218367,19,0.019736303,0.019736303,1625974578842425,3424,1625974633051959,1625974633057368,15400,20809,Samsung SM-G960U
20,54856520,1625974578681252,1213,1625974633536559,0,DOWN,54722495,54727492,20,0.022555774,0.022555774,1625974578842425,3424,1625974633561496,1625974633566493,24937,29934,Samsung SM-G960U
