index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
0,44080012,1626064474242993,2074,1626064518320931,0,DOWN,43971949,43976842,0,1.8681676,1.8681676,1626064474376622,3772,1626064518344799,1626064518349692,23868,28761,Samsung SM-S111DL
1,44580999,1626064474242993,2074,1626064518821918,0,DOWN,44477406,44480825,1,1.8681676,1.8681676,1626064474376622,3772,1626064518850256,1626064518853675,28338,31757,Samsung SM-S111DL
2,45080997,1626064474242993,2074,1626064519321916,0,DOWN,44969669,44974176,2,1.8681676,1.8681676,1626064474376622,3772,1626064519342519,1626064519347026,20603,25110,Samsung SM-S111DL
3,45580997,1626064474242993,2074,1626064519821916,0,DOWN,45471285,45475216,3,1.8681676,1.8681676,1626064474376622,3772,1626064519844135,1626064519848066,22219,26150,Samsung SM-S111DL
4,46080999,1626064474242993,2074,1626064520321918,0,DOWN,45972339,45976652,4,1.8681676,1.8681676,1626064474376622,3772,1626064520345189,1626064520349502,23271,27584,Samsung SM-S111DL
5,46580999,1626064474242993,2074,1626064520821918,0,DOWN,46473644,46476716,5,1.8681676,1.8681676,1626064474376622,3772,1626064520846494,1626064520849566,24576,27648,Samsung SM-S111DL
6,47080997,1626064474242993,2074,1626064521321916,0,DOWN,46972760,46976603,6,1.8681676,1.8681676,1626064474376622,3772,1626064521345610,1626064521349453,23694,27537,Samsung SM-S111DL
7,47580997,1626064474242993,2074,1626064521821916,0,DOWN,47476737,47480724,7,1.8681676,1.8681676,1626064474376622,3772,1626064521849587,1626064521853574,27671,31658,Samsung SM-S111DL
8,48080998,1626064474242993,2074,1626064522321917,0,DOWN,47966838,47970452,8,1.8681676,1.8681676,1626064474376622,3772,1626064522339688,1626064522343302,17771,21385,Samsung SM-S111DL
9,48580999,1626064474242993,2074,1626064522821918,0,DOWN,48469325,48472641,9,1.8681676,1.8681676,1626064474376622,3772,1626064522842175,1626064522845491,20257,23573,Samsung SM-S111DL
10,49080997,1626064474242993,2074,1626064523321916,0,DOWN,48970035,48974570,10,1.8681676,1.8681676,1626064474376622,3772,1626064523342885,1626064523347420,20969,25504,Samsung SM-S111DL
11,49580997,1626064474242993,2074,1626064523821916,0,DOWN,49473233,49476823,11,1.8681676,1.8681676,1626064474376622,3772,1626064523846083,1626064523849673,24167,27757,Samsung SM-S111DL
12,50080998,1626064474242993,2074,1626064524321917,0,DOWN,49972808,49976037,12,1.8681676,1.8681676,1626064474376622,3772,1626064524345658,1626064524348887,23741,26970,Samsung SM-S111DL
