index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
0,43983179,1626152401941118,1119,1626152445923178,0,DOWN,43985714,43989480,0,0.10447083,0.10447083,1626152401955457,3581,1626152445937590,1626152445941356,14412,18178,TINNO Wiko U614AS
1,44484167,1626152401941118,1119,1626152446424166,0,DOWN,44485645,44488757,1,0.11840026,0.11840026,1626152401955457,3581,1626152446437521,1626152446440633,13355,16467,TINNO Wiko U614AS
2,44984169,1626152401941118,1119,1626152446924168,0,DOWN,44984254,44987985,2,0.11840026,0.11840026,1626152401955457,3581,1626152446936130,1626152446939861,11962,15693,TINNO Wiko U614AS
3,45484167,1626152401941118,1119,1626152447424166,0,DOWN,45498145,45503115,3,0.11143554,0.11143554,1626152401955457,3581,1626152447450021,1626152447454991,25855,30825,TINNO Wiko U614AS
4,45984167,1626152401941118,1119,1626152447924166,0,DOWN,45996193,46000135,4,0.11840026,0.11840026,1626152401955457,3581,1626152447948069,1626152447952011,23903,27845,TINNO Wiko U614AS
5,46484167,1626152401941118,1119,1626152448424166,0,DOWN,46493810,46497571,5,0.11840026,0.11840026,1626152401955457,3581,1626152448445686,1626152448449447,21520,25281,TINNO Wiko U614AS
6,46984169,1626152401941118,1119,1626152448924168,0,DOWN,46992338,46996271,6,0.11840026,0.11840026,1626152401955457,3581,1626152448944214,1626152448948147,20046,23979,TINNO Wiko U614AS
7,47484170,1626152401941118,1119,1626152449424169,0,DOWN,47489912,47493917,7,0.11840026,0.11840026,1626152401955457,3581,1626152449441788,1626152449445793,17619,21624,TINNO Wiko U614AS
8,47984167,1626152401941118,1119,1626152449924166,0,DOWN,47988201,47992167,8,0.11840026,0.11840026,1626152401955457,3581,1626152449940077,1626152449944043,15911,19877,TINNO Wiko U614AS
9,48484167,1626152401941118,1119,1626152450424166,0,DOWN,48485904,48490104,9,0.11840026,0.11840026,1626152401955457,3581,1626152450437780,1626152450441980,13614,17814,TINNO Wiko U614AS
10,48984169,1626152401941118,1119,1626152450924168,0,DOWN,48983730,48988053,10,0.11840026,0.11840026,1626152401955457,3581,1626152450935606,1626152450939929,11438,15761,TINNO Wiko U614AS
11,49484169,1626152401941118,1119,1626152451424168,0,DOWN,49498321,49502042,11,0.11143554,0.11143554,1626152401955457,3581,1626152451450197,1626152451453918,26029,29750,TINNO Wiko U614AS
12,49984167,1626152401941118,1119,1626152451924166,0,DOWN,49996218,49999520,12,0.11840026,0.11840026,1626152401955457,3581,1626152451948094,1626152451951396,23928,27230,TINNO Wiko U614AS
