index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
0,47014011,1626047380998431,1745,1626047428010697,0,ACTION_DOWN,46819050,46821175,0,51.54296875,51.54296875,1626047381207409,3871,1626047428022588,1626047428024713,11891,14016,iPhone12_1
1,47514999,1626047380998431,1745,1626047428511685,0,ACTION_DOWN,47318868,47320426,1,51.54296875,51.54296875,1626047381207409,3871,1626047428522406,1626047428523964,10721,12279,iPhone12_1
2,48014999,1626047380998431,1745,1626047429011685,0,ACTION_DOWN,47818832,47820409,2,51.54296875,51.54296875,1626047381207409,3871,1626047429022370,1626047429023947,10685,12262,iPhone12_1
3,48514997,1626047380998431,1745,1626047429511683,0,ACTION_DOWN,48318804,48320362,3,51.54296875,51.54296875,1626047381207409,3871,1626047429522342,1626047429523900,10659,12217,iPhone12_1
4,49014997,1626047380998431,1745,1626047430011683,0,ACTION_DOWN,48818710,48820249,4,51.54296875,51.54296875,1626047381207409,3871,1626047430022248,1626047430023787,10565,12104,iPhone12_1
5,49514998,1626047380998431,1745,1626047430511684,0,ACTION_DOWN,49319030,49320623,5,51.54296875,51.54296875,1626047381207409,3871,1626047430522568,1626047430524161,10884,12477,iPhone12_1
6,50014999,1626047380998431,1745,1626047431011685,0,ACTION_DOWN,49819022,49820593,6,51.54296875,51.54296875,1626047381207409,3871,1626047431022560,1626047431024131,10875,12446,iPhone12_1
7,50514997,1626047380998431,1745,1626047431511683,0,ACTION_DOWN,50318870,50320410,7,51.54296875,51.54296875,1626047381207409,3871,1626047431522408,1626047431523948,10725,12265,iPhone12_1
8,51014997,1626047380998431,1745,1626047432011683,0,ACTION_DOWN,50818723,50820333,8,51.54296875,51.54296875,1626047381207409,3871,1626047432022261,1626047432023871,10578,12188,iPhone12_1
9,51514998,1626047380998431,1745,1626047432511684,0,ACTION_DOWN,51318950,51320502,9,51.54296875,51.54296875,1626047381207409,3871,1626047432522488,1626047432524040,10804,12356,iPhone12_1
10,52015000,1626047380998431,1745,1626047433011686,0,ACTION_DOWN,51818641,51820169,10,51.54296875,51.54296875,1626047381207409,3871,1626047433022179,1626047433023707,10493,12021,iPhone12_1
11,52514997,1626047380998431,1745,1626047433511683,0,ACTION_DOWN,52318885,52320409,11,51.54296875,51.54296875,1626047381207409,3871,1626047433522423,1626047433523947,10740,12264,iPhone12_1
12,53014997,1626047380998431,1745,1626047434011683,0,ACTION_DOWN,52818883,52820441,12,51.54296875,51.54296875,1626047381207409,3871,1626047434022421,1626047434023979,10738,12296,iPhone12_1
13,53514998,1626047380998431,1745,1626047434511684,0,ACTION_DOWN,53318582,53320089,13,51.54296875,51.54296875,1626047381207409,3871,1626047434522120,1626047434523627,10436,11943,iPhone12_1
14,54014999,1626047380998431,1745,1626047435011685,0,ACTION_DOWN,53818881,53820404,14,51.54296875,51.54296875,1626047381207409,3871,1626047435022419,1626047435023942,10734,12257,iPhone12_1
15,54514997,1626047380998431,1745,1626047435511683,0,ACTION_DOWN,54318406,54319947,15,51.54296875,51.54296875,1626047381207409,3871,1626047435521944,1626047435523485,10261,11802,iPhone12_1
16,55014997,1626047380998431,1745,1626047436011683,0,ACTION_DOWN,54818690,54820230,16,51.54296875,51.54296875,1626047381207409,3871,1626047436022228,1626047436023768,10545,12085,iPhone12_1
17,55514998,1626047380998431,1745,1626047436511684,0,ACTION_DOWN,55318629,55320144,17,51.54296875,51.54296875,1626047381207409,3871,1626047436522167,1626047436523682,10483,11998,iPhone12_1
18,56014999,1626047380998431,1745,1626047437011685,0,ACTION_DOWN,55818660,55820167,18,51.54296875,51.54296875,1626047381207409,3871,1626047437022198,1626047437023705,10513,12020,iPhone12_1
19,56514997,1626047380998431,1745,1626047437511683,0,ACTION_DOWN,56318422,56319930,19,51.54296875,51.54296875,1626047381207409,3871,1626047437521960,1626047437523468,10277,11785,iPhone12_1
20,57014997,1626047380998431,1745,1626047438011683,0,ACTION_DOWN,56818559,56820104,20,51.54296875,51.54296875,1626047381207409,3871,1626047438022097,1626047438023642,10414,11959,iPhone12_1
21,57514997,1626047380998431,1745,1626047438511683,0,ACTION_DOWN,57318629,57320258,21,51.54296875,51.54296875,1626047381207409,3871,1626047438522167,1626047438523796,10484,12113,iPhone12_1
22,58014999,1626047380998431,1745,1626047439011685,0,ACTION_DOWN,57818044,57819620,22,51.54296875,51.54296875,1626047381207409,3871,1626047439021582,1626047439023158,9897,11473,iPhone12_1
23,58514997,1626047380998431,1745,1626047439511683,0,ACTION_DOWN,58318235,58319748,23,51.54296875,51.54296875,1626047381207409,3871,1626047439521773,1626047439523286,10090,11603,iPhone12_1
24,59014997,1626047380998431,1745,1626047440011683,0,ACTION_DOWN,58818093,58819614,24,51.54296875,51.54296875,1626047381207409,3871,1626047440021631,1626047440023152,9948,11469,iPhone12_1
25,59514997,1626047380998431,1745,1626047440511683,0,ACTION_DOWN,59318365,59319957,25,51.54296875,51.54296875,1626047381207409,3871,1626047440521903,1626047440523495,10220,11812,iPhone12_1
26,60014999,1626047380998431,1745,1626047441011685,0,ACTION_DOWN,59818239,59819767,26,51.54296875,51.54296875,1626047381207409,3871,1626047441021777,1626047441023305,10092,11620,iPhone12_1
27,60514997,1626047380998431,1745,1626047441511683,0,ACTION_DOWN,60318258,60319778,27,51.54296875,51.54296875,1626047381207409,3871,1626047441521796,1626047441523316,10113,11633,iPhone12_1
28,61014997,1626047380998431,1745,1626047442011683,0,ACTION_DOWN,60818379,60819899,28,51.54296875,51.54296875,1626047381207409,3871,1626047442021917,1626047442023437,10234,11754,iPhone12_1
29,61514997,1626047380998431,1745,1626047442511683,0,ACTION_DOWN,61318266,61319798,29,51.54296875,51.54296875,1626047381207409,3871,1626047442521804,1626047442523336,10121,11653,iPhone12_1
30,62015000,1626047380998431,1745,1626047443011686,0,ACTION_DOWN,61818222,61819743,30,51.54296875,51.54296875,1626047381207409,3871,1626047443021760,1626047443023281,10074,11595,iPhone12_1
31,62515000,1626047380998431,1745,1626047443511686,0,ACTION_DOWN,62318085,62319638,31,51.54296875,51.54296875,1626047381207409,3871,1626047443521623,1626047443523176,9937,11490,iPhone12_1
