callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,latency_us,phone_model
68851147,1,WHITE,68852146,0,1626153259348431,2160,1626153328197418,1626153328198417,,,,,,,,LGE LGL322DL
69302741,0,BLACK,69303610,1,1626153259348431,2160,1626153328649012,1626153328649881,69766712.0,1.0,DARK,1626153258965062.0,1907.0,1626153328729867.0,79986.0,LGE LGL322DL
69754904,1,WHITE,69755607,2,1626153259348431,2160,1626153329101175,1626153329101878,70196792.0,2.0,LIGHT,1626153258965062.0,1907.0,1626153329159947.0,58069.0,LGE LGL322DL
70205701,0,BLACK,70206278,3,1626153259348431,2160,1626153329551972,1626153329552549,70662714.0,3.0,DARK,1626153258965062.0,1907.0,1626153329625869.0,73320.0,LGE LGL322DL
70656575,1,WHITE,70657267,4,1626153259348431,2160,1626153330002846,1626153330003538,71110712.0,4.0,LIGHT,1626153258965062.0,1907.0,1626153330073867.0,70329.0,LGE LGL322DL
71107585,0,BLACK,71108391,5,1626153259348431,2160,1626153330453856,1626153330454662,71576632.0,5.0,DARK,1626153258965062.0,1907.0,1626153330539787.0,85125.0,LGE LGL322DL
71557784,1,WHITE,71558483,6,1626153259348431,2160,1626153330904055,1626153330904754,72006713.0,6.0,LIGHT,1626153258965062.0,1907.0,1626153330969868.0,65114.0,LGE LGL322DL
72008750,0,BLACK,72009535,7,1626153259348431,2160,1626153331355021,1626153331355806,72472632.0,7.0,DARK,1626153258965062.0,1907.0,1626153331435787.0,79981.0,LGE LGL322DL
72459552,1,WHITE,72460264,8,1626153259348431,2160,1626153331805823,1626153331806535,72902712.0,8.0,LIGHT,1626153258965062.0,1907.0,1626153331865867.0,59332.0,LGE LGL322DL
72909887,0,BLACK,72910678,9,1626153259348431,2160,1626153332256158,1626153332256949,73368632.0,9.0,DARK,1626153258965062.0,1907.0,1626153332331787.0,74838.0,LGE LGL322DL
73361540,1,WHITE,73362245,10,1626153259348431,2160,1626153332707811,1626153332708516,73816632.0,10.0,LIGHT,1626153258965062.0,1907.0,1626153332779787.0,71271.0,LGE LGL322DL
73812373,0,BLACK,73812905,11,1626153259348431,2160,1626153333158644,1626153333159176,74282552.0,11.0,DARK,1626153258965062.0,1907.0,1626153333245707.0,86531.0,LGE LGL322DL
74264465,1,WHITE,74264997,12,1626153259348431,2160,1626153333610736,1626153333611268,74712632.0,12.0,LIGHT,1626153258965062.0,1907.0,1626153333675787.0,64519.0,LGE LGL322DL
74715736,0,BLACK,74716267,13,1626153259348431,2160,1626153334062007,1626153334062538,75178552.0,13.0,DARK,1626153258965062.0,1907.0,1626153334141707.0,79169.0,LGE LGL322DL
75166493,1,WHITE,75167074,14,1626153259348431,2160,1626153334512764,1626153334513345,75608632.0,14.0,LIGHT,1626153258965062.0,1907.0,1626153334571787.0,58442.0,LGE LGL322DL
75618628,0,BLACK,75619229,15,1626153259348431,2160,1626153334964899,1626153334965500,76074552.0,15.0,DARK,1626153258965062.0,1907.0,1626153335037707.0,72207.0,LGE LGL322DL
76069672,1,WHITE,76070286,16,1626153259348431,2160,1626153335415943,1626153335416557,76522552.0,16.0,LIGHT,1626153258965062.0,1907.0,1626153335485707.0,69150.0,LGE LGL322DL
76520632,0,BLACK,76521377,17,1626153259348431,2160,1626153335866903,1626153335867648,76988472.0,17.0,DARK,1626153258965062.0,1907.0,1626153335951627.0,83979.0,LGE LGL322DL
76971949,1,WHITE,76972482,18,1626153259348431,2160,1626153336318220,1626153336318753,77418552.0,18.0,LIGHT,1626153258965062.0,1907.0,1626153336381707.0,62954.0,LGE LGL322DL
77422181,0,BLACK,77422711,19,1626153259348431,2160,1626153336768452,1626153336768982,77884474.0,19.0,DARK,1626153258965062.0,1907.0,1626153336847629.0,78647.0,LGE LGL322DL
77872837,1,WHITE,77873422,20,1626153259348431,2160,1626153337219108,1626153337219693,78314552.0,20.0,LIGHT,1626153258965062.0,1907.0,1626153337277707.0,58014.0,LGE LGL322DL
78323621,0,BLACK,78324214,21,1626153259348431,2160,1626153337669892,1626153337670485,78780472.0,21.0,DARK,1626153258965062.0,1907.0,1626153337743627.0,73142.0,LGE LGL322DL
78774048,1,WHITE,78774794,22,1626153259348431,2160,1626153338120319,1626153338121065,79228473.0,22.0,LIGHT,1626153258965062.0,1907.0,1626153338191628.0,70563.0,LGE LGL322DL
79225702,0,BLACK,79226541,23,1626153259348431,2160,1626153338571973,1626153338572812,79694392.0,23.0,DARK,1626153258965062.0,1907.0,1626153338657547.0,84735.0,LGE LGL322DL
79676982,1,WHITE,79677716,24,1626153259348431,2160,1626153339023253,1626153339023987,80124472.0,24.0,LIGHT,1626153258965062.0,1907.0,1626153339087627.0,63640.0,LGE LGL322DL
80128232,0,BLACK,80129031,25,1626153259348431,2160,1626153339474503,1626153339475302,80590392.0,25.0,DARK,1626153258965062.0,1907.0,1626153339553547.0,78245.0,LGE LGL322DL
80580642,1,WHITE,80581358,26,1626153259348431,2160,1626153339926913,1626153339927629,81020472.0,26.0,LIGHT,1626153258965062.0,1907.0,1626153339983627.0,55998.0,LGE LGL322DL
81031010,0,BLACK,81031798,27,1626153259348431,2160,1626153340377281,1626153340378069,81504312.0,27.0,DARK,1626153258965062.0,1907.0,1626153340467467.0,89398.0,LGE LGL322DL
81482315,1,WHITE,81482847,28,1626153259348431,2160,1626153340828586,1626153340829118,81934392.0,28.0,LIGHT,1626153258965062.0,1907.0,1626153340897547.0,68429.0,LGE LGL322DL
81933496,0,BLACK,81934027,29,1626153259348431,2160,1626153341279767,1626153341280298,82400312.0,29.0,DARK,1626153258965062.0,1907.0,1626153341363467.0,83169.0,LGE LGL322DL
82385400,1,WHITE,82385921,30,1626153259348431,2160,1626153341731671,1626153341732192,82830392.0,30.0,LIGHT,1626153258965062.0,1907.0,1626153341793547.0,61355.0,LGE LGL322DL
82837868,0,BLACK,82838430,31,1626153259348431,2160,1626153342184139,1626153342184701,83296312.0,31.0,DARK,1626153258965062.0,1907.0,1626153342259467.0,74766.0,LGE LGL322DL
83288046,1,WHITE,83288589,32,1626153259348431,2160,1626153342634317,1626153342634860,83726392.0,32.0,LIGHT,1626153258965062.0,1907.0,1626153342689547.0,54687.0,LGE LGL322DL
83737283,0,BLACK,83737798,33,1626153259348431,2160,1626153343083554,1626153343084069,84210232.0,33.0,DARK,1626153258965062.0,1907.0,1626153343173387.0,89318.0,LGE LGL322DL
84189161,1,WHITE,84189687,34,1626153259348431,2160,1626153343535432,1626153343535958,84640312.0,34.0,LIGHT,1626153258965062.0,1907.0,1626153343603467.0,67509.0,LGE LGL322DL
84639829,0,BLACK,84640361,35,1626153259348431,2160,1626153343986100,1626153343986632,85106233.0,35.0,DARK,1626153258965062.0,1907.0,1626153344069388.0,82756.0,LGE LGL322DL
85089654,1,WHITE,85090161,36,1626153259348431,2160,1626153344435925,1626153344436432,85536312.0,36.0,LIGHT,1626153258965062.0,1907.0,1626153344499467.0,63035.0,LGE LGL322DL
85539959,0,BLACK,85540487,37,1626153259348431,2160,1626153344886230,1626153344886758,86002232.0,37.0,DARK,1626153258965062.0,1907.0,1626153344965387.0,78629.0,LGE LGL322DL
85990537,1,WHITE,85991275,38,1626153259348431,2160,1626153345336808,1626153345337546,86450233.0,38.0,LIGHT,1626153258965062.0,1907.0,1626153345413388.0,75842.0,LGE LGL322DL
86441057,0,BLACK,86441589,39,1626153259348431,2160,1626153345787328,1626153345787860,86916152.0,39.0,DARK,1626153258965062.0,1907.0,1626153345879307.0,91447.0,LGE LGL322DL
86891929,1,WHITE,86892487,40,1626153259348431,2160,1626153346238200,1626153346238758,87346232.0,40.0,LIGHT,1626153258965062.0,1907.0,1626153346309387.0,70629.0,LGE LGL322DL
87342671,0,BLACK,87343217,41,1626153259348431,2160,1626153346688942,1626153346689488,87812152.0,41.0,DARK,1626153258965062.0,1907.0,1626153346775307.0,85819.0,LGE LGL322DL
87793648,1,WHITE,87794202,42,1626153259348431,2160,1626153347139919,1626153347140473,88242232.0,42.0,LIGHT,1626153258965062.0,1907.0,1626153347205387.0,64914.0,LGE LGL322DL
88244244,0,BLACK,88244770,43,1626153259348431,2160,1626153347590515,1626153347591041,88708152.0,43.0,DARK,1626153258965062.0,1907.0,1626153347671307.0,80266.0,LGE LGL322DL
88696437,1,WHITE,88696968,44,1626153259348431,2160,1626153348042708,1626153348043239,89156152.0,44.0,LIGHT,1626153258965062.0,1907.0,1626153348119307.0,76068.0,LGE LGL322DL
89148054,0,BLACK,89148586,45,1626153259348431,2160,1626153348494325,1626153348494857,89622072.0,45.0,DARK,1626153258965062.0,1907.0,1626153348585227.0,90370.0,LGE LGL322DL
89598729,1,WHITE,89599256,46,1626153259348431,2160,1626153348945000,1626153348945527,90052152.0,46.0,LIGHT,1626153258965062.0,1907.0,1626153349015307.0,69780.0,LGE LGL322DL
90050952,0,BLACK,90051481,47,1626153259348431,2160,1626153349397223,1626153349397752,90518072.0,47.0,DARK,1626153258965062.0,1907.0,1626153349481227.0,83475.0,LGE LGL322DL
90501186,1,WHITE,90501714,48,1626153259348431,2160,1626153349847457,1626153349847985,90948152.0,48.0,LIGHT,1626153258965062.0,1907.0,1626153349911307.0,63322.0,LGE LGL322DL
90951564,0,BLACK,90952132,49,1626153259348431,2160,1626153350297835,1626153350298403,91414072.0,49.0,DARK,1626153258965062.0,1907.0,1626153350377227.0,78824.0,LGE LGL322DL
91403577,1,WHITE,91404169,50,1626153259348431,2160,1626153350749848,1626153350750440,91862072.0,50.0,LIGHT,1626153258965062.0,1907.0,1626153350825227.0,74787.0,LGE LGL322DL
