callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model
72299996.0,1.0,WHITE,72301141.0,0.0,1626153050273326.0,774.0,1626153122572548.0,1626153122573693.0,,,,,,,,,LGE LGL322DL
72802373.0,0.0,BLACK,72803146.0,1.0,1626153050273326.0,774.0,1626153123074925.0,1626153123075698.0,73125771.0,1.0,DARK,1626153050045922.0,1380.0,1626153123170313.0,94615.0,95388.0,LGE LGL322DL
73305125.0,1.0,WHITE,73305825.0,2.0,1626153050273326.0,774.0,1626153123577677.0,1626153123578377.0,73591692.0,2.0,LIGHT,1626153050045922.0,1380.0,1626153123636234.0,57857.0,58557.0,LGE LGL322DL
73807294.0,0.0,BLACK,73808851.0,3.0,1626153050273326.0,774.0,1626153124079846.0,1626153124081403.0,74111371.0,3.0,DARK,1626153050045922.0,1380.0,1626153124155913.0,74510.0,76067.0,LGE LGL322DL
74309581.0,1.0,WHITE,74310237.0,4.0,1626153050273326.0,774.0,1626153124582133.0,1626153124582789.0,74613131.0,4.0,LIGHT,1626153050045922.0,1380.0,1626153124657673.0,74884.0,75540.0,LGE LGL322DL
74811832.0,0.0,BLACK,74812466.0,5.0,1626153050273326.0,774.0,1626153125084384.0,1626153125085018.0,75132811.0,5.0,DARK,1626153050045922.0,1380.0,1626153125177353.0,92335.0,92969.0,LGE LGL322DL
75314364.0,1.0,WHITE,75315007.0,6.0,1626153050273326.0,774.0,1626153125586916.0,1626153125587559.0,75616651.0,6.0,LIGHT,1626153050045922.0,1380.0,1626153125661193.0,73634.0,74277.0,LGE LGL322DL
75815114.0,0.0,BLACK,75815829.0,7.0,1626153050273326.0,774.0,1626153126087666.0,1626153126088381.0,76136331.0,7.0,DARK,1626153050045922.0,1380.0,1626153126180873.0,92492.0,93207.0,LGE LGL322DL
76317603.0,1.0,WHITE,76318555.0,8.0,1626153050273326.0,774.0,1626153126590155.0,1626153126591107.0,76620171.0,8.0,LIGHT,1626153050045922.0,1380.0,1626153126664713.0,73606.0,74558.0,LGE LGL322DL
76818258.0,0.0,BLACK,76819162.0,9.0,1626153050273326.0,774.0,1626153127090810.0,1626153127091714.0,77139852.0,9.0,DARK,1626153050045922.0,1380.0,1626153127184394.0,92680.0,93584.0,LGE LGL322DL
77320345.0,1.0,WHITE,77323977.0,10.0,1626153050273326.0,774.0,1626153127592897.0,1626153127596529.0,77623691.0,10.0,LIGHT,1626153050045922.0,1380.0,1626153127668233.0,71704.0,75336.0,LGE LGL322DL
77822181.0,0.0,BLACK,77822996.0,11.0,1626153050273326.0,774.0,1626153128094733.0,1626153128095548.0,78125453.0,11.0,DARK,1626153050045922.0,1380.0,1626153128169995.0,74447.0,75262.0,LGE LGL322DL
78324399.0,1.0,WHITE,78325064.0,12.0,1626153050273326.0,774.0,1626153128596951.0,1626153128597616.0,78627211.0,12.0,LIGHT,1626153050045922.0,1380.0,1626153128671753.0,74137.0,74802.0,LGE LGL322DL
78825641.0,0.0,BLACK,78826278.0,13.0,1626153050273326.0,774.0,1626153129098193.0,1626153129098830.0,79146891.0,13.0,DARK,1626153050045922.0,1380.0,1626153129191433.0,92603.0,93240.0,LGE LGL322DL
79326855.0,1.0,WHITE,79327467.0,14.0,1626153050273326.0,774.0,1626153129599407.0,1626153129600019.0,79630731.0,14.0,LIGHT,1626153050045922.0,1380.0,1626153129675273.0,75254.0,75866.0,LGE LGL322DL
79828147.0,0.0,BLACK,79828864.0,15.0,1626153050273326.0,774.0,1626153130100699.0,1626153130101416.0,80132491.0,15.0,DARK,1626153050045922.0,1380.0,1626153130177033.0,75617.0,76334.0,LGE LGL322DL
80329866.0,1.0,WHITE,80330579.0,16.0,1626153050273326.0,774.0,1626153130602418.0,1626153130603131.0,80634251.0,16.0,LIGHT,1626153050045922.0,1380.0,1626153130678793.0,75662.0,76375.0,LGE LGL322DL
80831153.0,0.0,BLACK,80831770.0,17.0,1626153050273326.0,774.0,1626153131103705.0,1626153131104322.0,81136011.0,17.0,DARK,1626153050045922.0,1380.0,1626153131180553.0,76231.0,76848.0,LGE LGL322DL
81332804.0,1.0,WHITE,81333403.0,18.0,1626153050273326.0,774.0,1626153131605356.0,1626153131605955.0,81619851.0,18.0,LIGHT,1626153050045922.0,1380.0,1626153131664393.0,58438.0,59037.0,LGE LGL322DL
81834089.0,0.0,BLACK,81834694.0,19.0,1626153050273326.0,774.0,1626153132106641.0,1626153132107246.0,82139531.0,19.0,DARK,1626153050045922.0,1380.0,1626153132184073.0,76827.0,77432.0,LGE LGL322DL
82335423.0,1.0,WHITE,82336016.0,20.0,1626153050273326.0,774.0,1626153132607975.0,1626153132608568.0,82623371.0,20.0,LIGHT,1626153050045922.0,1380.0,1626153132667913.0,59345.0,59938.0,LGE LGL322DL
82836136.0,0.0,BLACK,82836934.0,21.0,1626153050273326.0,774.0,1626153133108688.0,1626153133109486.0,83143052.0,21.0,DARK,1626153050045922.0,1380.0,1626153133187594.0,78108.0,78906.0,LGE LGL322DL
83337838.0,1.0,WHITE,83338575.0,22.0,1626153050273326.0,774.0,1626153133610390.0,1626153133611127.0,83626891.0,22.0,LIGHT,1626153050045922.0,1380.0,1626153133671433.0,60306.0,61043.0,LGE LGL322DL
83839564.0,0.0,BLACK,83840408.0,23.0,1626153050273326.0,774.0,1626153134112116.0,1626153134112960.0,84146571.0,23.0,DARK,1626153050045922.0,1380.0,1626153134191113.0,78153.0,78997.0,LGE LGL322DL
84340838.0,1.0,WHITE,84341487.0,24.0,1626153050273326.0,774.0,1626153134613390.0,1626153134614039.0,84630411.0,24.0,LIGHT,1626153050045922.0,1380.0,1626153134674953.0,60914.0,61563.0,LGE LGL322DL
84841864.0,0.0,BLACK,84842447.0,25.0,1626153050273326.0,774.0,1626153135114416.0,1626153135114999.0,85150091.0,25.0,DARK,1626153050045922.0,1380.0,1626153135194633.0,79634.0,80217.0,LGE LGL322DL
85343346.0,1.0,WHITE,85343937.0,26.0,1626153050273326.0,774.0,1626153135615898.0,1626153135616489.0,85633931.0,26.0,LIGHT,1626153050045922.0,1380.0,1626153135678473.0,61984.0,62575.0,LGE LGL322DL
85844221.0,0.0,BLACK,85844809.0,27.0,1626153050273326.0,774.0,1626153136116773.0,1626153136117361.0,86153611.0,27.0,DARK,1626153050045922.0,1380.0,1626153136198153.0,80792.0,81380.0,LGE LGL322DL
86344058.0,1.0,WHITE,86344495.0,28.0,1626153050273326.0,774.0,1626153136616610.0,1626153136617047.0,86637451.0,28.0,LIGHT,1626153050045922.0,1380.0,1626153136681993.0,64946.0,65383.0,LGE LGL322DL
86845133.0,0.0,BLACK,86845737.0,29.0,1626153050273326.0,774.0,1626153137117685.0,1626153137118289.0,87157131.0,29.0,DARK,1626153050045922.0,1380.0,1626153137201673.0,83384.0,83988.0,LGE LGL322DL
87346669.0,1.0,WHITE,87347323.0,30.0,1626153050273326.0,774.0,1626153137619221.0,1626153137619875.0,87640971.0,30.0,LIGHT,1626153050045922.0,1380.0,1626153137685513.0,65638.0,66292.0,LGE LGL322DL
87848187.0,0.0,BLACK,87848842.0,31.0,1626153050273326.0,774.0,1626153138120739.0,1626153138121394.0,88160652.0,31.0,DARK,1626153050045922.0,1380.0,1626153138205194.0,83800.0,84455.0,LGE LGL322DL
88349917.0,1.0,WHITE,88350567.0,32.0,1626153050273326.0,774.0,1626153138622469.0,1626153138623119.0,88644491.0,32.0,LIGHT,1626153050045922.0,1380.0,1626153138689033.0,65914.0,66564.0,LGE LGL322DL
88851959.0,0.0,BLACK,88852545.0,33.0,1626153050273326.0,774.0,1626153139124511.0,1626153139125097.0,89164171.0,33.0,DARK,1626153050045922.0,1380.0,1626153139208713.0,83616.0,84202.0,LGE LGL322DL
89353290.0,1.0,WHITE,89353894.0,34.0,1626153050273326.0,774.0,1626153139625842.0,1626153139626446.0,89648011.0,34.0,LIGHT,1626153050045922.0,1380.0,1626153139692553.0,66107.0,66711.0,LGE LGL322DL
89854054.0,0.0,BLACK,89854665.0,35.0,1626153050273326.0,774.0,1626153140126606.0,1626153140127217.0,90167691.0,35.0,DARK,1626153050045922.0,1380.0,1626153140212233.0,85016.0,85627.0,LGE LGL322DL
90356059.0,1.0,WHITE,90356649.0,36.0,1626153050273326.0,774.0,1626153140628611.0,1626153140629201.0,90651531.0,36.0,LIGHT,1626153050045922.0,1380.0,1626153140696073.0,66872.0,67462.0,LGE LGL322DL
90857217.0,0.0,BLACK,90857665.0,37.0,1626153050273326.0,774.0,1626153141129769.0,1626153141130217.0,91171211.0,37.0,DARK,1626153050045922.0,1380.0,1626153141215753.0,85536.0,85984.0,LGE LGL322DL
91359189.0,1.0,WHITE,91359790.0,38.0,1626153050273326.0,774.0,1626153141631741.0,1626153141632342.0,91655051.0,38.0,LIGHT,1626153050045922.0,1380.0,1626153141699593.0,67251.0,67852.0,LGE LGL322DL
91860275.0,0.0,BLACK,91860899.0,39.0,1626153050273326.0,774.0,1626153142132827.0,1626153142133451.0,92174731.0,39.0,DARK,1626153050045922.0,1380.0,1626153142219273.0,85822.0,86446.0,LGE LGL322DL
92362003.0,1.0,WHITE,92362827.0,40.0,1626153050273326.0,774.0,1626153142634555.0,1626153142635379.0,92658571.0,40.0,LIGHT,1626153050045922.0,1380.0,1626153142703113.0,67734.0,68558.0,LGE LGL322DL
92863561.0,0.0,BLACK,92864148.0,41.0,1626153050273326.0,774.0,1626153143136113.0,1626153143136700.0,93178252.0,41.0,DARK,1626153050045922.0,1380.0,1626153143222794.0,86094.0,86681.0,LGE LGL322DL
93364837.0,1.0,WHITE,93365481.0,42.0,1626153050273326.0,774.0,1626153143637389.0,1626153143638033.0,93662091.0,42.0,LIGHT,1626153050045922.0,1380.0,1626153143706633.0,68600.0,69244.0,LGE LGL322DL
93865839.0,0.0,BLACK,93866651.0,43.0,1626153050273326.0,774.0,1626153144138391.0,1626153144139203.0,94181771.0,43.0,DARK,1626153050045922.0,1380.0,1626153144226313.0,87110.0,87922.0,LGE LGL322DL
94367777.0,1.0,WHITE,94368492.0,44.0,1626153050273326.0,774.0,1626153144640329.0,1626153144641044.0,94665611.0,44.0,LIGHT,1626153050045922.0,1380.0,1626153144710153.0,69109.0,69824.0,LGE LGL322DL
94869565.0,0.0,BLACK,94870152.0,45.0,1626153050273326.0,774.0,1626153145142117.0,1626153145142704.0,95185291.0,45.0,DARK,1626153050045922.0,1380.0,1626153145229833.0,87129.0,87716.0,LGE LGL322DL
95370914.0,1.0,WHITE,95371618.0,46.0,1626153050273326.0,774.0,1626153145643466.0,1626153145644170.0,95669131.0,46.0,LIGHT,1626153050045922.0,1380.0,1626153145713673.0,69503.0,70207.0,LGE LGL322DL
95871309.0,0.0,BLACK,95871966.0,47.0,1626153050273326.0,774.0,1626153146143861.0,1626153146144518.0,96188811.0,47.0,DARK,1626153050045922.0,1380.0,1626153146233353.0,88835.0,89492.0,LGE LGL322DL
96373028.0,1.0,WHITE,96373592.0,48.0,1626153050273326.0,774.0,1626153146645580.0,1626153146646144.0,96672651.0,48.0,LIGHT,1626153050045922.0,1380.0,1626153146717193.0,71049.0,71613.0,LGE LGL322DL
96874357.0,0.0,BLACK,96874902.0,49.0,1626153050273326.0,774.0,1626153147146909.0,1626153147147454.0,97174411.0,49.0,DARK,1626153050045922.0,1380.0,1626153147218953.0,71499.0,72044.0,LGE LGL322DL
97375762.0,1.0,WHITE,97376360.0,50.0,1626153050273326.0,774.0,1626153147648314.0,1626153147648912.0,97676171.0,50.0,LIGHT,1626153050045922.0,1380.0,1626153147720713.0,71801.0,72399.0,LGE LGL322DL
,,,,,,,,,98894731.0,51.0,DARK,1626153050045922.0,1380.0,1626153148939273.0,,,LGE LGL322DL
