callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model
69555303,1,WHITE,69557079,0,1625975419118520,3117,1625975488670706,1625975488672482,,,,,,,,,Motorola moto g stylus (XT2115DL)
70058995,0,BLACK,70060922,1,1625975419118520,3117,1625975489174398,1625975489176325,71649674.0,1.0,DARK,1625975417632234.0,1461.0,1625975489280447.0,104122.0,106049.0,Motorola moto g stylus (XT2115DL)
70559762,1,WHITE,70561154,2,1625975419118520,3117,1625975489675165,1625975489676557,72133514.0,2.0,LIGHT,1625975417632234.0,1461.0,1625975489764287.0,87730.0,89122.0,Motorola moto g stylus (XT2115DL)
71060655,0,BLACK,71061691,3,1625975419118520,3117,1625975490176058,1625975490177094,72635274.0,3.0,DARK,1625975417632234.0,1461.0,1625975490266047.0,88953.0,89989.0,Motorola moto g stylus (XT2115DL)
71564159,1,WHITE,71565571,4,1625975419118520,3117,1625975490679562,1625975490680974,73119114.0,4.0,LIGHT,1625975417632234.0,1461.0,1625975490749887.0,68913.0,70325.0,Motorola moto g stylus (XT2115DL)
72067508,0,BLACK,72068906,5,1625975419118520,3117,1625975491182911,1625975491184309,73638794.0,5.0,DARK,1625975417632234.0,1461.0,1625975491269567.0,85258.0,86656.0,Motorola moto g stylus (XT2115DL)
72570921,1,WHITE,72572269,6,1625975419118520,3117,1625975491686324,1625975491687672,74122634.0,6.0,LIGHT,1625975417632234.0,1461.0,1625975491753407.0,65735.0,67083.0,Motorola moto g stylus (XT2115DL)
73071894,0,BLACK,73073115,7,1625975419118520,3117,1625975492187297,1625975492188518,74660235.0,7.0,DARK,1625975417632234.0,1461.0,1625975492291008.0,102490.0,103711.0,Motorola moto g stylus (XT2115DL)
73575006,1,WHITE,73576391,8,1625975419118520,3117,1625975492690409,1625975492691794,75144074.0,8.0,LIGHT,1625975417632234.0,1461.0,1625975492774847.0,83053.0,84438.0,Motorola moto g stylus (XT2115DL)
74078100,0,BLACK,74079534,9,1625975419118520,3117,1625975493193503,1625975493194937,75663754.0,9.0,DARK,1625975417632234.0,1461.0,1625975493294527.0,99590.0,101024.0,Motorola moto g stylus (XT2115DL)
74581461,1,WHITE,74582869,10,1625975419118520,3117,1625975493696864,1625975493698272,76147594.0,10.0,LIGHT,1625975417632234.0,1461.0,1625975493778367.0,80095.0,81503.0,Motorola moto g stylus (XT2115DL)
75085191,0,BLACK,75086582,11,1625975419118520,3117,1625975494200594,1625975494201985,76649354.0,11.0,DARK,1625975417632234.0,1461.0,1625975494280127.0,78142.0,79533.0,Motorola moto g stylus (XT2115DL)
75586729,1,WHITE,75588110,12,1625975419118520,3117,1625975494702132,1625975494703513,77133194.0,12.0,LIGHT,1625975417632234.0,1461.0,1625975494763967.0,60454.0,61835.0,Motorola moto g stylus (XT2115DL)
