callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model
14861502,1,WHITE,14862625,0,1626064039878973,10366,1626064054730109,1626064054731232,,,,,,,,,Samsung SM-A102U
15362039,0,BLACK,15364565,1,1626064039878973,10366,1626064055230646,1626064055233172,15679913.0,1.0,DARK,1626064039672915.0,1298.0,1626064055351530.0,118358.0,120884.0,Samsung SM-A102U
15863996,1,WHITE,15866413,2,1626064039878973,10366,1626064055732603,1626064055735020,16163755.0,2.0,LIGHT,1626064039672915.0,1298.0,1626064055835372.0,100352.0,102769.0,Samsung SM-A102U
16364990,0,BLACK,16367202,3,1626064039878973,10366,1626064056233597,1626064056235809,16683433.0,3.0,DARK,1626064039672915.0,1298.0,1626064056355050.0,119241.0,121453.0,Samsung SM-A102U
16865938,1,WHITE,16868510,4,1626064039878973,10366,1626064056734545,1626064056737117,17167273.0,4.0,LIGHT,1626064039672915.0,1298.0,1626064056838890.0,101773.0,104345.0,Samsung SM-A102U
17366562,0,BLACK,17368657,5,1626064039878973,10366,1626064057235169,1626064057237264,17686953.0,5.0,DARK,1626064039672915.0,1298.0,1626064057358570.0,121306.0,123401.0,Samsung SM-A102U
17867562,1,WHITE,17869894,6,1626064039878973,10366,1626064057736169,1626064057738501,18152873.0,6.0,LIGHT,1626064039672915.0,1298.0,1626064057824490.0,85989.0,88321.0,Samsung SM-A102U
18369229,0,BLACK,18371343,7,1626064039878973,10366,1626064058237836,1626064058239950,18654633.0,7.0,DARK,1626064039672915.0,1298.0,1626064058326250.0,86300.0,88414.0,Samsung SM-A102U
18870347,1,WHITE,18872171,8,1626064039878973,10366,1626064058738954,1626064058740778,19138473.0,8.0,LIGHT,1626064039672915.0,1298.0,1626064058810090.0,69312.0,71136.0,Samsung SM-A102U
19371815,0,BLACK,19374131,9,1626064039878973,10366,1626064059240422,1626064059242738,19676073.0,9.0,DARK,1626064039672915.0,1298.0,1626064059347690.0,104952.0,107268.0,Samsung SM-A102U
19872462,1,WHITE,19875045,10,1626064039878973,10366,1626064059741069,1626064059743652,20159913.0,10.0,LIGHT,1626064039672915.0,1298.0,1626064059831530.0,87878.0,90461.0,Samsung SM-A102U
20374422,0,BLACK,20376478,11,1626064039878973,10366,1626064060243029,1626064060245085,20679593.0,11.0,DARK,1626064039672915.0,1298.0,1626064060351210.0,106125.0,108181.0,Samsung SM-A102U
20876105,1,WHITE,20878513,12,1626064039878973,10366,1626064060744712,1626064060747120,21163433.0,12.0,LIGHT,1626064039672915.0,1298.0,1626064060835050.0,87930.0,90338.0,Samsung SM-A102U
21378046,0,BLACK,21380277,13,1626064039878973,10366,1626064061246653,1626064061248884,21683113.0,13.0,DARK,1626064039672915.0,1298.0,1626064061354730.0,105846.0,108077.0,Samsung SM-A102U
21879916,1,WHITE,21882240,14,1626064039878973,10366,1626064061748523,1626064061750847,22184873.0,14.0,LIGHT,1626064039672915.0,1298.0,1626064061856490.0,105643.0,107967.0,Samsung SM-A102U
22380812,0,BLACK,22383039,15,1626064039878973,10366,1626064062249419,1626064062251646,22686633.0,15.0,DARK,1626064039672915.0,1298.0,1626064062358250.0,106604.0,108831.0,Samsung SM-A102U
22881940,1,WHITE,22883990,16,1626064039878973,10366,1626064062750547,1626064062752597,23170473.0,16.0,LIGHT,1626064039672915.0,1298.0,1626064062842090.0,89493.0,91543.0,Samsung SM-A102U
23382916,0,BLACK,23385305,17,1626064039878973,10366,1626064063251523,1626064063253912,23690153.0,17.0,DARK,1626064039672915.0,1298.0,1626064063361770.0,107858.0,110247.0,Samsung SM-A102U
23883833,1,WHITE,23886331,18,1626064039878973,10366,1626064063752440,1626064063754938,24156073.0,18.0,LIGHT,1626064039672915.0,1298.0,1626064063827690.0,72752.0,75250.0,Samsung SM-A102U
24385178,0,BLACK,24387235,19,1626064039878973,10366,1626064064253785,1626064064255842,24693673.0,19.0,DARK,1626064039672915.0,1298.0,1626064064365290.0,109448.0,111505.0,Samsung SM-A102U
24886250,1,WHITE,24888339,20,1626064039878973,10366,1626064064754857,1626064064756946,25177513.0,20.0,LIGHT,1626064039672915.0,1298.0,1626064064849130.0,92184.0,94273.0,Samsung SM-A102U
25387657,0,BLACK,25390055,21,1626064039878973,10366,1626064065256264,1626064065258662,25697193.0,21.0,DARK,1626064039672915.0,1298.0,1626064065368810.0,110148.0,112546.0,Samsung SM-A102U
25888647,1,WHITE,25890855,22,1626064039878973,10366,1626064065757254,1626064065759462,26181033.0,22.0,LIGHT,1626064039672915.0,1298.0,1626064065852650.0,93188.0,95396.0,Samsung SM-A102U
26390034,0,BLACK,26392167,23,1626064039878973,10366,1626064066258641,1626064066260774,26700713.0,23.0,DARK,1626064039672915.0,1298.0,1626064066372330.0,111556.0,113689.0,Samsung SM-A102U
26891824,1,WHITE,26894148,24,1626064039878973,10366,1626064066760431,1626064066762755,27184555.0,24.0,LIGHT,1626064039672915.0,1298.0,1626064066856172.0,93417.0,95741.0,Samsung SM-A102U
27392306,0,BLACK,27394622,25,1626064039878973,10366,1626064067260913,1626064067263229,27686313.0,25.0,DARK,1626064039672915.0,1298.0,1626064067357930.0,94701.0,97017.0,Samsung SM-A102U
27893570,1,WHITE,27895685,26,1626064039878973,10366,1626064067762177,1626064067764292,28170153.0,26.0,LIGHT,1626064039672915.0,1298.0,1626064067841770.0,77478.0,79593.0,Samsung SM-A102U
28395168,0,BLACK,28397495,27,1626064039878973,10366,1626064068263775,1626064068266102,28707753.0,27.0,DARK,1626064039672915.0,1298.0,1626064068379370.0,113268.0,115595.0,Samsung SM-A102U
28896346,1,WHITE,28899524,28,1626064039878973,10366,1626064068764953,1626064068768131,29191593.0,28.0,LIGHT,1626064039672915.0,1298.0,1626064068863210.0,95079.0,98257.0,Samsung SM-A102U
29397462,0,BLACK,29399658,29,1626064039878973,10366,1626064069266069,1626064069268265,29711273.0,29.0,DARK,1626064039672915.0,1298.0,1626064069382890.0,114625.0,116821.0,Samsung SM-A102U
29898160,1,WHITE,29899736,30,1626064039878973,10366,1626064069766767,1626064069768343,30177193.0,30.0,LIGHT,1626064039672915.0,1298.0,1626064069848810.0,80467.0,82043.0,Samsung SM-A102U
30400050,0,BLACK,30402421,31,1626064039878973,10366,1626064070268657,1626064070271028,30732714.0,31.0,DARK,1626064039672915.0,1298.0,1626064070404331.0,133303.0,135674.0,Samsung SM-A102U
30901369,1,WHITE,30903406,32,1626064039878973,10366,1626064070769976,1626064070772013,31198633.0,32.0,LIGHT,1626064039672915.0,1298.0,1626064070870250.0,98237.0,100274.0,Samsung SM-A102U
31402138,0,BLACK,31404163,33,1626064039878973,10366,1626064071270745,1626064071272770,31718313.0,33.0,DARK,1626064039672915.0,1298.0,1626064071389930.0,117160.0,119185.0,Samsung SM-A102U
31903578,1,WHITE,31905820,34,1626064039878973,10366,1626064071772185,1626064071774427,32202154.0,34.0,LIGHT,1626064039672915.0,1298.0,1626064071873771.0,99344.0,101586.0,Samsung SM-A102U
32404266,0,BLACK,32406473,35,1626064039878973,10366,1626064072272873,1626064072275080,32703913.0,35.0,DARK,1626064039672915.0,1298.0,1626064072375530.0,100450.0,102657.0,Samsung SM-A102U
32905555,1,WHITE,32906675,36,1626064039878973,10366,1626064072774162,1626064072775282,33169833.0,36.0,LIGHT,1626064039672915.0,1298.0,1626064072841450.0,66168.0,67288.0,Samsung SM-A102U
33406913,0,BLACK,33408920,37,1626064039878973,10366,1626064073275520,1626064073277527,33707433.0,37.0,DARK,1626064039672915.0,1298.0,1626064073379050.0,101523.0,103530.0,Samsung SM-A102U
33907265,1,WHITE,33909475,38,1626064039878973,10366,1626064073775872,1626064073778082,34191273.0,38.0,LIGHT,1626064039672915.0,1298.0,1626064073862890.0,84808.0,87018.0,Samsung SM-A102U
34408729,0,BLACK,34410417,39,1626064039878973,10366,1626064074277336,1626064074279024,34693033.0,39.0,DARK,1626064039672915.0,1298.0,1626064074364650.0,85626.0,87314.0,Samsung SM-A102U
34909691,1,WHITE,34911910,40,1626064039878973,10366,1626064074778298,1626064074780517,35194793.0,40.0,LIGHT,1626064039672915.0,1298.0,1626064074866410.0,85893.0,88112.0,Samsung SM-A102U
35410615,0,BLACK,35412790,41,1626064039878973,10366,1626064075279222,1626064075281397,35714473.0,41.0,DARK,1626064039672915.0,1298.0,1626064075386090.0,104693.0,106868.0,Samsung SM-A102U
35911719,1,WHITE,35914138,42,1626064039878973,10366,1626064075780326,1626064075782745,36216233.0,42.0,LIGHT,1626064039672915.0,1298.0,1626064075887850.0,105105.0,107524.0,Samsung SM-A102U
36412437,0,BLACK,36414476,43,1626064039878973,10366,1626064076281044,1626064076283083,36735915.0,43.0,DARK,1626064039672915.0,1298.0,1626064076407532.0,124449.0,126488.0,Samsung SM-A102U
36913496,1,WHITE,36915617,44,1626064039878973,10366,1626064076782103,1626064076784224,37201833.0,44.0,LIGHT,1626064039672915.0,1298.0,1626064076873450.0,89226.0,91347.0,Samsung SM-A102U
