callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model
70558374.0,1.0,WHITE,70560253.0,0.0,1625971513624293.0,6127.0,1625971584176540.0,1625971584178419.0,,,,,,,,,Samsung SM-A305G
71059573.0,0.0,BLACK,71061070.0,1.0,1625971513624293.0,6127.0,1625971584677739.0,1625971584679236.0,71480950.0,1.0,DARK,1625971513275805.0,1337.0,1625971584755418.0,76182.0,77679.0,Samsung SM-A305G
71561021.0,1.0,WHITE,71562417.0,2.0,1625971513624293.0,6127.0,1625971585179187.0,1625971585180583.0,71964790.0,2.0,LIGHT,1625971513275805.0,1337.0,1625971585239258.0,58675.0,60071.0,Samsung SM-A305G
72061670.0,0.0,BLACK,72063298.0,3.0,1625971513624293.0,6127.0,1625971585679836.0,1625971585681464.0,72484472.0,3.0,DARK,1625971513275805.0,1337.0,1625971585758940.0,77476.0,79104.0,Samsung SM-A305G
72563451.0,1.0,WHITE,72564533.0,4.0,1625971513624293.0,6127.0,1625971586181617.0,1625971586182699.0,72968311.0,4.0,LIGHT,1625971513275805.0,1337.0,1625971586242779.0,60080.0,61162.0,Samsung SM-A305G
73064286.0,0.0,BLACK,73065665.0,5.0,1625971513624293.0,6127.0,1625971586682452.0,1625971586683831.0,73505910.0,5.0,DARK,1625971513275805.0,1337.0,1625971586780378.0,96547.0,97926.0,Samsung SM-A305G
73565882.0,1.0,WHITE,73567487.0,6.0,1625971513624293.0,6127.0,1625971587184048.0,1625971587185653.0,73989750.0,6.0,LIGHT,1625971513275805.0,1337.0,1625971587264218.0,78565.0,80170.0,Samsung SM-A305G
74066595.0,0.0,BLACK,74068032.0,7.0,1625971513624293.0,6127.0,1625971587684761.0,1625971587686198.0,74509430.0,7.0,DARK,1625971513275805.0,1337.0,1625971587783898.0,97700.0,99137.0,Samsung SM-A305G
74567445.0,1.0,WHITE,74568858.0,8.0,1625971513624293.0,6127.0,1625971588185611.0,1625971588187024.0,74993270.0,8.0,LIGHT,1625971513275805.0,1337.0,1625971588267738.0,80714.0,82127.0,Samsung SM-A305G
75068283.0,0.0,BLACK,75069699.0,9.0,1625971513624293.0,6127.0,1625971588686449.0,1625971588687865.0,75495030.0,9.0,DARK,1625971513275805.0,1337.0,1625971588769498.0,81633.0,83049.0,Samsung SM-A305G
