callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model
14941769.0,1.0,WHITE,14943271.0,0.0,1626062108489058.0,4870.0,1626062123425957.0,1626062123427459.0,,,,,,,,,Samsung SM-A515F
15445091.0,0.0,BLACK,15446153.0,1.0,1626062108489058.0,4870.0,1626062123929279.0,1626062123930341.0,15554340.0,1.0,DARK,1626062108476834.0,1772.0,1626062124029402.0,99061.0,100123.0,Samsung SM-A515F
15945892.0,1.0,WHITE,15947407.0,2.0,1626062108489058.0,4870.0,1626062124430080.0,1626062124431595.0,16056100.0,2.0,LIGHT,1626062108476834.0,1772.0,1626062124531162.0,99567.0,101082.0,Samsung SM-A515F
16447126.0,0.0,BLACK,16448654.0,3.0,1626062108489058.0,4870.0,1626062124931314.0,1626062124932842.0,16557860.0,3.0,DARK,1626062108476834.0,1772.0,1626062125032922.0,100080.0,101608.0,Samsung SM-A515F
16947798.0,1.0,WHITE,16949310.0,4.0,1626062108489058.0,4870.0,1626062125431986.0,1626062125433498.0,17041700.0,4.0,LIGHT,1626062108476834.0,1772.0,1626062125516762.0,83264.0,84776.0,Samsung SM-A515F
17448745.0,0.0,BLACK,17450016.0,5.0,1626062108489058.0,4870.0,1626062125932933.0,1626062125934204.0,17543460.0,5.0,DARK,1626062108476834.0,1772.0,1626062126018522.0,84318.0,85589.0,Samsung SM-A515F
17950139.0,1.0,WHITE,17951872.0,6.0,1626062108489058.0,4870.0,1626062126434327.0,1626062126436060.0,18045221.0,6.0,LIGHT,1626062108476834.0,1772.0,1626062126520283.0,84223.0,85956.0,Samsung SM-A515F
18452482.0,0.0,BLACK,18454117.0,7.0,1626062108489058.0,4870.0,1626062126936670.0,1626062126938305.0,18564900.0,7.0,DARK,1626062108476834.0,1772.0,1626062127039962.0,101657.0,103292.0,Samsung SM-A515F
18954770.0,1.0,WHITE,18956468.0,8.0,1626062108489058.0,4870.0,1626062127438958.0,1626062127440656.0,19048740.0,8.0,LIGHT,1626062108476834.0,1772.0,1626062127523802.0,83146.0,84844.0,Samsung SM-A515F
19456358.0,0.0,BLACK,19457984.0,9.0,1626062108489058.0,4870.0,1626062127940546.0,1626062127942172.0,19568420.0,9.0,DARK,1626062108476834.0,1772.0,1626062128043482.0,101310.0,102936.0,Samsung SM-A515F
19956964.0,1.0,WHITE,19958776.0,10.0,1626062108489058.0,4870.0,1626062128441152.0,1626062128442964.0,20052260.0,10.0,LIGHT,1626062108476834.0,1772.0,1626062128527322.0,84358.0,86170.0,Samsung SM-A515F
20457518.0,0.0,BLACK,20458060.0,11.0,1626062108489058.0,4870.0,1626062128941706.0,1626062128942248.0,20554020.0,11.0,DARK,1626062108476834.0,1772.0,1626062129029082.0,86834.0,87376.0,Samsung SM-A515F
20958683.0,1.0,WHITE,20959435.0,12.0,1626062108489058.0,4870.0,1626062129442871.0,1626062129443623.0,21037860.0,12.0,LIGHT,1626062108476834.0,1772.0,1626062129512922.0,69299.0,70051.0,Samsung SM-A515F
21459827.0,0.0,BLACK,21461411.0,13.0,1626062108489058.0,4870.0,1626062129944015.0,1626062129945599.0,21575460.0,13.0,DARK,1626062108476834.0,1772.0,1626062130050522.0,104923.0,106507.0,Samsung SM-A515F
21962105.0,1.0,WHITE,21964012.0,14.0,1626062108489058.0,4870.0,1626062130446293.0,1626062130448200.0,22059300.0,14.0,LIGHT,1626062108476834.0,1772.0,1626062130534362.0,86162.0,88069.0,Samsung SM-A515F
22463189.0,0.0,BLACK,22465077.0,15.0,1626062108489058.0,4870.0,1626062130947377.0,1626062130949265.0,22578981.0,15.0,DARK,1626062108476834.0,1772.0,1626062131054043.0,104778.0,106666.0,Samsung SM-A515F
