callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model
71886855,1,WHITE,71887709,0,1625974578842425,3424,1625974650725856,1625974650726710,,,,,,,,,Samsung SM-G960U
72389908,0,BLACK,72392933,1,1625974578842425,3424,1625974651228909,1625974651231934,72673954.0,1.0,DARK,1625974578681252.0,1213.0,1625974651353993.0,122059.0,125084.0,Samsung SM-G960U
72892241,1,WHITE,72894241,2,1625974578842425,3424,1625974651731242,1625974651733242,73139874.0,2.0,LIGHT,1625974578681252.0,1213.0,1625974651819913.0,86671.0,88671.0,Samsung SM-G960U
73403102,0,BLACK,73405132,3,1625974578842425,3424,1625974652242103,1625974652244133,73659554.0,3.0,DARK,1625974578681252.0,1213.0,1625974652339593.0,95460.0,97490.0,Samsung SM-G960U
73910489,1,WHITE,73912710,4,1625974578842425,3424,1625974652749490,1625974652751711,74161314.0,4.0,LIGHT,1625974578681252.0,1213.0,1625974652841353.0,89642.0,91863.0,Samsung SM-G960U
74412917,0,BLACK,74414470,5,1625974578842425,3424,1625974653251918,1625974653253471,74663074.0,5.0,DARK,1625974578681252.0,1213.0,1625974653343113.0,89642.0,91195.0,Samsung SM-G960U
74915703,1,WHITE,74917159,6,1625974578842425,3424,1625974653754704,1625974653756160,75182755.0,6.0,LIGHT,1625974578681252.0,1213.0,1625974653862794.0,106634.0,108090.0,Samsung SM-G960U
75417018,0,BLACK,75418426,7,1625974578842425,3424,1625974654256019,1625974654257427,75684514.0,7.0,DARK,1625974578681252.0,1213.0,1625974654364553.0,107126.0,108534.0,Samsung SM-G960U
75919676,1,WHITE,75921636,8,1625974578842425,3424,1625974654758677,1625974654760637,76168356.0,8.0,LIGHT,1625974578681252.0,1213.0,1625974654848395.0,87758.0,89718.0,Samsung SM-G960U
76420728,0,BLACK,76422147,9,1625974578842425,3424,1625974655259729,1625974655261148,76670114.0,9.0,DARK,1625974578681252.0,1213.0,1625974655350153.0,89005.0,90424.0,Samsung SM-G960U
76921039,1,WHITE,76923229,10,1625974578842425,3424,1625974655760040,1625974655762230,77153954.0,10.0,LIGHT,1625974578681252.0,1213.0,1625974655833993.0,71763.0,73953.0,Samsung SM-G960U
77421886,0,BLACK,77423021,11,1625974578842425,3424,1625974656260887,1625974656262022,77673634.0,11.0,DARK,1625974578681252.0,1213.0,1625974656353673.0,91651.0,92786.0,Samsung SM-G960U
77924158,1,WHITE,77925269,12,1625974578842425,3424,1625974656763159,1625974656764270,78175394.0,12.0,LIGHT,1625974578681252.0,1213.0,1625974656855433.0,91163.0,92274.0,Samsung SM-G960U
78424837,0,BLACK,78426041,13,1625974578842425,3424,1625974657263838,1625974657265042,78712994.0,13.0,DARK,1625974578681252.0,1213.0,1625974657393033.0,127991.0,129195.0,Samsung SM-G960U
78925779,1,WHITE,78926780,14,1625974578842425,3424,1625974657764780,1625974657765781,79196834.0,14.0,LIGHT,1625974578681252.0,1213.0,1625974657876873.0,111092.0,112093.0,Samsung SM-G960U
79427185,0,BLACK,79428394,15,1625974578842425,3424,1625974658266186,1625974658267395,79698594.0,15.0,DARK,1625974578681252.0,1213.0,1625974658378633.0,111238.0,112447.0,Samsung SM-G960U
79927410,1,WHITE,79928451,16,1625974578842425,3424,1625974658766411,1625974658767452,80182434.0,16.0,LIGHT,1625974578681252.0,1213.0,1625974658862473.0,95021.0,96062.0,Samsung SM-G960U
80428692,0,BLACK,80429858,17,1625974578842425,3424,1625974659267693,1625974659268859,80684194.0,17.0,DARK,1625974578681252.0,1213.0,1625974659364233.0,95374.0,96540.0,Samsung SM-G960U
80928207,1,WHITE,80929029,18,1625974578842425,3424,1625974659767208,1625974659768030,81168034.0,18.0,LIGHT,1625974578681252.0,1213.0,1625974659848073.0,80043.0,80865.0,Samsung SM-G960U
81428639,0,BLACK,81429604,19,1625974578842425,3424,1625974660267640,1625974660268605,81687714.0,19.0,DARK,1625974578681252.0,1213.0,1625974660367753.0,99148.0,100113.0,Samsung SM-G960U
81929809,1,WHITE,81931691,20,1625974578842425,3424,1625974660768810,1625974660770692,82171556.0,20.0,LIGHT,1625974578681252.0,1213.0,1625974660851595.0,80903.0,82785.0,Samsung SM-G960U
82430669,0,BLACK,82432106,21,1625974578842425,3424,1625974661269670,1625974661271107,82691234.0,21.0,DARK,1625974578681252.0,1213.0,1625974661371273.0,100166.0,101603.0,Samsung SM-G960U
82931313,1,WHITE,82932723,22,1625974578842425,3424,1625974661770314,1625974661771724,83157154.0,22.0,LIGHT,1625974578681252.0,1213.0,1625974661837193.0,65469.0,66879.0,Samsung SM-G960U
83432037,0,BLACK,83433141,23,1625974578842425,3424,1625974662271038,1625974662272142,83676834.0,23.0,DARK,1625974578681252.0,1213.0,1625974662356873.0,84731.0,85835.0,Samsung SM-G960U
83934741,1,WHITE,83936586,24,1625974578842425,3424,1625974662773742,1625974662775587,84196514.0,24.0,LIGHT,1625974578681252.0,1213.0,1625974662876553.0,100966.0,102811.0,Samsung SM-G960U
84435004,0,BLACK,84436372,25,1625974578842425,3424,1625974663274005,1625974663275373,84680354.0,25.0,DARK,1625974578681252.0,1213.0,1625974663360393.0,85020.0,86388.0,Samsung SM-G960U
84936818,1,WHITE,84938658,26,1625974578842425,3424,1625974663775819,1625974663777659,85200034.0,26.0,LIGHT,1625974578681252.0,1213.0,1625974663880073.0,102414.0,104254.0,Samsung SM-G960U
85438060,0,BLACK,85440030,27,1625974578842425,3424,1625974664277061,1625974664279031,85719716.0,27.0,DARK,1625974578681252.0,1213.0,1625974664399755.0,120724.0,122694.0,Samsung SM-G960U
85939475,1,WHITE,85940343,28,1625974578842425,3424,1625974664778476,1625974664779344,86185634.0,28.0,LIGHT,1625974578681252.0,1213.0,1625974664865673.0,86329.0,87197.0,Samsung SM-G960U
86441485,0,BLACK,86443144,29,1625974578842425,3424,1625974665280486,1625974665282145,86705314.0,29.0,DARK,1625974578681252.0,1213.0,1625974665385353.0,103208.0,104867.0,Samsung SM-G960U
