callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model
71413847.0,1.0,WHITE,71415272.0,0.0,1626064474376622.0,3772.0,1626064545786697.0,1626064545788122.0,,,,,,,,,Samsung SM-S111DL
71916154.0,0.0,BLACK,71917266.0,1.0,1626064474376622.0,3772.0,1626064546289004.0,1626064546290116.0,72133250.0,1.0,DARK,1626064474242993.0,2074.0,1626064546374169.0,84053.0,85165.0,Samsung SM-S111DL
72417699.0,1.0,WHITE,72418497.0,2.0,1626064474376622.0,3772.0,1626064546790549.0,1626064546791347.0,72617090.0,2.0,LIGHT,1626064474242993.0,2074.0,1626064546858009.0,66662.0,67460.0,Samsung SM-S111DL
72919946.0,0.0,BLACK,72920784.0,3.0,1626064474376622.0,3772.0,1626064547292796.0,1626064547293634.0,73136770.0,3.0,DARK,1626064474242993.0,2074.0,1626064547377689.0,84055.0,84893.0,Samsung SM-S111DL
73421477.0,1.0,WHITE,73422082.0,4.0,1626064474376622.0,3772.0,1626064547794327.0,1626064547794932.0,73620612.0,4.0,LIGHT,1626064474242993.0,2074.0,1626064547861531.0,66599.0,67204.0,Samsung SM-S111DL
73923576.0,0.0,BLACK,73924188.0,5.0,1626064474376622.0,3772.0,1626064548296426.0,1626064548297038.0,74140290.0,5.0,DARK,1626064474242993.0,2074.0,1626064548381209.0,84171.0,84783.0,Samsung SM-S111DL
74426206.0,1.0,WHITE,74427087.0,6.0,1626064474376622.0,3772.0,1626064548799056.0,1626064548799937.0,74624130.0,6.0,LIGHT,1626064474242993.0,2074.0,1626064548865049.0,65112.0,65993.0,Samsung SM-S111DL
74927736.0,0.0,BLACK,74928343.0,7.0,1626064474376622.0,3772.0,1626064549300586.0,1626064549301193.0,75143810.0,7.0,DARK,1626064474242993.0,2074.0,1626064549384729.0,83536.0,84143.0,Samsung SM-S111DL
75428425.0,1.0,WHITE,75429029.0,8.0,1626064474376622.0,3772.0,1626064549801275.0,1626064549801879.0,75627650.0,8.0,LIGHT,1626064474242993.0,2074.0,1626064549868569.0,66690.0,67294.0,Samsung SM-S111DL
75930049.0,0.0,BLACK,75930645.0,9.0,1626064474376622.0,3772.0,1626064550302899.0,1626064550303495.0,76147330.0,9.0,DARK,1626064474242993.0,2074.0,1626064550388249.0,84754.0,85350.0,Samsung SM-S111DL
76429834.0,1.0,WHITE,76430440.0,10.0,1626064474376622.0,3772.0,1626064550802684.0,1626064550803290.0,76631170.0,10.0,LIGHT,1626064474242993.0,2074.0,1626064550872089.0,68799.0,69405.0,Samsung SM-S111DL
76932334.0,0.0,BLACK,76932942.0,11.0,1626064474376622.0,3772.0,1626064551305184.0,1626064551305792.0,77150850.0,11.0,DARK,1626064474242993.0,2074.0,1626064551391769.0,85977.0,86585.0,Samsung SM-S111DL
