callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model
71057106,1,WHITE,71058319,0,1626152401955457,3581,1626152473008982,1626152473010195,,,,,,,,,TINNO Wiko U614AS
71558413,0,BLACK,71559148,1,1626152401955457,3581,1626152473510289,1626152473511024,71663550.0,1.0,DARK,1626152401941118.0,1119.0,1626152473603549.0,92525.0,93260.0,TINNO Wiko U614AS
72061136,1,WHITE,72061822,2,1626152401955457,3581,1626152474013012,1626152474013698,72165310.0,2.0,LIGHT,1626152401941118.0,1119.0,1626152474105309.0,91611.0,92297.0,TINNO Wiko U614AS
72563893,0,BLACK,72564440,3,1626152401955457,3581,1626152474515769,1626152474516316,72667070.0,3.0,DARK,1626152401941118.0,1119.0,1626152474607069.0,90753.0,91300.0,TINNO Wiko U614AS
73066450,1,WHITE,73067110,4,1626152401955457,3581,1626152475018326,1626152475018986,73150910.0,4.0,LIGHT,1626152401941118.0,1119.0,1626152475090909.0,71923.0,72583.0,TINNO Wiko U614AS
73568577,0,BLACK,73569123,5,1626152401955457,3581,1626152475520453,1626152475520999,73670590.0,5.0,DARK,1626152401941118.0,1119.0,1626152475610589.0,89590.0,90136.0,TINNO Wiko U614AS
74071274,1,WHITE,74072021,6,1626152401955457,3581,1626152476023150,1626152476023897,74154430.0,6.0,LIGHT,1626152401941118.0,1119.0,1626152476094429.0,70532.0,71279.0,TINNO Wiko U614AS
74574224,0,BLACK,74574880,7,1626152401955457,3581,1626152476526100,1626152476526756,74674110.0,7.0,DARK,1626152401941118.0,1119.0,1626152476614109.0,87353.0,88009.0,TINNO Wiko U614AS
75076620,1,WHITE,75077389,8,1626152401955457,3581,1626152477028496,1626152477029265,75157952.0,8.0,LIGHT,1626152401941118.0,1119.0,1626152477097951.0,68686.0,69455.0,TINNO Wiko U614AS
75579549,0,BLACK,75580237,9,1626152401955457,3581,1626152477531425,1626152477532113,75677630.0,9.0,DARK,1626152401941118.0,1119.0,1626152477617629.0,85516.0,86204.0,TINNO Wiko U614AS
76082241,1,WHITE,76082872,10,1626152401955457,3581,1626152478034117,1626152478034748,76161470.0,10.0,LIGHT,1626152401941118.0,1119.0,1626152478101469.0,66721.0,67352.0,TINNO Wiko U614AS
76584996,0,BLACK,76585658,11,1626152401955457,3581,1626152478536872,1626152478537534,76681150.0,11.0,DARK,1626152401941118.0,1119.0,1626152478621149.0,83615.0,84277.0,TINNO Wiko U614AS
77086252,1,WHITE,77087004,12,1626152401955457,3581,1626152479038128,1626152479038880,77164990.0,12.0,LIGHT,1626152401941118.0,1119.0,1626152479104989.0,66109.0,66861.0,TINNO Wiko U614AS
77589526,0,BLACK,77590593,13,1626152401955457,3581,1626152479541402,1626152479542469,77702590.0,13.0,DARK,1626152401941118.0,1119.0,1626152479642589.0,100120.0,101187.0,TINNO Wiko U614AS
78092118,1,WHITE,78092757,14,1626152401955457,3581,1626152480043994,1626152480044633,78168510.0,14.0,LIGHT,1626152401941118.0,1119.0,1626152480108509.0,63876.0,64515.0,TINNO Wiko U614AS
78594673,0,BLACK,78595320,15,1626152401955457,3581,1626152480546549,1626152480547196,78688190.0,15.0,DARK,1626152401941118.0,1119.0,1626152480628189.0,80993.0,81640.0,TINNO Wiko U614AS
79098119,1,WHITE,79098767,16,1626152401955457,3581,1626152481049995,1626152481050643,79189951.0,16.0,LIGHT,1626152401941118.0,1119.0,1626152481129950.0,79307.0,79955.0,TINNO Wiko U614AS
79601252,0,BLACK,79601914,17,1626152401955457,3581,1626152481553128,1626152481553790,79709630.0,17.0,DARK,1626152401941118.0,1119.0,1626152481649629.0,95839.0,96501.0,TINNO Wiko U614AS
80103964,1,WHITE,80104799,18,1626152401955457,3581,1626152482055840,1626152482056675,80175552.0,18.0,LIGHT,1626152401941118.0,1119.0,1626152482115551.0,58876.0,59711.0,TINNO Wiko U614AS
80606626,0,BLACK,80607281,19,1626152401955457,3581,1626152482558502,1626152482559157,80713150.0,19.0,DARK,1626152401941118.0,1119.0,1626152482653149.0,93992.0,94647.0,TINNO Wiko U614AS
81109971,1,WHITE,81110611,20,1626152401955457,3581,1626152483061847,1626152483062487,81196990.0,20.0,LIGHT,1626152401941118.0,1119.0,1626152483136989.0,74502.0,75142.0,TINNO Wiko U614AS
81612829,0,BLACK,81613671,21,1626152401955457,3581,1626152483564705,1626152483565547,81716670.0,21.0,DARK,1626152401941118.0,1119.0,1626152483656669.0,91122.0,91964.0,TINNO Wiko U614AS
82115386,1,WHITE,82115888,22,1626152401955457,3581,1626152484067262,1626152484067764,82200510.0,22.0,LIGHT,1626152401941118.0,1119.0,1626152484140509.0,72745.0,73247.0,TINNO Wiko U614AS
82616385,0,BLACK,82617049,23,1626152401955457,3581,1626152484568261,1626152484568925,82720190.0,23.0,DARK,1626152401941118.0,1119.0,1626152484660189.0,91264.0,91928.0,TINNO Wiko U614AS
83119321,1,WHITE,83120159,24,1626152401955457,3581,1626152485071197,1626152485072035,83204030.0,24.0,LIGHT,1626152401941118.0,1119.0,1626152485144029.0,71994.0,72832.0,TINNO Wiko U614AS
83620040,0,BLACK,83620706,25,1626152401955457,3581,1626152485571916,1626152485572582,83723711.0,25.0,DARK,1626152401941118.0,1119.0,1626152485663710.0,91128.0,91794.0,TINNO Wiko U614AS
84123333,1,WHITE,84124052,26,1626152401955457,3581,1626152486075209,1626152486075928,84207551.0,26.0,LIGHT,1626152401941118.0,1119.0,1626152486147550.0,71622.0,72341.0,TINNO Wiko U614AS
84626072,0,BLACK,84626896,27,1626152401955457,3581,1626152486577948,1626152486578772,84727230.0,27.0,DARK,1626152401941118.0,1119.0,1626152486667229.0,88457.0,89281.0,TINNO Wiko U614AS
85129126,1,WHITE,85129689,28,1626152401955457,3581,1626152487081002,1626152487081565,85211070.0,28.0,LIGHT,1626152401941118.0,1119.0,1626152487151069.0,69504.0,70067.0,TINNO Wiko U614AS
85631803,0,BLACK,85632613,29,1626152401955457,3581,1626152487583679,1626152487584489,85730750.0,29.0,DARK,1626152401941118.0,1119.0,1626152487670749.0,86260.0,87070.0,TINNO Wiko U614AS
86134650,1,WHITE,86135202,30,1626152401955457,3581,1626152488086526,1626152488087078,86232510.0,30.0,LIGHT,1626152401941118.0,1119.0,1626152488172509.0,85431.0,85983.0,TINNO Wiko U614AS
86637762,0,BLACK,86638427,31,1626152401955457,3581,1626152488589638,1626152488590303,86734270.0,31.0,DARK,1626152401941118.0,1119.0,1626152488674269.0,83966.0,84631.0,TINNO Wiko U614AS
87139761,1,WHITE,87140395,32,1626152401955457,3581,1626152489091637,1626152489092271,87218110.0,32.0,LIGHT,1626152401941118.0,1119.0,1626152489158109.0,65838.0,66472.0,TINNO Wiko U614AS
87643445,0,BLACK,87644188,33,1626152401955457,3581,1626152489595321,1626152489596064,87737790.0,33.0,DARK,1626152401941118.0,1119.0,1626152489677789.0,81725.0,82468.0,TINNO Wiko U614AS
88146112,1,WHITE,88146772,34,1626152401955457,3581,1626152490097988,1626152490098648,88239550.0,34.0,LIGHT,1626152401941118.0,1119.0,1626152490179549.0,80901.0,81561.0,TINNO Wiko U614AS
88649356,0,BLACK,88650023,35,1626152401955457,3581,1626152490601232,1626152490601899,88741311.0,35.0,DARK,1626152401941118.0,1119.0,1626152490681310.0,79411.0,80078.0,TINNO Wiko U614AS
89151970,1,WHITE,89152609,36,1626152401955457,3581,1626152491103846,1626152491104485,89225150.0,36.0,LIGHT,1626152401941118.0,1119.0,1626152491165149.0,60664.0,61303.0,TINNO Wiko U614AS
89654456,0,BLACK,89655102,37,1626152401955457,3581,1626152491606332,1626152491606978,89762750.0,37.0,DARK,1626152401941118.0,1119.0,1626152491702749.0,95771.0,96417.0,TINNO Wiko U614AS
90156670,1,WHITE,90157302,38,1626152401955457,3581,1626152492108546,1626152492109178,90246590.0,38.0,LIGHT,1626152401941118.0,1119.0,1626152492186589.0,77411.0,78043.0,TINNO Wiko U614AS
90658621,0,BLACK,90659287,39,1626152401955457,3581,1626152492610497,1626152492611163,90748350.0,39.0,DARK,1626152401941118.0,1119.0,1626152492688349.0,77186.0,77852.0,TINNO Wiko U614AS
91161648,1,WHITE,91162340,40,1626152401955457,3581,1626152493113524,1626152493114216,91250110.0,40.0,LIGHT,1626152401941118.0,1119.0,1626152493190109.0,75893.0,76585.0,TINNO Wiko U614AS
91664924,0,BLACK,91665552,41,1626152401955457,3581,1626152493616800,1626152493617428,91769790.0,41.0,DARK,1626152401941118.0,1119.0,1626152493709789.0,92361.0,92989.0,TINNO Wiko U614AS
92167958,1,WHITE,92168487,42,1626152401955457,3581,1626152494119834,1626152494120363,92253630.0,42.0,LIGHT,1626152401941118.0,1119.0,1626152494193629.0,73266.0,73795.0,TINNO Wiko U614AS
