callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model
75143310.0,1.0,WHITE,75143410.0,0.0,1626060690200512.0,1345.0,1626060765342477.0,1626060765342577.0,,,,,,,,,iPhone10_3
75643248.0,0.0,BLACK,75643290.0,1.0,1626060690200512.0,1345.0,1626060765842415.0,1626060765842457.0,75743068.0,1.0,DARK,1626060690150829.0,1236.0,1626060765892661.0,50204.0,50246.0,iPhone10_3
76143263.0,1.0,WHITE,76143360.0,2.0,1626060690200512.0,1345.0,1626060766342430.0,1626060766342527.0,76226907.0,2.0,LIGHT,1626060690150829.0,1236.0,1626060766376500.0,33973.0,34070.0,iPhone10_3
76643263.0,0.0,BLACK,76643341.0,3.0,1626060690200512.0,1345.0,1626060766842430.0,1626060766842508.0,76746587.0,3.0,DARK,1626060690150829.0,1236.0,1626060766896180.0,53672.0,53750.0,iPhone10_3
77143261.0,1.0,WHITE,77143350.0,4.0,1626060690200512.0,1345.0,1626060767342428.0,1626060767342517.0,77230427.0,4.0,LIGHT,1626060690150829.0,1236.0,1626060767380020.0,37503.0,37592.0,iPhone10_3
77643257.0,0.0,BLACK,77643335.0,5.0,1626060690200512.0,1345.0,1626060767842424.0,1626060767842502.0,77750107.0,5.0,DARK,1626060690150829.0,1236.0,1626060767899700.0,57198.0,57276.0,iPhone10_3
78143257.0,1.0,WHITE,78143346.0,6.0,1626060690200512.0,1345.0,1626060768342424.0,1626060768342513.0,78233947.0,6.0,LIGHT,1626060690150829.0,1236.0,1626060768383540.0,41027.0,41116.0,iPhone10_3
78643256.0,0.0,BLACK,78643330.0,7.0,1626060690200512.0,1345.0,1626060768842423.0,1626060768842497.0,78753627.0,7.0,DARK,1626060690150829.0,1236.0,1626060768903220.0,60723.0,60797.0,iPhone10_3
79143258.0,1.0,WHITE,79143346.0,8.0,1626060690200512.0,1345.0,1626060769342425.0,1626060769342513.0,79237467.0,8.0,LIGHT,1626060690150829.0,1236.0,1626060769387060.0,44547.0,44635.0,iPhone10_3
79643259.0,0.0,BLACK,79643351.0,9.0,1626060690200512.0,1345.0,1626060769842426.0,1626060769842518.0,79757147.0,9.0,DARK,1626060690150829.0,1236.0,1626060769906740.0,64222.0,64314.0,iPhone10_3
80143258.0,1.0,WHITE,80143346.0,10.0,1626060690200512.0,1345.0,1626060770342425.0,1626060770342513.0,80240987.0,10.0,LIGHT,1626060690150829.0,1236.0,1626060770390580.0,48067.0,48155.0,iPhone10_3
