index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
0,101413897,1626153050045922,1380,1626153151458439,0,DOWN,101224494,101227856,0,0,0,1626153050273326,774,1626153151497046,1626153151500408,41969,38607,LGE LGL322DL
1,101930759,1626153050045922,1380,1626153151975301,0,DOWN,101744010,101747156,1,0,0,1626153050273326,774,1626153152016562,1626153152019708,44407,41261,LGE LGL322DL
2,102447175,1626153050045922,1380,1626153152491717,0,DOWN,102261678,102265730,2,0,0,1626153050273326,774,1626153152534230,1626153152538282,46565,42513,LGE LGL322DL
3,102962765,1626153050045922,1380,1626153153007307,0,DOWN,102778827,102782229,3,0,0,1626153050273326,774,1626153153051379,1626153153054781,47474,44072,LGE LGL322DL
4,103480034,1626153050045922,1380,1626153153524576,0,DOWN,103299499,103302428,4,0,0,1626153050273326,774,1626153153572051,1626153153574980,50404,47475,LGE LGL322DL
5,103996031,1626153050045922,1380,1626153154040573,0,DOWN,103814232,103817651,5,0,0,1626153050273326,774,1626153154086784,1626153154090203,49630,46211,LGE LGL322DL
6,104511201,1626153050045922,1380,1626153154555743,0,DOWN,104330989,104334004,6,0,0,1626153050273326,774,1626153154603541,1626153154606556,50813,47798,LGE LGL322DL
7,105028470,1626153050045922,1380,1626153155073012,0,DOWN,104846803,104850309,7,0,0,1626153050273326,774,1626153155119355,1626153155122861,49849,46343,LGE LGL322DL
8,105544059,1626153050045922,1380,1626153155588601,0,DOWN,105362618,105365444,8,0,0,1626153050273326,774,1626153155635170,1626153155637996,49395,46569,LGE LGL322DL
9,106060069,1626153050045922,1380,1626153156104611,0,DOWN,105877394,105880589,9,0,0,1626153050273326,774,1626153156149946,1626153156153141,48530,45335,LGE LGL322DL
10,106576079,1626153050045922,1380,1626153156620621,0,DOWN,106396146,106399261,10,0,0,1626153050273326,774,1626153156668698,1626153156671813,51192,48077,LGE LGL322DL
11,107093650,1626153050045922,1380,1626153157138192,0,DOWN,106912413,106915370,11,0,0,1626153050273326,774,1626153157184965,1626153157187922,49730,46773,LGE LGL322DL
12,107610381,1626153050045922,1380,1626153157654923,0,DOWN,107426510,107430097,12,0,0,1626153050273326,774,1626153157699062,1626153157702649,47726,44139,LGE LGL322DL
13,108127125,1626153050045922,1380,1626153158171667,0,DOWN,107944982,107948663,13,0,0,1626153050273326,774,1626153158217534,1626153158221215,49548,45867,LGE LGL322DL
14,108644696,1626153050045922,1380,1626153158689238,0,DOWN,108461479,108464794,14,0,0,1626153050273326,774,1626153158734031,1626153158737346,48108,44793,LGE LGL322DL
15,109163106,1626153050045922,1380,1626153159207648,0,DOWN,108976640,108979422,15,0,0,1626153050273326,774,1626153159249192,1626153159251974,44326,41544,LGE LGL322DL
16,109679418,1626153050045922,1380,1626153159723960,0,DOWN,109493686,109496481,16,0,0,1626153050273326,774,1626153159766238,1626153159769033,45073,42278,LGE LGL322DL
17,110197409,1626153050045922,1380,1626153160241951,0,DOWN,110010595,110013417,17,0,0,1626153050273326,774,1626153160283147,1626153160285969,44018,41196,LGE LGL322DL
18,110713720,1626153050045922,1380,1626153160758262,0,DOWN,110526907,110529951,18,0,0,1626153050273326,774,1626153160799459,1626153160802503,44241,41197,LGE LGL322DL
19,111231724,1626153050045922,1380,1626153161276266,0,DOWN,111053060,111056426,19,0,0,1626153050273326,774,1626153161325612,1626153161328978,52712,49346,LGE LGL322DL
