index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
0,99581266,1625975417632234,1461,1625975517212039,0,DOWN,98126259,98130385,0,0.012932416,0.012932416,1625975419118520,3117,1625975517241662,1625975517245788,33749,29623,Motorola moto g stylus (XT2115DL)
1,100096160,1625975417632234,1461,1625975517726933,0,DOWN,98636198,98640463,1,0.012932416,0.012932416,1625975419118520,3117,1625975517751601,1625975517755866,28933,24668,Motorola moto g stylus (XT2115DL)
2,100611330,1625975417632234,1461,1625975518242103,0,DOWN,99152565,99156530,2,0.012932416,0.012932416,1625975419118520,3117,1625975518267968,1625975518271933,29830,25865,Motorola moto g stylus (XT2115DL)
3,101128193,1625975417632234,1461,1625975518758966,0,DOWN,99677861,99681742,3,0.012932416,0.012932416,1625975419118520,3117,1625975518793264,1625975518797145,38179,34298,Motorola moto g stylus (XT2115DL)
4,101643349,1625975417632234,1461,1625975519274122,0,DOWN,100186304,100191594,4,0.012932416,0.012932416,1625975419118520,3117,1625975519301707,1625975519306997,32875,27585,Motorola moto g stylus (XT2115DL)
5,102165250,1625975417632234,1461,1625975519796023,0,DOWN,100702422,100707013,5,0.012932416,0.012932416,1625975419118520,3117,1625975519817825,1625975519822416,26393,21802,Motorola moto g stylus (XT2115DL)
6,102675434,1625975417632234,1461,1625975520306207,0,DOWN,101218426,101223598,6,0.006466208,0.006466208,1625975419118520,3117,1625975520333829,1625975520339001,32794,27622,Motorola moto g stylus (XT2115DL)
7,103191483,1625975417632234,1461,1625975520822256,0,DOWN,101737397,101742249,7,0.006466208,0.006466208,1625975419118520,3117,1625975520852800,1625975520857652,35396,30544,Motorola moto g stylus (XT2115DL)
8,103707493,1625975417632234,1461,1625975521338266,0,DOWN,102253923,102258010,8,0.006466208,0.006466208,1625975419118520,3117,1625975521369326,1625975521373413,35147,31060,Motorola moto g stylus (XT2115DL)
9,104228960,1625975417632234,1461,1625975521859733,0,DOWN,102770465,102776120,9,0.006466208,0.006466208,1625975419118520,3117,1625975521885868,1625975521891523,31790,26135,Motorola moto g stylus (XT2115DL)
10,104740837,1625975417632234,1461,1625975522371610,0,DOWN,103287588,103292805,10,0.006466208,0.006466208,1625975419118520,3117,1625975522402991,1625975522408208,36598,31381,Motorola moto g stylus (XT2115DL)
11,105258447,1625975417632234,1461,1625975522889220,0,DOWN,103802445,103806535,11,0.006466208,0.006466208,1625975419118520,3117,1625975522917848,1625975522921938,32718,28628,Motorola moto g stylus (XT2115DL)
12,105775598,1625975417632234,1461,1625975523406371,0,DOWN,104321202,104326260,12,0.006466208,0.006466208,1625975419118520,3117,1625975523436605,1625975523441663,35292,30234,Motorola moto g stylus (XT2115DL)
13,106293169,1625975417632234,1461,1625975523923942,0,DOWN,104836129,104840984,13,0.006466208,0.006466208,1625975419118520,3117,1625975523951532,1625975523956387,32445,27590,Motorola moto g stylus (XT2115DL)
14,106811160,1625975417632234,1461,1625975524441933,0,DOWN,105354084,105360016,14,0.006466208,0.006466208,1625975419118520,3117,1625975524469487,1625975524475419,33486,27554,Motorola moto g stylus (XT2115DL)
15,107328311,1625975417632234,1461,1625975524959084,0,DOWN,105871152,105875222,15,0.006466208,0.006466208,1625975419118520,3117,1625975524986555,1625975524990625,31541,27471,Motorola moto g stylus (XT2115DL)
16,107844622,1625975417632234,1461,1625975525475395,0,DOWN,106388247,106393935,16,0.006466208,0.006466208,1625975419118520,3117,1625975525503650,1625975525509338,33943,28255,Motorola moto g stylus (XT2115DL)
17,108368084,1625975417632234,1461,1625975525998857,0,DOWN,106905345,106910497,17,0.006466208,0.006466208,1625975419118520,3117,1625975526020748,1625975526025900,27043,21891,Motorola moto g stylus (XT2115DL)
18,108885288,1625975417632234,1461,1625975526516061,0,DOWN,107421838,107426327,18,0.006466208,0.006466208,1625975419118520,3117,1625975526537241,1625975526541730,25669,21180,Motorola moto g stylus (XT2115DL)
19,109397401,1625975417632234,1461,1625975527028174,0,DOWN,107937712,107941516,19,0.006466208,0.006466208,1625975419118520,3117,1625975527053115,1625975527056919,28745,24941,Motorola moto g stylus (XT2115DL)
20,109915444,1625975417632234,1461,1625975527546217,0,DOWN,108453786,108457842,20,0.006466208,0.006466208,1625975419118520,3117,1625975527569189,1625975527573245,27028,22972,Motorola moto g stylus (XT2115DL)
21,110430902,1625975417632234,1461,1625975528061675,0,DOWN,108972826,108978231,21,0.006466208,0.006466208,1625975419118520,3117,1625975528088229,1625975528093634,31959,26554,Motorola moto g stylus (XT2115DL)
22,110948500,1625975417632234,1461,1625975528579273,0,DOWN,109489433,109493384,22,0.012932416,0.012932416,1625975419118520,3117,1625975528604836,1625975528608787,29514,25563,Motorola moto g stylus (XT2115DL)
23,111466070,1625975417632234,1461,1625975529096843,0,DOWN,110005979,110009868,23,0.012932416,0.012932416,1625975419118520,3117,1625975529121382,1625975529125271,28428,24539,Motorola moto g stylus (XT2115DL)
24,111982382,1625975417632234,1461,1625975529613155,0,DOWN,110523197,110527856,24,0.012932416,0.012932416,1625975419118520,3117,1625975529638600,1625975529643259,30104,25445,Motorola moto g stylus (XT2115DL)
