index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
0,44022275,1626064039672915,1298,1626064083693892,0,DOWN,43856067,43858887,0,0.033902097,0.033902097,1626064039878973,10366,1626064083724674,1626064083727494,33602,30782,Samsung SM-A102U
1,44532512,1626064039672915,1298,1626064084204129,0,DOWN,44371826,44374919,1,0.033902097,0.033902097,1626064039878973,10366,1626064084240433,1626064084243526,39397,36304,Samsung SM-A102U
2,45048679,1626064039672915,1298,1626064084720296,0,DOWN,44888783,44891006,2,0.033902097,0.033902097,1626064039878973,10366,1626064084757390,1626064084759613,39317,37094,Samsung SM-A102U
3,45563521,1626064039672915,1298,1626064085235138,0,DOWN,45388448,45390547,3,0.027121676,0.027121676,1626064039878973,10366,1626064085257055,1626064085259154,24016,21917,Samsung SM-A102U
4,46077130,1626064039672915,1298,1626064085748747,0,DOWN,45904606,45907180,4,0.033902097,0.033902097,1626064039878973,10366,1626064085773213,1626064085775787,27040,24466,Samsung SM-A102U
5,46593257,1626064039672915,1298,1626064086264874,0,DOWN,46422645,46425490,5,0.033902097,0.033902097,1626064039878973,10366,1626064086291252,1626064086294097,29223,26378,Samsung SM-A102U
6,47107692,1626064039672915,1298,1626064086779309,0,DOWN,46938076,46940439,6,0.027121676,0.027121676,1626064039878973,10366,1626064086806683,1626064086809046,29737,27374,Samsung SM-A102U
7,47623400,1626064039672915,1298,1626064087295017,0,DOWN,47455501,47458544,7,0.027121676,0.027121676,1626064039878973,10366,1626064087324108,1626064087327151,32134,29091,Samsung SM-A102U
8,48137416,1626064039672915,1298,1626064087809033,0,DOWN,47972751,47974928,8,0.033902097,0.033902097,1626064039878973,10366,1626064087841358,1626064087843535,34502,32325,Samsung SM-A102U
9,48653963,1626064039672915,1298,1626064088325580,0,DOWN,48490196,48492296,9,0.033902097,0.033902097,1626064039878973,10366,1626064088358803,1626064088360903,35323,33223,Samsung SM-A102U
10,49168818,1626064039672915,1298,1626064088840435,0,DOWN,49004756,49006959,10,0.033902097,0.033902097,1626064039878973,10366,1626064088873363,1626064088875566,35131,32928,Samsung SM-A102U
11,49686087,1626064039672915,1298,1626064089357704,0,DOWN,49522505,49525797,11,0.033902097,0.033902097,1626064039878973,10366,1626064089391112,1626064089394404,36700,33408,Samsung SM-A102U
12,50202084,1626064039672915,1298,1626064089873701,0,DOWN,50038887,50041740,12,0.033902097,0.033902097,1626064039878973,10366,1626064089907494,1626064089910347,36646,33793,Samsung SM-A102U
13,50718513,1626064039672915,1298,1626064090390130,0,DOWN,50554891,50557793,13,0.033902097,0.033902097,1626064039878973,10366,1626064090423498,1626064090426400,36270,33368,Samsung SM-A102U
14,51233683,1626064039672915,1298,1626064090905300,0,DOWN,51071345,51073467,14,0.027121676,0.027121676,1626064039878973,10366,1626064090939952,1626064090942074,36774,34652,Samsung SM-A102U
15,51749693,1626064039672915,1298,1626064091421310,0,DOWN,51589896,51591885,15,0.027121676,0.027121676,1626064039878973,10366,1626064091458503,1626064091460492,39182,37193,Samsung SM-A102U
16,52267802,1626064039672915,1298,1626064091939419,0,DOWN,52105483,52107510,16,0.027121676,0.027121676,1626064039878973,10366,1626064091974090,1626064091976117,36698,34671,Samsung SM-A102U
17,52782119,1626064039672915,1298,1626064092453736,0,DOWN,52622221,52625882,17,0.033902097,0.033902097,1626064039878973,10366,1626064092490828,1626064092494489,40753,37092,Samsung SM-A102U
18,53298561,1626064039672915,1298,1626064092970178,0,DOWN,53138437,53141543,18,0.027121676,0.027121676,1626064039878973,10366,1626064093007044,1626064093010150,39972,36866,Samsung SM-A102U
19,53813718,1626064039672915,1298,1626064093485335,0,DOWN,53655098,53657620,19,0.033902097,0.033902097,1626064039878973,10366,1626064093523705,1626064093526227,40892,38370,Samsung SM-A102U
20,54329741,1626064039672915,1298,1626064094001358,0,DOWN,54154938,54157703,20,0.027121676,0.027121676,1626064039878973,10366,1626064094023545,1626064094026310,24952,22187,Samsung SM-A102U
21,54845331,1626064039672915,1298,1626064094516948,0,DOWN,54671153,54673218,21,0.027121676,0.027121676,1626064039878973,10366,1626064094539760,1626064094541825,24877,22812,Samsung SM-A102U
22,55367218,1626064039672915,1298,1626064095038835,0,DOWN,55187956,55190803,22,0.027121676,0.027121676,1626064039878973,10366,1626064095056563,1626064095059410,20575,17728,Samsung SM-A102U
23,55877822,1626064039672915,1298,1626064095549439,0,DOWN,55704916,55707902,23,0.027121676,0.027121676,1626064039878973,10366,1626064095573523,1626064095576509,27070,24084,Samsung SM-A102U
24,56394711,1626064039672915,1298,1626064096066328,0,DOWN,56222227,56224275,24,0.027121676,0.027121676,1626064039878973,10366,1626064096090834,1626064096092882,26554,24506,Samsung SM-A102U
25,56910720,1626064039672915,1298,1626064096582337,0,DOWN,56737799,56740262,25,0.027121676,0.027121676,1626064039878973,10366,1626064096606406,1626064096608869,26532,24069,Samsung SM-A102U
26,57426730,1626064039672915,1298,1626064097098347,0,DOWN,57255122,57257774,26,0.027121676,0.027121676,1626064039878973,10366,1626064097123729,1626064097126381,28034,25382,Samsung SM-A102U
27,57943159,1626064039672915,1298,1626064097614776,0,DOWN,57771301,57773493,27,0.027121676,0.027121676,1626064039878973,10366,1626064097639908,1626064097642100,27324,25132,Samsung SM-A102U
28,58464194,1626064039672915,1298,1626064098135811,0,DOWN,58287168,58289018,28,0.027121676,0.027121676,1626064039878973,10366,1626064098155775,1626064098157625,21814,19964,Samsung SM-A102U
29,58974391,1626064039672915,1298,1626064098646008,0,DOWN,58804609,58807285,29,0.033902097,0.033902097,1626064039878973,10366,1626064098673216,1626064098675892,29884,27208,Samsung SM-A102U
