index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
0,43570125,1625976862308415,1889,1625976905876651,0,DOWN,43592996,43597939,0,0,0,1625976862308316,4663,1625976905896649,1625976905901592,24941,19998,Samsung SM-A125M
1,44091290,1625976862308415,1889,1625976906397816,0,DOWN,44094032,44098624,1,0,0,1625976862308316,4663,1625976906397685,1625976906402277,4461,-131,Samsung SM-A125M
2,44600333,1625976862308415,1889,1625976906906859,0,DOWN,44610398,44614427,2,0,0,1625976862308316,4663,1625976906914051,1625976906918080,11221,7192,Samsung SM-A125M
3,45121538,1625976862308415,1889,1625976907428064,0,DOWN,45126493,45130688,3,0,0,1625976862308316,4663,1625976907430146,1625976907434341,6277,2082,Samsung SM-A125M
4,45636459,1625976862308415,1889,1625976907942985,0,DOWN,45643049,45647014,4,0,0,1625976862308316,4663,1625976907946702,1625976907950667,7682,3717,Samsung SM-A125M
5,46146289,1625976862308415,1889,1625976908452815,0,DOWN,46159560,46163785,5,0,0,1625976862308316,4663,1625976908463213,1625976908467438,14623,10398,Samsung SM-A125M
6,46666222,1625976862308415,1889,1625976908972748,0,DOWN,46675889,46680367,6,0,0,1625976862308316,4663,1625976908979542,1625976908984020,11272,6794,Samsung SM-A125M
7,47179791,1625976862308415,1889,1625976909486317,0,DOWN,47190476,47193394,7,0,0,1625976862308316,4663,1625976909494129,1625976909497047,10730,7812,Samsung SM-A125M
8,47692140,1625976862308415,1889,1625976909998666,0,DOWN,47708088,47711415,8,0,0,1625976862308316,4663,1625976910011741,1625976910015068,16402,13075,Samsung SM-A125M
9,48209120,1625976862308415,1889,1625976910515646,0,DOWN,48224281,48227910,9,0,0,1625976862308316,4663,1625976910527934,1625976910531563,15917,12288,Samsung SM-A125M
10,48724815,1625976862308415,1889,1625976911031341,0,DOWN,48740718,48745395,10,0,0,1625976862308316,4663,1625976911044371,1625976911049048,17707,13030,Samsung SM-A125M
11,49238293,1625976862308415,1889,1625976911544819,0,DOWN,49257147,49260951,11,0,0,1625976862308316,4663,1625976911560800,1625976911564604,19785,15981,Samsung SM-A125M
12,49754329,1625976862308415,1889,1625976912060855,0,DOWN,49773057,49776874,12,0,0,1625976862308316,4663,1625976912076710,1625976912080527,19672,15855,Samsung SM-A125M
13,50272857,1625976862308415,1889,1625976912579383,0,DOWN,50289417,50293062,13,0,0,1625976862308316,4663,1625976912593070,1625976912596715,17332,13687,Samsung SM-A125M
14,50786741,1625976862308415,1889,1625976913093267,0,DOWN,50805716,50809888,14,0,0,1625976862308316,4663,1625976913109369,1625976913113541,20274,16102,Samsung SM-A125M
15,51303604,1625976862308415,1889,1625976913610130,0,DOWN,51321010,51325277,15,0,0,1625976862308316,4663,1625976913624663,1625976913628930,18800,14533,Samsung SM-A125M
16,51820453,1625976862308415,1889,1625976914126979,0,DOWN,51838611,51842767,16,0,0,1625976862308316,4663,1625976914142264,1625976914146420,19441,15285,Samsung SM-A125M
17,52336030,1625976862308415,1889,1625976914642556,0,DOWN,52354706,52358926,17,0,0,1625976862308316,4663,1625976914658359,1625976914662579,20023,15803,Samsung SM-A125M
18,52852879,1625976862308415,1889,1625976915159405,0,DOWN,52869653,52873244,18,0,0,1625976862308316,4663,1625976915173306,1625976915176897,17492,13901,Samsung SM-A125M
19,53368888,1625976862308415,1889,1625976915675414,0,DOWN,53386106,53389373,19,0,0,1625976862308316,4663,1625976915689759,1625976915693026,17612,14345,Samsung SM-A125M
20,53886997,1625976862308415,1889,1625976916193523,0,DOWN,53903373,53906740,20,0,0,1625976862308316,4663,1625976916207026,1625976916210393,16870,13503,Samsung SM-A125M
21,54402141,1625976862308415,1889,1625976916708667,0,DOWN,54419876,54424159,21,0,0,1625976862308316,4663,1625976916723529,1625976916727812,19145,14862,Samsung SM-A125M
22,54918164,1625976862308415,1889,1625976917224690,0,DOWN,54935100,54938847,22,0,0,1625976862308316,4663,1625976917238753,1625976917242500,17810,14063,Samsung SM-A125M
23,55435853,1625976862308415,1889,1625976917742379,0,DOWN,55452015,55456344,23,0,0,1625976862308316,4663,1625976917755668,1625976917759997,17618,13289,Samsung SM-A125M
24,55951009,1625976862308415,1889,1625976918257535,0,DOWN,55968607,55972717,24,0,0,1625976862308316,4663,1625976918272260,1625976918276370,18835,14725,Samsung SM-A125M
