index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
0,99464700,1625971513275805,1337,1625971612739168,0,DOWN,99145069,99147879,0,0.00814965,0.00814965,1625971513624293,6127,1625971612763235,1625971612766045,26877,24067,Samsung SM-A305G
1,99981733,1625971513275805,1337,1625971613256201,0,DOWN,99650722,99653638,1,0.00814965,0.00814965,1625971513624293,6127,1625971613268888,1625971613271804,15603,12687,Samsung SM-A305G
2,100495735,1625971513275805,1337,1625971613770203,0,DOWN,100164640,100167570,2,0.00814965,0.00814965,1625971513624293,6127,1625971613782806,1625971613785736,15533,12603,Samsung SM-A305G
3,101011338,1625971513275805,1337,1625971614285806,0,DOWN,100686819,100689623,3,0.00814965,0.00814965,1625971513624293,6127,1625971614304985,1625971614307789,21983,19179,Samsung SM-A305G
4,101528187,1625971513275805,1337,1625971614802655,0,DOWN,101208953,101211880,4,0.00814965,0.0054331003,1625971513624293,6127,1625971614827119,1625971614830046,27391,24464,Samsung SM-A305G
5,102042924,1625971513275805,1337,1625971615317392,0,DOWN,101715392,101718198,5,0.00814965,0.0054331003,1625971513624293,6127,1625971615333558,1625971615336364,18972,16166,Samsung SM-A305G
6,102561886,1625971513275805,1337,1625971615836354,0,DOWN,102237182,102240031,6,0.00814965,0.0054331003,1625971513624293,6127,1625971615855348,1625971615858197,21843,18994,Samsung SM-A305G
7,103078709,1625971513275805,1337,1625971616353177,0,DOWN,102758904,102761174,7,0.00814965,0.0054331003,1625971513624293,6127,1625971616377070,1625971616379340,26163,23893,Samsung SM-A305G
8,103593446,1625971513275805,1337,1625971616867914,0,DOWN,103265318,103268247,8,0.00814965,0.0054331003,1625971513624293,6127,1625971616883484,1625971616886413,18499,15570,Samsung SM-A305G
9,104109888,1625971513275805,1337,1625971617384356,0,DOWN,103789978,103792954,9,0.00814965,0.00814965,1625971513624293,6127,1625971617408144,1625971617411120,26764,23788,Samsung SM-A305G
10,104627577,1625971513275805,1337,1625971617902045,0,DOWN,104300911,104303649,10,0.00814965,0.00814965,1625971513624293,6127,1625971617919077,1625971617921815,19770,17032,Samsung SM-A305G
11,105143876,1625971513275805,1337,1625971618418344,0,DOWN,104814563,104817650,11,0.00814965,0.0054331003,1625971513624293,6127,1625971618432729,1625971618435816,17472,14385,Samsung SM-A305G
12,105662299,1625971513275805,1337,1625971618936767,0,DOWN,105338985,105341773,12,0.00814965,0.0054331003,1625971513624293,6127,1625971618957151,1625971618959939,23172,20384,Samsung SM-A305G
13,106179437,1625971513275805,1337,1625971619453905,0,DOWN,105859004,105861949,13,0.00814965,0.0054331003,1625971513624293,6127,1625971619477170,1625971619480115,26210,23265,Samsung SM-A305G
14,106695762,1625971513275805,1337,1625971619970230,0,DOWN,106364736,106367667,14,0.00814965,0.00814965,1625971513624293,6127,1625971619982902,1625971619985833,15603,12672,Samsung SM-A305G
15,107214172,1625971513275805,1337,1625971620488640,0,DOWN,106895250,106898292,15,0.00814965,0.00814965,1625971513624293,6127,1625971620513416,1625971620516458,27818,24776,Samsung SM-A305G
16,107730903,1625971513275805,1337,1625971621005371,0,DOWN,107402307,107405708,16,0.00814965,0.00814965,1625971513624293,6127,1625971621020473,1625971621023874,18503,15102,Samsung SM-A305G
17,108248474,1625971513275805,1337,1625971621522942,0,DOWN,107927340,107930173,17,0.00814965,0.00814965,1625971513624293,6127,1625971621545506,1625971621548339,25397,22564,Samsung SM-A305G
18,108765625,1625971513275805,1337,1625971622040093,0,DOWN,108437267,108439865,18,0.00814965,0.00814965,1625971513624293,6127,1625971622055433,1625971622058031,17938,15340,Samsung SM-A305G
19,109283209,1625971513275805,1337,1625971622557677,0,DOWN,108959584,108961865,19,0.00814965,0.00814965,1625971513624293,6127,1625971622577750,1625971622580031,22354,20073,Samsung SM-A305G
20,109799521,1625971513275805,1337,1625971623073989,0,DOWN,109473407,109476064,20,0.00814965,0.00814965,1625971513624293,6127,1625971623091573,1625971623094230,20241,17584,Samsung SM-A305G
21,110316672,1625971513275805,1337,1625971623591140,0,DOWN,109989019,109991948,21,0.00814965,0.00814965,1625971513624293,6127,1625971623607185,1625971623610114,18974,16045,Samsung SM-A305G
22,110834256,1625971513275805,1337,1625971624108724,0,DOWN,110509848,110513001,22,0.00814965,0.00814965,1625971513624293,6127,1625971624128014,1625971624131167,22443,19290,Samsung SM-A305G
