index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
0,43514288,1626062108476834,1772,1626062151989350,0,DOWN,43537611,43546501,0,0.008170677,0.0054471185,1626062108489058,4870,1626062152021799,1626062152030689,41339,32449,Samsung SM-A515F
1,44029969,1626062108476834,1772,1626062152505031,0,DOWN,44049285,44051264,1,0.008170677,0.0054471185,1626062108489058,4870,1626062152533473,1626062152535452,30421,28442,Samsung SM-A515F
2,44546097,1626062108476834,1772,1626062153021159,0,DOWN,44569429,44571571,2,0.008170677,0.0054471185,1626062108489058,4870,1626062153053617,1626062153055759,34600,32458,Samsung SM-A515F
3,45060939,1626062108476834,1772,1626062153536001,0,DOWN,45081621,45083737,3,0.008170677,0.0054471185,1626062108489058,4870,1626062153565809,1626062153567925,31924,29808,Samsung SM-A515F
4,45578326,1626062108476834,1772,1626062154053388,0,DOWN,45602285,45604436,4,0.008170677,0.0054471185,1626062108489058,4870,1626062154086473,1626062154088624,35236,33085,Samsung SM-A515F
5,46092328,1626062108476834,1772,1626062154567390,0,DOWN,46114539,46116627,5,0.008170677,0.0054471185,1626062108489058,4870,1626062154598727,1626062154600815,33425,31337,Samsung SM-A515F
6,46611815,1626062108476834,1772,1626062155086877,0,DOWN,46626816,46628853,6,0.008170677,0.0054471185,1626062108489058,4870,1626062155111004,1626062155113041,26164,24127,Samsung SM-A515F
7,47121605,1626062108476834,1772,1626062155596667,0,DOWN,47147508,47149505,7,0.008170677,0.0054471185,1626062108489058,4870,1626062155631696,1626062155633693,37026,35029,Samsung SM-A515F
8,47637353,1626062108476834,1772,1626062156112415,0,DOWN,47659736,47661769,8,0.008170677,0.0054471185,1626062108489058,4870,1626062156143924,1626062156145957,33542,31509,Samsung SM-A515F
9,48153047,1626062108476834,1772,1626062156628109,0,DOWN,48172046,48174122,9,0.008170677,0.0054471185,1626062108489058,4870,1626062156656234,1626062156658310,30201,28125,Samsung SM-A515F
10,48666223,1626062108476834,1772,1626062157141285,0,DOWN,48692687,48694783,10,0.008170677,0.0054471185,1626062108489058,4870,1626062157176875,1626062157178971,37686,35590,Samsung SM-A515F
11,49183505,1626062108476834,1772,1626062157658567,0,DOWN,49205067,49207196,11,0.008170677,0.0054471185,1626062108489058,4870,1626062157689255,1626062157691384,32817,30688,Samsung SM-A515F
12,49703700,1626062108476834,1772,1626062158178762,0,DOWN,49725940,49727824,12,0.008170677,0.0054471185,1626062108489058,4870,1626062158210128,1626062158212012,33250,31366,Samsung SM-A515F
13,50215065,1626062108476834,1772,1626062158690127,0,DOWN,50238605,50240615,13,0.008170677,0.0054471185,1626062108489058,4870,1626062158722793,1626062158724803,34676,32666,Samsung SM-A515F
14,50730681,1626062108476834,1772,1626062159205743,0,DOWN,50750899,50752914,14,0.0054471185,0.0054471185,1626062108489058,4870,1626062159235087,1626062159237102,31359,29344,Samsung SM-A515F
15,51247111,1626062108476834,1772,1626062159722173,0,DOWN,51271642,51273685,15,0.0054471185,0.0054471185,1626062108489058,4870,1626062159755830,1626062159757873,35700,33657,Samsung SM-A515F
16,51763960,1626062108476834,1772,1626062160239022,0,DOWN,51784033,51786017,16,0.0054471185,0.0054471185,1626062108489058,4870,1626062160268221,1626062160270205,31183,29199,Samsung SM-A515F
17,52281216,1626062108476834,1772,1626062160756278,0,DOWN,52304699,52306788,17,0.0054471185,0.0054471185,1626062108489058,4870,1626062160788887,1626062160790976,34698,32609,Samsung SM-A515F
18,52795966,1626062108476834,1772,1626062161271028,0,DOWN,52817101,52819116,18,0.0054471185,0.0054471185,1626062108489058,4870,1626062161301289,1626062161303304,32276,30261,Samsung SM-A515F
19,53311976,1626062108476834,1772,1626062161787038,0,DOWN,53337755,53339720,19,0.0054471185,0.0054471185,1626062108489058,4870,1626062161821943,1626062161823908,36870,34905,Samsung SM-A515F
20,53830084,1626062108476834,1772,1626062162305146,0,DOWN,53850703,53852687,20,0.0054471185,0.0054471185,1626062108489058,4870,1626062162334891,1626062162336875,31729,29745,Samsung SM-A515F
21,54345241,1626062108476834,1772,1626062162820303,0,DOWN,54371258,54373132,21,0.0054471185,0.0054471185,1626062108489058,4870,1626062162855446,1626062162857320,37017,35143,Samsung SM-A515F
22,54861671,1626062108476834,1772,1626062163336733,0,DOWN,54891857,54893713,22,0.008170677,0.0054471185,1626062108489058,4870,1626062163376045,1626062163377901,41168,39312,Samsung SM-A515F
23,55377260,1626062108476834,1772,1626062163852322,0,DOWN,55403944,55405826,23,0.0054471185,0.0054471185,1626062108489058,4870,1626062163888132,1626062163890014,37692,35810,Samsung SM-A515F
24,55893690,1626062108476834,1772,1626062164368752,0,DOWN,55925013,55926851,24,0.0054471185,0.0054471185,1626062108489058,4870,1626062164409201,1626062164411039,42287,40449,Samsung SM-A515F
25,56410119,1626062108476834,1772,1626062164885181,0,DOWN,56437179,56439216,25,0.0054471185,0.0054471185,1626062108489058,4870,1626062164921367,1626062164923404,38223,36186,Samsung SM-A515F
26,56926549,1626062108476834,1772,1626062165401611,0,DOWN,56949555,56951492,26,0.0054471185,0.0054471185,1626062108489058,4870,1626062165433743,1626062165435680,34069,32132,Samsung SM-A515F
27,57442125,1626062108476834,1772,1626062165917187,0,DOWN,57463128,57464915,27,0.0054471185,0.0054471185,1626062108489058,4870,1626062165947316,1626062165949103,31916,30129,Samsung SM-A515F
28,57958555,1626062108476834,1772,1626062166433617,0,DOWN,57983838,57985598,28,0.008170677,0.0054471185,1626062108489058,4870,1626062166468026,1626062166469786,36169,34409,Samsung SM-A515F
29,58474145,1626062108476834,1772,1626062166949207,0,DOWN,58504296,58506076,29,0.0054471185,0.0054471185,1626062108489058,4870,1626062166988484,1626062166990264,41057,39277,Samsung SM-A515F
30,58988895,1626062108476834,1772,1626062167463957,0,DOWN,59016695,59018540,30,0.008170677,0.0054471185,1626062108489058,4870,1626062167500883,1626062167502728,38771,36926,Samsung SM-A515F
31,59506177,1626062108476834,1772,1626062167981239,0,DOWN,59537791,59539584,31,0.0054471185,0.0054471185,1626062108489058,4870,1626062168021979,1626062168023772,42533,40740,Samsung SM-A515F
32,60023433,1626062108476834,1772,1626062168498495,0,DOWN,60050130,60051949,32,0.0054471185,0.0054471185,1626062108489058,4870,1626062168534318,1626062168536137,37642,35823,Samsung SM-A515F
33,60538170,1626062108476834,1772,1626062169013232,0,DOWN,60562562,60564315,33,0.0054471185,0.0054471185,1626062108489058,4870,1626062169046750,1626062169048503,35271,33518,Samsung SM-A515F
34,61055032,1626062108476834,1772,1626062169530094,0,DOWN,61082860,61084701,34,0.0054471185,0.0054471185,1626062108489058,4870,1626062169567048,1626062169568889,38795,36954,Samsung SM-A515F
35,61571029,1626062108476834,1772,1626062170046091,0,DOWN,61595499,61597167,35,0.008170677,0.0054471185,1626062108489058,4870,1626062170079687,1626062170081355,35264,33596,Samsung SM-A515F
36,62087458,1626062108476834,1772,1626062170562520,0,DOWN,62117604,62119458,36,0.008170677,0.0054471185,1626062108489058,4870,1626062170601792,1626062170603646,41126,39272,Samsung SM-A515F
37,62603468,1626062108476834,1772,1626062171078530,0,DOWN,62629903,62631786,37,0.0054471185,0.0054471185,1626062108489058,4870,1626062171114091,1626062171115974,37444,35561,Samsung SM-A515F
38,63119477,1626062108476834,1772,1626062171594539,0,DOWN,63142237,63144038,38,0.0054471185,0.0054471185,1626062108489058,4870,1626062171626425,1626062171628226,33687,31886,Samsung SM-A515F
39,63635067,1626062108476834,1772,1626062172110129,0,DOWN,63662943,63664693,39,0.0054471185,0.0054471185,1626062108489058,4870,1626062172147131,1626062172148881,38752,37002,Samsung SM-A515F
40,64150657,1626062108476834,1772,1626062172625719,0,DOWN,64175299,64177088,40,0.008170677,0.0054471185,1626062108489058,4870,1626062172659487,1626062172661276,35557,33768,Samsung SM-A515F
41,64666247,1626062108476834,1772,1626062173141309,0,DOWN,64687598,64689351,41,0.008170677,0.0054471185,1626062108489058,4870,1626062173171786,1626062173173539,32230,30477,Samsung SM-A515F
42,65181836,1626062108476834,1772,1626062173656898,0,DOWN,65208228,65210023,42,0.008170677,0.0054471185,1626062108489058,4870,1626062173692416,1626062173694211,37313,35518,Samsung SM-A515F
43,65699958,1626062108476834,1772,1626062174175020,0,DOWN,65720546,65722302,43,0.008170677,0.0054471185,1626062108489058,4870,1626062174204734,1626062174206490,31470,29714,Samsung SM-A515F
44,66216361,1626062108476834,1772,1626062174691423,0,DOWN,66249516,66251340,44,0.008170677,0.0054471185,1626062108489058,4870,1626062174733704,1626062174735528,44105,42281,Samsung SM-A515F
45,66732791,1626062108476834,1772,1626062175207853,0,DOWN,66753988,66755896,45,0.008170677,0.0054471185,1626062108489058,4870,1626062175238176,1626062175240084,32231,30323,Samsung SM-A515F
46,67249640,1626062108476834,1772,1626062175724702,0,DOWN,67274591,67276226,46,0.008170677,0.0054471185,1626062108489058,4870,1626062175758779,1626062175760414,35712,34077,Samsung SM-A515F
47,67765637,1626062108476834,1772,1626062176240699,0,DOWN,67787041,67788795,47,0.008170677,0.0054471185,1626062108489058,4870,1626062176271229,1626062176272983,32284,30530,Samsung SM-A515F
48,68281646,1626062108476834,1772,1626062176756708,0,DOWN,68307599,68309369,48,0.0054471185,0.0054471185,1626062108489058,4870,1626062176791787,1626062176793557,36849,35079,Samsung SM-A515F
49,68797656,1626062108476834,1772,1626062177272718,0,DOWN,68828330,68830065,49,0.008170677,0.0054471185,1626062108489058,4870,1626062177312518,1626062177314253,41535,39800,Samsung SM-A515F
