index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
0,100712253,1625974578681252,1213,1625974679392292,,,,,,,,,,,,,,Samsung SM-G960U
1,101225796,1625974578681252,1213,1625974679905835,,,,,,,,,,,,,,Samsung SM-G960U
2,101740979,1625974578681252,1213,1625974680421018,0.0,DOWN,101618766.0,101626600.0,0.0,0.0056389435,0.0056389435,1625974578842425.0,3424.0,1625974680457767.0,1625974680465601.0,44583.0,36749.0,Samsung SM-G960U
3,102262460,1625974578681252,1213,1625974680942499,0.0,DOWN,102125801.0,102128870.0,1.0,0.0056389435,0.0056389435,1625974578842425.0,3424.0,1625974680964802.0,1625974680967871.0,25372.0,22303.0,Samsung SM-G960U
4,102776855,1625974578681252,1213,1625974681456894,0.0,DOWN,102641646.0,102644267.0,2.0,0.0028194718,0.0028194718,1625974578842425.0,3424.0,1625974681480647.0,1625974681483268.0,26374.0,23753.0,Samsung SM-G960U
5,103290359,1625974578681252,1213,1625974681970398,0.0,DOWN,103153859.0,103159184.0,3.0,0.0056389435,0.0056389435,1625974578842425.0,3424.0,1625974681992860.0,1625974681998185.0,27787.0,22462.0,Samsung SM-G960U
6,103808061,1625974578681252,1213,1625974682488100,0.0,DOWN,103671334.0,103676323.0,4.0,0.0056389435,0.0056389435,1625974578842425.0,3424.0,1625974682510335.0,1625974682515324.0,27224.0,22235.0,Samsung SM-G960U
7,104323638,1625974578681252,1213,1625974683003677,0.0,DOWN,104188088.0,104192343.0,5.0,0.0056389435,0.0056389435,1625974578842425.0,3424.0,1625974683027089.0,1625974683031344.0,27667.0,23412.0,Samsung SM-G960U
8,104839647,1625974578681252,1213,1625974683519686,0.0,DOWN,104703998.0,104709327.0,6.0,0.0056389435,0.0056389435,1625974578842425.0,3424.0,1625974683542999.0,1625974683548328.0,28642.0,23313.0,Samsung SM-G960U
9,105355237,1625974578681252,1213,1625974684035276,0.0,DOWN,105210843.0,105213673.0,7.0,0.0056389435,0.0056389435,1625974578842425.0,3424.0,1625974684049844.0,1625974684052674.0,17398.0,14568.0,Samsung SM-G960U
10,105872086,1625974578681252,1213,1625974684552125,0.0,DOWN,105739920.0,105744609.0,8.0,0.0028194718,0.0028194718,1625974578842425.0,3424.0,1625974684578921.0,1625974684583610.0,31485.0,26796.0,Samsung SM-G960U
11,106388398,1625974578681252,1213,1625974685068437,0.0,DOWN,106258925.0,106264159.0,9.0,0.0056389435,0.0056389435,1625974578842425.0,3424.0,1625974685097926.0,1625974685103160.0,34723.0,29489.0,Samsung SM-G960U
12,106906402,1625974578681252,1213,1625974685586441,0.0,DOWN,106768589.0,106773199.0,10.0,0.0056389435,0.0056389435,1625974578842425.0,3424.0,1625974685607590.0,1625974685612200.0,25759.0,21149.0,Samsung SM-G960U
13,107423959,1625974578681252,1213,1625974686103998,0.0,DOWN,107288916.0,107293189.0,11.0,0.008458415,0.008458415,1625974578842425.0,3424.0,1625974686127917.0,1625974686132190.0,28192.0,23919.0,Samsung SM-G960U
14,107941530,1625974578681252,1213,1625974686621569,0.0,DOWN,107804401.0,107809354.0,12.0,0.0056389435,0.0056389435,1625974578842425.0,3424.0,1625974686643402.0,1625974686648355.0,26786.0,21833.0,Samsung SM-G960U
15,108457842,1625974578681252,1213,1625974687137881,0.0,DOWN,108321349.0,108325919.0,13.0,0.008458415,0.008458415,1625974578842425.0,3424.0,1625974687160350.0,1625974687164920.0,27039.0,22469.0,Samsung SM-G960U
16,108974586,1625974578681252,1213,1625974687654625,0.0,DOWN,108840239.0,108845522.0,14.0,0.008458415,0.008458415,1625974578842425.0,3424.0,1625974687679240.0,1625974687684523.0,29898.0,24615.0,Samsung SM-G960U
17,109492590,1625974578681252,1213,1625974688172629,0.0,DOWN,109354721.0,109359309.0,15.0,0.008458415,0.008458415,1625974578842425.0,3424.0,1625974688193722.0,1625974688198310.0,25681.0,21093.0,Samsung SM-G960U
18,110009728,1625974578681252,1213,1625974688689767,0.0,DOWN,109872100.0,109876766.0,16.0,0.008458415,0.008458415,1625974578842425.0,3424.0,1625974688711101.0,1625974688715767.0,26000.0,21334.0,Samsung SM-G960U
19,110526472,1625974578681252,1213,1625974689206511,0.0,DOWN,110386910.0,110390367.0,17.0,0.008458415,0.008458415,1625974578842425.0,3424.0,1625974689225911.0,1625974689229368.0,22857.0,19400.0,Samsung SM-G960U
20,111044463,1625974578681252,1213,1625974689724502,0.0,DOWN,110904285.0,110908754.0,18.0,0.008458415,0.008458415,1625974578842425.0,3424.0,1625974689743286.0,1625974689747755.0,23253.0,18784.0,Samsung SM-G960U
21,111562453,1625974578681252,1213,1625974690242492,0.0,DOWN,111418917.0,111421771.0,19.0,0.008458415,0.008458415,1625974578842425.0,3424.0,1625974690257918.0,1625974690260772.0,18280.0,15426.0,Samsung SM-G960U
22,112080864,1625974578681252,1213,1625974690760903,0.0,DOWN,111945155.0,111948787.0,20.0,0.008458415,0.008458415,1625974578842425.0,3424.0,1625974690784156.0,1625974690787788.0,26885.0,23253.0,Samsung SM-G960U
23,112597162,1625974578681252,1213,1625974691277201,0.0,DOWN,112460686.0,112465614.0,21.0,0.008458415,0.008458415,1625974578842425.0,3424.0,1625974691299687.0,1625974691304615.0,27414.0,22486.0,Samsung SM-G960U
24,113114746,1625974578681252,1213,1625974691794785,0.0,DOWN,112984383.0,112989865.0,22.0,0.008458415,0.008458415,1625974578842425.0,3424.0,1625974691823384.0,1625974691828866.0,34081.0,28599.0,Samsung SM-G960U
25,113632317,1625974578681252,1213,1625974692312356,0.0,DOWN,113494276.0,113499128.0,23.0,0.008458415,0.008458415,1625974578842425.0,3424.0,1625974692333277.0,1625974692338129.0,25773.0,20921.0,Samsung SM-G960U
