index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
0,100323274,1626064474242993,2074,1626064574564193,0,DOWN,100212836,100216256,0,1.8681676,1.8681676,1626064474376622,3772,1626064574585686,1626064574589106,24913,21493,Samsung SM-S111DL
1,100840543,1626064474242993,2074,1626064575081462,0,DOWN,100737616,100740901,1,1.8681676,1.8681676,1626064474376622,3772,1626064575110466,1626064575113751,32289,29004,Samsung SM-S111DL
2,101361997,1626064474242993,2074,1626064575602916,0,DOWN,101256501,101259305,2,1.8681676,1.8681676,1626064474376622,3772,1626064575629351,1626064575632155,29239,26435,Samsung SM-S111DL
3,101873454,1626064474242993,2074,1626064576114373,0,DOWN,101765802,101769925,3,1.8681676,1.8681676,1626064474376622,3772,1626064576138652,1626064576142775,28402,24279,Samsung SM-S111DL
4,102389490,1626064474242993,2074,1626064576630409,0,DOWN,102283661,102287777,4,1.8681676,1.8681676,1626064474376622,3772,1626064576656511,1626064576660627,30218,26102,Samsung SM-S111DL
5,102905500,1626064474242993,2074,1626064577146419,0,DOWN,102794524,102797744,5,1.8681676,1.8681676,1626064474376622,3772,1626064577167374,1626064577170594,24175,20955,Samsung SM-S111DL
6,103426128,1626064474242993,2074,1626064577667047,0,DOWN,103316959,103320450,6,1.8681676,1.8681676,1626064474376622,3772,1626064577689809,1626064577693300,26253,22762,Samsung SM-S111DL
7,103936325,1626064474242993,2074,1626064578177244,0,DOWN,103833563,103837950,7,1.8681676,1.8681676,1626064474376622,3772,1626064578206413,1626064578210800,33556,29169,Samsung SM-S111DL
8,104458252,1626064474242993,2074,1626064578699171,0,DOWN,104345360,104349931,8,1.8681676,1.8681676,1626064474376622,3772,1626064578718210,1626064578722781,23610,19039,Samsung SM-S111DL
9,104968869,1626064474242993,2074,1626064579209788,0,DOWN,104861884,104865109,9,1.8681676,1.8681676,1626064474376622,3772,1626064579234734,1626064579237959,28171,24946,Samsung SM-S111DL
10,105485758,1626064474242993,2074,1626064579726677,0,DOWN,105385038,105389600,10,1.8681676,1.8681676,1626064474376622,3772,1626064579757888,1626064579762450,35773,31211,Samsung SM-S111DL
11,106004168,1626064474242993,2074,1626064580245087,0,DOWN,105893798,105897099,11,1.8681676,1.8681676,1626064474376622,3772,1626064580266648,1626064580269949,24862,21561,Samsung SM-S111DL
12,106520466,1626064474242993,2074,1626064580761385,0,DOWN,106411813,106415957,12,1.8681676,1.8681676,1626064474376622,3772,1626064580784663,1626064580788807,27422,23278,Samsung SM-S111DL
13,107038890,1626064474242993,2074,1626064581279809,0,DOWN,106930040,106933080,13,1.8681676,1.8681676,1626064474376622,3772,1626064581302890,1626064581305930,26121,23081,Samsung SM-S111DL
14,107555201,1626064474242993,2074,1626064581796120,0,DOWN,107452609,107455796,14,1.8681676,1.8681676,1626064474376622,3772,1626064581825459,1626064581828646,32526,29339,Samsung SM-S111DL
15,108072772,1626064474242993,2074,1626064582313691,0,DOWN,107969436,107973044,15,1.8681676,1.8681676,1626064474376622,3772,1626064582342286,1626064582345894,32203,28595,Samsung SM-S111DL
16,108591183,1626064474242993,2074,1626064582832102,0,DOWN,108491525,108494773,16,1.8681676,1.8681676,1626064474376622,3772,1626064582864375,1626064582867623,35521,32273,Samsung SM-S111DL
17,109112952,1626064474242993,2074,1626064583353871,0,DOWN,108998961,109001722,17,1.8681676,1.8681676,1626064474376622,3772,1626064583371811,1626064583374572,20701,17940,Samsung SM-S111DL
18,109625551,1626064474242993,2074,1626064583866470,0,DOWN,109521050,109524246,18,1.8681676,1.8681676,1626064474376622,3772,1626064583893900,1626064583897096,30626,27430,Samsung SM-S111DL
19,110144001,1626064474242993,2074,1626064584384920,0,DOWN,110036082,110038947,19,1.8681676,1.8681676,1626064474376622,3772,1626064584408932,1626064584411797,26877,24012,Samsung SM-S111DL
