index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model
0,104796930,1626057997816053,1175,1626058102611808,,,,,,,,,,,,,,iPhone9_1
1,105314658,1626057997816053,1175,1626058103129536,0.0,ACTION_DOWN,105163601.0,105164994.0,0.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058103148893.0,1626058103150286.0,20750.0,19357.0,iPhone9_1
2,105831915,1626057997816053,1175,1626058103646793,0.0,ACTION_DOWN,105681590.0,105682786.0,1.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058103666882.0,1626058103668078.0,21285.0,20089.0,iPhone9_1
3,106348331,1626057997816053,1175,1626058104163209,0.0,ACTION_DOWN,106198362.0,106199547.0,2.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058104183654.0,1626058104184839.0,21630.0,20445.0,iPhone9_1
4,106864340,1626057997816053,1175,1626058104679218,0.0,ACTION_DOWN,106698268.0,106699523.0,3.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058104683560.0,1626058104684815.0,5597.0,4342.0,iPhone9_1
5,107379497,1626057997816053,1175,1626058105194375,0.0,ACTION_DOWN,107214894.0,107216045.0,4.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058105200186.0,1626058105201337.0,6962.0,5811.0,iPhone9_1
6,107895940,1626057997816053,1175,1626058105710818,0.0,ACTION_DOWN,107751440.0,107752718.0,5.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058105736732.0,1626058105738010.0,27192.0,25914.0,iPhone9_1
7,108411110,1626057997816053,1175,1626058106225988,0.0,ACTION_DOWN,108248305.0,108249635.0,6.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058106233597.0,1626058106234927.0,8939.0,7609.0,iPhone9_1
8,108927959,1626057997816053,1175,1626058106742837,0.0,ACTION_DOWN,108764971.0,108766253.0,7.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058106750263.0,1626058106751545.0,8708.0,7426.0,iPhone9_1
9,109443955,1626057997816053,1175,1626058107258833,0.0,ACTION_DOWN,109281672.0,109282866.0,8.0,51.295166015625,51.295166015625,1626057997993498.0,8206.0,1626058107266964.0,1626058107268158.0,9325.0,8131.0,iPhone9_1
