index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0.0,60656013.0,1647148825098032.0,1691.0,1647148885752354.0,0.0,DOWN,59886466.0,59893682.0,0.0,0.0,0.0,1647148825880816.0,10005.0,1647148885757277.0,1647148885764493.0,4923.0,12139.0,Google Pixel 5a3,none
,,,,,0.0,DOWN,60078969.0,60082555.0,1.0,0.0,0.0,1647148825880816.0,10005.0,1647148885949780.0,1647148885953366.0,,,Google Pixel 5a3,none
1.0,60855998.0,1647148825098032.0,1691.0,1647148885952339.0,0.0,DOWN,60279885.0,60283285.0,2.0,0.0,0.0,1647148825880816.0,10005.0,1647148886150696.0,1647148886154096.0,198357.0,201757.0,Google Pixel 5a3,none
2.0,61054998.0,1647148825098032.0,1691.0,1647148886151339.0,0.0,DOWN,60475190.0,60481608.0,3.0,0.0,0.0,1647148825880816.0,10005.0,1647148886346001.0,1647148886352419.0,194662.0,201080.0,Google Pixel 5a3,none
3.0,61254000.0,1647148825098032.0,1691.0,1647148886350341.0,0.0,DOWN,60675976.0,60680090.0,4.0,0.0,0.0,1647148825880816.0,10005.0,1647148886546787.0,1647148886550901.0,196446.0,200560.0,Google Pixel 5a3,none
4.0,61453000.0,1647148825098032.0,1691.0,1647148886549341.0,0.0,DOWN,60876627.0,60880250.0,5.0,0.0,0.0,1647148825880816.0,10005.0,1647148886747438.0,1647148886751061.0,198097.0,201720.0,Google Pixel 5a3,none
5.0,61651998.0,1647148825098032.0,1691.0,1647148886748339.0,0.0,DOWN,61072095.0,61075923.0,6.0,0.0,0.0,1647148825880816.0,10005.0,1647148886942906.0,1647148886946734.0,194567.0,198395.0,Google Pixel 5a3,none
6.0,61850999.0,1647148825098032.0,1691.0,1647148886947340.0,0.0,DOWN,61273139.0,61276887.0,7.0,0.0,0.0,1647148825880816.0,10005.0,1647148887143950.0,1647148887147698.0,196610.0,200358.0,Google Pixel 5a3,none
7.0,62050000.0,1647148825098032.0,1691.0,1647148887146341.0,0.0,DOWN,61473964.0,61477399.0,8.0,0.0,0.0,1647148825880816.0,10005.0,1647148887344775.0,1647148887348210.0,198434.0,201869.0,Google Pixel 5a3,none
8.0,62248998.0,1647148825098032.0,1691.0,1647148887345339.0,0.0,DOWN,61669259.0,61672775.0,9.0,0.0,0.0,1647148825880816.0,10005.0,1647148887540070.0,1647148887543586.0,194731.0,198247.0,Google Pixel 5a3,none
9.0,62447998.0,1647148825098032.0,1691.0,1647148887544339.0,0.0,DOWN,61869755.0,61875079.0,10.0,0.0,0.0,1647148825880816.0,10005.0,1647148887740566.0,1647148887745890.0,196227.0,201551.0,Google Pixel 5a3,none
10.0,62647000.0,1647148825098032.0,1691.0,1647148887743341.0,0.0,DOWN,62070160.0,62073704.0,11.0,0.0,0.0,1647148825880816.0,10005.0,1647148887940971.0,1647148887944515.0,197630.0,201174.0,Google Pixel 5a3,none
11.0,62845998.0,1647148825098032.0,1691.0,1647148887942339.0,0.0,DOWN,62264979.0,62268650.0,12.0,0.0,0.0,1647148825880816.0,10005.0,1647148888135790.0,1647148888139461.0,193451.0,197122.0,Google Pixel 5a3,none
12.0,63044998.0,1647148825098032.0,1691.0,1647148888141339.0,0.0,DOWN,62465239.0,62468529.0,13.0,0.0,0.0,1647148825880816.0,10005.0,1647148888336050.0,1647148888339340.0,194711.0,198001.0,Google Pixel 5a3,none
13.0,63244000.0,1647148825098032.0,1691.0,1647148888340341.0,0.0,DOWN,62665586.0,62670005.0,14.0,0.0,0.0,1647148825880816.0,10005.0,1647148888536397.0,1647148888540816.0,196056.0,200475.0,Google Pixel 5a3,none
14.0,63442998.0,1647148825098032.0,1691.0,1647148888539339.0,0.0,DOWN,62866148.0,62870899.0,15.0,0.0,0.0,1647148825880816.0,10005.0,1647148888736959.0,1647148888741710.0,197620.0,202371.0,Google Pixel 5a3,none
15.0,63641998.0,1647148825098032.0,1691.0,1647148888738339.0,,,,,,,,,,,,,,Google Pixel 5a3,none
16.0,63841000.0,1647148825098032.0,1691.0,1647148888937341.0,0.0,DOWN,63089456.0,63094029.0,16.0,0.0,0.0,1647148825880816.0,10005.0,1647148888960267.0,1647148888964840.0,22926.0,27499.0,Google Pixel 5a3,none
,,,,,0.0,DOWN,63261325.0,63264870.0,17.0,0.0,0.0,1647148825880816.0,10005.0,1647148889132136.0,1647148889135681.0,,,Google Pixel 5a3,none
