index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,87362011,1648860408955703,1353,1648860496316361,0,DOWN,87369843,87375384,0,0,0,1648860408955449,3240,1648860496322052,1648860496327593,5691,11232,Google Pixel 5a,none
1,87561999,1648860408955703,1353,1648860496516349,0,DOWN,87566389,87569924,1,0,0,1648860408955449,3240,1648860496518598,1648860496522133,2249,5784,Google Pixel 5a,none
2,87760999,1648860408955703,1353,1648860496715349,0,DOWN,87769103,87772698,2,0,0,1648860408955449,3240,1648860496721312,1648860496724907,5963,9558,Google Pixel 5a,none
3,87960001,1648860408955703,1353,1648860496914351,0,DOWN,87966219,87970682,3,0,0,1648860408955449,3240,1648860496918428,1648860496922891,4077,8540,Google Pixel 5a,none
4,88158999,1648860408955703,1353,1648860497113349,0,DOWN,88163713,88167175,4,0,0,1648860408955449,3240,1648860497115922,1648860497119384,2573,6035,Google Pixel 5a,none
5,88357999,1648860408955703,1353,1648860497312349,0,DOWN,88366072,88368964,5,0,0,1648860408955449,3240,1648860497318281,1648860497321173,5932,8824,Google Pixel 5a,none
6,88557001,1648860408955703,1353,1648860497511351,0,DOWN,88563298,88568211,6,0,0,1648860408955449,3240,1648860497515507,1648860497520420,4156,9069,Google Pixel 5a,none
7,88755999,1648860408955703,1353,1648860497710349,0,DOWN,88760081,88763538,7,0,0,1648860408955449,3240,1648860497712290,1648860497715747,1941,5398,Google Pixel 5a,none
8,88954999,1648860408955703,1353,1648860497909349,0,DOWN,88962209,88965313,8,0,0,1648860408955449,3240,1648860497914418,1648860497917522,5069,8173,Google Pixel 5a,none
9,89154001,1648860408955703,1353,1648860498108351,0,DOWN,89159170,89163295,9,0,0,1648860408955449,3240,1648860498111379,1648860498115504,3028,7153,Google Pixel 5a,none
10,89352999,1648860408955703,1353,1648860498307349,0,DOWN,89361647,89366702,10,0,0,1648860408955449,3240,1648860498313856,1648860498318911,6507,11562,Google Pixel 5a,none
11,89551999,1648860408955703,1353,1648860498506349,0,DOWN,89558696,89562205,11,0,0,1648860408955449,3240,1648860498510905,1648860498514414,4556,8065,Google Pixel 5a,none
12,89751001,1648860408955703,1353,1648860498705351,0,DOWN,89755651,89759092,12,0,0,1648860408955449,3240,1648860498707860,1648860498711301,2509,5950,Google Pixel 5a,none
13,89949999,1648860408955703,1353,1648860498904349,0,DOWN,89957761,89961810,13,0,0,1648860408955449,3240,1648860498909970,1648860498914019,5621,9670,Google Pixel 5a,none
14,90148999,1648860408955703,1353,1648860499103349,0,DOWN,90154739,90158087,14,0,0,1648860408955449,3240,1648860499106948,1648860499110296,3599,6947,Google Pixel 5a,none
15,90348000,1648860408955703,1353,1648860499302350,0,DOWN,90379076,90382071,15,0,0,1648860408955449,3240,1648860499331285,1648860499334280,28935,31930,Google Pixel 5a,none
16,90547001,1648860408955703,1353,1648860499501351,0,DOWN,90553852,90557956,16,0,0,1648860408955449,3240,1648860499506061,1648860499510165,4710,8814,Google Pixel 5a,none
17,90746007,1648860408955703,1353,1648860499700357,0,DOWN,90750504,90754016,17,0,0,1648860408955449,3240,1648860499702713,1648860499706225,2356,5868,Google Pixel 5a,none
18,90945000,1648860408955703,1353,1648860499899350,0,DOWN,90952352,90955193,18,0,0,1648860408955449,3240,1648860499904561,1648860499907402,5211,8052,Google Pixel 5a,none
19,91144001,1648860408955703,1353,1648860500098351,0,DOWN,91148658,91153317,19,0,0,1648860408955449,3240,1648860500100867,1648860500105526,2516,7175,Google Pixel 5a,none
20,91342999,1648860408955703,1353,1648860500297349,0,DOWN,91350626,91353558,20,0,0,1648860408955449,3240,1648860500302835,1648860500305767,5486,8418,Google Pixel 5a,none
21,91541999,1648860408955703,1353,1648860500496349,0,DOWN,91546846,91550190,21,0,0,1648860408955449,3240,1648860500499055,1648860500502399,2706,6050,Google Pixel 5a,none
22,91741001,1648860408955703,1353,1648860500695351,0,DOWN,91748527,91751617,22,0,0,1648860408955449,3240,1648860500700736,1648860500703826,5385,8475,Google Pixel 5a,none
23,91939999,1648860408955703,1353,1648860500894349,0,DOWN,91945185,91949720,23,0,0,1648860408955449,3240,1648860500897394,1648860500901929,3045,7580,Google Pixel 5a,none
24,92138999,1648860408955703,1353,1648860501093349,0,DOWN,92147136,92150471,24,0,0,1648860408955449,3240,1648860501099345,1648860501102680,5996,9331,Google Pixel 5a,none
25,92338001,1648860408955703,1353,1648860501292351,0,DOWN,92343457,92346778,25,0,0,1648860408955449,3240,1648860501295666,1648860501298987,3315,6636,Google Pixel 5a,none
26,92536999,1648860408955703,1353,1648860501491349,0,DOWN,92545169,92550073,26,0,0,1648860408955449,3240,1648860501497378,1648860501502282,6029,10933,Google Pixel 5a,none
27,92735999,1648860408955703,1353,1648860501690349,0,DOWN,92741543,92745662,27,0,0,1648860408955449,3240,1648860501693752,1648860501697871,3403,7522,Google Pixel 5a,none
28,92935001,1648860408955703,1353,1648860501889351,0,DOWN,92943343,92946411,28,0,0,1648860408955449,3240,1648860501895552,1648860501898620,6201,9269,Google Pixel 5a,none
29,93133999,1648860408955703,1353,1648860502088349,0,DOWN,93139839,93142705,29,0,0,1648860408955449,3240,1648860502092048,1648860502094914,3699,6565,Google Pixel 5a,none
30,93332999,1648860408955703,1353,1648860502287349,0,DOWN,93341634,93344566,30,0,0,1648860408955449,3240,1648860502293843,1648860502296775,6494,9426,Google Pixel 5a,none
31,93532001,1648860408955703,1353,1648860502486351,0,DOWN,93538569,93541522,31,0,0,1648860408955449,3240,1648860502490778,1648860502493731,4427,7380,Google Pixel 5a,none
32,93730999,1648860408955703,1353,1648860502685349,0,DOWN,93734827,93738940,32,0,0,1648860408955449,3240,1648860502687036,1648860502691149,1687,5800,Google Pixel 5a,none
33,93929999,1648860408955703,1353,1648860502884349,0,DOWN,93936901,93939914,33,0,0,1648860408955449,3240,1648860502889110,1648860502892123,4761,7774,Google Pixel 5a,none
34,94129001,1648860408955703,1353,1648860503083351,0,DOWN,94133642,94136572,34,0,0,1648860408955449,3240,1648860503085851,1648860503088781,2500,5430,Google Pixel 5a,none
35,94328002,1648860408955703,1353,1648860503282352,0,DOWN,94335394,94338289,35,0,0,1648860408955449,3240,1648860503287603,1648860503290498,5251,8146,Google Pixel 5a,none
36,94526999,1648860408955703,1353,1648860503481349,0,DOWN,94531972,94536166,36,0,0,1648860408955449,3240,1648860503484181,1648860503488375,2832,7026,Google Pixel 5a,none
37,94726000,1648860408955703,1353,1648860503680350,0,DOWN,94734150,94736891,37,0,0,1648860408955449,3240,1648860503686359,1648860503689100,6009,8750,Google Pixel 5a,none
38,94925001,1648860408955703,1353,1648860503879351,0,DOWN,94930566,94933403,38,0,0,1648860408955449,3240,1648860503882775,1648860503885612,3424,6261,Google Pixel 5a,none
39,95123999,1648860408955703,1353,1648860504078349,0,DOWN,95132508,95135319,39,0,0,1648860408955449,3240,1648860504084717,1648860504087528,6368,9179,Google Pixel 5a,none
40,95322999,1648860408955703,1353,1648860504277349,0,DOWN,95328817,95333111,40,0,0,1648860408955449,3240,1648860504281026,1648860504285320,3677,7971,Google Pixel 5a,none
41,95522001,1648860408955703,1353,1648860504476351,0,DOWN,95530683,95533996,41,0,0,1648860408955449,3240,1648860504482892,1648860504486205,6541,9854,Google Pixel 5a,none
42,95720999,1648860408955703,1353,1648860504675349,0,DOWN,95727272,95730560,42,0,0,1648860408955449,3240,1648860504679481,1648860504682769,4132,7420,Google Pixel 5a,none
43,95919999,1648860408955703,1353,1648860504874349,0,DOWN,95923746,95926941,43,0,0,1648860408955449,3240,1648860504875955,1648860504879150,1606,4801,Google Pixel 5a,none
44,96119001,1648860408955703,1353,1648860505073351,0,DOWN,96125524,96128300,44,0,0,1648860408955449,3240,1648860505077733,1648860505080509,4382,7158,Google Pixel 5a,none
45,96317999,1648860408955703,1353,1648860505272349,0,DOWN,96322083,96326576,45,0,0,1648860408955449,3240,1648860505274292,1648860505278785,1943,6436,Google Pixel 5a,none
46,96516999,1648860408955703,1353,1648860505471349,0,DOWN,96524229,96527382,46,0,0,1648860408955449,3240,1648860505476438,1648860505479591,5089,8242,Google Pixel 5a,none
47,96716001,1648860408955703,1353,1648860505670351,0,DOWN,96720683,96723303,47,0,0,1648860408955449,3240,1648860505672892,1648860505675512,2541,5161,Google Pixel 5a,none
48,96914999,1648860408955703,1353,1648860505869349,0,DOWN,96922627,96925533,48,0,0,1648860408955449,3240,1648860505874836,1648860505877742,5487,8393,Google Pixel 5a,none
49,97114001,1648860408955703,1353,1648860506068351,0,DOWN,97118939,97122887,49,0,0,1648860408955449,3240,1648860506071148,1648860506075096,2797,6745,Google Pixel 5a,none
50,97313001,1648860408955703,1353,1648860506267351,0,DOWN,97321053,97324910,50,0,0,1648860408955449,3240,1648860506273262,1648860506277119,5911,9768,Google Pixel 5a,none
51,97511999,1648860408955703,1353,1648860506466349,0,DOWN,97517209,97520661,51,0,0,1648860408955449,3240,1648860506469418,1648860506472870,3069,6521,Google Pixel 5a,none
52,97710999,1648860408955703,1353,1648860506665349,0,DOWN,97718721,97722151,52,0,0,1648860408955449,3240,1648860506670930,1648860506674360,5581,9011,Google Pixel 5a,none
53,97910001,1648860408955703,1353,1648860506864351,0,DOWN,97915416,97919293,53,0,0,1648860408955449,3240,1648860506867625,1648860506871502,3274,7151,Google Pixel 5a,none
54,98109002,1648860408955703,1353,1648860507063352,0,DOWN,98117588,98120892,54,0,0,1648860408955449,3240,1648860507069797,1648860507073101,6445,9749,Google Pixel 5a,none
55,98307999,1648860408955703,1353,1648860507262349,0,DOWN,98314387,98319261,55,0,0,1648860408955449,3240,1648860507266596,1648860507271470,4247,9121,Google Pixel 5a,none
56,98507000,1648860408955703,1353,1648860507461350,0,DOWN,98510943,98514126,56,0,0,1648860408955449,3240,1648860507463152,1648860507466335,1802,4985,Google Pixel 5a,none
57,98706001,1648860408955703,1353,1648860507660351,0,DOWN,98712762,98716455,57,0,0,1648860408955449,3240,1648860507664971,1648860507668664,4620,8313,Google Pixel 5a,none
58,98904999,1648860408955703,1353,1648860507859349,0,DOWN,98909379,98912708,58,0,0,1648860408955449,3240,1648860507861588,1648860507864917,2239,5568,Google Pixel 5a,none
59,99103999,1648860408955703,1353,1648860508058349,0,DOWN,99111137,99115208,59,0,0,1648860408955449,3240,1648860508063346,1648860508067417,4997,9068,Google Pixel 5a,none
60,99303001,1648860408955703,1353,1648860508257351,0,DOWN,99307710,99310993,60,0,0,1648860408955449,3240,1648860508259919,1648860508263202,2568,5851,Google Pixel 5a,none
61,99501999,1648860408955703,1353,1648860508456349,0,DOWN,99509338,99512592,61,0,0,1648860408955449,3240,1648860508461547,1648860508464801,5198,8452,Google Pixel 5a,none
62,99700999,1648860408955703,1353,1648860508655349,0,DOWN,99705897,99709231,62,0,0,1648860408955449,3240,1648860508658106,1648860508661440,2757,6091,Google Pixel 5a,none
63,99900001,1648860408955703,1353,1648860508854351,0,DOWN,99907724,99911784,63,0,0,1648860408955449,3240,1648860508859933,1648860508863993,5582,9642,Google Pixel 5a,none
64,100098999,1648860408955703,1353,1648860509053349,0,DOWN,100103894,100107270,64,0,0,1648860408955449,3240,1648860509056103,1648860509059479,2754,6130,Google Pixel 5a,none
65,100297999,1648860408955703,1353,1648860509252349,0,DOWN,100305640,100308820,65,0,0,1648860408955449,3240,1648860509257849,1648860509261029,5500,8680,Google Pixel 5a,none
66,100497001,1648860408955703,1353,1648860509451351,0,DOWN,100502142,100507292,66,0,0,1648860408955449,3240,1648860509454351,1648860509459501,3000,8150,Google Pixel 5a,none
67,100695999,1648860408955703,1353,1648860509650349,0,DOWN,100703897,100707264,67,0,0,1648860408955449,3240,1648860509656106,1648860509659473,5757,9124,Google Pixel 5a,none
68,100894999,1648860408955703,1353,1648860509849349,0,DOWN,100900460,100903732,68,0,0,1648860408955449,3240,1648860509852669,1648860509855941,3320,6592,Google Pixel 5a,none
69,101094001,1648860408955703,1353,1648860510048351,0,DOWN,101102233,101105616,69,0,0,1648860408955449,3240,1648860510054442,1648860510057825,6091,9474,Google Pixel 5a,none
70,101292999,1648860408955703,1353,1648860510247349,0,DOWN,101298604,101302941,70,0,0,1648860408955449,3240,1648860510250813,1648860510255150,3464,7801,Google Pixel 5a,none
71,101491999,1648860408955703,1353,1648860510446349,0,DOWN,101500320,101504070,71,0,0,1648860408955449,3240,1648860510452529,1648860510456279,6180,9930,Google Pixel 5a,none
