index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0.0,117400013.0,1647119196787765.0,1554.0,1647119314186224.0,0.0,DOWN,117379899.0,117388185.0,0.0,0.51290566,0.51290566,1647119196824869.0,13144.0,1647119314191624.0,1647119314199910.0,5400.0,13686.0,Google Pixel 6,none
,,,,,0.0,DOWN,118370260.0,118378761.0,1.0,0.71806794,0.51290566,1647119196824869.0,13144.0,1647119315181985.0,1647119315190486.0,,,Google Pixel 6,none
1.0,118398000.0,1647119196787765.0,1554.0,1647119315184211.0,0.0,DOWN,119366941.0,119377321.0,2.0,0.8206491,0.51290566,1647119196824869.0,13144.0,1647119316178666.0,1647119316189046.0,994455.0,1004835.0,Google Pixel 6,none
2.0,119395001.0,1647119196787765.0,1554.0,1647119316181212.0,,,,,,,,,,,,,,Google Pixel 6,none
3.0,120391998.0,1647119196787765.0,1554.0,1647119317178209.0,0.0,DOWN,120369255.0,120376997.0,3.0,0.8206491,0.51290566,1647119196824869.0,13144.0,1647119317180980.0,1647119317188722.0,2771.0,10513.0,Google Pixel 6,none
4.0,121388998.0,1647119196787765.0,1554.0,1647119318175209.0,0.0,DOWN,121365767.0,121374080.0,4.0,0.51290566,0.51290566,1647119196824869.0,13144.0,1647119318177492.0,1647119318185805.0,2283.0,10596.0,Google Pixel 6,none
5.0,122385998.0,1647119196787765.0,1554.0,1647119319172209.0,0.0,DOWN,122378142.0,122385084.0,5.0,0.71806794,0.51290566,1647119196824869.0,13144.0,1647119319189867.0,1647119319196809.0,17658.0,24600.0,Google Pixel 6,none
6.0,123382999.0,1647119196787765.0,1554.0,1647119320169210.0,0.0,DOWN,123358568.0,123365351.0,6.0,0.8206491,0.6154868,1647119196824869.0,13144.0,1647119320170293.0,1647119320177076.0,1083.0,7866.0,Google Pixel 6,none
7.0,124380000.0,1647119196787765.0,1554.0,1647119321166211.0,0.0,DOWN,124354584.0,124362285.0,7.0,0.8206491,0.6154868,1647119196824869.0,13144.0,1647119321166309.0,1647119321174010.0,98.0,7799.0,Google Pixel 6,none
,,,,,0.0,DOWN,125350677.0,125358434.0,8.0,0.71806794,0.51290566,1647119196824869.0,13144.0,1647119322162402.0,1647119322170159.0,,,Google Pixel 6,none
8.0,125377001.0,1647119196787765.0,1554.0,1647119322163212.0,,,,,,,,,,,,,,Google Pixel 6,none
9.0,126373998.0,1647119196787765.0,1554.0,1647119323160209.0,0.0,DOWN,126352177.0,126361159.0,9.0,0.71806794,0.51290566,1647119196824869.0,13144.0,1647119323163902.0,1647119323172884.0,3693.0,12675.0,Google Pixel 6,none
,,,,,0.0,DOWN,127342350.0,127350913.0,10.0,0.8206491,0.51290566,1647119196824869.0,13144.0,1647119324154075.0,1647119324162638.0,,,Google Pixel 6,none
10.0,127370998.0,1647119196787765.0,1554.0,1647119324157209.0,,,,,,,,,,,,,,Google Pixel 6,none
11.0,128367998.0,1647119196787765.0,1554.0,1647119325154209.0,0.0,DOWN,128343839.0,128350966.0,11.0,0.71806794,0.51290566,1647119196824869.0,13144.0,1647119325155564.0,1647119325162691.0,1355.0,8482.0,Google Pixel 6,none
,,,,,0.0,DOWN,129338844.0,129346302.0,12.0,0.71806794,0.51290566,1647119196824869.0,13144.0,1647119326150569.0,1647119326158027.0,,,Google Pixel 6,none
12.0,129364998.0,1647119196787765.0,1554.0,1647119326151209.0,0.0,DOWN,130334152.0,130341742.0,13.0,0.51290566,0.51290566,1647119196824869.0,13144.0,1647119327145877.0,1647119327153467.0,994668.0,1002258.0,Google Pixel 6,none
13.0,130361999.0,1647119196787765.0,1554.0,1647119327148210.0,,,,,,,,,,,,,,Google Pixel 6,none
14.0,131359000.0,1647119196787765.0,1554.0,1647119328145211.0,0.0,DOWN,131334978.0,131343101.0,14.0,0.8206491,0.6154868,1647119196824869.0,13144.0,1647119328146703.0,1647119328154826.0,1492.0,9615.0,Google Pixel 6,none
,,,,,0.0,DOWN,132329776.0,132337626.0,15.0,0.71806794,0.51290566,1647119196824869.0,13144.0,1647119329141501.0,1647119329149351.0,,,Google Pixel 6,none
15.0,132356000.0,1647119196787765.0,1554.0,1647119329142211.0,0.0,DOWN,133325156.0,133332246.0,16.0,0.8206491,0.51290566,1647119196824869.0,13144.0,1647119330136881.0,1647119330143971.0,994670.0,1001760.0,Google Pixel 6,none
16.0,133352998.0,1647119196787765.0,1554.0,1647119330139209.0,,,,,,,,,,,,,,Google Pixel 6,none
17.0,134349998.0,1647119196787765.0,1554.0,1647119331136209.0,0.0,DOWN,134325998.0,134335749.0,17.0,0.51290566,0.51290566,1647119196824869.0,13144.0,1647119331137723.0,1647119331147474.0,1514.0,11265.0,Google Pixel 6,none
