index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0.0,60735867.0,1647146976614506.0,1605.0,1647147037348768.0,0.0,DOWN,60283911.0,60292330.0,0.0,0.92323023,0.6154868,1647146977077241.0,5745.0,1647147037355407.0,1647147037363826.0,6639.0,15058.0,Google Pixel 6b,none
1.0,60935854.0,1647146976614506.0,1605.0,1647147037548755.0,0.0,DOWN,60477288.0,60483719.0,1.0,0.92323023,0.6154868,1647146977077241.0,5745.0,1647147037548784.0,1647147037555215.0,29.0,6460.0,Google Pixel 6b,none
2.0,61134855.0,1647146976614506.0,1605.0,1647147037747756.0,0.0,DOWN,60676537.0,60682336.0,2.0,0.92323023,0.6154868,1647146977077241.0,5745.0,1647147037748033.0,1647147037753832.0,277.0,6076.0,Google Pixel 6b,none
3.0,61333857.0,1647146976614506.0,1605.0,1647147037946758.0,0.0,DOWN,60875315.0,60881806.0,3.0,0.92323023,0.6154868,1647146977077241.0,5745.0,1647147037946811.0,1647147037953302.0,53.0,6544.0,Google Pixel 6b,none
4.0,61532854.0,1647146976614506.0,1605.0,1647147038145755.0,0.0,DOWN,61074410.0,61081145.0,4.0,0.92323023,0.6154868,1647146977077241.0,5745.0,1647147038145906.0,1647147038152641.0,151.0,6886.0,Google Pixel 6b,none
5.0,61731854.0,1647146976614506.0,1605.0,1647147038344755.0,0.0,DOWN,61273897.0,61280288.0,5.0,0.92323023,0.6154868,1647146977077241.0,5745.0,1647147038345393.0,1647147038351784.0,638.0,7029.0,Google Pixel 6b,none
6.0,61930857.0,1647146976614506.0,1605.0,1647147038543758.0,0.0,DOWN,61472305.0,61478754.0,6.0,0.92323023,0.6154868,1647146977077241.0,5745.0,1647147038543801.0,1647147038550250.0,43.0,6492.0,Google Pixel 6b,none
7.0,62129854.0,1647146976614506.0,1605.0,1647147038742755.0,0.0,DOWN,61671347.0,61676964.0,7.0,0.92323023,0.6154868,1647146977077241.0,5745.0,1647147038742843.0,1647147038748460.0,88.0,5705.0,Google Pixel 6b,none
8.0,62328854.0,1647146976614506.0,1605.0,1647147038941755.0,0.0,DOWN,61870437.0,61876237.0,8.0,0.92323023,0.6154868,1647146977077241.0,5745.0,1647147038941933.0,1647147038947733.0,178.0,5978.0,Google Pixel 6b,none
9.0,62527862.0,1647146976614506.0,1605.0,1647147039140763.0,0.0,DOWN,62069835.0,62076088.0,9.0,0.92323023,0.6154868,1647146977077241.0,5745.0,1647147039141331.0,1647147039147584.0,568.0,6821.0,Google Pixel 6b,none
