index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,117166008,1631139669109489,1015,1631139786274482,0,DOWN,117206465,117209816,0,0,0,1631139669109344,1929,1631139786313880,1631139786317231,39398,42749,LGE LGL322DL,none
1,118163995,1631139669109489,1015,1631139787272469,0,DOWN,118202215,118205858,1,0,0,1631139669109344,1929,1631139787309630,1631139787313273,37161,40804,LGE LGL322DL,none
2,119160995,1631139669109489,1015,1631139788269469,0,DOWN,119203294,119205677,2,0,0,1631139669109344,1929,1631139788310709,1631139788313092,41240,43623,LGE LGL322DL,none
3,120157995,1631139669109489,1015,1631139789266469,0,DOWN,120197140,120200111,3,0,0,1631139669109344,1929,1631139789304555,1631139789307526,38086,41057,LGE LGL322DL,none
4,121154995,1631139669109489,1015,1631139790263469,0,DOWN,121192682,121195723,4,0,0,1631139669109344,1929,1631139790300097,1631139790303138,36628,39669,LGE LGL322DL,none
5,122151997,1631139669109489,1015,1631139791260471,0,DOWN,122195585,122198584,5,0,0,1631139669109344,1929,1631139791303000,1631139791305999,42529,45528,LGE LGL322DL,none
6,123148997,1631139669109489,1015,1631139792257471,0,DOWN,123189361,123193047,6,0,0,1631139669109344,1929,1631139792296776,1631139792300462,39305,42991,LGE LGL322DL,none
7,124145997,1631139669109489,1015,1631139793254471,0,DOWN,124182732,124186673,7,0,0,1631139669109344,1929,1631139793290147,1631139793294088,35676,39617,LGE LGL322DL,none
8,125142995,1631139669109489,1015,1631139794251469,0,DOWN,125186134,125189485,8,0,0,1631139669109344,1929,1631139794293549,1631139794296900,42080,45431,LGE LGL322DL,none
9,126139995,1631139669109489,1015,1631139795248469,0,DOWN,126180490,126183294,9,0,0,1631139669109344,1929,1631139795287905,1631139795290709,39436,42240,LGE LGL322DL,none
10,127136995,1631139669109489,1015,1631139796245469,0,DOWN,127182778,127185708,10,0,0,1631139669109344,1929,1631139796290193,1631139796293123,44724,47654,LGE LGL322DL,none
11,128133995,1631139669109489,1015,1631139797242469,0,DOWN,128175012,128177575,11,0,0,1631139669109344,1929,1631139797282427,1631139797284990,39958,42521,LGE LGL322DL,none
12,129130997,1631139669109489,1015,1631139798239471,0,DOWN,129170434,129173412,12,0,0,1631139669109344,1929,1631139798277849,1631139798280827,38378,41356,LGE LGL322DL,none
13,130127997,1631139669109489,1015,1631139799236471,0,DOWN,130174007,130177553,13,0,0,1631139669109344,1929,1631139799281422,1631139799284968,44951,48497,LGE LGL322DL,none
14,131124998,1631139669109489,1015,1631139800233472,0,DOWN,131164699,131167992,14,0,0,1631139669109344,1929,1631139800272114,1631139800275407,38642,41935,LGE LGL322DL,none
15,132121995,1631139669109489,1015,1631139801230469,0,DOWN,132158911,132162117,15,0,0,1631139669109344,1929,1631139801266326,1631139801269532,35857,39063,LGE LGL322DL,none
