index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,40221675,1631164655426138,841,1631164695646972,0,DOWN,40243746,40247932,0,0.032331042,0.032331042,1631164655425986,3698,1631164695666034,1631164695670220,19062,23248,Motorola moto g stylus (XT2115DL),none
1,40421664,1631164655426138,841,1631164695846961,0,DOWN,40441593,40447196,1,0.038797252,0.038797252,1631164655425986,3698,1631164695863881,1631164695869484,16920,22523,Motorola moto g stylus (XT2115DL),none
2,40620665,1631164655426138,841,1631164696045962,0,DOWN,40643333,40649160,2,0.038797252,0.038797252,1631164655425986,3698,1631164696065621,1631164696071448,19659,25486,Motorola moto g stylus (XT2115DL),none
3,40819662,1631164655426138,841,1631164696244959,0,DOWN,40833073,40837020,3,0.038797252,0.038797252,1631164655425986,3698,1631164696255361,1631164696259308,10402,14349,Motorola moto g stylus (XT2115DL),none
4,41018669,1631164655426138,841,1631164696443966,0,DOWN,41034707,41039223,4,0.038797252,0.038797252,1631164655425986,3698,1631164696456995,1631164696461511,13029,17545,Motorola moto g stylus (XT2115DL),none
5,41217664,1631164655426138,841,1631164696642961,0,DOWN,41233757,41238591,5,0.038797252,0.038797252,1631164655425986,3698,1631164696656045,1631164696660879,13084,17918,Motorola moto g stylus (XT2115DL),none
6,41416662,1631164655426138,841,1631164696841959,0,DOWN,41434648,41439468,6,0.038797252,0.038797252,1631164655425986,3698,1631164696856936,1631164696861756,14977,19797,Motorola moto g stylus (XT2115DL),none
7,41615663,1631164655426138,841,1631164697040960,0,DOWN,41635216,41639179,7,0.038797252,0.038797252,1631164655425986,3698,1631164697057504,1631164697061467,16544,20507,Motorola moto g stylus (XT2115DL),none
8,41814664,1631164655426138,841,1631164697239961,0,DOWN,41834845,41839597,8,0.038797252,0.038797252,1631164655425986,3698,1631164697257133,1631164697261885,17172,21924,Motorola moto g stylus (XT2115DL),none
9,42013662,1631164655426138,841,1631164697438959,0,DOWN,42035031,42039630,9,0.038797252,0.038797252,1631164655425986,3698,1631164697457319,1631164697461918,18360,22959,Motorola moto g stylus (XT2115DL),none
10,42212662,1631164655426138,841,1631164697637959,0,DOWN,42235037,42239324,10,0.038797252,0.038797252,1631164655425986,3698,1631164697657325,1631164697661612,19366,23653,Motorola moto g stylus (XT2115DL),none
11,42411664,1631164655426138,841,1631164697836961,0,DOWN,42434490,42440152,11,0.038797252,0.038797252,1631164655425986,3698,1631164697856778,1631164697862440,19817,25479,Motorola moto g stylus (XT2115DL),none
12,42610662,1631164655426138,841,1631164698035959,0,DOWN,42626694,42631068,12,0.038797252,0.038797252,1631164655425986,3698,1631164698048982,1631164698053356,13023,17397,Motorola moto g stylus (XT2115DL),none
13,42809662,1631164655426138,841,1631164698234959,0,DOWN,42825334,42831615,13,0.038797252,0.038797252,1631164655425986,3698,1631164698247622,1631164698253903,12663,18944,Motorola moto g stylus (XT2115DL),none
14,43008664,1631164655426138,841,1631164698433961,0,DOWN,43025226,43029001,14,0.038797252,0.038797252,1631164655425986,3698,1631164698447514,1631164698451289,13553,17328,Motorola moto g stylus (XT2115DL),none
15,43207662,1631164655426138,841,1631164698632959,0,DOWN,43226507,43230693,15,0.038797252,0.038797252,1631164655425986,3698,1631164698648795,1631164698652981,15836,20022,Motorola moto g stylus (XT2115DL),none
