index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,116654009,1631119546821948,1804,1631119663474153,0,DOWN,116675031,116677318,0,0.010866201,0.00814965,1631119546821787,3657,1631119663493161,1631119663495448,19008,21295,Samsung SM-A305G,none
1,117651999,1631119546821948,1804,1631119664472143,0,DOWN,117676631,117679565,1,0.010866201,0.00814965,1631119546821787,3657,1631119664494761,1631119664497695,22618,25552,Samsung SM-A305G,none
2,118648997,1631119546821948,1804,1631119665469141,0,DOWN,118669883,118672731,2,0.010866201,0.00814965,1631119546821787,3657,1631119665488013,1631119665490861,18872,21720,Samsung SM-A305G,none
3,119645997,1631119546821948,1804,1631119666466141,0,DOWN,119673206,119676267,3,0.010866201,0.00814965,1631119546821787,3657,1631119666491336,1631119666494397,25195,28256,Samsung SM-A305G,none
4,120642997,1631119546821948,1804,1631119667463141,0,DOWN,120663272,120665895,4,0.010866201,0.00814965,1631119546821787,3657,1631119667481402,1631119667484025,18261,20884,Samsung SM-A305G,none
5,121639997,1631119546821948,1804,1631119668460141,0,DOWN,121664143,121666509,5,0.010866201,0.00814965,1631119546821787,3657,1631119668482273,1631119668484639,22132,24498,Samsung SM-A305G,none
6,122636999,1631119546821948,1804,1631119669457143,0,DOWN,122656844,122659661,6,0.010866201,0.00814965,1631119546821787,3657,1631119669474974,1631119669477791,17831,20648,Samsung SM-A305G,none
7,123633999,1631119546821948,1804,1631119670454143,0,DOWN,123658436,123661236,7,0.010866201,0.00814965,1631119546821787,3657,1631119670476566,1631119670479366,22423,25223,Samsung SM-A305G,none
8,124631000,1631119546821948,1804,1631119671451144,0,DOWN,124651598,124655263,8,0.010866201,0.00814965,1631119546821787,3657,1631119671469728,1631119671473393,18584,22249,Samsung SM-A305G,none
9,125627997,1631119546821948,1804,1631119672448141,0,DOWN,125653464,125656476,9,0.010866201,0.00814965,1631119546821787,3657,1631119672471594,1631119672474606,23453,26465,Samsung SM-A305G,none
10,126624997,1631119546821948,1804,1631119673445141,0,DOWN,126648411,126650974,10,0.010866201,0.00814965,1631119546821787,3657,1631119673466541,1631119673469104,21400,23963,Samsung SM-A305G,none
11,127621997,1631119546821948,1804,1631119674442141,0,DOWN,127654742,127657668,11,0.010866201,0.00814965,1631119546821787,3657,1631119674472872,1631119674475798,30731,33657,Samsung SM-A305G,none
12,128618998,1631119546821948,1804,1631119675439142,0,DOWN,128639372,128641448,12,0.010866201,0.00814965,1631119546821787,3657,1631119675457502,1631119675459578,18360,20436,Samsung SM-A305G,none
13,129615999,1631119546821948,1804,1631119676436143,0,DOWN,129641244,129644020,13,0.010866201,0.00814965,1631119546821787,3657,1631119676459374,1631119676462150,23231,26007,Samsung SM-A305G,none
14,130613000,1631119546821948,1804,1631119677433144,0,DOWN,130634221,130637072,14,0.010866201,0.00814965,1631119546821787,3657,1631119677452351,1631119677455202,19207,22058,Samsung SM-A305G,none
15,131609997,1631119546821948,1804,1631119678430141,0,DOWN,131638371,131641004,15,0.010866201,0.00814965,1631119546821787,3657,1631119678456501,1631119678459134,26360,28993,Samsung SM-A305G,none
16,132606997,1631119546821948,1804,1631119679427141,0,DOWN,132628152,132630837,16,0.010866201,0.00814965,1631119546821787,3657,1631119679446282,1631119679448967,19141,21826,Samsung SM-A305G,none
17,133603997,1631119546821948,1804,1631119680424141,0,DOWN,133633883,133636655,17,0.010866201,0.00814965,1631119546821787,3657,1631119680452013,1631119680454785,27872,30644,Samsung SM-A305G,none
18,134600997,1631119546821948,1804,1631119681421141,0,DOWN,134621832,134623894,18,0.010866201,0.00814965,1631119546821787,3657,1631119681439962,1631119681442024,18821,20883,Samsung SM-A305G,none
19,135597998,1631119546821948,1804,1631119682418142,0,DOWN,135627197,135630157,19,0.010866201,0.00814965,1631119546821787,3657,1631119682445327,1631119682448287,27185,30145,Samsung SM-A305G,none
20,136595000,1631119546821948,1804,1631119683415144,0,DOWN,136616532,136619282,20,0.010866201,0.00814965,1631119546821787,3657,1631119683434662,1631119683437412,19518,22268,Samsung SM-A305G,none
21,137591999,1631119546821948,1804,1631119684412143,0,DOWN,137624904,137627830,21,0.010866201,0.00814965,1631119546821787,3657,1631119684443034,1631119684445960,30891,33817,Samsung SM-A305G,none
22,138588997,1631119546821948,1804,1631119685409141,0,DOWN,138610729,138613402,22,0.010866201,0.00814965,1631119546821787,3657,1631119685428859,1631119685431532,19718,22391,Samsung SM-A305G,none
23,139585997,1631119546821948,1804,1631119686406141,0,DOWN,139612721,139615432,23,0.010866201,0.00814965,1631119546821787,3657,1631119686430851,1631119686433562,24710,27421,Samsung SM-A305G,none
24,140582997,1631119546821948,1804,1631119687403141,0,DOWN,140604266,140607047,24,0.010866201,0.00814965,1631119546821787,3657,1631119687422396,1631119687425177,19255,22036,Samsung SM-A305G,none
25,141579997,1631119546821948,1804,1631119688400141,0,DOWN,141607371,141610274,25,0.010866201,0.00814965,1631119546821787,3657,1631119688425501,1631119688428404,25360,28263,Samsung SM-A305G,none
26,142576998,1631119546821948,1804,1631119689397142,0,DOWN,142599225,142602717,26,0.010866201,0.00814965,1631119546821787,3657,1631119689417355,1631119689420847,20213,23705,Samsung SM-A305G,none
