index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,116501283,1631219358557757,1220,1631219475057820,0.0,DOWN,116520052.0,116522598.0,0.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219475074346.0,1631219475076892.0,16526.0,19072.0,Samsung SM-A325M,none
1,117499270,1631219358557757,1220,1631219476055807,0.0,DOWN,117518569.0,117520965.0,1.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219476072863.0,1631219476075259.0,17056.0,19452.0,Samsung SM-A325M,none
2,118496270,1631219358557757,1220,1631219477052807,0.0,DOWN,118514050.0,118516423.0,2.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219477068344.0,1631219477070717.0,15537.0,17910.0,Samsung SM-A325M,none
3,119493270,1631219358557757,1220,1631219478049807,0.0,DOWN,119508109.0,119509875.0,3.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219478062403.0,1631219478064169.0,12596.0,14362.0,Samsung SM-A325M,none
4,120490272,1631219358557757,1220,1631219479046809,0.0,DOWN,120508666.0,120510981.0,4.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219479062960.0,1631219479065275.0,16151.0,18466.0,Samsung SM-A325M,none
5,121487272,1631219358557757,1220,1631219480043809,0.0,DOWN,121501982.0,121504405.0,5.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219480056276.0,1631219480058699.0,12467.0,14890.0,Samsung SM-A325M,none
6,122484272,1631219358557757,1220,1631219481040809,0.0,DOWN,122503455.0,122505781.0,6.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219481057749.0,1631219481060075.0,16940.0,19266.0,Samsung SM-A325M,none
7,123481270,1631219358557757,1220,1631219482037807,0.0,DOWN,123496444.0,123498638.0,7.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219482050738.0,1631219482052932.0,12931.0,15125.0,Samsung SM-A325M,none
8,124478270,1631219358557757,1220,1631219483034807,0.0,DOWN,124497268.0,124499227.0,8.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219483051562.0,1631219483053521.0,16755.0,18714.0,Samsung SM-A325M,none
9,125475270,1631219358557757,1220,1631219484031807,0.0,DOWN,125491380.0,125493274.0,9.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219484045674.0,1631219484047568.0,13867.0,15761.0,Samsung SM-A325M,none
10,126472271,1631219358557757,1220,1631219485028808,0.0,DOWN,126486778.0,126489265.0,10.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219485041072.0,1631219485043559.0,12264.0,14751.0,Samsung SM-A325M,none
11,127469272,1631219358557757,1220,1631219486025809,0.0,DOWN,127487045.0,127489143.0,11.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219486041339.0,1631219486043437.0,15530.0,17628.0,Samsung SM-A325M,none
12,128466272,1631219358557757,1220,1631219487022809,0.0,DOWN,128486771.0,128489091.0,12.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219487041065.0,1631219487043385.0,18256.0,20576.0,Samsung SM-A325M,none
13,129463270,1631219358557757,1220,1631219488019807,0.0,DOWN,129479839.0,129482118.0,13.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219488034133.0,1631219488036412.0,14326.0,16605.0,Samsung SM-A325M,none
14,130460270,1631219358557757,1220,1631219489016807,0.0,DOWN,130475974.0,130477988.0,14.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219489030268.0,1631219489032282.0,13461.0,15475.0,Samsung SM-A325M,none
15,131457270,1631219358557757,1220,1631219490013807,0.0,DOWN,131474658.0,131477041.0,15.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219490028952.0,1631219490031335.0,15145.0,17528.0,Samsung SM-A325M,none
16,132454270,1631219358557757,1220,1631219491010807,0.0,DOWN,132469407.0,132471758.0,16.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219491023701.0,1631219491026052.0,12894.0,15245.0,Samsung SM-A325M,none
17,133451271,1631219358557757,1220,1631219492007808,0.0,DOWN,133469933.0,133472429.0,17.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219492024227.0,1631219492026723.0,16419.0,18915.0,Samsung SM-A325M,none
18,134448272,1631219358557757,1220,1631219493004809,0.0,DOWN,134464089.0,134466532.0,18.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219493018383.0,1631219493020826.0,13574.0,16017.0,Samsung SM-A325M,none
19,135445272,1631219358557757,1220,1631219494001809,0.0,DOWN,135462967.0,135465071.0,19.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219494017261.0,1631219494019365.0,15452.0,17556.0,Samsung SM-A325M,none
20,136442270,1631219358557757,1220,1631219494998807,0.0,DOWN,136459207.0,136461627.0,20.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219495013501.0,1631219495015921.0,14694.0,17114.0,Samsung SM-A325M,none
21,137439270,1631219358557757,1220,1631219495995807,0.0,DOWN,137459128.0,137461898.0,21.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219496013422.0,1631219496016192.0,17615.0,20385.0,Samsung SM-A325M,none
22,138436270,1631219358557757,1220,1631219496992807,0.0,DOWN,138453225.0,138455476.0,22.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219497007519.0,1631219497009770.0,14712.0,16963.0,Samsung SM-A325M,none
23,139433270,1631219358557757,1220,1631219497989807,0.0,DOWN,139453130.0,139455324.0,23.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219498007424.0,1631219498009618.0,17617.0,19811.0,Samsung SM-A325M,none
24,140430273,1631219358557757,1220,1631219498986810,0.0,DOWN,140447956.0,140450275.0,24.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219499002250.0,1631219499004569.0,15440.0,17759.0,Samsung SM-A325M,none
25,141427272,1631219358557757,1220,1631219499983809,0.0,DOWN,141440581.0,141442755.0,25.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219499994875.0,1631219499997049.0,11066.0,13240.0,Samsung SM-A325M,none
26,142424272,1631219358557757,1220,1631219500980809,0.0,DOWN,142442220.0,142444188.0,26.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219500996514.0,1631219500998482.0,15705.0,17673.0,Samsung SM-A325M,none
27,143421270,1631219358557757,1220,1631219501977807,0.0,DOWN,143442202.0,143444331.0,27.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219501996496.0,1631219501998625.0,18689.0,20818.0,Samsung SM-A325M,none
28,144418270,1631219358557757,1220,1631219502974807,0.0,DOWN,144436623.0,144438559.0,28.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219502990917.0,1631219502992853.0,16110.0,18046.0,Samsung SM-A325M,none
29,145415270,1631219358557757,1220,1631219503971807,0.0,DOWN,145430428.0,145432730.0,29.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219503984722.0,1631219503987024.0,12915.0,15217.0,Samsung SM-A325M,none
30,146412270,1631219358557757,1220,1631219504968807,0.0,DOWN,146430322.0,146432611.0,30.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219504984616.0,1631219504986905.0,15809.0,18098.0,Samsung SM-A325M,none
31,147409271,1631219358557757,1220,1631219505965808,0.0,DOWN,147424778.0,147427086.0,31.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219505979072.0,1631219505981380.0,13264.0,15572.0,Samsung SM-A325M,none
32,148406272,1631219358557757,1220,1631219506962809,0.0,DOWN,148424670.0,148426708.0,32.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219506978964.0,1631219506981002.0,16155.0,18193.0,Samsung SM-A325M,none
33,149403272,1631219358557757,1220,1631219507959809,0.0,DOWN,149418641.0,149420865.0,33.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219507972935.0,1631219507975159.0,13126.0,15350.0,Samsung SM-A325M,none
34,150400270,1631219358557757,1220,1631219508956807,0.0,DOWN,150418209.0,150420562.0,34.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219508972503.0,1631219508974856.0,15696.0,18049.0,Samsung SM-A325M,none
35,151397270,1631219358557757,1220,1631219509953807,0.0,DOWN,151412153.0,151414141.0,35.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219509966447.0,1631219509968435.0,12640.0,14628.0,Samsung SM-A325M,none
36,152394270,1631219358557757,1220,1631219510950807,0.0,DOWN,152411493.0,152413481.0,36.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219510965787.0,1631219510967775.0,14980.0,16968.0,Samsung SM-A325M,none
37,153391270,1631219358557757,1220,1631219511947807,0.0,DOWN,153405599.0,153407635.0,37.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219511959893.0,1631219511961929.0,12086.0,14122.0,Samsung SM-A325M,none
38,154388272,1631219358557757,1220,1631219512944809,0.0,DOWN,154405454.0,154407664.0,38.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219512959748.0,1631219512961958.0,14939.0,17149.0,Samsung SM-A325M,none
39,155385272,1631219358557757,1220,1631219513941809,0.0,DOWN,155400292.0,155402358.0,39.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219513954586.0,1631219513956652.0,12777.0,14843.0,Samsung SM-A325M,none
40,156382273,1631219358557757,1220,1631219514938810,0.0,DOWN,156399364.0,156401830.0,40.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219514953658.0,1631219514956124.0,14848.0,17314.0,Samsung SM-A325M,none
41,157379270,1631219358557757,1220,1631219515935807,0.0,DOWN,157395026.0,157397235.0,41.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219515949320.0,1631219515951529.0,13513.0,15722.0,Samsung SM-A325M,none
42,158376270,1631219358557757,1220,1631219516932807,0.0,DOWN,158394481.0,158396874.0,42.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219516948775.0,1631219516951168.0,15968.0,18361.0,Samsung SM-A325M,none
43,159373270,1631219358557757,1220,1631219517929807,0.0,DOWN,159389864.0,159392396.0,43.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219517944158.0,1631219517946690.0,14351.0,16883.0,Samsung SM-A325M,none
44,160370270,1631219358557757,1220,1631219518926807,0.0,DOWN,160389256.0,160391588.0,44.0,0.029959152,0.021788474,1631219358557609.0,3315.0,1631219518943550.0,1631219518945882.0,16743.0,19075.0,Samsung SM-A325M,none
45,161367272,1631219358557757,1220,1631219519923809,,,,,,,,,,,,,,Samsung SM-A325M,none
46,162364272,1631219358557757,1220,1631219520920809,,,,,,,,,,,,,,Samsung SM-A325M,none
47,163361272,1631219358557757,1220,1631219521917809,,,,,,,,,,,,,,Samsung SM-A325M,none
48,164358270,1631219358557757,1220,1631219522914807,0.0,DOWN,164378148.0,164380161.0,45.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219522932442.0,1631219522934455.0,17635.0,19648.0,Samsung SM-A325M,none
49,165355270,1631219358557757,1220,1631219523911807,0.0,DOWN,165372974.0,165375017.0,46.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219523927268.0,1631219523929311.0,15461.0,17504.0,Samsung SM-A325M,none
50,166352270,1631219358557757,1220,1631219524908807,0.0,DOWN,166372617.0,166374812.0,47.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219524926911.0,1631219524929106.0,18104.0,20299.0,Samsung SM-A325M,none
51,167349270,1631219358557757,1220,1631219525905807,0.0,DOWN,167366826.0,167368993.0,48.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219525921120.0,1631219525923287.0,15313.0,17480.0,Samsung SM-A325M,none
52,168346272,1631219358557757,1220,1631219526902809,0.0,DOWN,168360930.0,168363268.0,49.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219526915224.0,1631219526917562.0,12415.0,14753.0,Samsung SM-A325M,none
53,169343272,1631219358557757,1220,1631219527899809,0.0,DOWN,169360778.0,169363125.0,50.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219527915072.0,1631219527917419.0,15263.0,17610.0,Samsung SM-A325M,none
54,170340273,1631219358557757,1220,1631219528896810,0.0,DOWN,170360474.0,170362615.0,51.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219528914768.0,1631219528916909.0,17958.0,20099.0,Samsung SM-A325M,none
55,171337270,1631219358557757,1220,1631219529893807,0.0,DOWN,171354333.0,171356660.0,52.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219529908627.0,1631219529910954.0,14820.0,17147.0,Samsung SM-A325M,none
56,172334270,1631219358557757,1220,1631219530890807,0.0,DOWN,172349319.0,172351406.0,53.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219530903613.0,1631219530905700.0,12806.0,14893.0,Samsung SM-A325M,none
57,173331270,1631219358557757,1220,1631219531887807,0.0,DOWN,173347569.0,173350063.0,54.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219531901863.0,1631219531904357.0,14056.0,16550.0,Samsung SM-A325M,none
58,174328271,1631219358557757,1220,1631219532884808,0.0,DOWN,174343998.0,174346395.0,55.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219532898292.0,1631219532900689.0,13484.0,15881.0,Samsung SM-A325M,none
59,175325273,1631219358557757,1220,1631219533881810,0.0,DOWN,175344547.0,175346469.0,56.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219533898841.0,1631219533900763.0,17031.0,18953.0,Samsung SM-A325M,none
60,176322272,1631219358557757,1220,1631219534878809,0.0,DOWN,176339032.0,176341128.0,57.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219534893326.0,1631219534895422.0,14517.0,16613.0,Samsung SM-A325M,none
61,177319270,1631219358557757,1220,1631219535875807,0.0,DOWN,177339081.0,177341184.0,58.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219535893375.0,1631219535895478.0,17568.0,19671.0,Samsung SM-A325M,none
62,178316270,1631219358557757,1220,1631219536872807,0.0,DOWN,178333399.0,178335697.0,59.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219536887693.0,1631219536889991.0,14886.0,17184.0,Samsung SM-A325M,none
63,179313270,1631219358557757,1220,1631219537869807,0.0,DOWN,179327966.0,179330130.0,60.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219537882260.0,1631219537884424.0,12453.0,14617.0,Samsung SM-A325M,none
64,180310270,1631219358557757,1220,1631219538866807,0.0,DOWN,180328071.0,180330162.0,61.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219538882365.0,1631219538884456.0,15558.0,17649.0,Samsung SM-A325M,none
65,181307271,1631219358557757,1220,1631219539863808,0.0,DOWN,181327638.0,181329880.0,62.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219539881932.0,1631219539884174.0,18124.0,20366.0,Samsung SM-A325M,none
66,182304273,1631219358557757,1220,1631219540860810,0.0,DOWN,182322721.0,182324713.0,63.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219540877015.0,1631219540879007.0,16205.0,18197.0,Samsung SM-A325M,none
67,183301272,1631219358557757,1220,1631219541857809,0.0,DOWN,183316890.0,183318857.0,64.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219541871184.0,1631219541873151.0,13375.0,15342.0,Samsung SM-A325M,none
68,184298270,1631219358557757,1220,1631219542854807,0.0,DOWN,184315969.0,184318089.0,65.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219542870263.0,1631219542872383.0,15456.0,17576.0,Samsung SM-A325M,none
69,185295270,1631219358557757,1220,1631219543851807,0.0,DOWN,185311421.0,185313703.0,66.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219543865715.0,1631219543867997.0,13908.0,16190.0,Samsung SM-A325M,none
70,186292270,1631219358557757,1220,1631219544848807,0.0,DOWN,186311391.0,186313547.0,67.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219544865685.0,1631219544867841.0,16878.0,19034.0,Samsung SM-A325M,none
71,187289270,1631219358557757,1220,1631219545845807,0.0,DOWN,187305848.0,187308150.0,68.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219545860142.0,1631219545862444.0,14335.0,16637.0,Samsung SM-A325M,none
72,188286271,1631219358557757,1220,1631219546842808,0.0,DOWN,188305528.0,188307849.0,69.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219546859822.0,1631219546862143.0,17014.0,19335.0,Samsung SM-A325M,none
73,189283272,1631219358557757,1220,1631219547839809,0.0,DOWN,189300448.0,189302628.0,70.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219547854742.0,1631219547856922.0,14933.0,17113.0,Samsung SM-A325M,none
74,190280273,1631219358557757,1220,1631219548836810,0.0,DOWN,190296274.0,190298380.0,71.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219548850568.0,1631219548852674.0,13758.0,15864.0,Samsung SM-A325M,none
75,191277270,1631219358557757,1220,1631219549833807,0.0,DOWN,191296609.0,191298817.0,72.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219549850903.0,1631219549853111.0,17096.0,19304.0,Samsung SM-A325M,none
76,192274270,1631219358557757,1220,1631219550830807,0.0,DOWN,192291665.0,192293831.0,73.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219550845959.0,1631219550848125.0,15152.0,17318.0,Samsung SM-A325M,none
77,193271270,1631219358557757,1220,1631219551827807,0.0,DOWN,193286219.0,193288504.0,74.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219551840513.0,1631219551842798.0,12706.0,14991.0,Samsung SM-A325M,none
78,194268270,1631219358557757,1220,1631219552824807,0.0,DOWN,194286327.0,194288641.0,75.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219552840621.0,1631219552842935.0,15814.0,18128.0,Samsung SM-A325M,none
79,195265271,1631219358557757,1220,1631219553821808,0.0,DOWN,195281131.0,195283382.0,76.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219553835425.0,1631219553837676.0,13617.0,15868.0,Samsung SM-A325M,none
80,196262273,1631219358557757,1220,1631219554818810,0.0,DOWN,196281544.0,196283728.0,77.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219554835838.0,1631219554838022.0,17028.0,19212.0,Samsung SM-A325M,none
81,197259272,1631219358557757,1220,1631219555815809,0.0,DOWN,197275903.0,197277963.0,78.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219555830197.0,1631219555832257.0,14388.0,16448.0,Samsung SM-A325M,none
82,198256270,1631219358557757,1220,1631219556812807,0.0,DOWN,198275810.0,198278233.0,79.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219556830104.0,1631219556832527.0,17297.0,19720.0,Samsung SM-A325M,none
83,199253270,1631219358557757,1220,1631219557809807,0.0,DOWN,199270587.0,199272884.0,80.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219557824881.0,1631219557827178.0,15074.0,17371.0,Samsung SM-A325M,none
84,200250270,1631219358557757,1220,1631219558806807,0.0,DOWN,200264912.0,200267228.0,81.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219558819206.0,1631219558821522.0,12399.0,14715.0,Samsung SM-A325M,none
85,201247270,1631219358557757,1220,1631219559803807,0.0,DOWN,201264002.0,201265931.0,82.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219559818296.0,1631219559820225.0,14489.0,16418.0,Samsung SM-A325M,none
86,202244272,1631219358557757,1220,1631219560800809,0.0,DOWN,202259686.0,202262161.0,83.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219560813980.0,1631219560816455.0,13171.0,15646.0,Samsung SM-A325M,none
87,203241273,1631219358557757,1220,1631219561797810,0.0,DOWN,203259654.0,203262207.0,84.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219561813948.0,1631219561816501.0,16138.0,18691.0,Samsung SM-A325M,none
88,204238272,1631219358557757,1220,1631219562794809,0.0,DOWN,204253017.0,204255082.0,85.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219562807311.0,1631219562809376.0,12502.0,14567.0,Samsung SM-A325M,none
89,205235270,1631219358557757,1220,1631219563791807,0.0,DOWN,205254306.0,205256676.0,86.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219563808600.0,1631219563810970.0,16793.0,19163.0,Samsung SM-A325M,none
90,206232270,1631219358557757,1220,1631219564788807,0.0,DOWN,206249383.0,206251475.0,87.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219564803677.0,1631219564805769.0,14870.0,16962.0,Samsung SM-A325M,none
91,207229270,1631219358557757,1220,1631219565785807,0.0,DOWN,207249453.0,207251495.0,88.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219565803747.0,1631219565805789.0,17940.0,19982.0,Samsung SM-A325M,none
92,208226270,1631219358557757,1220,1631219566782807,0.0,DOWN,208243503.0,208245689.0,89.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219566797797.0,1631219566799983.0,14990.0,17176.0,Samsung SM-A325M,none
93,209223272,1631219358557757,1220,1631219567779809,0.0,DOWN,209242324.0,209244363.0,90.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219567796618.0,1631219567798657.0,16809.0,18848.0,Samsung SM-A325M,none
94,210220273,1631219358557757,1220,1631219568776810,0.0,DOWN,210237987.0,210240368.0,91.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219568792281.0,1631219568794662.0,15471.0,17852.0,Samsung SM-A325M,none
95,211217270,1631219358557757,1220,1631219569773807,0.0,DOWN,211232518.0,211234496.0,92.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219569786812.0,1631219569788790.0,13005.0,14983.0,Samsung SM-A325M,none
96,212214270,1631219358557757,1220,1631219570770807,0.0,DOWN,212232543.0,212234468.0,93.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219570786837.0,1631219570788762.0,16030.0,17955.0,Samsung SM-A325M,none
97,213211270,1631219358557757,1220,1631219571767807,0.0,DOWN,213227044.0,213229362.0,94.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219571781338.0,1631219571783656.0,13531.0,15849.0,Samsung SM-A325M,none
98,214208270,1631219358557757,1220,1631219572764807,0.0,DOWN,214226997.0,214229205.0,95.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219572781291.0,1631219572783499.0,16484.0,18692.0,Samsung SM-A325M,none
99,215205270,1631219358557757,1220,1631219573761807,0.0,DOWN,215221770.0,215224071.0,96.0,0.024512032,0.024512032,1631219358557609.0,3315.0,1631219573776064.0,1631219573778365.0,14257.0,16558.0,Samsung SM-A325M,none
0,295717283,1631219358557757,1220,1631219654273820,0,DOWN,295733902,295735843,0,0.024512032,0.024512032,1631219358557609,3315,1631219654288196,1631219654290137,14376,16317,Samsung SM-A325M,serialization
1,296715270,1631219358557757,1220,1631219655271807,0,DOWN,296733076,296734632,1,0.024512032,0.024512032,1631219358557609,3315,1631219655287370,1631219655288926,15563,17119,Samsung SM-A325M,serialization
2,297712270,1631219358557757,1220,1631219656268807,0,DOWN,297727055,297729181,2,0.024512032,0.024512032,1631219358557609,3315,1631219656281349,1631219656283475,12542,14668,Samsung SM-A325M,serialization
3,298709270,1631219358557757,1220,1631219657265807,0,DOWN,298726217,298727850,3,0.024512032,0.024512032,1631219358557609,3315,1631219657280511,1631219657282144,14704,16337,Samsung SM-A325M,serialization
4,299706271,1631219358557757,1220,1631219658262808,0,DOWN,299719412,299721145,4,0.024512032,0.024512032,1631219358557609,3315,1631219658273706,1631219658275439,10898,12631,Samsung SM-A325M,serialization
