index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,87492014,1648926501459439,1216,1648926588950237,0,DOWN,87463082,87468255,0,0.010894237,0.010894237,1648926501511038,3434,1648926588970686,1648926588975859,20449,25622,Samsung SM-A515F,none
1,87692001,1648926501459439,1216,1648926589150224,0,DOWN,87659910,87661743,1,0.010894237,0.010894237,1648926501511038,3434,1648926589167514,1648926589169347,17290,19123,Samsung SM-A515F,none
2,87890999,1648926501459439,1216,1648926589349222,0,DOWN,87860394,87862080,2,0.010894237,0.010894237,1648926501511038,3434,1648926589367998,1648926589369684,18776,20462,Samsung SM-A515F,none
3,88089999,1648926501459439,1216,1648926589548222,0,DOWN,88059574,88061769,3,0.010894237,0.010894237,1648926501511038,3434,1648926589567178,1648926589569373,18956,21151,Samsung SM-A515F,none
4,88289001,1648926501459439,1216,1648926589747224,0,DOWN,88259305,88261536,4,0.010894237,0.010894237,1648926501511038,3434,1648926589766909,1648926589769140,19685,21916,Samsung SM-A515F,none
5,88488007,1648926501459439,1216,1648926589946230,0,DOWN,88459168,88461364,5,0.010894237,0.010894237,1648926501511038,3434,1648926589966772,1648926589968968,20542,22738,Samsung SM-A515F,none
6,88686999,1648926501459439,1216,1648926590145222,0,DOWN,88658979,88661042,6,0.010894237,0.010894237,1648926501511038,3434,1648926590166583,1648926590168646,21361,23424,Samsung SM-A515F,none
7,88886001,1648926501459439,1216,1648926590344224,0,DOWN,88858768,88860784,7,0.010894237,0.010894237,1648926501511038,3434,1648926590366372,1648926590368388,22148,24164,Samsung SM-A515F,none
8,89084999,1648926501459439,1216,1648926590543222,0,DOWN,89058503,89060435,8,0.010894237,0.010894237,1648926501511038,3434,1648926590566107,1648926590568039,22885,24817,Samsung SM-A515F,none
9,89283999,1648926501459439,1216,1648926590742222,0,DOWN,89258287,89260358,9,0.010894237,0.010894237,1648926501511038,3434,1648926590765891,1648926590767962,23669,25740,Samsung SM-A515F,none
10,89483001,1648926501459439,1216,1648926590941224,0,DOWN,89458076,89460106,10,0.010894237,0.010894237,1648926501511038,3434,1648926590965680,1648926590967710,24456,26486,Samsung SM-A515F,none
11,89681999,1648926501459439,1216,1648926591140222,0,DOWN,89657860,89659777,11,0.010894237,0.010894237,1648926501511038,3434,1648926591165464,1648926591167381,25242,27159,Samsung SM-A515F,none
12,89880999,1648926501459439,1216,1648926591339222,0,DOWN,89849068,89850941,12,0.010894237,0.010894237,1648926501511038,3434,1648926591356672,1648926591358545,17450,19323,Samsung SM-A515F,none
13,90080000,1648926501459439,1216,1648926591538223,0,DOWN,90048788,90050953,13,0.010894237,0.010894237,1648926501511038,3434,1648926591556392,1648926591558557,18169,20334,Samsung SM-A515F,none
14,90279001,1648926501459439,1216,1648926591737224,0,DOWN,90248534,90250408,14,0.010894237,0.010894237,1648926501511038,3434,1648926591756138,1648926591758012,18914,20788,Samsung SM-A515F,none
15,90477999,1648926501459439,1216,1648926591936222,0,DOWN,90448323,90450238,15,0.010894237,0.010894237,1648926501511038,3434,1648926591955927,1648926591957842,19705,21620,Samsung SM-A515F,none
16,90677000,1648926501459439,1216,1648926592135223,0,DOWN,90648062,90650019,16,0.010894237,0.010894237,1648926501511038,3434,1648926592155666,1648926592157623,20443,22400,Samsung SM-A515F,none
17,90876001,1648926501459439,1216,1648926592334224,0,DOWN,90847603,90849782,17,0.010894237,0.010894237,1648926501511038,3434,1648926592355207,1648926592357386,20983,23162,Samsung SM-A515F,none
18,91074999,1648926501459439,1216,1648926592533222,0,DOWN,91047428,91049484,18,0.010894237,0.010894237,1648926501511038,3434,1648926592555032,1648926592557088,21810,23866,Samsung SM-A515F,none
19,91273999,1648926501459439,1216,1648926592732222,0,DOWN,91247274,91249196,19,0.010894237,0.010894237,1648926501511038,3434,1648926592754878,1648926592756800,22656,24578,Samsung SM-A515F,none
20,91473002,1648926501459439,1216,1648926592931225,0,DOWN,91446983,91448899,20,0.010894237,0.010894237,1648926501511038,3434,1648926592954587,1648926592956503,23362,25278,Samsung SM-A515F,none
21,91671999,1648926501459439,1216,1648926593130222,0,DOWN,91646658,91648662,21,0.010894237,0.010894237,1648926501511038,3434,1648926593154262,1648926593156266,24040,26044,Samsung SM-A515F,none
22,91870999,1648926501459439,1216,1648926593329222,0,DOWN,91846369,91848291,22,0.010894237,0.010894237,1648926501511038,3434,1648926593353973,1648926593355895,24751,26673,Samsung SM-A515F,none
23,92070001,1648926501459439,1216,1648926593528224,0,DOWN,92037997,92039828,23,0.010894237,0.010894237,1648926501511038,3434,1648926593545601,1648926593547432,17377,19208,Samsung SM-A515F,none
24,92268999,1648926501459439,1216,1648926593727222,0,DOWN,92237682,92239453,24,0.010894237,0.010894237,1648926501511038,3434,1648926593745286,1648926593747057,18064,19835,Samsung SM-A515F,none
25,92467999,1648926501459439,1216,1648926593926222,0,DOWN,92437469,92439246,25,0.010894237,0.010894237,1648926501511038,3434,1648926593945073,1648926593946850,18851,20628,Samsung SM-A515F,none
26,92667001,1648926501459439,1216,1648926594125224,0,DOWN,92637304,92639133,26,0.010894237,0.010894237,1648926501511038,3434,1648926594144908,1648926594146737,19684,21513,Samsung SM-A515F,none
27,92865999,1648926501459439,1216,1648926594324222,0,DOWN,92837083,92838812,27,0.010894237,0.010894237,1648926501511038,3434,1648926594344687,1648926594346416,20465,22194,Samsung SM-A515F,none
28,93064999,1648926501459439,1216,1648926594523222,0,DOWN,93036892,93038656,28,0.010894237,0.010894237,1648926501511038,3434,1648926594544496,1648926594546260,21274,23038,Samsung SM-A515F,none
29,93264001,1648926501459439,1216,1648926594722224,0,DOWN,93236760,93238612,29,0.010894237,0.010894237,1648926501511038,3434,1648926594744364,1648926594746216,22140,23992,Samsung SM-A515F,none
30,93462999,1648926501459439,1216,1648926594921222,0,DOWN,93436565,93438206,30,0.010894237,0.010894237,1648926501511038,3434,1648926594944169,1648926594945810,22947,24588,Samsung SM-A515F,none
31,93661999,1648926501459439,1216,1648926595120222,0,DOWN,93636386,93637974,31,0.010894237,0.010894237,1648926501511038,3434,1648926595143990,1648926595145578,23768,25356,Samsung SM-A515F,none
32,93861001,1648926501459439,1216,1648926595319224,0,DOWN,93835907,93837659,32,0.010894237,0.010894237,1648926501511038,3434,1648926595343511,1648926595345263,24287,26039,Samsung SM-A515F,none
33,94059999,1648926501459439,1216,1648926595518222,0,DOWN,94035636,94037499,33,0.010894237,0.010894237,1648926501511038,3434,1648926595543240,1648926595545103,25018,26881,Samsung SM-A515F,none
