index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,87565782,1648937071922492,1240,1648937159487034,0,DOWN,87592394,87599878,0,0.028194718,0.028194718,1648937071922283,2886,1648937159511791,1648937159519275,24757,32241,Samsung SM-G960U,none
1,87765769,1648937071922492,1240,1648937159687021,0,DOWN,87780339,87784369,1,0.028194718,0.028194718,1648937071922283,2886,1648937159699736,1648937159703766,12715,16745,Samsung SM-G960U,none
2,87964767,1648937071922492,1240,1648937159886019,0,DOWN,87980459,87984356,2,0.028194718,0.028194718,1648937071922283,2886,1648937159899856,1648937159903753,13837,17734,Samsung SM-G960U,none
3,88163767,1648937071922492,1240,1648937160085019,0,DOWN,88179988,88184017,3,0.028194718,0.028194718,1648937071922283,2886,1648937160099385,1648937160103414,14366,18395,Samsung SM-G960U,none
4,88362769,1648937071922492,1240,1648937160284021,0,DOWN,88379926,88385010,4,0.028194718,0.028194718,1648937071922283,2886,1648937160299323,1648937160304407,15302,20386,Samsung SM-G960U,none
5,88561767,1648937071922492,1240,1648937160483019,0,DOWN,88579571,88583136,5,0.028194718,0.028194718,1648937071922283,2886,1648937160498968,1648937160502533,15949,19514,Samsung SM-G960U,none
6,88760767,1648937071922492,1240,1648937160682019,0,DOWN,88779190,88784028,6,0.028194718,0.028194718,1648937071922283,2886,1648937160698587,1648937160703425,16568,21406,Samsung SM-G960U,none
7,88959769,1648937071922492,1240,1648937160881021,0,DOWN,88970312,88974822,7,0.028194718,0.028194718,1648937071922283,2886,1648937160889709,1648937160894219,8688,13198,Samsung SM-G960U,none
8,89158770,1648937071922492,1240,1648937161080022,0,DOWN,89169866,89172455,8,0.028194718,0.028194718,1648937071922283,2886,1648937161089263,1648937161091852,9241,11830,Samsung SM-G960U,none
9,89357767,1648937071922492,1240,1648937161279019,0,DOWN,89369564,89373792,9,0.028194718,0.028194718,1648937071922283,2886,1648937161288961,1648937161293189,9942,14170,Samsung SM-G960U,none
10,89556769,1648937071922492,1240,1648937161478021,0,DOWN,89569271,89573632,10,0.028194718,0.028194718,1648937071922283,2886,1648937161488668,1648937161493029,10647,15008,Samsung SM-G960U,none
11,89755769,1648937071922492,1240,1648937161677021,0,DOWN,89769023,89772724,11,0.028194718,0.028194718,1648937071922283,2886,1648937161688420,1648937161692121,11399,15100,Samsung SM-G960U,none
12,89954767,1648937071922492,1240,1648937161876019,0,DOWN,89968752,89973355,12,0.028194718,0.028194718,1648937071922283,2886,1648937161888149,1648937161892752,12130,16733,Samsung SM-G960U,none
13,90153768,1648937071922492,1240,1648937162075020,0,DOWN,90168430,90171644,13,0.028194718,0.028194718,1648937071922283,2886,1648937162087827,1648937162091041,12807,16021,Samsung SM-G960U,none
14,90352769,1648937071922492,1240,1648937162274021,0,DOWN,90368165,90372527,14,0.028194718,0.028194718,1648937071922283,2886,1648937162287562,1648937162291924,13541,17903,Samsung SM-G960U,none
15,90551767,1648937071922492,1240,1648937162473019,0,DOWN,90568318,90571719,15,0.028194718,0.028194718,1648937071922283,2886,1648937162487715,1648937162491116,14696,18097,Samsung SM-G960U,none
16,90750767,1648937071922492,1240,1648937162672019,0,DOWN,90767650,90772533,16,0.028194718,0.028194718,1648937071922283,2886,1648937162687047,1648937162691930,15028,19911,Samsung SM-G960U,none
17,90949769,1648937071922492,1240,1648937162871021,0,DOWN,90967589,90971907,17,0.028194718,0.028194718,1648937071922283,2886,1648937162886986,1648937162891304,15965,20283,Samsung SM-G960U,none
18,91148767,1648937071922492,1240,1648937163070019,0,DOWN,91167255,91172129,18,0.028194718,0.028194718,1648937071922283,2886,1648937163086652,1648937163091526,16633,21507,Samsung SM-G960U,none
19,91347767,1648937071922492,1240,1648937163269019,0,DOWN,91359098,91362763,19,0.028194718,0.028194718,1648937071922283,2886,1648937163278495,1648937163282160,9476,13141,Samsung SM-G960U,none
20,91546769,1648937071922492,1240,1648937163468021,0,DOWN,91558305,91560692,20,0.028194718,0.028194718,1648937071922283,2886,1648937163477702,1648937163480089,9681,12068,Samsung SM-G960U,none
21,91745767,1648937071922492,1240,1648937163667019,0,DOWN,91758691,91763193,21,0.028194718,0.028194718,1648937071922283,2886,1648937163678088,1648937163682590,11069,15571,Samsung SM-G960U,none
22,91944767,1648937071922492,1240,1648937163866019,0,DOWN,91957990,91962787,22,0.028194718,0.028194718,1648937071922283,2886,1648937163877387,1648937163882184,11368,16165,Samsung SM-G960U,none
23,92143769,1648937071922492,1240,1648937164065021,0,DOWN,92157635,92160699,23,0.028194718,0.028194718,1648937071922283,2886,1648937164077032,1648937164080096,12011,15075,Samsung SM-G960U,none
24,92342767,1648937071922492,1240,1648937164264019,0,DOWN,92357490,92361328,24,0.028194718,0.028194718,1648937071922283,2886,1648937164276887,1648937164280725,12868,16706,Samsung SM-G960U,none
25,92541767,1648937071922492,1240,1648937164463019,0,DOWN,92557328,92560210,25,0.028194718,0.028194718,1648937071922283,2886,1648937164476725,1648937164479607,13706,16588,Samsung SM-G960U,none
26,92740769,1648937071922492,1240,1648937164662021,0,DOWN,92756863,92760232,26,0.028194718,0.028194718,1648937071922283,2886,1648937164676260,1648937164679629,14239,17608,Samsung SM-G960U,none
27,92939767,1648937071922492,1240,1648937164861019,0,DOWN,92956760,92960130,27,0.028194718,0.028194718,1648937071922283,2886,1648937164876157,1648937164879527,15138,18508,Samsung SM-G960U,none
28,93138767,1648937071922492,1240,1648937165060019,0,DOWN,93156583,93160243,28,0.028194718,0.028194718,1648937071922283,2886,1648937165075980,1648937165079640,15961,19621,Samsung SM-G960U,none
29,93337768,1648937071922492,1240,1648937165259020,0,DOWN,93356217,93359950,29,0.028194718,0.028194718,1648937071922283,2886,1648937165275614,1648937165279347,16594,20327,Samsung SM-G960U,none
30,93536769,1648937071922492,1240,1648937165458021,0,DOWN,93555961,93559820,30,0.028194718,0.028194718,1648937071922283,2886,1648937165475358,1648937165479217,17337,21196,Samsung SM-G960U,none
31,93735767,1648937071922492,1240,1648937165657019,0,DOWN,93747015,93750552,31,0.028194718,0.028194718,1648937071922283,2886,1648937165666412,1648937165669949,9393,12930,Samsung SM-G960U,none
32,93934768,1648937071922492,1240,1648937165856020,0,DOWN,93946441,93950409,32,0.028194718,0.028194718,1648937071922283,2886,1648937165865838,1648937165869806,9818,13786,Samsung SM-G960U,none
33,94133769,1648937071922492,1240,1648937166055021,0,DOWN,94146343,94150614,33,0.028194718,0.028194718,1648937071922283,2886,1648937166065740,1648937166070011,10719,14990,Samsung SM-G960U,none
34,94332767,1648937071922492,1240,1648937166254019,0,DOWN,94345859,94349922,34,0.028194718,0.028194718,1648937071922283,2886,1648937166265256,1648937166269319,11237,15300,Samsung SM-G960U,none
35,94531767,1648937071922492,1240,1648937166453019,0,DOWN,94545479,94551102,35,0.028194718,0.028194718,1648937071922283,2886,1648937166464876,1648937166470499,11857,17480,Samsung SM-G960U,none
36,94730770,1648937071922492,1240,1648937166652022,0,DOWN,94745241,94748097,36,0.028194718,0.028194718,1648937071922283,2886,1648937166664638,1648937166667494,12616,15472,Samsung SM-G960U,none
37,94929767,1648937071922492,1240,1648937166851019,0,DOWN,94944975,94948520,37,0.028194718,0.028194718,1648937071922283,2886,1648937166864372,1648937166867917,13353,16898,Samsung SM-G960U,none
38,95128767,1648937071922492,1240,1648937167050019,0,DOWN,95144865,95149121,38,0.028194718,0.028194718,1648937071922283,2886,1648937167064262,1648937167068518,14243,18499,Samsung SM-G960U,none
39,95327769,1648937071922492,1240,1648937167249021,0,DOWN,95344988,95349638,39,0.025375245,0.025375245,1648937071922283,2886,1648937167264385,1648937167269035,15364,20014,Samsung SM-G960U,none
40,95526767,1648937071922492,1240,1648937167448019,0,DOWN,95544113,95548753,40,0.028194718,0.028194718,1648937071922283,2886,1648937167463510,1648937167468150,15491,20131,Samsung SM-G960U,none
41,95725767,1648937071922492,1240,1648937167647019,0,DOWN,95743788,95746330,41,0.028194718,0.028194718,1648937071922283,2886,1648937167663185,1648937167665727,16166,18708,Samsung SM-G960U,none
