index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,87837730,1648930278196268,1115,1648930366032883,0,DOWN,87781626,87786224,0,0.030197239,0.030197239,1648930278281319,3387,1648930366059558,1648930366064156,26675,31273,Samsung SM-G991U1,none
1,88037718,1648930278196268,1115,1648930366232871,0,DOWN,87966277,87969145,1,0.027177515,0.027177515,1648930278281319,3387,1648930366244209,1648930366247077,11338,14206,Samsung SM-G991U1,none
2,88236720,1648930278196268,1115,1648930366431873,0,DOWN,88166246,88168917,2,0.030197239,0.030197239,1648930278281319,3387,1648930366444178,1648930366446849,12305,14976,Samsung SM-G991U1,none
3,88435718,1648930278196268,1115,1648930366630871,0,DOWN,88366808,88369289,3,0.027177515,0.027177515,1648930278281319,3387,1648930366644740,1648930366647221,13869,16350,Samsung SM-G991U1,none
4,88634718,1648930278196268,1115,1648930366829871,0,DOWN,88566953,88569646,4,0.030197239,0.030197239,1648930278281319,3387,1648930366844885,1648930366847578,15014,17707,Samsung SM-G991U1,none
5,88833720,1648930278196268,1115,1648930367028873,0,DOWN,88767245,88769464,5,0.030197239,0.030197239,1648930278281319,3387,1648930367045177,1648930367047396,16304,18523,Samsung SM-G991U1,none
6,89032718,1648930278196268,1115,1648930367227871,0,DOWN,88967206,88969884,6,0.027177515,0.027177515,1648930278281319,3387,1648930367245138,1648930367247816,17267,19945,Samsung SM-G991U1,none
7,89231718,1648930278196268,1115,1648930367426871,0,DOWN,89167438,89170379,7,0.030197239,0.030197239,1648930278281319,3387,1648930367445370,1648930367448311,18499,21440,Samsung SM-G991U1,none
8,89430720,1648930278196268,1115,1648930367625873,0,DOWN,89359348,89362249,8,0.027177515,0.027177515,1648930278281319,3387,1648930367637280,1648930367640181,11407,14308,Samsung SM-G991U1,none
9,89629720,1648930278196268,1115,1648930367824873,0,DOWN,89559513,89562050,9,0.030197239,0.030197239,1648930278281319,3387,1648930367837445,1648930367839982,12572,15109,Samsung SM-G991U1,none
10,89828718,1648930278196268,1115,1648930368023871,0,DOWN,89760112,89762826,10,0.027177515,0.027177515,1648930278281319,3387,1648930368038044,1648930368040758,14173,16887,Samsung SM-G991U1,none
11,90027719,1648930278196268,1115,1648930368222872,0,DOWN,89960070,89962726,11,0.030197239,0.030197239,1648930278281319,3387,1648930368238002,1648930368240658,15130,17786,Samsung SM-G991U1,none
12,90226720,1648930278196268,1115,1648930368421873,0,DOWN,90160569,90163247,12,0.030197239,0.030197239,1648930278281319,3387,1648930368438501,1648930368441179,16628,19306,Samsung SM-G991U1,none
13,90425718,1648930278196268,1115,1648930368620871,0,DOWN,90360858,90363548,13,0.030197239,0.030197239,1648930278281319,3387,1648930368638790,1648930368641480,17919,20609,Samsung SM-G991U1,none
14,90624718,1648930278196268,1115,1648930368819871,0,DOWN,90560816,90563434,14,0.030197239,0.030197239,1648930278281319,3387,1648930368838748,1648930368841366,18877,21495,Samsung SM-G991U1,none
15,90823720,1648930278196268,1115,1648930369018873,0,DOWN,90752889,90755815,15,0.030197239,0.030197239,1648930278281319,3387,1648930369030821,1648930369033747,11948,14874,Samsung SM-G991U1,none
16,91022718,1648930278196268,1115,1648930369217871,0,DOWN,90952983,90955793,16,0.030197239,0.030197239,1648930278281319,3387,1648930369230915,1648930369233725,13044,15854,Samsung SM-G991U1,none
17,91221718,1648930278196268,1115,1648930369416871,0,DOWN,91153157,91155823,17,0.030197239,0.030197239,1648930278281319,3387,1648930369431089,1648930369433755,14218,16884,Samsung SM-G991U1,none
18,91420720,1648930278196268,1115,1648930369615873,0,DOWN,91353405,91356274,18,0.030197239,0.030197239,1648930278281319,3387,1648930369631337,1648930369634206,15464,18333,Samsung SM-G991U1,none
19,91619718,1648930278196268,1115,1648930369814871,0,DOWN,91553944,91556807,19,0.030197239,0.030197239,1648930278281319,3387,1648930369831876,1648930369834739,17005,19868,Samsung SM-G991U1,none
20,91818718,1648930278196268,1115,1648930370013871,0,DOWN,91754378,91757046,20,0.030197239,0.030197239,1648930278281319,3387,1648930370032310,1648930370034978,18439,21107,Samsung SM-G991U1,none
21,92017720,1648930278196268,1115,1648930370212873,0,DOWN,91954117,91956272,21,0.030197239,0.030197239,1648930278281319,3387,1648930370232049,1648930370234204,19176,21331,Samsung SM-G991U1,none
22,92216718,1648930278196268,1115,1648930370411871,0,DOWN,92146463,92149110,22,0.030197239,0.030197239,1648930278281319,3387,1648930370424395,1648930370427042,12524,15171,Samsung SM-G991U1,none
23,92415718,1648930278196268,1115,1648930370610871,0,DOWN,92346400,92348986,23,0.027177515,0.027177515,1648930278281319,3387,1648930370624332,1648930370626918,13461,16047,Samsung SM-G991U1,none
24,92614721,1648930278196268,1115,1648930370809874,0,DOWN,92546594,92549167,24,0.030197239,0.030197239,1648930278281319,3387,1648930370824526,1648930370827099,14652,17225,Samsung SM-G991U1,none
25,92813718,1648930278196268,1115,1648930371008871,0,DOWN,92746843,92749541,25,0.030197239,0.030197239,1648930278281319,3387,1648930371024775,1648930371027473,15904,18602,Samsung SM-G991U1,none
26,93012718,1648930278196268,1115,1648930371207871,0,DOWN,92947083,92949692,26,0.027177515,0.027177515,1648930278281319,3387,1648930371225015,1648930371227624,17144,19753,Samsung SM-G991U1,none
27,93211720,1648930278196268,1115,1648930371406873,0,DOWN,93147780,93150513,27,0.030197239,0.030197239,1648930278281319,3387,1648930371425712,1648930371428445,18839,21572,Samsung SM-G991U1,none
28,93410721,1648930278196268,1115,1648930371605874,0,DOWN,93339297,93341794,28,0.030197239,0.030197239,1648930278281319,3387,1648930371617229,1648930371619726,11355,13852,Samsung SM-G991U1,none
29,93609718,1648930278196268,1115,1648930371804871,0,DOWN,93539624,93542476,29,0.030197239,0.030197239,1648930278281319,3387,1648930371817556,1648930371820408,12685,15537,Samsung SM-G991U1,none
30,93808719,1648930278196268,1115,1648930372003872,0,DOWN,93739781,93742478,30,0.030197239,0.030197239,1648930278281319,3387,1648930372017713,1648930372020410,13841,16538,Samsung SM-G991U1,none
31,94007720,1648930278196268,1115,1648930372202873,0,DOWN,93939966,93942720,31,0.027177515,0.027177515,1648930278281319,3387,1648930372217898,1648930372220652,15025,17779,Samsung SM-G991U1,none
32,94206718,1648930278196268,1115,1648930372401871,0,DOWN,94140257,94142809,32,0.030197239,0.030197239,1648930278281319,3387,1648930372418189,1648930372420741,16318,18870,Samsung SM-G991U1,none
33,94405719,1648930278196268,1115,1648930372600872,0,DOWN,94340494,94343189,33,0.030197239,0.030197239,1648930278281319,3387,1648930372618426,1648930372621121,17554,20249,Samsung SM-G991U1,none
