index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,117219552,1646613270076077,1321,1646613387294308,0,DOWN,116626524,116633478,0,0.024284916,0.024284916,1646613270701428,8011,1646613387319941,1646613387326895,25633,32587,Samsung SM-N960U1,none
1,118217540,1646613270076077,1321,1646613388292296,0,DOWN,117626995,117632121,1,0.024284916,0.024284916,1646613270701428,8011,1646613388320412,1646613388325538,28116,33242,Samsung SM-N960U1,none
2,119214541,1646613270076077,1321,1646613389289297,0,DOWN,118613761,118619526,2,0.024284916,0.024284916,1646613270701428,8011,1646613389307178,1646613389312943,17881,23646,Samsung SM-N960U1,none
3,120211542,1646613270076077,1321,1646613390286298,0,DOWN,119616965,119622909,3,0.024284916,0.024284916,1646613270701428,8011,1646613390310382,1646613390316326,24084,30028,Samsung SM-N960U1,none
4,121208543,1646613270076077,1321,1646613391283299,0,DOWN,120607524,120613512,4,0.024284916,0.024284916,1646613270701428,8011,1646613391300941,1646613391306929,17642,23630,Samsung SM-N960U1,none
5,122205540,1646613270076077,1321,1646613392280296,0,DOWN,121614328,121619705,5,0.024284916,0.024284916,1646613270701428,8011,1646613392307745,1646613392313122,27449,32826,Samsung SM-N960U1,none
6,123202540,1646613270076077,1321,1646613393277296,0,DOWN,122600567,122606392,6,0.024284916,0.024284916,1646613270701428,8011,1646613393293984,1646613393299809,16688,22513,Samsung SM-N960U1,none
7,124199540,1646613270076077,1321,1646613394274296,0,DOWN,123601297,123606767,7,0.024284916,0.024284916,1646613270701428,8011,1646613394294714,1646613394300184,20418,25888,Samsung SM-N960U1,none
8,125196540,1646613270076077,1321,1646613395271296,0,DOWN,124596185,124600788,8,0.024284916,0.024284916,1646613270701428,8011,1646613395289602,1646613395294205,18306,22909,Samsung SM-N960U1,none
9,126193541,1646613270076077,1321,1646613396268297,0,DOWN,125603031,125610157,9,0.024284916,0.024284916,1646613270701428,8011,1646613396296448,1646613396303574,28151,35277,Samsung SM-N960U1,none
10,127190542,1646613270076077,1321,1646613397265298,0,DOWN,126594434,126601444,10,0.024284916,0.024284916,1646613270701428,8011,1646613397287851,1646613397294861,22553,29563,Samsung SM-N960U1,none
11,128187542,1646613270076077,1321,1646613398262298,0,DOWN,127599528,127604984,11,0.024284916,0.024284916,1646613270701428,8011,1646613398292945,1646613398298401,30647,36103,Samsung SM-N960U1,none
12,129184540,1646613270076077,1321,1646613399259296,0,DOWN,128597436,128604786,12,0.024284916,0.024284916,1646613270701428,8011,1646613399290853,1646613399298203,31557,38907,Samsung SM-N960U1,none
13,130181540,1646613270076077,1321,1646613400256296,0,DOWN,129594408,129601948,13,0.024284916,0.024284916,1646613270701428,8011,1646613400287825,1646613400295365,31529,39069,Samsung SM-N960U1,none
14,131178540,1646613270076077,1321,1646613401253296,0,DOWN,130577595,130582944,14,0.024284916,0.024284916,1646613270701428,8011,1646613401271012,1646613401276361,17716,23065,Samsung SM-N960U1,none
15,132175540,1646613270076077,1321,1646613402250296,0,DOWN,131580830,131586715,15,0.024284916,0.024284916,1646613270701428,8011,1646613402274247,1646613402280132,23951,29836,Samsung SM-N960U1,none
16,133172541,1646613270076077,1321,1646613403247297,0,DOWN,132577637,132583626,16,0.024284916,0.024284916,1646613270701428,8011,1646613403271054,1646613403277043,23757,29746,Samsung SM-N960U1,none
17,134169542,1646613270076077,1321,1646613404244298,0,DOWN,133580740,133587333,17,0.024284916,0.024284916,1646613270701428,8011,1646613404274157,1646613404280750,29859,36452,Samsung SM-N960U1,none
18,135166542,1646613270076077,1321,1646613405241298,0,DOWN,134574542,134580271,18,0.024284916,0.024284916,1646613270701428,8011,1646613405267959,1646613405273688,26661,32390,Samsung SM-N960U1,none
19,136163540,1646613270076077,1321,1646613406238296,0,DOWN,135566622,135572593,19,0.024284916,0.024284916,1646613270701428,8011,1646613406260039,1646613406266010,21743,27714,Samsung SM-N960U1,none
20,137160540,1646613270076077,1321,1646613407235296,0,DOWN,136559037,136564146,20,0.024284916,0.024284916,1646613270701428,8011,1646613407252454,1646613407257563,17158,22267,Samsung SM-N960U1,none
21,138157540,1646613270076077,1321,1646613408232296,0,DOWN,137559775,137565068,21,0.024284916,0.024284916,1646613270701428,8011,1646613408253192,1646613408258485,20896,26189,Samsung SM-N960U1,none
22,139154540,1646613270076077,1321,1646613409229296,0,DOWN,138565094,138570655,22,0.024284916,0.024284916,1646613270701428,8011,1646613409258511,1646613409264072,29215,34776,Samsung SM-N960U1,none
23,140151541,1646613270076077,1321,1646613410226297,0,DOWN,139564395,139571232,23,0.024284916,0.024284916,1646613270701428,8011,1646613410257812,1646613410264649,31515,38352,Samsung SM-N960U1,none
24,141148542,1646613270076077,1321,1646613411223298,0,DOWN,140555003,140560996,24,0.024284916,0.024284916,1646613270701428,8011,1646613411248420,1646613411254413,25122,31115,Samsung SM-N960U1,none
25,142145542,1646613270076077,1321,1646613412220298,0,DOWN,141549007,141554337,25,0.024284916,0.024284916,1646613270701428,8011,1646613412242424,1646613412247754,22126,27456,Samsung SM-N960U1,none
26,143142540,1646613270076077,1321,1646613413217296,0,DOWN,142548742,142554390,26,0.024284916,0.024284916,1646613270701428,8011,1646613413242159,1646613413247807,24863,30511,Samsung SM-N960U1,none
27,144139540,1646613270076077,1321,1646613414214296,0,DOWN,143542386,143548954,27,0.024284916,0.024284916,1646613270701428,8011,1646613414235803,1646613414242371,21507,28075,Samsung SM-N960U1,none
