index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,87524009,1648872300013058,1487,1648872387535580,0,DOWN,87419995,87425788,0,1.8681676,1.8681676,1648872300153447,1098,1648872387572344,1648872387578137,36764,42557,Samsung SM-S111DL,none
1,87723997,1648872300013058,1487,1648872387735568,0,DOWN,87605337,87608986,1,1.8681676,1.8681676,1648872300153447,1098,1648872387757686,1648872387761335,22118,25767,Samsung SM-S111DL,none
2,87922999,1648872300013058,1487,1648872387934570,0,DOWN,87809484,87813385,2,1.8681676,1.8681676,1648872300153447,1098,1648872387961833,1648872387965734,27263,31164,Samsung SM-S111DL,none
3,88121997,1648872300013058,1487,1648872388133568,0,DOWN,88007294,88010390,3,1.8681676,1.8681676,1648872300153447,1098,1648872388159643,1648872388162739,26075,29171,Samsung SM-S111DL,none
4,88320997,1648872300013058,1487,1648872388332568,0,DOWN,88205300,88208440,4,1.8681676,1.8681676,1648872300153447,1098,1648872388357649,1648872388360789,25081,28221,Samsung SM-S111DL,none
5,88519999,1648872300013058,1487,1648872388531570,0,DOWN,88400394,88403898,5,1.8681676,1.8681676,1648872300153447,1098,1648872388552743,1648872388556247,21173,24677,Samsung SM-S111DL,none
6,88718997,1648872300013058,1487,1648872388730568,0,DOWN,88608013,88611668,6,1.8681676,1.8681676,1648872300153447,1098,1648872388760362,1648872388764017,29794,33449,Samsung SM-S111DL,none
7,88917997,1648872300013058,1487,1648872388929568,0,DOWN,88804873,88809025,7,1.8681676,1.8681676,1648872300153447,1098,1648872388957222,1648872388961374,27654,31806,Samsung SM-S111DL,none
8,89116999,1648872300013058,1487,1648872389128570,0,DOWN,88999523,89003551,8,1.8681676,1.8681676,1648872300153447,1098,1648872389151872,1648872389155900,23302,27330,Samsung SM-S111DL,none
9,89315997,1648872300013058,1487,1648872389327568,0,DOWN,89199421,89201494,9,1.8681676,1.8681676,1648872300153447,1098,1648872389351770,1648872389353843,24202,26275,Samsung SM-S111DL,none
10,89514997,1648872300013058,1487,1648872389526568,0,DOWN,89394191,89396046,10,1.8681676,1.8681676,1648872300153447,1098,1648872389546540,1648872389548395,19972,21827,Samsung SM-S111DL,none
11,89713998,1648872300013058,1487,1648872389725569,0,DOWN,89599335,89602458,11,1.8681676,1.8681676,1648872300153447,1098,1648872389751684,1648872389754807,26115,29238,Samsung SM-S111DL,none
12,89912999,1648872300013058,1487,1648872389924570,0,DOWN,89797107,89800766,12,1.8681676,1.8681676,1648872300153447,1098,1648872389949456,1648872389953115,24886,28545,Samsung SM-S111DL,none
13,90111997,1648872300013058,1487,1648872390123568,0,DOWN,89994781,89996527,13,1.8681676,1.8681676,1648872300153447,1098,1648872390147130,1648872390148876,23562,25308,Samsung SM-S111DL,none
14,90310998,1648872300013058,1487,1648872390322569,0,DOWN,90190751,90193079,14,1.8681676,1.8681676,1648872300153447,1098,1648872390343100,1648872390345428,20531,22859,Samsung SM-S111DL,none
15,90509999,1648872300013058,1487,1648872390521570,0,DOWN,90395579,90398891,15,1.8681676,1.8681676,1648872300153447,1098,1648872390547928,1648872390551240,26358,29670,Samsung SM-S111DL,none
16,90708997,1648872300013058,1487,1648872390720568,0,DOWN,90594240,90597334,16,1.8681676,1.8681676,1648872300153447,1098,1648872390746589,1648872390749683,26021,29115,Samsung SM-S111DL,none
17,90907997,1648872300013058,1487,1648872390919568,0,DOWN,90791190,90794841,17,1.8681676,1.8681676,1648872300153447,1098,1648872390943539,1648872390947190,23971,27622,Samsung SM-S111DL,none
18,91106999,1648872300013058,1487,1648872391118570,0,DOWN,90989106,90992622,18,1.8681676,1.8681676,1648872300153447,1098,1648872391141455,1648872391144971,22885,26401,Samsung SM-S111DL,none
19,91305997,1648872300013058,1487,1648872391317568,0,DOWN,91186842,91190340,19,1.8681676,1.8681676,1648872300153447,1098,1648872391339191,1648872391342689,21623,25121,Samsung SM-S111DL,none
20,91504997,1648872300013058,1487,1648872391516568,0,DOWN,91391281,91393668,20,1.8681676,1.8681676,1648872300153447,1098,1648872391543630,1648872391546017,27062,29449,Samsung SM-S111DL,none
