index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,62339778,1647149156619214,1586,1647149218957406,0.0,ACTION_DOWN,62376962.0,62387723.0,0.0,46.7108154296875,46.7108154296875,1647149156675630.0,5302.0,1647149219047290.0,1647149219058051.0,89884.0,100645.0,iPhone14_5a,none
1,62539765,1647149156619214,1586,1647149219157393,0.0,ACTION_DOWN,62493606.0,62504278.0,1.0,46.7108154296875,46.7108154296875,1647149156675630.0,5302.0,1647149219163934.0,1647149219174606.0,6541.0,17213.0,iPhone14_5a,none
2,62738766,1647149156619214,1586,1647149219356394,0.0,ACTION_DOWN,62693558.0,62704224.0,2.0,46.7108154296875,46.7108154296875,1647149156675630.0,5302.0,1647149219363886.0,1647149219374552.0,7492.0,18158.0,iPhone14_5a,none
3,62937768,1647149156619214,1586,1647149219555396,0.0,ACTION_DOWN,62893494.0,62904170.0,3.0,46.7108154296875,46.7108154296875,1647149156675630.0,5302.0,1647149219563822.0,1647149219574498.0,8426.0,19102.0,iPhone14_5a,none
4,63136765,1647149156619214,1586,1647149219754393,0.0,ACTION_DOWN,63085060.0,63104123.0,4.0,46.7108154296875,46.7108154296875,1647149156675630.0,5302.0,1647149219755388.0,1647149219774451.0,995.0,20058.0,iPhone14_5a,none
5,63335766,1647149156619214,1586,1647149219953394,0.0,ACTION_DOWN,63293390.0,63304098.0,5.0,46.7108154296875,46.7108154296875,1647149156675630.0,5302.0,1647149219963718.0,1647149219974426.0,10324.0,21032.0,iPhone14_5a,none
6,63534767,1647149156619214,1586,1647149220152395,0.0,ACTION_DOWN,63484988.0,63503997.0,6.0,46.7108154296875,46.7108154296875,1647149156675630.0,5302.0,1647149220155316.0,1647149220174325.0,2921.0,21930.0,iPhone14_5a,none
7,63733765,1647149156619214,1586,1647149220351393,0.0,ACTION_DOWN,63684964.0,63703920.0,7.0,46.7108154296875,46.7108154296875,1647149156675630.0,5302.0,1647149220355292.0,1647149220374248.0,3899.0,22855.0,iPhone14_5a,none
8,63932765,1647149156619214,1586,1647149220550393,0.0,ACTION_DOWN,63884833.0,63903847.0,8.0,46.7108154296875,46.7108154296875,1647149156675630.0,5302.0,1647149220555161.0,1647149220574175.0,4768.0,23782.0,iPhone14_5a,none
9,64131767,1647149156619214,1586,1647149220749395,0.0,ACTION_DOWN,64084807.0,64103786.0,9.0,46.7108154296875,46.7108154296875,1647149156675630.0,5302.0,1647149220755135.0,1647149220774114.0,5740.0,24719.0,iPhone14_5a,none
10,64330765,1647149156619214,1586,1647149220948393,0.0,ACTION_DOWN,64284734.0,64303734.0,10.0,46.7108154296875,46.7108154296875,1647149156675630.0,5302.0,1647149220955062.0,1647149220974062.0,6669.0,25669.0,iPhone14_5a,none
11,64529765,1647149156619214,1586,1647149221147393,0.0,ACTION_DOWN,64484741.0,64503665.0,11.0,46.7108154296875,46.7108154296875,1647149156675630.0,5302.0,1647149221155069.0,1647149221173993.0,7676.0,26600.0,iPhone14_5a,none
12,64728768,1647149156619214,1586,1647149221346396,0.0,ACTION_DOWN,64692936.0,64703606.0,12.0,46.7108154296875,46.7108154296875,1647149156675630.0,5302.0,1647149221363264.0,1647149221373934.0,16868.0,27538.0,iPhone14_5a,none
13,64927765,1647149156619214,1586,1647149221545393,0.0,ACTION_DOWN,64884645.0,64903541.0,13.0,46.7108154296875,46.7108154296875,1647149156675630.0,5302.0,1647149221554973.0,1647149221573869.0,9580.0,28476.0,iPhone14_5a,none
14,65126765,1647149156619214,1586,1647149221744393,0.0,ACTION_DOWN,65076252.0,65086824.0,14.0,46.7108154296875,46.7108154296875,1647149156675630.0,5302.0,1647149221746580.0,1647149221757152.0,2187.0,12759.0,iPhone14_5a,none
