index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,62504010,1647149627712742,2209,1647149690214543,0.0,ACTION_DOWN,62263060.0,62282045.0,0.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149690218884.0,1647149690237869.0,4341.0,23326.0,iPhone14_5b,none
1,62703999,1647149627712742,2209,1647149690414532,0.0,ACTION_DOWN,62462988.0,62481959.0,1.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149690418812.0,1647149690437783.0,4280.0,23251.0,iPhone14_5b,none
2,62903000,1647149627712742,2209,1647149690613533,0.0,ACTION_DOWN,62662990.0,62681904.0,2.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149690618814.0,1647149690637728.0,5281.0,24195.0,iPhone14_5b,none
3,63101997,1647149627712742,2209,1647149690812530,0.0,ACTION_DOWN,62863022.0,62881870.0,3.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149690818846.0,1647149690837694.0,6316.0,25164.0,iPhone14_5b,none
4,63300998,1647149627712742,2209,1647149691011531,0.0,ACTION_DOWN,63063047.0,63081827.0,4.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149691018871.0,1647149691037651.0,7340.0,26120.0,iPhone14_5b,none
5,63500000,1647149627712742,2209,1647149691210533,0.0,ACTION_DOWN,63337989.0,63348456.0,5.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149691293813.0,1647149691304280.0,83280.0,93747.0,iPhone14_5b,none
6,63698997,1647149627712742,2209,1647149691409530,0.0,ACTION_DOWN,63462937.0,63481768.0,6.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149691418761.0,1647149691437592.0,9231.0,28062.0,iPhone14_5b,none
7,63897998,1647149627712742,2209,1647149691608531,0.0,ACTION_DOWN,63654599.0,63665065.0,7.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149691610423.0,1647149691620889.0,1892.0,12358.0,iPhone14_5b,none
8,64096999,1647149627712742,2209,1647149691807532,0.0,ACTION_DOWN,63863057.0,63881701.0,8.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149691818881.0,1647149691837525.0,11349.0,29993.0,iPhone14_5b,none
9,64295997,1647149627712742,2209,1647149692006530,0.0,ACTION_DOWN,64054692.0,64065010.0,9.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149692010516.0,1647149692020834.0,3986.0,14304.0,iPhone14_5b,none
10,64494997,1647149627712742,2209,1647149692205530,0.0,ACTION_DOWN,64254623.0,64264979.0,10.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149692210447.0,1647149692220803.0,4917.0,15273.0,iPhone14_5b,none
11,64693999,1647149627712742,2209,1647149692404532,0.0,ACTION_DOWN,64471216.0,64481613.0,11.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149692427040.0,1647149692437437.0,22508.0,32905.0,iPhone14_5b,none
12,64892997,1647149627712742,2209,1647149692603530,0.0,ACTION_DOWN,64654470.0,64664912.0,12.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149692610294.0,1647149692620736.0,6764.0,17206.0,iPhone14_5b,none
13,65091997,1647149627712742,2209,1647149692802530,0.0,ACTION_DOWN,64854394.0,64864887.0,13.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149692810218.0,1647149692820711.0,7688.0,18181.0,iPhone14_5b,none
14,65290999,1647149627712742,2209,1647149693001532,0.0,ACTION_DOWN,65062755.0,65081518.0,14.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149693018579.0,1647149693037342.0,17047.0,35810.0,iPhone14_5b,none
15,65489997,1647149627712742,2209,1647149693200530,0.0,ACTION_DOWN,65254325.0,65264822.0,15.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149693210149.0,1647149693220646.0,9619.0,20116.0,iPhone14_5b,none
16,65688997,1647149627712742,2209,1647149693399530,0.0,ACTION_DOWN,65454372.0,65464783.0,16.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149693410196.0,1647149693420607.0,10666.0,21077.0,iPhone14_5b,none
17,65887999,1647149627712742,2209,1647149693598532,0.0,ACTION_DOWN,65646078.0,65664754.0,17.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149693601902.0,1647149693620578.0,3370.0,22046.0,iPhone14_5b,none
18,66087005,1647149627712742,2209,1647149693797538,0.0,ACTION_DOWN,65871049.0,65881384.0,18.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149693826873.0,1647149693837208.0,29335.0,39670.0,iPhone14_5b,none
19,66285997,1647149627712742,2209,1647149693996530,0.0,ACTION_DOWN,66046066.0,66064760.0,19.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149694001890.0,1647149694020584.0,5360.0,24054.0,iPhone14_5b,none
20,66484999,1647149627712742,2209,1647149694195532,0.0,ACTION_DOWN,66246258.0,66264659.0,20.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149694202082.0,1647149694220483.0,6550.0,24951.0,iPhone14_5b,none
21,66683997,1647149627712742,2209,1647149694394530,0.0,ACTION_DOWN,66446342.0,66464629.0,21.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149694402166.0,1647149694420453.0,7636.0,25923.0,iPhone14_5b,none
22,66882997,1647149627712742,2209,1647149694593530,0.0,ACTION_DOWN,66638031.0,66647932.0,22.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149694593855.0,1647149694603756.0,325.0,10226.0,iPhone14_5b,none
23,67081998,1647149627712742,2209,1647149694792531,0.0,ACTION_DOWN,66854919.0,66864563.0,23.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149694810743.0,1647149694820387.0,18212.0,27856.0,iPhone14_5b,none
24,67280999,1647149627712742,2209,1647149694991532,0.0,ACTION_DOWN,67038371.0,67047864.0,24.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149694994195.0,1647149695003688.0,2663.0,12156.0,iPhone14_5b,none
25,67479997,1647149627712742,2209,1647149695190530,0.0,ACTION_DOWN,67255146.0,67264498.0,25.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149695210970.0,1647149695220322.0,20440.0,29792.0,iPhone14_5b,none
26,67678998,1647149627712742,2209,1647149695389531,0.0,ACTION_DOWN,67455266.0,67464467.0,26.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149695411090.0,1647149695420291.0,21559.0,30760.0,iPhone14_5b,none
27,67877999,1647149627712742,2209,1647149695588532,0.0,ACTION_DOWN,67672101.0,67681097.0,27.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149695627925.0,1647149695636921.0,39393.0,48389.0,iPhone14_5b,none
28,68076997,1647149627712742,2209,1647149695787530,0.0,ACTION_DOWN,67838858.0,67847742.0,28.0,46.7108154296875,46.7108154296875,1647149627962112.0,6288.0,1647149695794682.0,1647149695803566.0,7152.0,16036.0,iPhone14_5b,none
