index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0.0,62308014.0,1647150174154561.0,1834.0,1647150236460741.0,0.0,ACTION_DOWN,62106089.0,62124730.0,0.0,46.7108154296875,46.7108154296875,1647150174367256.0,4802.0,1647150236468543.0,1647150236487184.0,7802.0,26443.0,iPhone14_5c,none
1.0,62507999.0,1647150174154561.0,1834.0,1647150236660726.0,0.0,ACTION_DOWN,62306012.0,62324697.0,1.0,46.7108154296875,46.7108154296875,1647150174367256.0,4802.0,1647150236668466.0,1647150236687151.0,7740.0,26425.0,iPhone14_5c,none
2.0,62706999.0,1647150174154561.0,1834.0,1647150236859726.0,0.0,ACTION_DOWN,62505984.0,62524637.0,2.0,46.7108154296875,46.7108154296875,1647150174367256.0,4802.0,1647150236868438.0,1647150236887091.0,8712.0,27365.0,iPhone14_5c,none
3.0,62906001.0,1647150174154561.0,1834.0,1647150237058728.0,0.0,ACTION_DOWN,62697553.0,62707986.0,3.0,46.7108154296875,46.7108154296875,1647150174367256.0,4802.0,1647150237060007.0,1647150237070440.0,1279.0,11712.0,iPhone14_5c,none
4.0,63105001.0,1647150174154561.0,1834.0,1647150237257728.0,0.0,ACTION_DOWN,62897632.0,62907979.0,4.0,46.7108154296875,46.7108154296875,1647150174367256.0,4802.0,1647150237260086.0,1647150237270433.0,2358.0,12705.0,iPhone14_5c,none
5.0,63304001.0,1647150174154561.0,1834.0,1647150237456728.0,0.0,ACTION_DOWN,63097585.0,63107980.0,5.0,46.7108154296875,46.7108154296875,1647150174367256.0,4802.0,1647150237460039.0,1647150237470434.0,3311.0,13706.0,iPhone14_5c,none
6.0,63503000.0,1647150174154561.0,1834.0,1647150237655727.0,0.0,ACTION_DOWN,63305942.0,63324645.0,6.0,46.7108154296875,46.7108154296875,1647150174367256.0,4802.0,1647150237668396.0,1647150237687099.0,12669.0,31372.0,iPhone14_5c,none
7.0,63702001.0,1647150174154561.0,1834.0,1647150237854728.0,0.0,ACTION_DOWN,63505926.0,63524654.0,7.0,46.7108154296875,46.7108154296875,1647150174367256.0,4802.0,1647150237868380.0,1647150237887108.0,13652.0,32380.0,iPhone14_5c,none
8.0,63900999.0,1647150174154561.0,1834.0,1647150238053726.0,0.0,ACTION_DOWN,63705931.0,63724655.0,8.0,46.7108154296875,46.7108154296875,1647150174367256.0,4802.0,1647150238068385.0,1647150238087109.0,14659.0,33383.0,iPhone14_5c,none
9.0,64099999.0,1647150174154561.0,1834.0,1647150238252726.0,0.0,ACTION_DOWN,63897545.0,63907989.0,9.0,46.7108154296875,46.7108154296875,1647150174367256.0,4802.0,1647150238259999.0,1647150238270443.0,7273.0,17717.0,iPhone14_5c,none
10.0,64299001.0,1647150174154561.0,1834.0,1647150238451728.0,0.0,ACTION_DOWN,64106167.0,64124668.0,10.0,46.7108154296875,46.7108154296875,1647150174367256.0,4802.0,1647150238468621.0,1647150238487122.0,16893.0,35394.0,iPhone14_5c,none
11.0,64497999.0,1647150174154561.0,1834.0,1647150238650726.0,0.0,ACTION_DOWN,64289534.0,64307999.0,11.0,46.7108154296875,46.7108154296875,1647150174367256.0,4802.0,1647150238651988.0,1647150238670453.0,1262.0,19727.0,iPhone14_5c,none
12.0,64696999.0,1647150174154561.0,1834.0,1647150238849726.0,0.0,ACTION_DOWN,64489606.0,64508005.0,12.0,46.7108154296875,46.7108154296875,1647150174367256.0,4802.0,1647150238852060.0,1647150238870459.0,2334.0,20733.0,iPhone14_5c,none
