index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,65931531,1631227081838153,1293,1631227147768391,0,ACTION_DOWN,65861540,65862908,0,51.295166015625,51.295166015625,1631227081933708,2544,1631227147792704,1631227147794072,24313,25681,iPhone9_1,none
1,66435521,1631227081838153,1293,1631227148272381,0,ACTION_DOWN,66363044,66364300,1,51.295166015625,51.295166015625,1631227081933708,2544,1631227148294208,1631227148295464,21827,23083,iPhone9_1,none
2,66938519,1631227081838153,1293,1631227148775379,0,ACTION_DOWN,66862971,66864352,2,51.295166015625,51.295166015625,1631227081933708,2544,1631227148794135,1631227148795516,18756,20137,iPhone9_1,none
3,67441521,1631227081838153,1293,1631227149278381,0,ACTION_DOWN,67363124,67364396,3,51.295166015625,51.295166015625,1631227081933708,2544,1631227149294288,1631227149295560,15907,17179,iPhone9_1,none
4,67944519,1631227081838153,1293,1631227149781379,0,ACTION_DOWN,67863129,67864353,4,51.295166015625,51.295166015625,1631227081933708,2544,1631227149794293,1631227149795517,12914,14138,iPhone9_1,none
5,68447519,1631227081838153,1293,1631227150284379,0,ACTION_DOWN,68363121,68364481,5,51.295166015625,51.295166015625,1631227081933708,2544,1631227150294285,1631227150295645,9906,11266,iPhone9_1,none
6,68950521,1631227081838153,1293,1631227150787381,0,ACTION_DOWN,68863108,68864463,6,51.295166015625,51.295166015625,1631227081933708,2544,1631227150794272,1631227150795627,6891,8246,iPhone9_1,none
7,69453519,1631227081838153,1293,1631227151290379,0,ACTION_DOWN,69379978,69381230,7,51.295166015625,51.295166015625,1631227081933708,2544,1631227151311142,1631227151312394,20763,22015,iPhone9_1,none
8,69956522,1631227081838153,1293,1631227151793382,0,ACTION_DOWN,69879962,69881338,8,51.295166015625,51.295166015625,1631227081933708,2544,1631227151811126,1631227151812502,17744,19120,iPhone9_1,none
9,70459519,1631227081838153,1293,1631227152296379,0,ACTION_DOWN,70380043,70381272,9,51.295166015625,51.295166015625,1631227081933708,2544,1631227152311207,1631227152312436,14828,16057,iPhone9_1,none
10,70962519,1631227081838153,1293,1631227152799379,0,ACTION_DOWN,70880043,70881320,10,51.295166015625,51.295166015625,1631227081933708,2544,1631227152811207,1631227152812484,11828,13105,iPhone9_1,none
11,71465520,1631227081838153,1293,1631227153302380,0,ACTION_DOWN,71380027,71381261,11,51.295166015625,51.295166015625,1631227081933708,2544,1631227153311191,1631227153312425,8811,10045,iPhone9_1,none
12,71968519,1631227081838153,1293,1631227153805379,0,ACTION_DOWN,71896717,71898053,12,51.295166015625,51.295166015625,1631227081933708,2544,1631227153827881,1631227153829217,22502,23838,iPhone9_1,none
13,72471521,1631227081838153,1293,1631227154308381,0,ACTION_DOWN,72396789,72398048,13,51.295166015625,51.295166015625,1631227081933708,2544,1631227154327953,1631227154329212,19572,20831,iPhone9_1,none
14,72974519,1631227081838153,1293,1631227154811379,0,ACTION_DOWN,72896716,72897983,14,51.295166015625,51.295166015625,1631227081933708,2544,1631227154827880,1631227154829147,16501,17768,iPhone9_1,none
15,73477521,1631227081838153,1293,1631227155314381,0,ACTION_DOWN,73396650,73397918,15,51.295166015625,51.295166015625,1631227081933708,2544,1631227155327814,1631227155329082,13433,14701,iPhone9_1,none
16,73980519,1631227081838153,1293,1631227155817379,0,ACTION_DOWN,73896796,73898092,16,51.295166015625,51.295166015625,1631227081933708,2544,1631227155827960,1631227155829256,10581,11877,iPhone9_1,none
17,74483519,1631227081838153,1293,1631227156320379,0,ACTION_DOWN,74396884,74398242,17,51.295166015625,51.295166015625,1631227081933708,2544,1631227156328048,1631227156329406,7669,9027,iPhone9_1,none
18,74986521,1631227081838153,1293,1631227156823381,0,ACTION_DOWN,74913599,74914985,18,51.295166015625,51.295166015625,1631227081933708,2544,1631227156844763,1631227156846149,21382,22768,iPhone9_1,none
19,75489519,1631227081838153,1293,1631227157326379,0,ACTION_DOWN,75413737,75415144,19,51.295166015625,51.295166015625,1631227081933708,2544,1631227157344901,1631227157346308,18522,19929,iPhone9_1,none
20,75992521,1631227081838153,1293,1631227157829381,0,ACTION_DOWN,75913802,75915328,20,51.295166015625,51.295166015625,1631227081933708,2544,1631227157844966,1631227157846492,15585,17111,iPhone9_1,none
