callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
14726813.0,1.0,WHITE,14727663.0,0.0,1646532581991717.0,1529.0,1646532596717001.0,1646532596717851.0,,,,,,,,,Google Pixel 3a,none
14931250.0,0.0,BLACK,14932059.0,1.0,1646532581991717.0,1529.0,1646532596921438.0,1646532596922247.0,15010388.0,1.0,DARK,1646532581981538.0,473.0,1646532596991453.0,69206.0,70015.0,Google Pixel 3a,none
15135216.0,1.0,WHITE,15135964.0,2.0,1646532581991717.0,1529.0,1646532597125404.0,1646532597126152.0,15207506.0,2.0,LIGHT,1646532581981538.0,473.0,1646532597188571.0,62419.0,63167.0,Google Pixel 3a,none
15335425.0,0.0,BLACK,15336139.0,3.0,1646532581991717.0,1529.0,1646532597325613.0,1646532597326327.0,15422547.0,3.0,DARK,1646532581981538.0,473.0,1646532597403612.0,77285.0,77999.0,Google Pixel 3a,none
15539145.0,1.0,WHITE,15539939.0,4.0,1646532581991717.0,1529.0,1646532597529333.0,1646532597530127.0,15601747.0,4.0,LIGHT,1646532581981538.0,473.0,1646532597582812.0,52685.0,53479.0,Google Pixel 3a,none
15742496.0,0.0,BLACK,15743238.0,5.0,1646532581991717.0,1529.0,1646532597732684.0,1646532597733426.0,15834707.0,5.0,DARK,1646532581981538.0,473.0,1646532597815772.0,82346.0,83088.0,Google Pixel 3a,none
15945924.0,1.0,WHITE,15946651.0,6.0,1646532581991717.0,1529.0,1646532597936112.0,1646532597936839.0,16013906.0,6.0,LIGHT,1646532581981538.0,473.0,1646532597994971.0,58132.0,58859.0,Google Pixel 3a,none
16148405.0,0.0,BLACK,16149179.0,7.0,1646532581991717.0,1529.0,1646532598138593.0,1646532598139367.0,16228948.0,7.0,DARK,1646532581981538.0,473.0,1646532598210013.0,70646.0,71420.0,Google Pixel 3a,none
16351847.0,1.0,WHITE,16352566.0,8.0,1646532581991717.0,1529.0,1646532598342035.0,1646532598342754.0,16426066.0,8.0,LIGHT,1646532581981538.0,473.0,1646532598407131.0,64377.0,65096.0,Google Pixel 3a,none
16554738.0,0.0,BLACK,16555514.0,9.0,1646532581991717.0,1529.0,1646532598544926.0,1646532598545702.0,16641107.0,9.0,DARK,1646532581981538.0,473.0,1646532598622172.0,76470.0,77246.0,Google Pixel 3a,none
16758672.0,1.0,WHITE,16759460.0,10.0,1646532581991717.0,1529.0,1646532598748860.0,1646532598749648.0,16820307.0,10.0,LIGHT,1646532581981538.0,473.0,1646532598801372.0,51724.0,52512.0,Google Pixel 3a,none
16959212.0,0.0,BLACK,16960064.0,11.0,1646532581991717.0,1529.0,1646532598949400.0,1646532598950252.0,17035347.0,11.0,DARK,1646532581981538.0,473.0,1646532599016412.0,66160.0,67012.0,Google Pixel 3a,none
17163288.0,1.0,WHITE,17164052.0,12.0,1646532581991717.0,1529.0,1646532599153476.0,1646532599154240.0,17214548.0,12.0,LIGHT,1646532581981538.0,473.0,1646532599195613.0,41373.0,42137.0,Google Pixel 3a,none
17366911.0,0.0,BLACK,17367966.0,13.0,1646532581991717.0,1529.0,1646532599357099.0,1646532599358154.0,17447507.0,13.0,DARK,1646532581981538.0,473.0,1646532599428572.0,70418.0,71473.0,Google Pixel 3a,none
17568926.0,1.0,WHITE,17569708.0,14.0,1646532581991717.0,1529.0,1646532599559114.0,1646532599559896.0,17644626.0,14.0,LIGHT,1646532581981538.0,473.0,1646532599625691.0,65795.0,66577.0,Google Pixel 3a,none
17771341.0,0.0,BLACK,17772159.0,15.0,1646532581991717.0,1529.0,1646532599761529.0,1646532599762347.0,17877587.0,15.0,DARK,1646532581981538.0,473.0,1646532599858652.0,96305.0,97123.0,Google Pixel 3a,none
17975492.0,1.0,WHITE,17976273.0,16.0,1646532581991717.0,1529.0,1646532599965680.0,1646532599966461.0,18056787.0,16.0,LIGHT,1646532581981538.0,473.0,1646532600037852.0,71391.0,72172.0,Google Pixel 3a,none
18178980.0,0.0,BLACK,18179780.0,17.0,1646532581991717.0,1529.0,1646532600169168.0,1646532600169968.0,18271827.0,17.0,DARK,1646532581981538.0,473.0,1646532600252892.0,82924.0,83724.0,Google Pixel 3a,none
18381665.0,1.0,WHITE,18382334.0,18.0,1646532581991717.0,1529.0,1646532600371853.0,1646532600372522.0,18451026.0,18.0,LIGHT,1646532581981538.0,473.0,1646532600432091.0,59569.0,60238.0,Google Pixel 3a,none
