callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
35381826,1,WHITE,35382301,0,1647148912381776,7287,1647148947756315,1647148947756790,,,,,,,,,Google Pixel 5a3,none
35582537,0,BLACK,35583140,1,1647148912381776,7287,1647148947957026,1647148947957629,35670790.0,1.0,DARK,1647148912370954.0,1529.0,1647148948040215.0,82586.0,83189.0,Google Pixel 5a3,none
35783625,1,WHITE,35784158,2,1647148912381776,7287,1647148948158114,1647148948158647,35867909.0,2.0,LIGHT,1647148912370954.0,1529.0,1647148948237334.0,78687.0,79220.0,Google Pixel 5a3,none
35984351,0,BLACK,35986141,3,1647148912381776,7287,1647148948358840,1647148948360630,36082952.0,3.0,DARK,1647148912370954.0,1529.0,1647148948452377.0,91747.0,93537.0,Google Pixel 5a3,none
36183435,1,WHITE,36184562,4,1647148912381776,7287,1647148948557924,1647148948559051,36262149.0,4.0,LIGHT,1647148912370954.0,1529.0,1647148948631574.0,72523.0,73650.0,Google Pixel 5a3,none
36383961,0,BLACK,36385107,5,1647148912381776,7287,1647148948758450,1647148948759596,36477190.0,5.0,DARK,1647148912370954.0,1529.0,1647148948846615.0,87019.0,88165.0,Google Pixel 5a3,none
36584310,1,WHITE,36585462,6,1647148912381776,7287,1647148948958799,1647148948959951,36656389.0,6.0,LIGHT,1647148912370954.0,1529.0,1647148949025814.0,65863.0,67015.0,Google Pixel 5a3,none
36783561,0,BLACK,36784626,7,1647148912381776,7287,1647148949158050,1647148949159115,36871430.0,7.0,DARK,1647148912370954.0,1529.0,1647148949240855.0,81740.0,82805.0,Google Pixel 5a3,none
36983329,1,WHITE,36984791,8,1647148912381776,7287,1647148949357818,1647148949359280,37068549.0,8.0,LIGHT,1647148912370954.0,1529.0,1647148949437974.0,78694.0,80156.0,Google Pixel 5a3,none
37183045,0,BLACK,37184126,9,1647148912381776,7287,1647148949557534,1647148949558615,37283590.0,9.0,DARK,1647148912370954.0,1529.0,1647148949653015.0,94400.0,95481.0,Google Pixel 5a3,none
37382747,1,WHITE,37383823,10,1647148912381776,7287,1647148949757236,1647148949758312,37462790.0,10.0,LIGHT,1647148912370954.0,1529.0,1647148949832215.0,73903.0,74979.0,Google Pixel 5a3,none
37583072,0,BLACK,37584129,11,1647148912381776,7287,1647148949957561,1647148949958618,37677830.0,11.0,DARK,1647148912370954.0,1529.0,1647148950047255.0,88637.0,89694.0,Google Pixel 5a3,none
37784770,1,WHITE,37786229,12,1647148912381776,7287,1647148950159259,1647148950160718,37857030.0,12.0,LIGHT,1647148912370954.0,1529.0,1647148950226455.0,65737.0,67196.0,Google Pixel 5a3,none
37984809,0,BLACK,37986100,13,1647148912381776,7287,1647148950359298,1647148950360589,38072070.0,13.0,DARK,1647148912370954.0,1529.0,1647148950441495.0,80906.0,82197.0,Google Pixel 5a3,none
38186523,1,WHITE,38187727,14,1647148912381776,7287,1647148950561012,1647148950562216,38269190.0,14.0,LIGHT,1647148912370954.0,1529.0,1647148950638615.0,76399.0,77603.0,Google Pixel 5a3,none
38387113,0,BLACK,38388346,15,1647148912381776,7287,1647148950761602,1647148950762835,38484230.0,15.0,DARK,1647148912370954.0,1529.0,1647148950853655.0,90820.0,92053.0,Google Pixel 5a3,none
38588776,1,WHITE,38590079,16,1647148912381776,7287,1647148950963265,1647148950964568,38663429.0,16.0,LIGHT,1647148912370954.0,1529.0,1647148951032854.0,68286.0,69589.0,Google Pixel 5a3,none
38790198,0,BLACK,38791443,17,1647148912381776,7287,1647148951164687,1647148951165932,38878470.0,17.0,DARK,1647148912370954.0,1529.0,1647148951247895.0,81963.0,83208.0,Google Pixel 5a3,none
38992363,1,WHITE,38993531,18,1647148912381776,7287,1647148951366852,1647148951368020,39075589.0,18.0,LIGHT,1647148912370954.0,1529.0,1647148951445014.0,76994.0,78162.0,Google Pixel 5a3,none
39193504,0,BLACK,39194557,19,1647148912381776,7287,1647148951567993,1647148951569046,39272710.0,19.0,DARK,1647148912370954.0,1529.0,1647148951642135.0,73089.0,74142.0,Google Pixel 5a3,none
39395386,1,WHITE,39396548,20,1647148912381776,7287,1647148951769875,1647148951771037,39469829.0,20.0,LIGHT,1647148912370954.0,1529.0,1647148951839254.0,68217.0,69379.0,Google Pixel 5a3,none
39597259,0,BLACK,39598644,21,1647148912381776,7287,1647148951971748,1647148951973133,39702790.0,21.0,DARK,1647148912370954.0,1529.0,1647148952072215.0,99082.0,100467.0,Google Pixel 5a3,none
39796755,1,WHITE,39797828,22,1647148912381776,7287,1647148952171244,1647148952172317,39881989.0,22.0,LIGHT,1647148912370954.0,1529.0,1647148952251414.0,79097.0,80170.0,Google Pixel 5a3,none
39999752,0,BLACK,40000887,23,1647148912381776,7287,1647148952374241,1647148952375376,40097030.0,23.0,DARK,1647148912370954.0,1529.0,1647148952466455.0,91079.0,92214.0,Google Pixel 5a3,none
40199733,1,WHITE,40200851,24,1647148912381776,7287,1647148952574222,1647148952575340,40276229.0,24.0,LIGHT,1647148912370954.0,1529.0,1647148952645654.0,70314.0,71432.0,Google Pixel 5a3,none
40402109,0,BLACK,40403251,25,1647148912381776,7287,1647148952776598,1647148952777740,40491272.0,25.0,DARK,1647148912370954.0,1529.0,1647148952860697.0,82957.0,84099.0,Google Pixel 5a3,none
40601844,1,WHITE,40602916,26,1647148912381776,7287,1647148952976333,1647148952977405,40688389.0,26.0,LIGHT,1647148912370954.0,1529.0,1647148953057814.0,80409.0,81481.0,Google Pixel 5a3,none
40802405,0,BLACK,40803490,27,1647148912381776,7287,1647148953176894,1647148953177979,40903430.0,27.0,DARK,1647148912370954.0,1529.0,1647148953272855.0,94876.0,95961.0,Google Pixel 5a3,none
41001837,1,WHITE,41002929,28,1647148912381776,7287,1647148953376326,1647148953377418,41082630.0,28.0,LIGHT,1647148912370954.0,1529.0,1647148953452055.0,74637.0,75729.0,Google Pixel 5a3,none
41202996,0,BLACK,41204085,29,1647148912381776,7287,1647148953577485,1647148953578574,41297670.0,29.0,DARK,1647148912370954.0,1529.0,1647148953667095.0,88521.0,89610.0,Google Pixel 5a3,none
41405331,1,WHITE,41406432,30,1647148912381776,7287,1647148953779820,1647148953780921,41476870.0,30.0,LIGHT,1647148912370954.0,1529.0,1647148953846295.0,65374.0,66475.0,Google Pixel 5a3,none
41606826,0,BLACK,41607962,31,1647148912381776,7287,1647148953981315,1647148953982451,41691910.0,31.0,DARK,1647148912370954.0,1529.0,1647148954061335.0,78884.0,80020.0,Google Pixel 5a3,none
41806291,1,WHITE,41807423,32,1647148912381776,7287,1647148954180780,1647148954181912,41889030.0,32.0,LIGHT,1647148912370954.0,1529.0,1647148954258455.0,76543.0,77675.0,Google Pixel 5a3,none
42008060,0,BLACK,42009486,33,1647148912381776,7287,1647148954382549,1647148954383975,42104070.0,33.0,DARK,1647148912370954.0,1529.0,1647148954473495.0,89520.0,90946.0,Google Pixel 5a3,none
42207024,1,WHITE,42208111,34,1647148912381776,7287,1647148954581513,1647148954582600,42283269.0,34.0,LIGHT,1647148912370954.0,1529.0,1647148954652694.0,70094.0,71181.0,Google Pixel 5a3,none
42407957,0,BLACK,42409489,35,1647148912381776,7287,1647148954782446,1647148954783978,42498310.0,35.0,DARK,1647148912370954.0,1529.0,1647148954867735.0,83757.0,85289.0,Google Pixel 5a3,none
42608432,1,WHITE,42609450,36,1647148912381776,7287,1647148954982921,1647148954983939,42695432.0,36.0,LIGHT,1647148912370954.0,1529.0,1647148955064857.0,80918.0,81936.0,Google Pixel 5a3,none
42807417,0,BLACK,42808726,37,1647148912381776,7287,1647148955181906,1647148955183215,42892550.0,37.0,DARK,1647148912370954.0,1529.0,1647148955261975.0,78760.0,80069.0,Google Pixel 5a3,none
43006648,1,WHITE,43007729,38,1647148912381776,7287,1647148955381137,1647148955382218,43089670.0,38.0,LIGHT,1647148912370954.0,1529.0,1647148955459095.0,76877.0,77958.0,Google Pixel 5a3,none
43207772,0,BLACK,43209301,39,1647148912381776,7287,1647148955582261,1647148955583790,43304711.0,39.0,DARK,1647148912370954.0,1529.0,1647148955674136.0,90346.0,91875.0,Google Pixel 5a3,none
43409222,1,WHITE,43410434,40,1647148912381776,7287,1647148955783711,1647148955784923,43483909.0,40.0,LIGHT,1647148912370954.0,1529.0,1647148955853334.0,68411.0,69623.0,Google Pixel 5a3,none
43611904,0,BLACK,43612987,41,1647148912381776,7287,1647148955986393,1647148955987476,43698950.0,41.0,DARK,1647148912370954.0,1529.0,1647148956068375.0,80899.0,81982.0,Google Pixel 5a3,none
43813137,1,WHITE,43814362,42,1647148912381776,7287,1647148956187626,1647148956188851,43896070.0,42.0,LIGHT,1647148912370954.0,1529.0,1647148956265495.0,76644.0,77869.0,Google Pixel 5a3,none
44013836,0,BLACK,44015245,43,1647148912381776,7287,1647148956388325,1647148956389734,44111110.0,43.0,DARK,1647148912370954.0,1529.0,1647148956480535.0,90801.0,92210.0,Google Pixel 5a3,none
44213102,1,WHITE,44214303,44,1647148912381776,7287,1647148956587591,1647148956588792,44290309.0,44.0,LIGHT,1647148912370954.0,1529.0,1647148956659734.0,70942.0,72143.0,Google Pixel 5a3,none
44414593,0,BLACK,44416100,45,1647148912381776,7287,1647148956789082,1647148956790589,44505350.0,45.0,DARK,1647148912370954.0,1529.0,1647148956874775.0,84186.0,85693.0,Google Pixel 5a3,none
44614484,1,WHITE,44615676,46,1647148912381776,7287,1647148956988973,1647148956990165,44684549.0,46.0,LIGHT,1647148912370954.0,1529.0,1647148957053974.0,63809.0,65001.0,Google Pixel 5a3,none
44814280,0,BLACK,44815540,47,1647148912381776,7287,1647148957188769,1647148957190029,44899592.0,47.0,DARK,1647148912370954.0,1529.0,1647148957269017.0,78988.0,80248.0,Google Pixel 5a3,none
45013127,1,WHITE,45014282,48,1647148912381776,7287,1647148957387616,1647148957388771,45096710.0,48.0,LIGHT,1647148912370954.0,1529.0,1647148957466135.0,77364.0,78519.0,Google Pixel 5a3,none
45212967,0,BLACK,45214121,49,1647148912381776,7287,1647148957587456,1647148957588610,45311750.0,49.0,DARK,1647148912370954.0,1529.0,1647148957681175.0,92565.0,93719.0,Google Pixel 5a3,none
45415263,1,WHITE,45416367,50,1647148912381776,7287,1647148957789752,1647148957790856,45490950.0,50.0,LIGHT,1647148912370954.0,1529.0,1647148957860375.0,69519.0,70623.0,Google Pixel 5a3,none
45614475,0,BLACK,45615699,51,1647148912381776,7287,1647148957988964,1647148957990188,45705990.0,51.0,DARK,1647148912370954.0,1529.0,1647148958075415.0,85227.0,86451.0,Google Pixel 5a3,none
45817084,1,WHITE,45818844,52,1647148912381776,7287,1647148958191573,1647148958193333,45885189.0,52.0,LIGHT,1647148912370954.0,1529.0,1647148958254614.0,61281.0,63041.0,Google Pixel 5a3,none
46016151,0,BLACK,46017549,53,1647148912381776,7287,1647148958390640,1647148958392038,46100230.0,53.0,DARK,1647148912370954.0,1529.0,1647148958469655.0,77617.0,79015.0,Google Pixel 5a3,none
46217011,1,WHITE,46218161,54,1647148912381776,7287,1647148958591500,1647148958592650,46297349.0,54.0,LIGHT,1647148912370954.0,1529.0,1647148958666774.0,74124.0,75274.0,Google Pixel 5a3,none
46416480,0,BLACK,46417605,55,1647148912381776,7287,1647148958790969,1647148958792094,46512390.0,55.0,DARK,1647148912370954.0,1529.0,1647148958881815.0,89721.0,90846.0,Google Pixel 5a3,none
46616031,1,WHITE,46617152,56,1647148912381776,7287,1647148958990520,1647148958991641,46691589.0,56.0,LIGHT,1647148912370954.0,1529.0,1647148959061014.0,69373.0,70494.0,Google Pixel 5a3,none
