callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
37880047,1,WHITE,37880529,0,1647119734217495,6388,1647119772091154,1647119772091636,,,,,,,,,Google Pixel 6,none
38384220,0,BLACK,38385059,1,1647119734217495,6388,1647119772595327,1647119772596166,38535553.0,1.0,DARK,1647119734143051.0,1249.0,1647119772677355.0,81189.0,82028.0,Google Pixel 6,none
38888586,1,WHITE,38889036,2,1647119734217495,6388,1647119773099693,1647119773100143,39037314.0,2.0,LIGHT,1647119734143051.0,1249.0,1647119773179116.0,78973.0,79423.0,Google Pixel 6,none
39392410,0,BLACK,39392854,3,1647119734217495,6388,1647119773603517,1647119773603961,39539072.0,3.0,DARK,1647119734143051.0,1249.0,1647119773680874.0,76913.0,77357.0,Google Pixel 6,none
39897217,1,WHITE,39897873,4,1647119734217495,6388,1647119774108324,1647119774108980,40022912.0,4.0,LIGHT,1647119734143051.0,1249.0,1647119774164714.0,55734.0,56390.0,Google Pixel 6,none
40401702,0,BLACK,40402372,5,1647119734217495,6388,1647119774612809,1647119774613479,40560512.0,5.0,DARK,1647119734143051.0,1249.0,1647119774702314.0,88835.0,89505.0,Google Pixel 6,none
40905802,1,WHITE,40906525,6,1647119734217495,6388,1647119775116909,1647119775117632,41044352.0,6.0,LIGHT,1647119734143051.0,1249.0,1647119775186154.0,68522.0,69245.0,Google Pixel 6,none
41409701,0,BLACK,41410506,7,1647119734217495,6388,1647119775620808,1647119775621613,41564032.0,7.0,DARK,1647119734143051.0,1249.0,1647119775705834.0,84221.0,85026.0,Google Pixel 6,none
41914197,1,WHITE,41914952,8,1647119734217495,6388,1647119776125304,1647119776126059,42065792.0,8.0,LIGHT,1647119734143051.0,1249.0,1647119776207594.0,81535.0,82290.0,Google Pixel 6,none
42418596,0,BLACK,42419778,9,1647119734217495,6388,1647119776629703,1647119776630885,42567552.0,9.0,DARK,1647119734143051.0,1249.0,1647119776709354.0,78469.0,79651.0,Google Pixel 6,none
42923134,1,WHITE,42924150,10,1647119734217495,6388,1647119777134241,1647119777135257,43051392.0,10.0,LIGHT,1647119734143051.0,1249.0,1647119777193194.0,57937.0,58953.0,Google Pixel 6,none
43426889,0,BLACK,43427832,11,1647119734217495,6388,1647119777637996,1647119777638939,43571072.0,11.0,DARK,1647119734143051.0,1249.0,1647119777712874.0,73935.0,74878.0,Google Pixel 6,none
43930642,1,WHITE,43931193,12,1647119734217495,6388,1647119778141749,1647119778142300,44072832.0,12.0,LIGHT,1647119734143051.0,1249.0,1647119778214634.0,72334.0,72885.0,Google Pixel 6,none
44434547,0,BLACK,44434987,13,1647119734217495,6388,1647119778645654,1647119778646094,44592512.0,13.0,DARK,1647119734143051.0,1249.0,1647119778734314.0,88220.0,88660.0,Google Pixel 6,none
44937840,1,WHITE,44938718,14,1647119734217495,6388,1647119779148947,1647119779149825,45076352.0,14.0,LIGHT,1647119734143051.0,1249.0,1647119779218154.0,68329.0,69207.0,Google Pixel 6,none
