callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
37474995,1,WHITE,37476304,0,1647122009577046,17919,1647122047034122,1647122047035431,,,,,,,,,Google Pixel 6 Pro,none
37978532,0,BLACK,37979254,1,1647122009577046,17919,1647122047537659,1647122047538381,38574283.0,1.0,DARK,1647122009062547.0,1492.0,1647122047635338.0,96957.0,97679.0,Google Pixel 6 Pro,none
38483736,1,WHITE,38484189,2,1647122009577046,17919,1647122048042863,1647122048043316,39058123.0,2.0,LIGHT,1647122009062547.0,1492.0,1647122048119178.0,75862.0,76315.0,Google Pixel 6 Pro,none
38987928,0,BLACK,38988549,3,1647122009577046,17919,1647122048547055,1647122048547676,39577803.0,3.0,DARK,1647122009062547.0,1492.0,1647122048638858.0,91182.0,91803.0,Google Pixel 6 Pro,none
39491821,1,WHITE,39492430,4,1647122009577046,17919,1647122049050948,1647122049051557,40061643.0,4.0,LIGHT,1647122009062547.0,1492.0,1647122049122698.0,71141.0,71750.0,Google Pixel 6 Pro,none
39994898,0,BLACK,39995496,5,1647122009577046,17919,1647122049554025,1647122049554623,40599243.0,5.0,DARK,1647122009062547.0,1492.0,1647122049660298.0,105675.0,106273.0,Google Pixel 6 Pro,none
40498222,1,WHITE,40499380,6,1647122009577046,17919,1647122050057349,1647122050058507,41083084.0,6.0,LIGHT,1647122009062547.0,1492.0,1647122050144139.0,85632.0,86790.0,Google Pixel 6 Pro,none
41003753,0,BLACK,41004448,7,1647122009577046,17919,1647122050562880,1647122050563575,41584843.0,7.0,DARK,1647122009062547.0,1492.0,1647122050645898.0,82323.0,83018.0,Google Pixel 6 Pro,none
41508074,1,WHITE,41508784,8,1647122009577046,17919,1647122051067201,1647122051067911,42086603.0,8.0,LIGHT,1647122009062547.0,1492.0,1647122051147658.0,79747.0,80457.0,Google Pixel 6 Pro,none
42012205,0,BLACK,42012679,9,1647122009577046,17919,1647122051571332,1647122051571806,42606283.0,9.0,DARK,1647122009062547.0,1492.0,1647122051667338.0,95532.0,96006.0,Google Pixel 6 Pro,none
