callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
14796530,1,WHITE,14797611,0,1631139233948141,3105,1631139248741566,1631139248742647,,,,,,,,,LGE LGL322DL,none
14996142,0,BLACK,14996867,1,1631139233948141,3105,1631139248941178,1631139248941903,15073635.0,1.0,DARK,1631139233948282.0,1674.0,1631139249020243.0,78340.0,79065.0,LGE LGL322DL,none
15195671,1,WHITE,15196329,2,1631139233948141,3105,1631139249140707,1631139249141365,15252835.0,2.0,LIGHT,1631139233948282.0,1674.0,1631139249199443.0,58078.0,58736.0,LGE LGL322DL,none
15395720,0,BLACK,15396286,3,1631139233948141,3105,1631139249340756,1631139249341322,15467875.0,3.0,DARK,1631139233948282.0,1674.0,1631139249414483.0,73161.0,73727.0,LGE LGL322DL,none
15595823,1,WHITE,15596435,4,1631139233948141,3105,1631139249540859,1631139249541471,15664995.0,4.0,LIGHT,1631139233948282.0,1674.0,1631139249611603.0,70132.0,70744.0,LGE LGL322DL,none
15795242,0,BLACK,15795799,5,1631139233948141,3105,1631139249740278,1631139249740835,15880035.0,5.0,DARK,1631139233948282.0,1674.0,1631139249826643.0,85808.0,86365.0,LGE LGL322DL,none
15994356,1,WHITE,15995064,6,1631139233948141,3105,1631139249939392,1631139249940100,16059235.0,6.0,LIGHT,1631139233948282.0,1674.0,1631139250005843.0,65743.0,66451.0,LGE LGL322DL,none
16193744,0,BLACK,16194421,7,1631139233948141,3105,1631139250138780,1631139250139457,16274275.0,7.0,DARK,1631139233948282.0,1674.0,1631139250220883.0,81426.0,82103.0,LGE LGL322DL,none
16393577,1,WHITE,16394257,8,1631139233948141,3105,1631139250338613,1631139250339293,16453475.0,8.0,LIGHT,1631139233948282.0,1674.0,1631139250400083.0,60790.0,61470.0,LGE LGL322DL,none
16593843,0,BLACK,16594456,9,1631139233948141,3105,1631139250538879,1631139250539492,16668515.0,9.0,DARK,1631139233948282.0,1674.0,1631139250615123.0,75631.0,76244.0,LGE LGL322DL,none
16793759,1,WHITE,16794318,10,1631139233948141,3105,1631139250738795,1631139250739354,16865635.0,10.0,LIGHT,1631139233948282.0,1674.0,1631139250812243.0,72889.0,73448.0,LGE LGL322DL,none
16993821,0,BLACK,16994441,11,1631139233948141,3105,1631139250938857,1631139250939477,17080674.0,11.0,DARK,1631139233948282.0,1674.0,1631139251027282.0,87805.0,88425.0,LGE LGL322DL,none
17193609,1,WHITE,17194239,12,1631139233948141,3105,1631139251138645,1631139251139275,17259875.0,12.0,LIGHT,1631139233948282.0,1674.0,1631139251206483.0,67208.0,67838.0,LGE LGL322DL,none
17394432,0,BLACK,17395133,13,1631139233948141,3105,1631139251339468,1631139251340169,17474915.0,13.0,DARK,1631139233948282.0,1674.0,1631139251421523.0,81354.0,82055.0,LGE LGL322DL,none
17595376,1,WHITE,17595868,14,1631139233948141,3105,1631139251540412,1631139251540904,17654115.0,14.0,LIGHT,1631139233948282.0,1674.0,1631139251600723.0,59819.0,60311.0,LGE LGL322DL,none
17794254,0,BLACK,17794852,15,1631139233948141,3105,1631139251739290,1631139251739888,17887075.0,15.0,DARK,1631139233948282.0,1674.0,1631139251833683.0,93795.0,94393.0,LGE LGL322DL,none
17993239,1,WHITE,17993993,16,1631139233948141,3105,1631139251938275,1631139251939029,18066275.0,16.0,LIGHT,1631139233948282.0,1674.0,1631139252012883.0,73854.0,74608.0,LGE LGL322DL,none
18192713,0,BLACK,18193243,17,1631139233948141,3105,1631139252137749,1631139252138279,18281315.0,17.0,DARK,1631139233948282.0,1674.0,1631139252227923.0,89644.0,90174.0,LGE LGL322DL,none
18392645,1,WHITE,18393200,18,1631139233948141,3105,1631139252337681,1631139252338236,18460515.0,18.0,LIGHT,1631139233948282.0,1674.0,1631139252407123.0,68887.0,69442.0,LGE LGL322DL,none
18592517,0,BLACK,18593510,19,1631139233948141,3105,1631139252537553,1631139252538546,18657636.0,19.0,DARK,1631139233948282.0,1674.0,1631139252604244.0,65698.0,66691.0,LGE LGL322DL,none
18792286,1,WHITE,18792913,20,1631139233948141,3105,1631139252737322,1631139252737949,18854755.0,20.0,LIGHT,1631139233948282.0,1674.0,1631139252801363.0,63414.0,64041.0,LGE LGL322DL,none
18991044,0,BLACK,18991614,21,1631139233948141,3105,1631139252936080,1631139252936650,19069795.0,21.0,DARK,1631139233948282.0,1674.0,1631139253016403.0,79753.0,80323.0,LGE LGL322DL,none
19190078,1,WHITE,19190633,22,1631139233948141,3105,1631139253135114,1631139253135669,19248995.0,22.0,LIGHT,1631139233948282.0,1674.0,1631139253195603.0,59934.0,60489.0,LGE LGL322DL,none
19389144,0,BLACK,19389824,23,1631139233948141,3105,1631139253334180,1631139253334860,19464035.0,23.0,DARK,1631139233948282.0,1674.0,1631139253410643.0,75783.0,76463.0,LGE LGL322DL,none
19588642,1,WHITE,19589254,24,1631139233948141,3105,1631139253533678,1631139253534290,19643236.0,24.0,LIGHT,1631139233948282.0,1674.0,1631139253589844.0,55554.0,56166.0,LGE LGL322DL,none
19788402,0,BLACK,19788916,25,1631139233948141,3105,1631139253733438,1631139253733952,19858275.0,25.0,DARK,1631139233948282.0,1674.0,1631139253804883.0,70931.0,71445.0,LGE LGL322DL,none
19987948,1,WHITE,19988794,26,1631139233948141,3105,1631139253932984,1631139253933830,20055395.0,26.0,LIGHT,1631139233948282.0,1674.0,1631139254002003.0,68173.0,69019.0,LGE LGL322DL,none
20187877,0,BLACK,20188428,27,1631139233948141,3105,1631139254132913,1631139254133464,20270435.0,27.0,DARK,1631139233948282.0,1674.0,1631139254217043.0,83579.0,84130.0,LGE LGL322DL,none
20387163,1,WHITE,20387686,28,1631139233948141,3105,1631139254332199,1631139254332722,20449635.0,28.0,LIGHT,1631139233948282.0,1674.0,1631139254396243.0,63521.0,64044.0,LGE LGL322DL,none
20586183,0,BLACK,20586968,29,1631139233948141,3105,1631139254531219,1631139254532004,20664675.0,29.0,DARK,1631139233948282.0,1674.0,1631139254611283.0,79279.0,80064.0,LGE LGL322DL,none
20785872,1,WHITE,20786418,30,1631139233948141,3105,1631139254730908,1631139254731454,20861795.0,30.0,LIGHT,1631139233948282.0,1674.0,1631139254808403.0,76949.0,77495.0,LGE LGL322DL,none
20985208,0,BLACK,20985800,31,1631139233948141,3105,1631139254930244,1631139254930836,21076835.0,31.0,DARK,1631139233948282.0,1674.0,1631139255023443.0,92607.0,93199.0,LGE LGL322DL,none
21184556,1,WHITE,21185308,32,1631139233948141,3105,1631139255129592,1631139255130344,21256035.0,32.0,LIGHT,1631139233948282.0,1674.0,1631139255202643.0,72299.0,73051.0,LGE LGL322DL,none
21384190,0,BLACK,21384783,33,1631139233948141,3105,1631139255329226,1631139255329819,21471075.0,33.0,DARK,1631139233948282.0,1674.0,1631139255417683.0,87864.0,88457.0,LGE LGL322DL,none
21583215,1,WHITE,21583852,34,1631139233948141,3105,1631139255528251,1631139255528888,21632355.0,34.0,LIGHT,1631139233948282.0,1674.0,1631139255578963.0,50075.0,50712.0,LGE LGL322DL,none
21782311,0,BLACK,21783130,35,1631139233948141,3105,1631139255727347,1631139255728166,21865315.0,35.0,DARK,1631139233948282.0,1674.0,1631139255811923.0,83757.0,84576.0,LGE LGL322DL,none
21981211,1,WHITE,21981978,36,1631139233948141,3105,1631139255926247,1631139255927014,22044515.0,36.0,LIGHT,1631139233948282.0,1674.0,1631139255991123.0,64109.0,64876.0,LGE LGL322DL,none
