callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
14740396,1,WHITE,14741667,0,1631164197964075,4502,1631164212699969,1631164212701240,,,,,,,,,Motorola moto g stylus (XT2115DL),none
14941019,0,BLACK,14942669,1,1631164197964075,4502,1631164212900592,1631164212902242,15036548.0,1.0,DARK,1631164197964221.0,870.0,1631164212999899.0,97657.0,99307.0,Motorola moto g stylus (XT2115DL),none
15141547,1,WHITE,15142701,2,1631164197964075,4502,1631164213101120,1631164213102274,15215748.0,2.0,LIGHT,1631164197964221.0,870.0,1631164213179099.0,76825.0,77979.0,Motorola moto g stylus (XT2115DL),none
15340692,0,BLACK,15341864,3,1631164197964075,4502,1631164213300265,1631164213301437,15412868.0,3.0,DARK,1631164197964221.0,870.0,1631164213376219.0,74782.0,75954.0,Motorola moto g stylus (XT2115DL),none
15541235,1,WHITE,15542388,4,1631164197964075,4502,1631164213500808,1631164213501961,15627908.0,4.0,LIGHT,1631164197964221.0,870.0,1631164213591259.0,89298.0,90451.0,Motorola moto g stylus (XT2115DL),none
15742148,0,BLACK,15743438,5,1631164197964075,4502,1631164213701721,1631164213703011,15842948.0,5.0,DARK,1631164197964221.0,870.0,1631164213806299.0,103288.0,104578.0,Motorola moto g stylus (XT2115DL),none
15942083,1,WHITE,15943278,6,1631164197964075,4502,1631164213901656,1631164213902851,16022148.0,6.0,LIGHT,1631164197964221.0,870.0,1631164213985499.0,82648.0,83843.0,Motorola moto g stylus (XT2115DL),none
16142515,0,BLACK,16143853,7,1631164197964075,4502,1631164214102088,1631164214103426,16237188.0,7.0,DARK,1631164197964221.0,870.0,1631164214200539.0,97113.0,98451.0,Motorola moto g stylus (XT2115DL),none
16341909,1,WHITE,16343144,8,1631164197964075,4502,1631164214301482,1631164214302717,16416388.0,8.0,LIGHT,1631164197964221.0,870.0,1631164214379739.0,77022.0,78257.0,Motorola moto g stylus (XT2115DL),none
16541473,0,BLACK,16542632,9,1631164197964075,4502,1631164214501046,1631164214502205,16631428.0,9.0,DARK,1631164197964221.0,870.0,1631164214594779.0,92574.0,93733.0,Motorola moto g stylus (XT2115DL),none
16741345,1,WHITE,16742400,10,1631164197964075,4502,1631164214700918,1631164214701973,16828548.0,10.0,LIGHT,1631164197964221.0,870.0,1631164214791899.0,89926.0,90981.0,Motorola moto g stylus (XT2115DL),none
16941673,0,BLACK,16942856,11,1631164197964075,4502,1631164214901246,1631164214902429,17043588.0,11.0,DARK,1631164197964221.0,870.0,1631164215006939.0,104510.0,105693.0,Motorola moto g stylus (XT2115DL),none
17142246,1,WHITE,17143577,12,1631164197964075,4502,1631164215101819,1631164215103150,17222788.0,12.0,LIGHT,1631164197964221.0,870.0,1631164215186139.0,82989.0,84320.0,Motorola moto g stylus (XT2115DL),none
17342751,0,BLACK,17344175,13,1631164197964075,4502,1631164215302324,1631164215303748,17437828.0,13.0,DARK,1631164197964221.0,870.0,1631164215401179.0,97431.0,98855.0,Motorola moto g stylus (XT2115DL),none
17543313,1,WHITE,17544470,14,1631164197964075,4502,1631164215502886,1631164215504043,17617028.0,14.0,LIGHT,1631164197964221.0,870.0,1631164215580379.0,76336.0,77493.0,Motorola moto g stylus (XT2115DL),none
17743504,0,BLACK,17744613,15,1631164197964075,4502,1631164215703077,1631164215704186,17832068.0,15.0,DARK,1631164197964221.0,870.0,1631164215795419.0,91233.0,92342.0,Motorola moto g stylus (XT2115DL),none
17942932,1,WHITE,17944234,16,1631164197964075,4502,1631164215902505,1631164215903807,18011268.0,16.0,LIGHT,1631164197964221.0,870.0,1631164215974619.0,70812.0,72114.0,Motorola moto g stylus (XT2115DL),none
18142799,0,BLACK,18144118,17,1631164197964075,4502,1631164216102372,1631164216103691,18244228.0,17.0,DARK,1631164197964221.0,870.0,1631164216207579.0,103888.0,105207.0,Motorola moto g stylus (XT2115DL),none
18343676,1,WHITE,18344887,18,1631164197964075,4502,1631164216303249,1631164216304460,18423428.0,18.0,LIGHT,1631164197964221.0,870.0,1631164216386779.0,82319.0,83530.0,Motorola moto g stylus (XT2115DL),none
18544631,0,BLACK,18545745,19,1631164197964075,4502,1631164216504204,1631164216505318,18638468.0,19.0,DARK,1631164197964221.0,870.0,1631164216601819.0,96501.0,97615.0,Motorola moto g stylus (XT2115DL),none
