callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
63372824.0,1.0,WHITE,63373697.0,0.0,1648875176851021.0,2453.0,1648875240221392.0,1648875240222265.0,,,,,,,,,Samsung SM-A305G,none
63573069.0,0.0,BLACK,63573910.0,1.0,1648875176851021.0,2453.0,1648875240421637.0,1648875240422478.0,63631985.0,1.0,DARK,1648875176851215.0,1160.0,1648875240482040.0,59562.0,60403.0,Samsung SM-A305G,none
63772485.0,1.0,WHITE,63774059.0,2.0,1648875176851021.0,2453.0,1648875240621053.0,1648875240622627.0,63864947.0,2.0,LIGHT,1648875176851215.0,1160.0,1648875240715002.0,92375.0,93949.0,Samsung SM-A305G,none
63973066.0,0.0,BLACK,63974633.0,3.0,1648875176851021.0,2453.0,1648875240821634.0,1648875240823201.0,64062065.0,3.0,DARK,1648875176851215.0,1160.0,1648875240912120.0,88919.0,90486.0,Samsung SM-A305G,none
64173370.0,1.0,WHITE,64174923.0,4.0,1648875176851021.0,2453.0,1648875241021938.0,1648875241023491.0,64241265.0,4.0,LIGHT,1648875176851215.0,1160.0,1648875241091320.0,67829.0,69382.0,Samsung SM-A305G,none
64372801.0,0.0,BLACK,64374432.0,5.0,1648875176851021.0,2453.0,1648875241221369.0,1648875241223000.0,64438385.0,5.0,DARK,1648875176851215.0,1160.0,1648875241288440.0,65440.0,67071.0,Samsung SM-A305G,none
64571991.0,1.0,WHITE,64572794.0,6.0,1648875176851021.0,2453.0,1648875241420559.0,1648875241421362.0,64617585.0,6.0,LIGHT,1648875176851215.0,1160.0,1648875241467640.0,46278.0,47081.0,Samsung SM-A305G,none
64772314.0,0.0,BLACK,64773123.0,7.0,1648875176851021.0,2453.0,1648875241620882.0,1648875241621691.0,64832625.0,7.0,DARK,1648875176851215.0,1160.0,1648875241682680.0,60989.0,61798.0,Samsung SM-A305G,none
64972524.0,1.0,WHITE,64973527.0,8.0,1648875176851021.0,2453.0,1648875241821092.0,1648875241822095.0,65029745.0,8.0,LIGHT,1648875176851215.0,1160.0,1648875241879800.0,57705.0,58708.0,Samsung SM-A305G,none
65173375.0,0.0,BLACK,65174323.0,9.0,1648875176851021.0,2453.0,1648875242021943.0,1648875242022891.0,65244785.0,9.0,DARK,1648875176851215.0,1160.0,1648875242094840.0,71949.0,72897.0,Samsung SM-A305G,none
65372533.0,1.0,WHITE,65373269.0,10.0,1648875176851021.0,2453.0,1648875242221101.0,1648875242221837.0,65423985.0,10.0,LIGHT,1648875176851215.0,1160.0,1648875242274040.0,52203.0,52939.0,Samsung SM-A305G,none
65572382.0,0.0,BLACK,65573931.0,11.0,1648875176851021.0,2453.0,1648875242420950.0,1648875242422499.0,65656945.0,11.0,DARK,1648875176851215.0,1160.0,1648875242507000.0,84501.0,86050.0,Samsung SM-A305G,none
65772657.0,1.0,WHITE,65774447.0,12.0,1648875176851021.0,2453.0,1648875242621225.0,1648875242623015.0,65836145.0,12.0,LIGHT,1648875176851215.0,1160.0,1648875242686200.0,63185.0,64975.0,Samsung SM-A305G,none
65972846.0,0.0,BLACK,65974437.0,13.0,1648875176851021.0,2453.0,1648875242821414.0,1648875242823005.0,66033265.0,13.0,DARK,1648875176851215.0,1160.0,1648875242883320.0,60315.0,61906.0,Samsung SM-A305G,none
66173651.0,1.0,WHITE,66175950.0,14.0,1648875176851021.0,2453.0,1648875243022219.0,1648875243024518.0,66248305.0,14.0,LIGHT,1648875176851215.0,1160.0,1648875243098360.0,73842.0,76141.0,Samsung SM-A305G,none
66374558.0,0.0,BLACK,66375921.0,15.0,1648875176851021.0,2453.0,1648875243223126.0,1648875243224489.0,66463345.0,15.0,DARK,1648875176851215.0,1160.0,1648875243313400.0,88911.0,90274.0,Samsung SM-A305G,none
66573741.0,1.0,WHITE,66575655.0,16.0,1648875176851021.0,2453.0,1648875243422309.0,1648875243424223.0,66642545.0,16.0,LIGHT,1648875176851215.0,1160.0,1648875243492600.0,68377.0,70291.0,Samsung SM-A305G,none
66773421.0,0.0,BLACK,66775035.0,17.0,1648875176851021.0,2453.0,1648875243621989.0,1648875243623603.0,66857585.0,17.0,DARK,1648875176851215.0,1160.0,1648875243707640.0,84037.0,85651.0,Samsung SM-A305G,none
66974374.0,1.0,WHITE,66975721.0,18.0,1648875176851021.0,2453.0,1648875243822942.0,1648875243824289.0,67036785.0,18.0,LIGHT,1648875176851215.0,1160.0,1648875243886840.0,62551.0,63898.0,Samsung SM-A305G,none
