callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
91848114,1,WHITE,91850773,0,1631215427982130,3655,1631215519826589,1631215519829248,,,,,,,,,Samsung SM-A515F,none
92846890,0,BLACK,92848586,1,1631215427982130,3655,1631215520825365,1631215520827061,92927530.0,1.0,DARK,1631215427982260.0,1103.0,1631215520908687.0,81626.0,83322.0,Samsung SM-A515F,none
93844977,1,WHITE,93846384,2,1631215427982130,3655,1631215521823452,1631215521824859,93913129.0,2.0,LIGHT,1631215427982260.0,1103.0,1631215521894286.0,69427.0,70834.0,Samsung SM-A515F,none
94843113,0,BLACK,94844426,3,1631215427982130,3655,1631215522821588,1631215522822901,94934570.0,3.0,DARK,1631215427982260.0,1103.0,1631215522915727.0,92826.0,94139.0,Samsung SM-A515F,none
95841714,1,WHITE,95843314,4,1631215427982130,3655,1631215523820189,1631215523821789,95920169.0,4.0,LIGHT,1631215427982260.0,1103.0,1631215523901326.0,79537.0,81137.0,Samsung SM-A515F,none
96840279,0,BLACK,96841808,5,1631215427982130,3655,1631215524818754,1631215524820283,96923692.0,5.0,DARK,1631215427982260.0,1103.0,1631215524904849.0,84566.0,86095.0,Samsung SM-A515F,none
97839109,1,WHITE,97840240,6,1631215427982130,3655,1631215525817584,1631215525818715,97909289.0,6.0,LIGHT,1631215427982260.0,1103.0,1631215525890446.0,71731.0,72862.0,Samsung SM-A515F,none
98837780,0,BLACK,98839191,7,1631215427982130,3655,1631215526816255,1631215526817666,98930730.0,7.0,DARK,1631215427982260.0,1103.0,1631215526911887.0,94221.0,95632.0,Samsung SM-A515F,none
99835923,1,WHITE,99836986,8,1631215427982130,3655,1631215527814398,1631215527815461,99916329.0,8.0,LIGHT,1631215427982260.0,1103.0,1631215527897486.0,82025.0,83088.0,Samsung SM-A515F,none
100833806,0,BLACK,100835011,9,1631215427982130,3655,1631215528812281,1631215528813486,100919850.0,9.0,DARK,1631215427982260.0,1103.0,1631215528901007.0,87521.0,88726.0,Samsung SM-A515F,none
101832082,1,WHITE,101833630,10,1631215427982130,3655,1631215529810557,1631215529812105,101905449.0,10.0,LIGHT,1631215427982260.0,1103.0,1631215529886606.0,74501.0,76049.0,Samsung SM-A515F,none
102830006,0,BLACK,102831387,11,1631215427982130,3655,1631215530808481,1631215530809862,102926890.0,11.0,DARK,1631215427982260.0,1103.0,1631215530908047.0,98185.0,99566.0,Samsung SM-A515F,none
103827469,1,WHITE,103828991,12,1631215427982130,3655,1631215531805944,1631215531807466,103912489.0,12.0,LIGHT,1631215427982260.0,1103.0,1631215531893646.0,86180.0,87702.0,Samsung SM-A515F,none
104825586,0,BLACK,104826325,13,1631215427982130,3655,1631215532804061,1631215532804800,104916010.0,13.0,DARK,1631215427982260.0,1103.0,1631215532897167.0,92367.0,93106.0,Samsung SM-A515F,none
105824351,1,WHITE,105826008,14,1631215427982130,3655,1631215533802826,1631215533804483,105901610.0,14.0,LIGHT,1631215427982260.0,1103.0,1631215533882767.0,78284.0,79941.0,Samsung SM-A515F,none
106823461,0,BLACK,106824994,15,1631215427982130,3655,1631215534801936,1631215534803469,106923050.0,15.0,DARK,1631215427982260.0,1103.0,1631215534904207.0,100738.0,102271.0,Samsung SM-A515F,none
107822261,1,WHITE,107823642,16,1631215427982130,3655,1631215535800736,1631215535802117,107908650.0,16.0,LIGHT,1631215427982260.0,1103.0,1631215535889807.0,87690.0,89071.0,Samsung SM-A515F,none
108820373,0,BLACK,108822205,17,1631215427982130,3655,1631215536798848,1631215536800680,108912170.0,17.0,DARK,1631215427982260.0,1103.0,1631215536893327.0,92647.0,94479.0,Samsung SM-A515F,none
109819868,1,WHITE,109821606,18,1631215427982130,3655,1631215537798343,1631215537800081,109897771.0,18.0,LIGHT,1631215427982260.0,1103.0,1631215537878928.0,78847.0,80585.0,Samsung SM-A515F,none
