callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
63100659.0,1.0,WHITE,63101409.0,0.0,1648927293522605.0,1800.0,1648927356621464.0,1648927356622214.0,,,,,,,,,Samsung SM-A525M,none
63301024.0,0.0,BLACK,63301751.0,1.0,1648927293522605.0,1800.0,1648927356821829.0,1648927356822556.0,63392157.0,1.0,DARK,1648927293501643.0,1250.0,1648927356892550.0,69994.0,70721.0,Samsung SM-A525M,none
63501506.0,1.0,WHITE,63502074.0,2.0,1648927293522605.0,1800.0,1648927357022311.0,1648927357022879.0,63589277.0,2.0,LIGHT,1648927293501643.0,1250.0,1648927357089670.0,66791.0,67359.0,Samsung SM-A525M,none
63702981.0,0.0,BLACK,63703562.0,3.0,1648927293522605.0,1800.0,1648927357223786.0,1648927357224367.0,63804317.0,3.0,DARK,1648927293501643.0,1250.0,1648927357304710.0,80343.0,80924.0,Samsung SM-A525M,none
63904836.0,1.0,WHITE,63905454.0,4.0,1648927293522605.0,1800.0,1648927357425641.0,1648927357426259.0,63965598.0,4.0,LIGHT,1648927293501643.0,1250.0,1648927357465991.0,39732.0,40350.0,Samsung SM-A525M,none
64105418.0,0.0,BLACK,64106025.0,5.0,1648927293522605.0,1800.0,1648927357626223.0,1648927357626830.0,64180637.0,5.0,DARK,1648927293501643.0,1250.0,1648927357681030.0,54200.0,54807.0,Samsung SM-A525M,none
64306720.0,1.0,WHITE,64307285.0,6.0,1648927293522605.0,1800.0,1648927357827525.0,1648927357828090.0,64377757.0,6.0,LIGHT,1648927293501643.0,1250.0,1648927357878150.0,50060.0,50625.0,Samsung SM-A525M,none
64506692.0,0.0,BLACK,64507259.0,7.0,1648927293522605.0,1800.0,1648927358027497.0,1648927358028064.0,64592797.0,7.0,DARK,1648927293501643.0,1250.0,1648927358093190.0,65126.0,65693.0,Samsung SM-A525M,none
64708532.0,1.0,WHITE,64709195.0,8.0,1648927293522605.0,1800.0,1648927358229337.0,1648927358230000.0,64789917.0,8.0,LIGHT,1648927293501643.0,1250.0,1648927358290310.0,60310.0,60973.0,Samsung SM-A525M,none
64910174.0,0.0,BLACK,64910800.0,9.0,1648927293522605.0,1800.0,1648927358430979.0,1648927358431605.0,64987037.0,9.0,DARK,1648927293501643.0,1250.0,1648927358487430.0,55825.0,56451.0,Samsung SM-A525M,none
65112453.0,1.0,WHITE,65113084.0,10.0,1648927293522605.0,1800.0,1648927358633258.0,1648927358633889.0,65184158.0,10.0,LIGHT,1648927293501643.0,1250.0,1648927358684551.0,50662.0,51293.0,Samsung SM-A525M,none
65314789.0,0.0,BLACK,65315417.0,11.0,1648927293522605.0,1800.0,1648927358835594.0,1648927358836222.0,65399197.0,11.0,DARK,1648927293501643.0,1250.0,1648927358899590.0,63368.0,63996.0,Samsung SM-A525M,none
65515042.0,1.0,WHITE,65515621.0,12.0,1648927293522605.0,1800.0,1648927359035847.0,1648927359036426.0,65578397.0,12.0,LIGHT,1648927293501643.0,1250.0,1648927359078790.0,42364.0,42943.0,Samsung SM-A525M,none
65715239.0,0.0,BLACK,65715838.0,13.0,1648927293522605.0,1800.0,1648927359236044.0,1648927359236643.0,65793437.0,13.0,DARK,1648927293501643.0,1250.0,1648927359293830.0,57187.0,57786.0,Samsung SM-A525M,none
65917473.0,1.0,WHITE,65918143.0,14.0,1648927293522605.0,1800.0,1648927359438278.0,1648927359438948.0,65972637.0,14.0,LIGHT,1648927293501643.0,1250.0,1648927359473030.0,34082.0,34752.0,Samsung SM-A525M,none
66119431.0,0.0,BLACK,66120017.0,15.0,1648927293522605.0,1800.0,1648927359640236.0,1648927359640822.0,66187677.0,15.0,DARK,1648927293501643.0,1250.0,1648927359688070.0,47248.0,47834.0,Samsung SM-A525M,none
66321272.0,1.0,WHITE,66321883.0,16.0,1648927293522605.0,1800.0,1648927359842077.0,1648927359842688.0,66402717.0,16.0,LIGHT,1648927293501643.0,1250.0,1648927359903110.0,60422.0,61033.0,Samsung SM-A525M,none
66522659.0,0.0,BLACK,66523264.0,17.0,1648927293522605.0,1800.0,1648927360043464.0,1648927360044069.0,66599837.0,17.0,DARK,1648927293501643.0,1250.0,1648927360100230.0,56161.0,56766.0,Samsung SM-A525M,none
66723302.0,1.0,WHITE,66723896.0,18.0,1648927293522605.0,1800.0,1648927360244107.0,1648927360244701.0,66796957.0,18.0,LIGHT,1648927293501643.0,1250.0,1648927360297350.0,52649.0,53243.0,Samsung SM-A525M,none
66925641.0,0.0,BLACK,66926259.0,19.0,1648927293522605.0,1800.0,1648927360446446.0,1648927360447064.0,67011997.0,19.0,DARK,1648927293501643.0,1250.0,1648927360512390.0,65326.0,65944.0,Samsung SM-A525M,none
67126263.0,1.0,WHITE,67126809.0,20.0,1648927293522605.0,1800.0,1648927360647068.0,1648927360647614.0,67209117.0,20.0,LIGHT,1648927293501643.0,1250.0,1648927360709510.0,61896.0,62442.0,Samsung SM-A525M,none
67328549.0,0.0,BLACK,67329156.0,21.0,1648927293522605.0,1800.0,1648927360849354.0,1648927360849961.0,67406237.0,21.0,DARK,1648927293501643.0,1250.0,1648927360906630.0,56669.0,57276.0,Samsung SM-A525M,none
67529350.0,1.0,WHITE,67529883.0,22.0,1648927293522605.0,1800.0,1648927361050155.0,1648927361050688.0,67603357.0,22.0,LIGHT,1648927293501643.0,1250.0,1648927361103750.0,53062.0,53595.0,Samsung SM-A525M,none
67729939.0,0.0,BLACK,67730486.0,23.0,1648927293522605.0,1800.0,1648927361250744.0,1648927361251291.0,67818397.0,23.0,DARK,1648927293501643.0,1250.0,1648927361318790.0,67499.0,68046.0,Samsung SM-A525M,none
67931609.0,1.0,WHITE,67932341.0,24.0,1648927293522605.0,1800.0,1648927361452414.0,1648927361453146.0,68015517.0,24.0,LIGHT,1648927293501643.0,1250.0,1648927361515910.0,62764.0,63496.0,Samsung SM-A525M,none
