callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
38472248,1,WHITE,38473872,0,1631133060269730,2993,1631133098738985,1631133098740609,,,,,,,,,Samsung SM-G960U,none
38977211,0,BLACK,38979129,1,1631133060269730,2993,1631133099243948,1631133099245866,39060795.0,1.0,DARK,1631133060259224.0,1240.0,1631133099318779.0,72913.0,74831.0,Samsung SM-G960U,none
39482789,1,WHITE,39484584,2,1631133060269730,2993,1631133099749526,1631133099751321,39562555.0,2.0,LIGHT,1631133060259224.0,1240.0,1631133099820539.0,69218.0,71013.0,Samsung SM-G960U,none
39987390,0,BLACK,39989144,3,1631133060269730,2993,1631133100254127,1631133100255881,40100155.0,3.0,DARK,1631133060259224.0,1240.0,1631133100358139.0,102258.0,104012.0,Samsung SM-G960U,none
40491747,1,WHITE,40492470,4,1631133060269730,2993,1631133100758484,1631133100759207,40566075.0,4.0,LIGHT,1631133060259224.0,1240.0,1631133100824059.0,64852.0,65575.0,Samsung SM-G960U,none
40996491,0,BLACK,40998031,5,1631133060269730,2993,1631133101263228,1631133101264768,41085755.0,5.0,DARK,1631133060259224.0,1240.0,1631133101343739.0,78971.0,80511.0,Samsung SM-G960U,none
41500175,1,WHITE,41501927,6,1631133060269730,2993,1631133101766912,1631133101768664,41605435.0,6.0,LIGHT,1631133060259224.0,1240.0,1631133101863419.0,94755.0,96507.0,Samsung SM-G960U,none
42005858,0,BLACK,42007590,7,1631133060269730,2993,1631133102272595,1631133102274327,42107195.0,7.0,DARK,1631133060259224.0,1240.0,1631133102365179.0,90852.0,92584.0,Samsung SM-G960U,none
42511182,1,WHITE,42512868,8,1631133060269730,2993,1631133102777919,1631133102779605,42591035.0,8.0,LIGHT,1631133060259224.0,1240.0,1631133102849019.0,69414.0,71100.0,Samsung SM-G960U,none
43015364,0,BLACK,43016937,9,1631133060269730,2993,1631133103282101,1631133103283674,43146555.0,9.0,DARK,1631133060259224.0,1240.0,1631133103404539.0,120865.0,122438.0,Samsung SM-G960U,none
43520615,1,WHITE,43522324,10,1631133060269730,2993,1631133103787352,1631133103789061,43612476.0,10.0,LIGHT,1631133060259224.0,1240.0,1631133103870460.0,81399.0,83108.0,Samsung SM-G960U,none
44025501,0,BLACK,44027422,11,1631133060269730,2993,1631133104292238,1631133104294159,44114235.0,11.0,DARK,1631133060259224.0,1240.0,1631133104372219.0,78060.0,79981.0,Samsung SM-G960U,none
44530444,1,WHITE,44533063,12,1631133060269730,2993,1631133104797181,1631133104799800,44633915.0,12.0,LIGHT,1631133060259224.0,1240.0,1631133104891899.0,92099.0,94718.0,Samsung SM-G960U,none
45036291,0,BLACK,45038099,13,1631133060269730,2993,1631133105303028,1631133105304836,45117755.0,13.0,DARK,1631133060259224.0,1240.0,1631133105375739.0,70903.0,72711.0,Samsung SM-G960U,none
45541405,1,WHITE,45543851,14,1631133060269730,2993,1631133105808142,1631133105810588,45619515.0,14.0,LIGHT,1631133060259224.0,1240.0,1631133105877499.0,66911.0,69357.0,Samsung SM-G960U,none
46045621,0,BLACK,46047471,15,1631133060269730,2993,1631133106312358,1631133106314208,46157115.0,15.0,DARK,1631133060259224.0,1240.0,1631133106415099.0,100891.0,102741.0,Samsung SM-G960U,none
46550396,1,WHITE,46552691,16,1631133060269730,2993,1631133106817133,1631133106819428,46640955.0,16.0,LIGHT,1631133060259224.0,1240.0,1631133106898939.0,79511.0,81806.0,Samsung SM-G960U,none
47054218,0,BLACK,47056559,17,1631133060269730,2993,1631133107320955,1631133107323296,47178555.0,17.0,DARK,1631133060259224.0,1240.0,1631133107436539.0,113243.0,115584.0,Samsung SM-G960U,none
47558499,1,WHITE,47560159,18,1631133060269730,2993,1631133107825236,1631133107826896,47662395.0,18.0,LIGHT,1631133060259224.0,1240.0,1631133107920379.0,93483.0,95143.0,Samsung SM-G960U,none
48063951,0,BLACK,48066108,19,1631133060269730,2993,1631133108330688,1631133108332845,48164155.0,19.0,DARK,1631133060259224.0,1240.0,1631133108422139.0,89294.0,91451.0,Samsung SM-G960U,none
48568425,1,WHITE,48569993,20,1631133060269730,2993,1631133108835162,1631133108836730,48647995.0,20.0,LIGHT,1631133060259224.0,1240.0,1631133108905979.0,69249.0,70817.0,Samsung SM-G960U,none
49080764,0,BLACK,49082970,21,1631133060269730,2993,1631133109347501,1631133109349707,49167675.0,21.0,DARK,1631133060259224.0,1240.0,1631133109425659.0,75952.0,78158.0,Samsung SM-G960U,none
49588618,1,WHITE,49590704,22,1631133060269730,2993,1631133109855355,1631133109857441,49687355.0,22.0,LIGHT,1631133060259224.0,1240.0,1631133109945339.0,87898.0,89984.0,Samsung SM-G960U,none
50093239,0,BLACK,50096061,23,1631133060269730,2993,1631133110359976,1631133110362798,50207035.0,23.0,DARK,1631133060259224.0,1240.0,1631133110465019.0,102221.0,105043.0,Samsung SM-G960U,none
50599557,1,WHITE,50602685,24,1631133060269730,2993,1631133110866294,1631133110869422,50672955.0,24.0,LIGHT,1631133060259224.0,1240.0,1631133110930939.0,61517.0,64645.0,Samsung SM-G960U,none
51103086,0,BLACK,51105163,25,1631133060269730,2993,1631133111369823,1631133111371900,51228475.0,25.0,DARK,1631133060259224.0,1240.0,1631133111486459.0,114559.0,116636.0,Samsung SM-G960U,none
51606795,1,WHITE,51609290,26,1631133060269730,2993,1631133111873532,1631133111876027,51694396.0,26.0,LIGHT,1631133060259224.0,1240.0,1631133111952380.0,76353.0,78848.0,Samsung SM-G960U,none
52115633,0,BLACK,52117142,27,1631133060269730,2993,1631133112382370,1631133112383879,52214075.0,27.0,DARK,1631133060259224.0,1240.0,1631133112472059.0,88180.0,89689.0,Samsung SM-G960U,none
