callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
63455252.0,1.0,WHITE,63455440.0,0.0,1648930278281319.0,3387.0,1648930341733184.0,1648930341733372.0,,,,,,,,,Samsung SM-G991U1,none
63657398.0,0.0,BLACK,63658654.0,1.0,1648930278281319.0,3387.0,1648930341935330.0,1648930341936586.0,63813416.0,1.0,DARK,1648930278196268.0,1115.0,1648930342008569.0,71983.0,73239.0,Samsung SM-G991U1,none
63859478.0,1.0,WHITE,63860279.0,2.0,1648930278281319.0,3387.0,1648930342137410.0,1648930342138211.0,64010536.0,2.0,LIGHT,1648930278196268.0,1115.0,1648930342205689.0,67478.0,68279.0,Samsung SM-G991U1,none
64060878.0,0.0,BLACK,64061540.0,3.0,1648930278281319.0,3387.0,1648930342338810.0,1648930342339472.0,64225576.0,3.0,DARK,1648930278196268.0,1115.0,1648930342420729.0,81257.0,81919.0,Samsung SM-G991U1,none
64264163.0,1.0,WHITE,64265092.0,4.0,1648930278281319.0,3387.0,1648930342542095.0,1648930342543024.0,64404778.0,4.0,LIGHT,1648930278196268.0,1115.0,1648930342599931.0,56907.0,57836.0,Samsung SM-G991U1,none
64466605.0,0.0,BLACK,64467182.0,5.0,1648930278281319.0,3387.0,1648930342744537.0,1648930342745114.0,64619816.0,5.0,DARK,1648930278196268.0,1115.0,1648930342814969.0,69855.0,70432.0,Samsung SM-G991U1,none
64671294.0,1.0,WHITE,64672302.0,6.0,1648930278281319.0,3387.0,1648930342949226.0,1648930342950234.0,64816936.0,6.0,LIGHT,1648930278196268.0,1115.0,1648930343012089.0,61855.0,62863.0,Samsung SM-G991U1,none
64873159.0,0.0,BLACK,64873763.0,7.0,1648930278281319.0,3387.0,1648930343151091.0,1648930343151695.0,65031976.0,7.0,DARK,1648930278196268.0,1115.0,1648930343227129.0,75434.0,76038.0,Samsung SM-G991U1,none
65073094.0,1.0,WHITE,65073363.0,8.0,1648930278281319.0,3387.0,1648930343351026.0,1648930343351295.0,65211176.0,8.0,LIGHT,1648930278196268.0,1115.0,1648930343406329.0,55034.0,55303.0,Samsung SM-G991U1,none
65275634.0,0.0,BLACK,65276322.0,9.0,1648930278281319.0,3387.0,1648930343553566.0,1648930343554254.0,65426216.0,9.0,DARK,1648930278196268.0,1115.0,1648930343621369.0,67115.0,67803.0,Samsung SM-G991U1,none
65478010.0,1.0,WHITE,65478999.0,10.0,1648930278281319.0,3387.0,1648930343755942.0,1648930343756931.0,65623337.0,10.0,LIGHT,1648930278196268.0,1115.0,1648930343818490.0,61559.0,62548.0,Samsung SM-G991U1,none
65679839.0,0.0,BLACK,65680845.0,11.0,1648930278281319.0,3387.0,1648930343957771.0,1648930343958777.0,65856296.0,11.0,DARK,1648930278196268.0,1115.0,1648930344051449.0,92672.0,93678.0,Samsung SM-G991U1,none
65880489.0,1.0,WHITE,65881042.0,12.0,1648930278281319.0,3387.0,1648930344158421.0,1648930344158974.0,66053416.0,12.0,LIGHT,1648930278196268.0,1115.0,1648930344248569.0,89595.0,90148.0,Samsung SM-G991U1,none
66081762.0,0.0,BLACK,66082769.0,13.0,1648930278281319.0,3387.0,1648930344359694.0,1648930344360701.0,66250536.0,13.0,DARK,1648930278196268.0,1115.0,1648930344445689.0,84988.0,85995.0,Samsung SM-G991U1,none
66282751.0,1.0,WHITE,66283311.0,14.0,1648930278281319.0,3387.0,1648930344560683.0,1648930344561243.0,66429736.0,14.0,LIGHT,1648930278196268.0,1115.0,1648930344624889.0,63646.0,64206.0,Samsung SM-G991U1,none
66488154.0,0.0,BLACK,66489019.0,15.0,1648930278281319.0,3387.0,1648930344766086.0,1648930344766951.0,66644776.0,15.0,DARK,1648930278196268.0,1115.0,1648930344839929.0,72978.0,73843.0,Samsung SM-G991U1,none
66691117.0,1.0,WHITE,66692006.0,16.0,1648930278281319.0,3387.0,1648930344969049.0,1648930344969938.0,66823976.0,16.0,LIGHT,1648930278196268.0,1115.0,1648930345019129.0,49191.0,50080.0,Samsung SM-G991U1,none
66890898.0,0.0,BLACK,66891351.0,17.0,1648930278281319.0,3387.0,1648930345168830.0,1648930345169283.0,67039016.0,17.0,DARK,1648930278196268.0,1115.0,1648930345234169.0,64886.0,65339.0,Samsung SM-G991U1,none
67093451.0,1.0,WHITE,67094426.0,18.0,1648930278281319.0,3387.0,1648930345371383.0,1648930345372358.0,67236136.0,18.0,LIGHT,1648930278196268.0,1115.0,1648930345431289.0,58931.0,59906.0,Samsung SM-G991U1,none
67297819.0,0.0,BLACK,67298540.0,19.0,1648930278281319.0,3387.0,1648930345575751.0,1648930345576472.0,67469098.0,19.0,DARK,1648930278196268.0,1115.0,1648930345664251.0,87779.0,88500.0,Samsung SM-G991U1,none
67499633.0,1.0,WHITE,67500627.0,20.0,1648930278281319.0,3387.0,1648930345777565.0,1648930345778559.0,67666216.0,20.0,LIGHT,1648930278196268.0,1115.0,1648930345861369.0,82810.0,83804.0,Samsung SM-G991U1,none
67704644.0,0.0,BLACK,67705625.0,21.0,1648930278281319.0,3387.0,1648930345982576.0,1648930345983557.0,67863336.0,21.0,DARK,1648930278196268.0,1115.0,1648930346058489.0,74932.0,75913.0,Samsung SM-G991U1,none
67904736.0,1.0,WHITE,67905247.0,22.0,1648930278281319.0,3387.0,1648930346182668.0,1648930346183179.0,68060456.0,22.0,LIGHT,1648930278196268.0,1115.0,1648930346255609.0,72430.0,72941.0,Samsung SM-G991U1,none
68105348.0,0.0,BLACK,68106006.0,23.0,1648930278281319.0,3387.0,1648930346383280.0,1648930346383938.0,68257576.0,23.0,DARK,1648930278196268.0,1115.0,1648930346452729.0,68791.0,69449.0,Samsung SM-G991U1,none
68307565.0,1.0,WHITE,68308480.0,24.0,1648930278281319.0,3387.0,1648930346585497.0,1648930346586412.0,68472616.0,24.0,LIGHT,1648930278196268.0,1115.0,1648930346667769.0,81357.0,82272.0,Samsung SM-G991U1,none
68508787.0,0.0,BLACK,68509391.0,25.0,1648930278281319.0,3387.0,1648930346786719.0,1648930346787323.0,68669736.0,25.0,DARK,1648930278196268.0,1115.0,1648930346864889.0,77566.0,78170.0,Samsung SM-G991U1,none
68710881.0,1.0,WHITE,68711841.0,26.0,1648930278281319.0,3387.0,1648930346988813.0,1648930346989773.0,68866856.0,26.0,LIGHT,1648930278196268.0,1115.0,1648930347062009.0,72236.0,73196.0,Samsung SM-G991U1,none
68912867.0,0.0,BLACK,68913753.0,27.0,1648930278281319.0,3387.0,1648930347190799.0,1648930347191685.0,69081896.0,27.0,DARK,1648930278196268.0,1115.0,1648930347277049.0,85364.0,86250.0,Samsung SM-G991U1,none
69113805.0,1.0,WHITE,69114457.0,28.0,1648930278281319.0,3387.0,1648930347391737.0,1648930347392389.0,69243176.0,28.0,LIGHT,1648930278196268.0,1115.0,1648930347438329.0,45940.0,46592.0,Samsung SM-G991U1,none
69315081.0,0.0,BLACK,69315759.0,29.0,1648930278281319.0,3387.0,1648930347593013.0,1648930347593691.0,69494056.0,29.0,DARK,1648930278196268.0,1115.0,1648930347689209.0,95518.0,96196.0,Samsung SM-G991U1,none
69517413.0,1.0,WHITE,69518507.0,30.0,1648930278281319.0,3387.0,1648930347795345.0,1648930347796439.0,69691176.0,30.0,LIGHT,1648930278196268.0,1115.0,1648930347886329.0,89890.0,90984.0,Samsung SM-G991U1,none
69720225.0,0.0,BLACK,69720917.0,31.0,1648930278281319.0,3387.0,1648930347998157.0,1648930347998849.0,69906217.0,31.0,DARK,1648930278196268.0,1115.0,1648930348101370.0,102521.0,103213.0,Samsung SM-G991U1,none
69925697.0,1.0,WHITE,69926807.0,32.0,1648930278281319.0,3387.0,1648930348203629.0,1648930348204739.0,70067496.0,32.0,LIGHT,1648930278196268.0,1115.0,1648930348262649.0,57910.0,59020.0,Samsung SM-G991U1,none
70127040.0,0.0,BLACK,70127568.0,33.0,1648930278281319.0,3387.0,1648930348404972.0,1648930348405500.0,70300456.0,33.0,DARK,1648930278196268.0,1115.0,1648930348495609.0,90109.0,90637.0,Samsung SM-G991U1,none
70332048.0,1.0,WHITE,70333057.0,34.0,1648930278281319.0,3387.0,1648930348609980.0,1648930348610989.0,70497576.0,34.0,LIGHT,1648930278196268.0,1115.0,1648930348692729.0,81740.0,82749.0,Samsung SM-G991U1,none
70533779.0,0.0,BLACK,70534812.0,35.0,1648930278281319.0,3387.0,1648930348811711.0,1648930348812744.0,70694696.0,35.0,DARK,1648930278196268.0,1115.0,1648930348889849.0,77105.0,78138.0,Samsung SM-G991U1,none
70735605.0,1.0,WHITE,70736242.0,36.0,1648930278281319.0,3387.0,1648930349013537.0,1648930349014174.0,70909736.0,36.0,LIGHT,1648930278196268.0,1115.0,1648930349104889.0,90715.0,91352.0,Samsung SM-G991U1,none
70937670.0,0.0,BLACK,70938800.0,37.0,1648930278281319.0,3387.0,1648930349215602.0,1648930349216732.0,71124776.0,37.0,DARK,1648930278196268.0,1115.0,1648930349319929.0,103197.0,104327.0,Samsung SM-G991U1,none
71140181.0,1.0,WHITE,71141103.0,38.0,1648930278281319.0,3387.0,1648930349418113.0,1648930349419035.0,71303976.0,38.0,LIGHT,1648930278196268.0,1115.0,1648930349499129.0,80094.0,81016.0,Samsung SM-G991U1,none
71344781.0,0.0,BLACK,71345457.0,39.0,1648930278281319.0,3387.0,1648930349622713.0,1648930349623389.0,71519016.0,39.0,DARK,1648930278196268.0,1115.0,1648930349714169.0,90780.0,91456.0,Samsung SM-G991U1,none
71549134.0,1.0,WHITE,71550243.0,40.0,1648930278281319.0,3387.0,1648930349827066.0,1648930349828175.0,71716136.0,40.0,LIGHT,1648930278196268.0,1115.0,1648930349911289.0,83114.0,84223.0,Samsung SM-G991U1,none
71750104.0,0.0,BLACK,71750767.0,41.0,1648930278281319.0,3387.0,1648930350028036.0,1648930350028699.0,71895336.0,41.0,DARK,1648930278196268.0,1115.0,1648930350090489.0,61790.0,62453.0,Samsung SM-G991U1,none
71951923.0,1.0,WHITE,71952637.0,42.0,1648930278281319.0,3387.0,1648930350229855.0,1648930350230569.0,72128296.0,42.0,LIGHT,1648930278196268.0,1115.0,1648930350323449.0,92880.0,93594.0,Samsung SM-G991U1,none
72153962.0,0.0,BLACK,72155028.0,43.0,1648930278281319.0,3387.0,1648930350431894.0,1648930350432960.0,72343336.0,43.0,DARK,1648930278196268.0,1115.0,1648930350538489.0,105529.0,106595.0,Samsung SM-G991U1,none
72355180.0,1.0,WHITE,72355810.0,44.0,1648930278281319.0,3387.0,1648930350633112.0,1648930350633742.0,72504616.0,44.0,LIGHT,1648930278196268.0,1115.0,1648930350699769.0,66027.0,66657.0,Samsung SM-G991U1,none
72556504.0,0.0,BLACK,72557207.0,45.0,1648930278281319.0,3387.0,1648930350834436.0,1648930350835139.0,72737576.0,45.0,DARK,1648930278196268.0,1115.0,1648930350932729.0,97590.0,98293.0,Samsung SM-G991U1,none
72756804.0,1.0,WHITE,72757448.0,46.0,1648930278281319.0,3387.0,1648930351034736.0,1648930351035380.0,72916776.0,46.0,LIGHT,1648930278196268.0,1115.0,1648930351111929.0,76549.0,77193.0,Samsung SM-G991U1,none
72959209.0,0.0,BLACK,72960144.0,47.0,1648930278281319.0,3387.0,1648930351237141.0,1648930351238076.0,73131816.0,47.0,DARK,1648930278196268.0,1115.0,1648930351326969.0,88893.0,89828.0,Samsung SM-G991U1,none
73161501.0,1.0,WHITE,73162421.0,48.0,1648930278281319.0,3387.0,1648930351439433.0,1648930351440353.0,73328936.0,48.0,LIGHT,1648930278196268.0,1115.0,1648930351524089.0,83736.0,84656.0,Samsung SM-G991U1,none
73364021.0,0.0,BLACK,73365003.0,49.0,1648930278281319.0,3387.0,1648930351641953.0,1648930351642935.0,73543976.0,49.0,DARK,1648930278196268.0,1115.0,1648930351739129.0,96194.0,97176.0,Samsung SM-G991U1,none
73565509.0,1.0,WHITE,73566042.0,50.0,1648930278281319.0,3387.0,1648930351843441.0,1648930351843974.0,73723176.0,50.0,LIGHT,1648930278196268.0,1115.0,1648930351918329.0,74355.0,74888.0,Samsung SM-G991U1,none
73766115.0,0.0,BLACK,73766778.0,51.0,1648930278281319.0,3387.0,1648930352044047.0,1648930352044710.0,73920296.0,51.0,DARK,1648930278196268.0,1115.0,1648930352115449.0,70739.0,71402.0,Samsung SM-G991U1,none
73971591.0,1.0,WHITE,73972575.0,52.0,1648930278281319.0,3387.0,1648930352249523.0,1648930352250507.0,74135336.0,52.0,LIGHT,1648930278196268.0,1115.0,1648930352330489.0,79982.0,80966.0,Samsung SM-G991U1,none
74171423.0,0.0,BLACK,74172029.0,53.0,1648930278281319.0,3387.0,1648930352449355.0,1648930352449961.0,74332456.0,53.0,DARK,1648930278196268.0,1115.0,1648930352527609.0,77648.0,78254.0,Samsung SM-G991U1,none
74376886.0,1.0,WHITE,74377848.0,54.0,1648930278281319.0,3387.0,1648930352654818.0,1648930352655780.0,74529576.0,54.0,LIGHT,1648930278196268.0,1115.0,1648930352724729.0,68949.0,69911.0,Samsung SM-G991U1,none
74577977.0,0.0,BLACK,74578627.0,55.0,1648930278281319.0,3387.0,1648930352855909.0,1648930352856559.0,74780456.0,55.0,DARK,1648930278196268.0,1115.0,1648930352975609.0,119050.0,119700.0,Samsung SM-G991U1,none
74781332.0,1.0,WHITE,74782403.0,56.0,1648930278281319.0,3387.0,1648930353059264.0,1648930353060335.0,74941736.0,56.0,LIGHT,1648930278196268.0,1115.0,1648930353136889.0,76554.0,77625.0,Samsung SM-G991U1,none
74986708.0,0.0,BLACK,74987709.0,57.0,1648930278281319.0,3387.0,1648930353264640.0,1648930353265641.0,75156776.0,57.0,DARK,1648930278196268.0,1115.0,1648930353351929.0,86288.0,87289.0,Samsung SM-G991U1,none
75187068.0,1.0,WHITE,75187616.0,58.0,1648930278281319.0,3387.0,1648930353465000.0,1648930353465548.0,75318056.0,58.0,LIGHT,1648930278196268.0,1115.0,1648930353513209.0,47661.0,48209.0,Samsung SM-G991U1,none
