callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
91586618,1,WHITE,91587126,0,1646617361823662,11613,1646617453398667,1646617453399175,,,,,,,,,Samsung SM-N981U1,none
92587002,0,BLACK,92587486,1,1646617361823662,11613,1646617454399051,1646617454399535,93317875.0,1.0,DARK,1646617361169189.0,1209.0,1646617454485855.0,86320.0,86804.0,Samsung SM-N981U1,none
93586680,1,WHITE,93587313,2,1646617361823662,11613,1646617455398729,1646617455399362,94303475.0,2.0,LIGHT,1646617361169189.0,1209.0,1646617455471455.0,72093.0,72726.0,Samsung SM-N981U1,none
94586977,0,BLACK,94587788,3,1646617361823662,11613,1646617456399026,1646617456399837,95306995.0,3.0,DARK,1646617361169189.0,1209.0,1646617456474975.0,75138.0,75949.0,Samsung SM-N981U1,none
95587260,1,WHITE,95587665,4,1646617361823662,11613,1646617457399309,1646617457399714,96292595.0,4.0,LIGHT,1646617361169189.0,1209.0,1646617457460575.0,60861.0,61266.0,Samsung SM-N981U1,none
96591745,0,BLACK,96592499,5,1646617361823662,11613,1646617458403794,1646617458404548,97331955.0,5.0,DARK,1646617361169189.0,1209.0,1646617458499935.0,95387.0,96141.0,Samsung SM-N981U1,none
97590999,1,WHITE,97591373,6,1646617361823662,11613,1646617459403048,1646617459403422,98317555.0,6.0,LIGHT,1646617361169189.0,1209.0,1646617459485535.0,82113.0,82487.0,Samsung SM-N981U1,none
98591748,0,BLACK,98592484,7,1646617361823662,11613,1646617460403797,1646617460404533,99321075.0,7.0,DARK,1646617361169189.0,1209.0,1646617460489055.0,84522.0,85258.0,Samsung SM-N981U1,none
99595342,1,WHITE,99595924,8,1646617361823662,11613,1646617461407391,1646617461407973,100306675.0,8.0,LIGHT,1646617361169189.0,1209.0,1646617461474655.0,66682.0,67264.0,Samsung SM-N981U1,none
100594389,0,BLACK,100594740,9,1646617361823662,11613,1646617462406438,1646617462406789,101328115.0,9.0,DARK,1646617361169189.0,1209.0,1646617462496095.0,89306.0,89657.0,Samsung SM-N981U1,none
101595537,1,WHITE,101596250,10,1646617361823662,11613,1646617463407586,1646617463408299,102313715.0,10.0,LIGHT,1646617361169189.0,1209.0,1646617463481695.0,73396.0,74109.0,Samsung SM-N981U1,none
102599198,0,BLACK,102599987,11,1646617361823662,11613,1646617464411247,1646617464412036,103317235.0,11.0,DARK,1646617361169189.0,1209.0,1646617464485215.0,73179.0,73968.0,Samsung SM-N981U1,none
103601946,1,WHITE,103602791,12,1646617361823662,11613,1646617465413995,1646617465414840,104320756.0,12.0,LIGHT,1646617361169189.0,1209.0,1646617465488736.0,73896.0,74741.0,Samsung SM-N981U1,none
104602321,0,BLACK,104603039,13,1646617361823662,11613,1646617466414370,1646617466415088,105342195.0,13.0,DARK,1646617361169189.0,1209.0,1646617466510175.0,95087.0,95805.0,Samsung SM-N981U1,none
105603569,1,WHITE,105604340,14,1646617361823662,11613,1646617467415618,1646617467416389,106327795.0,14.0,LIGHT,1646617361169189.0,1209.0,1646617467495775.0,79386.0,80157.0,Samsung SM-N981U1,none
106603790,0,BLACK,106604515,15,1646617361823662,11613,1646617468415839,1646617468416564,107331315.0,15.0,DARK,1646617361169189.0,1209.0,1646617468499295.0,82731.0,83456.0,Samsung SM-N981U1,none
107602946,1,WHITE,107603416,16,1646617361823662,11613,1646617469414995,1646617469415465,108316915.0,16.0,LIGHT,1646617361169189.0,1209.0,1646617469484895.0,69430.0,69900.0,Samsung SM-N981U1,none
108603764,0,BLACK,108604686,17,1646617361823662,11613,1646617470415813,1646617470416735,109338355.0,17.0,DARK,1646617361169189.0,1209.0,1646617470506335.0,89600.0,90522.0,Samsung SM-N981U1,none
