callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
14995836,1,WHITE,14997661,0,1631141547306723,2138,1631141562300421,1631141562302246,,,,,,,,,Samsung SM-S111DL,none
15195672,0,BLACK,15196700,1,1631141547306723,2138,1631141562500257,1631141562501285,15399521.0,1.0,DARK,1631141547191812.0,1826.0,1631141562589507.0,88222.0,89250.0,Samsung SM-S111DL,none
15395884,1,WHITE,15396875,2,1631141547306723,2138,1631141562700469,1631141562701460,15578721.0,2.0,LIGHT,1631141547191812.0,1826.0,1631141562768707.0,67247.0,68238.0,Samsung SM-S111DL,none
15597743,0,BLACK,15598836,3,1631141547306723,2138,1631141562902328,1631141562903421,15793761.0,3.0,DARK,1631141547191812.0,1826.0,1631141562983747.0,80326.0,81419.0,Samsung SM-S111DL,none
15798080,1,WHITE,15798958,4,1631141547306723,2138,1631141563102665,1631141563103543,15972963.0,4.0,LIGHT,1631141547191812.0,1826.0,1631141563162949.0,59406.0,60284.0,Samsung SM-S111DL,none
15998151,0,BLACK,15999192,5,1631141547306723,2138,1631141563302736,1631141563303777,16205922.0,5.0,DARK,1631141547191812.0,1826.0,1631141563395908.0,92131.0,93172.0,Samsung SM-S111DL,none
16199598,1,WHITE,16200692,6,1631141547306723,2138,1631141563504183,1631141563505277,16385121.0,6.0,LIGHT,1631141547191812.0,1826.0,1631141563575107.0,69830.0,70924.0,Samsung SM-S111DL,none
16398750,0,BLACK,16399845,7,1631141547306723,2138,1631141563703335,1631141563704430,16600161.0,7.0,DARK,1631141547191812.0,1826.0,1631141563790147.0,85717.0,86812.0,Samsung SM-S111DL,none
16599695,1,WHITE,16600538,8,1631141547306723,2138,1631141563904280,1631141563905123,16779361.0,8.0,LIGHT,1631141547191812.0,1826.0,1631141563969347.0,64224.0,65067.0,Samsung SM-S111DL,none
16800530,0,BLACK,16801410,9,1631141547306723,2138,1631141564105115,1631141564105995,16994401.0,9.0,DARK,1631141547191812.0,1826.0,1631141564184387.0,78392.0,79272.0,Samsung SM-S111DL,none
16999766,1,WHITE,17000623,10,1631141547306723,2138,1631141564304351,1631141564305208,17191522.0,10.0,LIGHT,1631141547191812.0,1826.0,1631141564381508.0,76300.0,77157.0,Samsung SM-S111DL,none
17200888,0,BLACK,17201736,11,1631141547306723,2138,1631141564505473,1631141564506321,17406561.0,11.0,DARK,1631141547191812.0,1826.0,1631141564596547.0,90226.0,91074.0,Samsung SM-S111DL,none
17400910,1,WHITE,17401993,12,1631141547306723,2138,1631141564705495,1631141564706578,17567843.0,12.0,LIGHT,1631141547191812.0,1826.0,1631141564757829.0,51251.0,52334.0,Samsung SM-S111DL,none
17601776,0,BLACK,17602868,13,1631141547306723,2138,1631141564906361,1631141564907453,17782881.0,13.0,DARK,1631141547191812.0,1826.0,1631141564972867.0,65414.0,66506.0,Samsung SM-S111DL,none
17801511,1,WHITE,17802449,14,1631141547306723,2138,1631141565106096,1631141565107034,17980001.0,14.0,LIGHT,1631141547191812.0,1826.0,1631141565169987.0,62953.0,63891.0,Samsung SM-S111DL,none
18000488,0,BLACK,18001318,15,1631141547306723,2138,1631141565305073,1631141565305903,18195041.0,15.0,DARK,1631141547191812.0,1826.0,1631141565385027.0,79124.0,79954.0,Samsung SM-S111DL,none
18201508,1,WHITE,18202597,16,1631141547306723,2138,1631141565506093,1631141565507182,18374241.0,16.0,LIGHT,1631141547191812.0,1826.0,1631141565564227.0,57045.0,58134.0,Samsung SM-S111DL,none
18400611,0,BLACK,18401707,17,1631141547306723,2138,1631141565705196,1631141565706292,18589281.0,17.0,DARK,1631141547191812.0,1826.0,1631141565779267.0,72975.0,74071.0,Samsung SM-S111DL,none
18601109,1,WHITE,18602201,18,1631141547306723,2138,1631141565905694,1631141565906786,18768481.0,18.0,LIGHT,1631141547191812.0,1826.0,1631141565958467.0,51681.0,52773.0,Samsung SM-S111DL,none
18802367,0,BLACK,18803217,19,1631141547306723,2138,1631141566106952,1631141566107802,18983521.0,19.0,DARK,1631141547191812.0,1826.0,1631141566173507.0,65705.0,66555.0,Samsung SM-S111DL,none
19001595,1,WHITE,19002463,20,1631141547306723,2138,1631141566306180,1631141566307048,19180641.0,20.0,LIGHT,1631141547191812.0,1826.0,1631141566370627.0,63579.0,64447.0,Samsung SM-S111DL,none
19202474,0,BLACK,19203569,21,1631141547306723,2138,1631141566507059,1631141566508154,19395682.0,21.0,DARK,1631141547191812.0,1826.0,1631141566585668.0,77514.0,78609.0,Samsung SM-S111DL,none
19402508,1,WHITE,19403604,22,1631141547306723,2138,1631141566707093,1631141566708189,19574881.0,22.0,LIGHT,1631141547191812.0,1826.0,1631141566764867.0,56678.0,57774.0,Samsung SM-S111DL,none
19602779,0,BLACK,19603642,23,1631141547306723,2138,1631141566907364,1631141566908227,19789921.0,23.0,DARK,1631141547191812.0,1826.0,1631141566979907.0,71680.0,72543.0,Samsung SM-S111DL,none
19803171,1,WHITE,19804021,24,1631141547306723,2138,1631141567107756,1631141567108606,19969121.0,24.0,LIGHT,1631141547191812.0,1826.0,1631141567159107.0,50501.0,51351.0,Samsung SM-S111DL,none
20004503,0,BLACK,20005391,25,1631141547306723,2138,1631141567309088,1631141567309976,20202081.0,25.0,DARK,1631141547191812.0,1826.0,1631141567392067.0,82091.0,82979.0,Samsung SM-S111DL,none
20203643,1,WHITE,20204736,26,1631141547306723,2138,1631141567508228,1631141567509321,20381283.0,26.0,LIGHT,1631141547191812.0,1826.0,1631141567571269.0,61948.0,63041.0,Samsung SM-S111DL,none
20404374,0,BLACK,20405465,27,1631141547306723,2138,1631141567708959,1631141567710050,20596321.0,27.0,DARK,1631141547191812.0,1826.0,1631141567786307.0,76257.0,77348.0,Samsung SM-S111DL,none
20605670,1,WHITE,20606846,28,1631141547306723,2138,1631141567910255,1631141567911431,20775521.0,28.0,LIGHT,1631141547191812.0,1826.0,1631141567965507.0,54076.0,55252.0,Samsung SM-S111DL,none
20805437,0,BLACK,20806478,29,1631141547306723,2138,1631141568110022,1631141568111063,20990563.0,29.0,DARK,1631141547191812.0,1826.0,1631141568180549.0,69486.0,70527.0,Samsung SM-S111DL,none
21004765,1,WHITE,21005855,30,1631141547306723,2138,1631141568309350,1631141568310440,21187681.0,30.0,LIGHT,1631141547191812.0,1826.0,1631141568377667.0,67227.0,68317.0,Samsung SM-S111DL,none
21205088,0,BLACK,21205838,31,1631141547306723,2138,1631141568509673,1631141568510423,21402721.0,31.0,DARK,1631141547191812.0,1826.0,1631141568592707.0,82284.0,83034.0,Samsung SM-S111DL,none
21405258,1,WHITE,21406107,32,1631141547306723,2138,1631141568709843,1631141568710692,21581921.0,32.0,LIGHT,1631141547191812.0,1826.0,1631141568771907.0,61215.0,62064.0,Samsung SM-S111DL,none
21605718,0,BLACK,21607001,33,1631141547306723,2138,1631141568910303,1631141568911586,21796961.0,33.0,DARK,1631141547191812.0,1826.0,1631141568986947.0,75361.0,76644.0,Samsung SM-S111DL,none
21805937,1,WHITE,21806968,34,1631141547306723,2138,1631141569110522,1631141569111553,21976163.0,34.0,LIGHT,1631141547191812.0,1826.0,1631141569166149.0,54596.0,55627.0,Samsung SM-S111DL,none
22006106,0,BLACK,22007178,35,1631141547306723,2138,1631141569310691,1631141569311763,22209122.0,35.0,DARK,1631141547191812.0,1826.0,1631141569399108.0,87345.0,88417.0,Samsung SM-S111DL,none
22205447,1,WHITE,22206281,36,1631141547306723,2138,1631141569510032,1631141569510866,22388321.0,36.0,LIGHT,1631141547191812.0,1826.0,1631141569578307.0,67441.0,68275.0,Samsung SM-S111DL,none
22405390,0,BLACK,22406294,37,1631141547306723,2138,1631141569709975,1631141569710879,22603361.0,37.0,DARK,1631141547191812.0,1826.0,1631141569793347.0,82468.0,83372.0,Samsung SM-S111DL,none
22606036,1,WHITE,22607320,38,1631141547306723,2138,1631141569910621,1631141569911905,22782561.0,38.0,LIGHT,1631141547191812.0,1826.0,1631141569972547.0,60642.0,61926.0,Samsung SM-S111DL,none
22807036,0,BLACK,22808147,39,1631141547306723,2138,1631141570111621,1631141570112732,22997601.0,39.0,DARK,1631141547191812.0,1826.0,1631141570187587.0,74855.0,75966.0,Samsung SM-S111DL,none
23007448,1,WHITE,23008311,40,1631141547306723,2138,1631141570312033,1631141570312896,23176801.0,40.0,LIGHT,1631141547191812.0,1826.0,1631141570366787.0,53891.0,54754.0,Samsung SM-S111DL,none
23206322,0,BLACK,23207384,41,1631141547306723,2138,1631141570510907,1631141570511969,23409761.0,41.0,DARK,1631141547191812.0,1826.0,1631141570599747.0,87778.0,88840.0,Samsung SM-S111DL,none
23407064,1,WHITE,23407932,42,1631141547306723,2138,1631141570711649,1631141570712517,23588961.0,42.0,LIGHT,1631141547191812.0,1826.0,1631141570778947.0,66430.0,67298.0,Samsung SM-S111DL,none
