callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
37789111,1,WHITE,37790363,0,1631137707984931,4548,1631137745769494,1631137745770746,,,,,,,,,TINNO Wiko U614AS,none
38293890,0,BLACK,38294923,1,1631137707984931,4548,1631137746274273,1631137746275306,38374419.0,1.0,DARK,1631137707985076.0,1189.0,1631137746358306.0,83000.0,84033.0,TINNO Wiko U614AS,none
38797455,1,WHITE,38798423,2,1631137707984931,4548,1631137746777838,1631137746778806,38876179.0,2.0,LIGHT,1631137707985076.0,1189.0,1631137746860066.0,81260.0,82228.0,TINNO Wiko U614AS,none
39300955,0,BLACK,39301512,3,1631137707984931,4548,1631137747281338,1631137747281895,39395859.0,3.0,DARK,1631137707985076.0,1189.0,1631137747379746.0,97851.0,98408.0,TINNO Wiko U614AS,none
39804300,1,WHITE,39805009,4,1631137707984931,4548,1631137747784683,1631137747785392,39861779.0,4.0,LIGHT,1631137707985076.0,1189.0,1631137747845666.0,60274.0,60983.0,TINNO Wiko U614AS,none
40308395,0,BLACK,40308844,5,1631137707984931,4548,1631137748288778,1631137748289227,40381459.0,5.0,DARK,1631137707985076.0,1189.0,1631137748365346.0,76119.0,76568.0,TINNO Wiko U614AS,none
40812891,1,WHITE,40813607,6,1631137707984931,4548,1631137748793274,1631137748793990,40883219.0,6.0,LIGHT,1631137707985076.0,1189.0,1631137748867106.0,73116.0,73832.0,TINNO Wiko U614AS,none
41316187,0,BLACK,41317155,7,1631137707984931,4548,1631137749296570,1631137749297538,41402900.0,7.0,DARK,1631137707985076.0,1189.0,1631137749386787.0,89249.0,90217.0,TINNO Wiko U614AS,none
41820074,1,WHITE,41820850,8,1631137707984931,4548,1631137749800457,1631137749801233,41886739.0,8.0,LIGHT,1631137707985076.0,1189.0,1631137749870626.0,69393.0,70169.0,TINNO Wiko U614AS,none
42323580,0,BLACK,42324416,9,1631137707984931,4548,1631137750303963,1631137750304799,42406419.0,9.0,DARK,1631137707985076.0,1189.0,1631137750390306.0,85507.0,86343.0,TINNO Wiko U614AS,none
42826885,1,WHITE,42827501,10,1631137707984931,4548,1631137750807268,1631137750807884,42890258.0,10.0,LIGHT,1631137707985076.0,1189.0,1631137750874145.0,66261.0,66877.0,TINNO Wiko U614AS,none
43330295,0,BLACK,43330958,11,1631137707984931,4548,1631137751310678,1631137751311341,43409939.0,11.0,DARK,1631137707985076.0,1189.0,1631137751393826.0,82485.0,83148.0,TINNO Wiko U614AS,none
43834886,1,WHITE,43835472,12,1631137707984931,4548,1631137751815269,1631137751815855,43893779.0,12.0,LIGHT,1631137707985076.0,1189.0,1631137751877666.0,61811.0,62397.0,TINNO Wiko U614AS,none
44338362,0,BLACK,44339209,13,1631137707984931,4548,1631137752318745,1631137752319592,44413459.0,13.0,DARK,1631137707985076.0,1189.0,1631137752397346.0,77754.0,78601.0,TINNO Wiko U614AS,none
44842686,1,WHITE,44843335,14,1631137707984931,4548,1631137752823069,1631137752823718,44915219.0,14.0,LIGHT,1631137707985076.0,1189.0,1631137752899106.0,75388.0,76037.0,TINNO Wiko U614AS,none
45346008,0,BLACK,45346606,15,1631137707984931,4548,1631137753326391,1631137753326989,45434899.0,15.0,DARK,1631137707985076.0,1189.0,1631137753418786.0,91797.0,92395.0,TINNO Wiko U614AS,none
45849714,1,WHITE,45850740,16,1631137707984931,4548,1631137753830097,1631137753831123,45900819.0,16.0,LIGHT,1631137707985076.0,1189.0,1631137753884706.0,53583.0,54609.0,TINNO Wiko U614AS,none
46353595,0,BLACK,46354377,17,1631137707984931,4548,1631137754333978,1631137754334760,46438419.0,17.0,DARK,1631137707985076.0,1189.0,1631137754422306.0,87546.0,88328.0,TINNO Wiko U614AS,none
46858981,1,WHITE,46859880,18,1631137707984931,4548,1631137754839364,1631137754840263,46922258.0,18.0,LIGHT,1631137707985076.0,1189.0,1631137754906145.0,65882.0,66781.0,TINNO Wiko U614AS,none
47363167,0,BLACK,47364052,19,1631137707984931,4548,1631137755343550,1631137755344435,47459859.0,19.0,DARK,1631137707985076.0,1189.0,1631137755443746.0,99311.0,100196.0,TINNO Wiko U614AS,none
47869931,1,WHITE,47870925,20,1631137707984931,4548,1631137755850314,1631137755851308,47925779.0,20.0,LIGHT,1631137707985076.0,1189.0,1631137755909666.0,58358.0,59352.0,TINNO Wiko U614AS,none
48373526,0,BLACK,48374463,21,1631137707984931,4548,1631137756353909,1631137756354846,48445459.0,21.0,DARK,1631137707985076.0,1189.0,1631137756429346.0,74500.0,75437.0,TINNO Wiko U614AS,none
48877628,1,WHITE,48878487,22,1631137707984931,4548,1631137756858011,1631137756858870,48947219.0,22.0,LIGHT,1631137707985076.0,1189.0,1631137756931106.0,72236.0,73095.0,TINNO Wiko U614AS,none
49381328,0,BLACK,49382177,23,1631137707984931,4548,1631137757361711,1631137757362560,49466899.0,23.0,DARK,1631137707985076.0,1189.0,1631137757450786.0,88226.0,89075.0,TINNO Wiko U614AS,none
49885399,1,WHITE,49886413,24,1631137707984931,4548,1631137757865782,1631137757866796,49950739.0,24.0,LIGHT,1631137707985076.0,1189.0,1631137757934626.0,67830.0,68844.0,TINNO Wiko U614AS,none
50389178,0,BLACK,50390029,25,1631137707984931,4548,1631137758369561,1631137758370412,50470421.0,25.0,DARK,1631137707985076.0,1189.0,1631137758454308.0,83896.0,84747.0,TINNO Wiko U614AS,none
50893926,1,WHITE,50894837,26,1631137707984931,4548,1631137758874309,1631137758875220,50954260.0,26.0,LIGHT,1631137707985076.0,1189.0,1631137758938147.0,62927.0,63838.0,TINNO Wiko U614AS,none
51399158,0,BLACK,51400027,27,1631137707984931,4548,1631137759379541,1631137759380410,51491859.0,27.0,DARK,1631137707985076.0,1189.0,1631137759475746.0,95336.0,96205.0,TINNO Wiko U614AS,none
51903978,1,WHITE,51904852,28,1631137707984931,4548,1631137759884361,1631137759885235,51957779.0,28.0,LIGHT,1631137707985076.0,1189.0,1631137759941666.0,56431.0,57305.0,TINNO Wiko U614AS,none
52407483,0,BLACK,52408212,29,1631137707984931,4548,1631137760387866,1631137760388595,52477459.0,29.0,DARK,1631137707985076.0,1189.0,1631137760461346.0,72751.0,73480.0,TINNO Wiko U614AS,none
52911095,1,WHITE,52911819,30,1631137707984931,4548,1631137760891478,1631137760892202,52979219.0,30.0,LIGHT,1631137707985076.0,1189.0,1631137760963106.0,70904.0,71628.0,TINNO Wiko U614AS,none
53416153,0,BLACK,53417095,31,1631137707984931,4548,1631137761396536,1631137761397478,53498899.0,31.0,DARK,1631137707985076.0,1189.0,1631137761482786.0,85308.0,86250.0,TINNO Wiko U614AS,none
53922506,1,WHITE,53923387,32,1631137707984931,4548,1631137761902889,1631137761903770,53982739.0,32.0,LIGHT,1631137707985076.0,1189.0,1631137761966626.0,62856.0,63737.0,TINNO Wiko U614AS,none
54426532,0,BLACK,54427376,33,1631137707984931,4548,1631137762406915,1631137762407759,54502420.0,33.0,DARK,1631137707985076.0,1189.0,1631137762486307.0,78548.0,79392.0,TINNO Wiko U614AS,none
54932480,1,WHITE,54933379,34,1631137707984931,4548,1631137762912863,1631137762913762,55004178.0,34.0,LIGHT,1631137707985076.0,1189.0,1631137762988065.0,74303.0,75202.0,TINNO Wiko U614AS,none
55436542,0,BLACK,55437209,35,1631137707984931,4548,1631137763416925,1631137763417592,55523859.0,35.0,DARK,1631137707985076.0,1189.0,1631137763507746.0,90154.0,90821.0,TINNO Wiko U614AS,none
55940436,1,WHITE,55941147,36,1631137707984931,4548,1631137763920819,1631137763921530,56007699.0,36.0,LIGHT,1631137707985076.0,1189.0,1631137763991586.0,70056.0,70767.0,TINNO Wiko U614AS,none
56446371,0,BLACK,56447231,37,1631137707984931,4548,1631137764426754,1631137764427614,56527379.0,37.0,DARK,1631137707985076.0,1189.0,1631137764511266.0,83652.0,84512.0,TINNO Wiko U614AS,none
56950552,1,WHITE,56951376,38,1631137707984931,4548,1631137764930935,1631137764931759,57011219.0,38.0,LIGHT,1631137707985076.0,1189.0,1631137764995106.0,63347.0,64171.0,TINNO Wiko U614AS,none
57456166,0,BLACK,57457020,39,1631137707984931,4548,1631137765436549,1631137765437403,57548819.0,39.0,DARK,1631137707985076.0,1189.0,1631137765532706.0,95303.0,96157.0,TINNO Wiko U614AS,none
57960997,1,WHITE,57961809,40,1631137707984931,4548,1631137765941380,1631137765942192,58032658.0,40.0,LIGHT,1631137707985076.0,1189.0,1631137766016545.0,74353.0,75165.0,TINNO Wiko U614AS,none
58466931,0,BLACK,58467766,41,1631137707984931,4548,1631137766447314,1631137766448149,58552341.0,41.0,DARK,1631137707985076.0,1189.0,1631137766536228.0,88079.0,88914.0,TINNO Wiko U614AS,none
58973006,1,WHITE,58973869,42,1631137707984931,4548,1631137766953389,1631137766954252,59036180.0,42.0,LIGHT,1631137707985076.0,1189.0,1631137767020067.0,65815.0,66678.0,TINNO Wiko U614AS,none
59476205,0,BLACK,59476867,43,1631137707984931,4548,1631137767456588,1631137767457250,59555859.0,43.0,DARK,1631137707985076.0,1189.0,1631137767539746.0,82496.0,83158.0,TINNO Wiko U614AS,none
59980325,1,WHITE,59980892,44,1631137707984931,4548,1631137767960708,1631137767961275,60057619.0,44.0,LIGHT,1631137707985076.0,1189.0,1631137768041506.0,80231.0,80798.0,TINNO Wiko U614AS,none
60485480,0,BLACK,60486422,45,1631137707984931,4548,1631137768465863,1631137768466805,60577299.0,45.0,DARK,1631137707985076.0,1189.0,1631137768561186.0,94381.0,95323.0,TINNO Wiko U614AS,none
60989873,1,WHITE,60990676,46,1631137707984931,4548,1631137768970256,1631137768971059,61061139.0,46.0,LIGHT,1631137707985076.0,1189.0,1631137769045026.0,73967.0,74770.0,TINNO Wiko U614AS,none
61493350,0,BLACK,61494276,47,1631137707984931,4548,1631137769473733,1631137769474659,61580819.0,47.0,DARK,1631137707985076.0,1189.0,1631137769564706.0,90047.0,90973.0,TINNO Wiko U614AS,none
61997944,1,WHITE,61998742,48,1631137707984931,4548,1631137769978327,1631137769979125,62064658.0,48.0,LIGHT,1631137707985076.0,1189.0,1631137770048545.0,69420.0,70218.0,TINNO Wiko U614AS,none
