callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
66435821,1,WHITE,66435909,0,1648935078094305,3071,1648935144527055,1648935144527143,,,,,,,,,iPhone12_1,none
66634797,0,BLACK,66634884,1,1648935078094305,3071,1648935144726031,1648935144726118,66796271.0,1.0,DARK,1648935078006965.0,1175.0,1648935144802061.0,75943.0,76030.0,iPhone12_1,none
66833794,1,WHITE,66833857,2,1648935078094305,3071,1648935144925028,1648935144925091,66975470.0,2.0,LIGHT,1648935078006965.0,1175.0,1648935144981260.0,56169.0,56232.0,iPhone12_1,none
67032783,0,BLACK,67032819,3,1648935078094305,3071,1648935145124017,1648935145124053,67190510.0,3.0,DARK,1648935078006965.0,1175.0,1648935145196300.0,72247.0,72283.0,iPhone12_1,none
67231780,1,WHITE,67231821,4,1648935078094305,3071,1648935145323014,1648935145323055,67369710.0,4.0,LIGHT,1648935078006965.0,1175.0,1648935145375500.0,52445.0,52486.0,iPhone12_1,none
67430792,0,BLACK,67430856,5,1648935078094305,3071,1648935145522026,1648935145522090,67584750.0,5.0,DARK,1648935078006965.0,1175.0,1648935145590540.0,68450.0,68514.0,iPhone12_1,none
67629791,1,WHITE,67629880,6,1648935078094305,3071,1648935145721025,1648935145721114,67763950.0,6.0,LIGHT,1648935078006965.0,1175.0,1648935145769740.0,48626.0,48715.0,iPhone12_1,none
67828778,0,BLACK,67828822,7,1648935078094305,3071,1648935145920012,1648935145920056,67996910.0,7.0,DARK,1648935078006965.0,1175.0,1648935146002700.0,82644.0,82688.0,iPhone12_1,none
68027861,1,WHITE,68027910,8,1648935078094305,3071,1648935146119095,1648935146119144,68176110.0,8.0,LIGHT,1648935078006965.0,1175.0,1648935146181900.0,62756.0,62805.0,iPhone12_1,none
68226780,0,BLACK,68226860,9,1648935078094305,3071,1648935146318014,1648935146318094,68391152.0,9.0,DARK,1648935078006965.0,1175.0,1648935146396942.0,78848.0,78928.0,iPhone12_1,none
68425783,1,WHITE,68425821,10,1648935078094305,3071,1648935146517017,1648935146517055,68570350.0,10.0,LIGHT,1648935078006965.0,1175.0,1648935146576140.0,59085.0,59123.0,iPhone12_1,none
68624782,0,BLACK,68624820,11,1648935078094305,3071,1648935146716016,1648935146716054,68767470.0,11.0,DARK,1648935078006965.0,1175.0,1648935146773260.0,57206.0,57244.0,iPhone12_1,none
68823781,1,WHITE,68823821,12,1648935078094305,3071,1648935146915015,1648935146915055,68946670.0,12.0,LIGHT,1648935078006965.0,1175.0,1648935146952460.0,37405.0,37445.0,iPhone12_1,none
69022780,0,BLACK,69022825,13,1648935078094305,3071,1648935147114014,1648935147114059,69179630.0,13.0,DARK,1648935078006965.0,1175.0,1648935147185420.0,71361.0,71406.0,iPhone12_1,none
