callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
37368004,1,WHITE,37368023,0,1647149267696778,9093,1647149305055689,1647149305055708,,,,,,,,,iPhone14_5a,none
37566948,0,BLACK,37566995,1,1647149267696778,9093,1647149305254633,1647149305254680,37850685.0,1.0,DARK,1647149267483228.0,1855.0,1647149305332058.0,77378.0,77425.0,iPhone14_5a,none
37766064,1,WHITE,37766086,2,1647149267696778,9093,1647149305453749,1647149305453771,38047805.0,2.0,LIGHT,1647149267483228.0,1855.0,1647149305529178.0,75407.0,75429.0,iPhone14_5a,none
37964945,0,BLACK,37964963,3,1647149267696778,9093,1647149305652630,1647149305652648,38262845.0,3.0,DARK,1647149267483228.0,1855.0,1647149305744218.0,91570.0,91588.0,iPhone14_5a,none
38163934,1,WHITE,38163981,4,1647149267696778,9093,1647149305851619,1647149305851666,38442045.0,4.0,LIGHT,1647149267483228.0,1855.0,1647149305923418.0,71752.0,71799.0,iPhone14_5a,none
38362937,0,BLACK,38362954,5,1647149267696778,9093,1647149306050622,1647149306050639,38657085.0,5.0,DARK,1647149267483228.0,1855.0,1647149306138458.0,87819.0,87836.0,iPhone14_5a,none
38561945,1,WHITE,38561960,6,1647149267696778,9093,1647149306249630,1647149306249645,38836285.0,6.0,LIGHT,1647149267483228.0,1855.0,1647149306317658.0,68013.0,68028.0,iPhone14_5a,none
38761009,0,BLACK,38761023,7,1647149267696778,9093,1647149306448694,1647149306448708,39051325.0,7.0,DARK,1647149267483228.0,1855.0,1647149306532698.0,83990.0,84004.0,iPhone14_5a,none
38960017,1,WHITE,38960064,8,1647149267696778,9093,1647149306647702,1647149306647749,39248446.0,8.0,LIGHT,1647149267483228.0,1855.0,1647149306729819.0,82070.0,82117.0,iPhone14_5a,none
39158956,0,BLACK,39158971,9,1647149267696778,9093,1647149306846641,1647149306846656,39463485.0,9.0,DARK,1647149267483228.0,1855.0,1647149306944858.0,98202.0,98217.0,iPhone14_5a,none
39358020,1,WHITE,39358034,10,1647149267696778,9093,1647149307045705,1647149307045719,39642685.0,10.0,LIGHT,1647149267483228.0,1855.0,1647149307124058.0,78339.0,78353.0,iPhone14_5a,none
39556937,0,BLACK,39556949,11,1647149267696778,9093,1647149307244622,1647149307244634,39839805.0,11.0,DARK,1647149267483228.0,1855.0,1647149307321178.0,76544.0,76556.0,iPhone14_5a,none
39755934,1,WHITE,39755995,12,1647149267696778,9093,1647149307443619,1647149307443680,40019005.0,12.0,LIGHT,1647149267483228.0,1855.0,1647149307500378.0,56698.0,56759.0,iPhone14_5a,none
39954938,0,BLACK,39954952,13,1647149267696778,9093,1647149307642623,1647149307642637,40234047.0,13.0,DARK,1647149267483228.0,1855.0,1647149307715420.0,72783.0,72797.0,iPhone14_5a,none
40153938,1,WHITE,40153953,14,1647149267696778,9093,1647149307841623,1647149307841638,40431165.0,14.0,LIGHT,1647149267483228.0,1855.0,1647149307912538.0,70900.0,70915.0,iPhone14_5a,none
40353005,0,BLACK,40353018,15,1647149267696778,9093,1647149308040690,1647149308040703,40646205.0,15.0,DARK,1647149267483228.0,1855.0,1647149308127578.0,86875.0,86888.0,iPhone14_5a,none
40551937,1,WHITE,40551953,16,1647149267696778,9093,1647149308239622,1647149308239638,40825405.0,16.0,LIGHT,1647149267483228.0,1855.0,1647149308306778.0,67140.0,67156.0,iPhone14_5a,none
40750935,0,BLACK,40750951,17,1647149267696778,9093,1647149308438620,1647149308438636,41040445.0,17.0,DARK,1647149267483228.0,1855.0,1647149308521818.0,83182.0,83198.0,iPhone14_5a,none
40949935,1,WHITE,40949951,18,1647149267696778,9093,1647149308637620,1647149308637636,41219645.0,18.0,LIGHT,1647149267483228.0,1855.0,1647149308701018.0,63382.0,63398.0,iPhone14_5a,none
41148935,0,BLACK,41148947,19,1647149267696778,9093,1647149308836620,1647149308836632,41434685.0,19.0,DARK,1647149267483228.0,1855.0,1647149308916058.0,79426.0,79438.0,iPhone14_5a,none
41347933,1,WHITE,41347949,20,1647149267696778,9093,1647149309035618,1647149309035634,41631805.0,20.0,LIGHT,1647149267483228.0,1855.0,1647149309113178.0,77544.0,77560.0,iPhone14_5a,none
41546938,0,BLACK,41546951,21,1647149267696778,9093,1647149309234623,1647149309234636,41846845.0,21.0,DARK,1647149267483228.0,1855.0,1647149309328218.0,93582.0,93595.0,iPhone14_5a,none
41745934,1,WHITE,41745951,22,1647149267696778,9093,1647149309433619,1647149309433636,42026045.0,22.0,LIGHT,1647149267483228.0,1855.0,1647149309507418.0,73782.0,73799.0,iPhone14_5a,none
41944934,0,BLACK,41944948,23,1647149267696778,9093,1647149309632619,1647149309632633,42241085.0,23.0,DARK,1647149267483228.0,1855.0,1647149309722458.0,89825.0,89839.0,iPhone14_5a,none
42143939,1,WHITE,42143952,24,1647149267696778,9093,1647149309831624,1647149309831637,42438207.0,24.0,LIGHT,1647149267483228.0,1855.0,1647149309919580.0,87943.0,87956.0,iPhone14_5a,none
42342937,0,BLACK,42342949,25,1647149267696778,9093,1647149310030622,1647149310030634,42635325.0,25.0,DARK,1647149267483228.0,1855.0,1647149310116698.0,86064.0,86076.0,iPhone14_5a,none
42541944,1,WHITE,42541956,26,1647149267696778,9093,1647149310229629,1647149310229641,42814525.0,26.0,LIGHT,1647149267483228.0,1855.0,1647149310295898.0,66257.0,66269.0,iPhone14_5a,none
42740937,0,BLACK,42740996,27,1647149267696778,9093,1647149310428622,1647149310428681,43029565.0,27.0,DARK,1647149267483228.0,1855.0,1647149310510938.0,82257.0,82316.0,iPhone14_5a,none
42939934,1,WHITE,42939954,28,1647149267696778,9093,1647149310627619,1647149310627639,43208765.0,28.0,LIGHT,1647149267483228.0,1855.0,1647149310690138.0,62499.0,62519.0,iPhone14_5a,none
43138933,0,BLACK,43138947,29,1647149267696778,9093,1647149310826618,1647149310826632,43423805.0,29.0,DARK,1647149267483228.0,1855.0,1647149310905178.0,78546.0,78560.0,iPhone14_5a,none
43338002,1,WHITE,43338015,30,1647149267696778,9093,1647149311025687,1647149311025700,43620925.0,30.0,LIGHT,1647149267483228.0,1855.0,1647149311102298.0,76598.0,76611.0,iPhone14_5a,none
43536937,0,BLACK,43536953,31,1647149267696778,9093,1647149311224622,1647149311224638,43835965.0,31.0,DARK,1647149267483228.0,1855.0,1647149311317338.0,92700.0,92716.0,iPhone14_5a,none
43735934,1,WHITE,43735950,32,1647149267696778,9093,1647149311423619,1647149311423635,44015165.0,32.0,LIGHT,1647149267483228.0,1855.0,1647149311496538.0,72903.0,72919.0,iPhone14_5a,none
