callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
37424939,1,WHITE,37424965,0,1647149724645952,6047,1647149762064844,1647149762064870,,,,,,,,,iPhone14_5b,none
37623937,0,BLACK,37623956,1,1647149724645952,6047,1647149762263842,1647149762263861,37775591.0,1.0,DARK,1647149724563923.0,1506.0,1647149762338008.0,74147.0,74166.0,iPhone14_5b,none
37822939,1,WHITE,37822961,2,1647149724645952,6047,1647149762462844,1647149762462866,37972711.0,2.0,LIGHT,1647149724563923.0,1506.0,1647149762535128.0,72262.0,72284.0,iPhone14_5b,none
38021938,0,BLACK,38021957,3,1647149724645952,6047,1647149762661843,1647149762661862,38187751.0,3.0,DARK,1647149724563923.0,1506.0,1647149762750168.0,88306.0,88325.0,iPhone14_5b,none
38220958,1,WHITE,38220972,4,1647149724645952,6047,1647149762860863,1647149762860877,38366951.0,4.0,LIGHT,1647149724563923.0,1506.0,1647149762929368.0,68491.0,68505.0,iPhone14_5b,none
38419936,0,BLACK,38419956,5,1647149724645952,6047,1647149763059841,1647149763059861,38581991.0,5.0,DARK,1647149724563923.0,1506.0,1647149763144408.0,84547.0,84567.0,iPhone14_5b,none
38618941,1,WHITE,38618965,6,1647149724645952,6047,1647149763258846,1647149763258870,38761191.0,6.0,LIGHT,1647149724563923.0,1506.0,1647149763323608.0,64738.0,64762.0,iPhone14_5b,none
38817937,0,BLACK,38817955,7,1647149724645952,6047,1647149763457842,1647149763457860,38976231.0,7.0,DARK,1647149724563923.0,1506.0,1647149763538648.0,80788.0,80806.0,iPhone14_5b,none
39016938,1,WHITE,39016985,8,1647149724645952,6047,1647149763656843,1647149763656890,39173351.0,8.0,LIGHT,1647149724563923.0,1506.0,1647149763735768.0,78878.0,78925.0,iPhone14_5b,none
39215936,0,BLACK,39215952,9,1647149724645952,6047,1647149763855841,1647149763855857,39370471.0,9.0,DARK,1647149724563923.0,1506.0,1647149763932888.0,77031.0,77047.0,iPhone14_5b,none
39414939,1,WHITE,39415001,10,1647149724645952,6047,1647149764054844,1647149764054906,39549671.0,10.0,LIGHT,1647149724563923.0,1506.0,1647149764112088.0,57182.0,57244.0,iPhone14_5b,none
39613939,0,BLACK,39613997,11,1647149724645952,6047,1647149764253844,1647149764253902,39764710.0,11.0,DARK,1647149724563923.0,1506.0,1647149764327127.0,73225.0,73283.0,iPhone14_5b,none
39812935,1,WHITE,39812950,12,1647149724645952,6047,1647149764452840,1647149764452855,39943911.0,12.0,LIGHT,1647149724563923.0,1506.0,1647149764506328.0,53473.0,53488.0,iPhone14_5b,none
40011940,0,BLACK,40011986,13,1647149724645952,6047,1647149764651845,1647149764651891,40158951.0,13.0,DARK,1647149724563923.0,1506.0,1647149764721368.0,69477.0,69523.0,iPhone14_5b,none
40211007,1,WHITE,40211021,14,1647149724645952,6047,1647149764850912,1647149764850926,40356071.0,14.0,LIGHT,1647149724563923.0,1506.0,1647149764918488.0,67562.0,67576.0,iPhone14_5b,none
40409941,0,BLACK,40409961,15,1647149724645952,6047,1647149765049846,1647149765049866,40571111.0,15.0,DARK,1647149724563923.0,1506.0,1647149765133528.0,83662.0,83682.0,iPhone14_5b,none
40608938,1,WHITE,40608953,16,1647149724645952,6047,1647149765248843,1647149765248858,40750311.0,16.0,LIGHT,1647149724563923.0,1506.0,1647149765312728.0,63870.0,63885.0,iPhone14_5b,none
