callbackTime_mobile,color_mobile,colorName_mobile,displayTime_mobile,index_mobile,t0_us_mobile,offset_us_mobile,corrected_callbackTime_mobile,corrected_displayTime_mobile,detectTime_fixture,index_fixture,value_fixture,t0_us_fixture,offset_us_fixture,corrected_detectTime_fixture,display_latency_us,callback_latency_us,phone_model,load
36742001,1,WHITE,36742027,0,1647150265828424,6672,1647150302563753,1647150302563779,,,,,,,,,iPhone14_5c,none
36940959,0,BLACK,36940986,1,1647150265828424,6672,1647150302762711,1647150302762738,37740609.0,1.0,DARK,1647150265104501.0,2116.0,1647150302842994.0,80256.0,80283.0,iPhone14_5c,none
37139924,1,WHITE,37139945,2,1647150265828424,6672,1647150302961676,1647150302961697,37919808.0,2.0,LIGHT,1647150265104501.0,2116.0,1647150303022193.0,60496.0,60517.0,iPhone14_5c,none
37338922,0,BLACK,37338970,3,1647150265828424,6672,1647150303160674,1647150303160722,38134848.0,3.0,DARK,1647150265104501.0,2116.0,1647150303237233.0,76511.0,76559.0,iPhone14_5c,none
37537924,1,WHITE,37537943,4,1647150265828424,6672,1647150303359676,1647150303359695,38331968.0,4.0,LIGHT,1647150265104501.0,2116.0,1647150303434353.0,74658.0,74677.0,iPhone14_5c,none
37736933,0,BLACK,37736946,5,1647150265828424,6672,1647150303558685,1647150303558698,38547009.0,5.0,DARK,1647150265104501.0,2116.0,1647150303649394.0,90696.0,90709.0,iPhone14_5c,none
37935921,1,WHITE,37935968,6,1647150265828424,6672,1647150303757673,1647150303757720,38726210.0,6.0,LIGHT,1647150265104501.0,2116.0,1647150303828595.0,70875.0,70922.0,iPhone14_5c,none
38134922,0,BLACK,38134950,7,1647150265828424,6672,1647150303956674,1647150303956702,38941249.0,7.0,DARK,1647150265104501.0,2116.0,1647150304043634.0,86932.0,86960.0,iPhone14_5c,none
38333925,1,WHITE,38333941,8,1647150265828424,6672,1647150304155677,1647150304155693,39120448.0,8.0,LIGHT,1647150265104501.0,2116.0,1647150304222833.0,67140.0,67156.0,iPhone14_5c,none
38532961,0,BLACK,38532984,9,1647150265828424,6672,1647150304354713,1647150304354736,39317568.0,9.0,DARK,1647150265104501.0,2116.0,1647150304419953.0,65217.0,65240.0,iPhone14_5c,none
38731919,1,WHITE,38731934,10,1647150265828424,6672,1647150304553671,1647150304553686,39514688.0,10.0,LIGHT,1647150265104501.0,2116.0,1647150304617073.0,63387.0,63402.0,iPhone14_5c,none
38930927,0,BLACK,38930942,11,1647150265828424,6672,1647150304752679,1647150304752694,39729728.0,11.0,DARK,1647150265104501.0,2116.0,1647150304832113.0,79419.0,79434.0,iPhone14_5c,none
39129921,1,WHITE,39129936,12,1647150265828424,6672,1647150304951673,1647150304951688,39908928.0,12.0,LIGHT,1647150265104501.0,2116.0,1647150305011313.0,59625.0,59640.0,iPhone14_5c,none
39328988,0,BLACK,39329004,13,1647150265828424,6672,1647150305150740,1647150305150756,40123968.0,13.0,DARK,1647150265104501.0,2116.0,1647150305226353.0,75597.0,75613.0,iPhone14_5c,none
39527925,1,WHITE,39527970,14,1647150265828424,6672,1647150305349677,1647150305349722,40303168.0,14.0,LIGHT,1647150265104501.0,2116.0,1647150305405553.0,55831.0,55876.0,iPhone14_5c,none
39726924,0,BLACK,39726939,15,1647150265828424,6672,1647150305548676,1647150305548691,40518209.0,15.0,DARK,1647150265104501.0,2116.0,1647150305620594.0,71903.0,71918.0,iPhone14_5c,none
39925923,1,WHITE,39925969,16,1647150265828424,6672,1647150305747675,1647150305747721,40715328.0,16.0,LIGHT,1647150265104501.0,2116.0,1647150305817713.0,69992.0,70038.0,iPhone14_5c,none
40124923,0,BLACK,40124943,17,1647150265828424,6672,1647150305946675,1647150305946695,40930370.0,17.0,DARK,1647150265104501.0,2116.0,1647150306032755.0,86060.0,86080.0,iPhone14_5c,none
40323922,1,WHITE,40323943,18,1647150265828424,6672,1647150306145674,1647150306145695,41109568.0,18.0,LIGHT,1647150265104501.0,2116.0,1647150306211953.0,66258.0,66279.0,iPhone14_5c,none
40522923,0,BLACK,40522938,19,1647150265828424,6672,1647150306344675,1647150306344690,41324608.0,19.0,DARK,1647150265104501.0,2116.0,1647150306426993.0,82303.0,82318.0,iPhone14_5c,none
40721921,1,WHITE,40721938,20,1647150265828424,6672,1647150306543673,1647150306543690,41503808.0,20.0,LIGHT,1647150265104501.0,2116.0,1647150306606193.0,62503.0,62520.0,iPhone14_5c,none
