index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,11255303,1631140167272553,2050,1631140178525806,0,DOWN,11182927,11185327,0,0,0,1631140167383657,1626,1631140178564958,1631140178567358,41552,39152,LGE LGL322DL,none
1,11468280,1631140167272553,2050,1631140178738783,0,DOWN,11400696,11402378,1,0,0,1631140167383657,1626,1631140178782727,1631140178784409,45626,43944,LGE LGL322DL,none
2,11682123,1631140167272553,2050,1631140178952626,0,DOWN,11619389,11621232,2,0,0,1631140167383657,1626,1631140179001420,1631140179003263,50637,48794,LGE LGL322DL,none
3,11898065,1631140167272553,2050,1631140179168568,0,DOWN,11826357,11827858,3,0,0,1631140167383657,1626,1631140179208388,1631140179209889,41321,39820,LGE LGL322DL,none
4,12111055,1631140167272553,2050,1631140179381558,0,DOWN,12043602,12045266,4,0,0,1631140167383657,1626,1631140179425633,1631140179427297,45739,44075,LGE LGL322DL,none
5,12324898,1631140167272553,2050,1631140179595401,0,DOWN,12259958,12262264,5,0,0,1631140167383657,1626,1631140179641989,1631140179644295,48894,46588,LGE LGL322DL,none
6,12540001,1631140167272553,2050,1631140179810504,0,DOWN,12478168,12480489,6,0,0,1631140167383657,1626,1631140179860199,1631140179862520,52016,49695,LGE LGL322DL,none
7,12759708,1631140167272553,2050,1631140180030211,0,DOWN,12684889,12688070,7,0,0,1631140167383657,1626,1631140180066920,1631140180070101,39890,36709,LGE LGL322DL,none
8,12967306,1631140167272553,2050,1631140180237809,0,DOWN,12902065,12904147,8,0,0,1631140167383657,1626,1631140180284096,1631140180286178,48369,46287,LGE LGL322DL,none
9,13184980,1631140167272553,2050,1631140180455483,0,DOWN,13117604,13120429,9,0,0,1631140167383657,1626,1631140180499635,1631140180502460,46977,44152,LGE LGL322DL,none
10,13397524,1631140167272553,2050,1631140180668027,0,DOWN,13326034,13328153,10,0,0,1631140167383657,1626,1631140180708065,1631140180710184,42157,40038,LGE LGL322DL,none
11,13617559,1631140167272553,2050,1631140180888062,0,DOWN,13543289,13545383,11,0,0,1631140167383657,1626,1631140180925320,1631140180927414,39352,37258,LGE LGL322DL,none
12,13826731,1631140167272553,2050,1631140181097234,0,DOWN,13760637,13762587,12,0,0,1631140167383657,1626,1631140181142668,1631140181144618,47384,45434,LGE LGL322DL,none
13,14043028,1631140167272553,2050,1631140181313531,0,DOWN,13977781,13979381,13,0,0,1631140167383657,1626,1631140181359812,1631140181361412,47881,46281,LGE LGL322DL,none
14,14263457,1631140167272553,2050,1631140181533960,0,DOWN,14193179,14195544,14,0,0,1631140167383657,1626,1631140181575210,1631140181577575,43615,41250,LGE LGL322DL,none
15,14478507,1631140167272553,2050,1631140181749010,0,DOWN,14401941,14403598,15,0,0,1631140167383657,1626,1631140181783972,1631140181785629,36619,34962,LGE LGL322DL,none
16,14687613,1631140167272553,2050,1631140181958116,0,DOWN,14619064,14621560,16,0,0,1631140167383657,1626,1631140182001095,1631140182003591,45475,42979,LGE LGL322DL,none
17,14903070,1631140167272553,2050,1631140182173573,0,DOWN,14835488,14836972,17,0,0,1631140167383657,1626,1631140182217519,1631140182219003,45430,43946,LGE LGL322DL,none
18,15118474,1631140167272553,2050,1631140182388977,0,DOWN,15051921,15053944,18,0,0,1631140167383657,1626,1631140182433952,1631140182435975,46998,44975,LGE LGL322DL,none
